epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736866916.4969707, 1736866916.5833027, 3.2148220725059504]","[1736866991.9394796, 1736866991.9808078, 4.508781736135481]","[1736867066.5642636, 1736867066.6063168, 4.464874755859375]","[1736867141.4880614, 1736867141.5301218, 5.14364740562439]","[1736867215.362273, 1736867215.4150887, 6.457959547758102]"
"[1736866916.738563, 1736866916.781494, 2.148302236795425]","[1736866992.122155, 1736866992.1610336, 3.962514991760254]","[1736867066.7454083, 1736867066.7860632, 4.170830458641052]","[1736867141.6655896, 1736867141.7042994, 4.3715840463638305]","[1736867215.564715, 1736867215.6037104, 4.542677535772325]"
"[1736866916.9200683, 1736866916.9597173, 2.6572766304016113]","[1736866992.293818, 1736866992.3349872, 4.520580334663392]","[1736867066.9237196, 1736867066.962884, 3.879459369659424]","[1736867141.8347952, 1736867141.8743322, 4.7366455769538875]","[1736867215.7430158, 1736867215.78806, 5.368856823835067]"
"[1736866917.1011798, 1736866917.1396632, 4.402960903167725]","[1736866992.4633899, 1736866992.5050123, 5.122767037391663]","[1736867067.1017869, 1736867067.1405392, 4.865082186937333]","[1736867142.0065432, 1736867142.045343, 4.840048951864242]","[1736867215.930998, 1736867215.9708798, 5.262869718551635]"
"[1736866917.2727659, 1736866917.3126955, 5.077787469148636]","[1736866992.6394725, 1736866992.6789114, 5.58503041934967]","[1736867067.278811, 1736867067.3185732, 6.017381632328035]","[1736867142.1821105, 1736867142.2204385, 5.592275298595428]","[1736867216.106849, 1736867216.1472645, 6.270994173288346]"
"[1736866917.4468386, 1736866917.485245, 5.938930938720703]","[1736866992.807383, 1736866992.8462894, 6.581395769119263]","[1736867067.4486668, 1736867067.4870784, 6.451990722894669]","[1736867142.3520916, 1736867142.393056, 7.056275729656221]","[1736867216.2821548, 1736867216.3220613, 6.908409540653228]"
"[1736866917.62237, 1736866917.6695855, 8.672063856124877]","[1736866992.978215, 1736866993.0161889, 7.242682118892668]","[1736867067.6163442, 1736867067.6556675, 7.207101262092589]","[1736867142.523828, 1736867142.5624008, 7.4505142440795895]","[1736867216.4594927, 1736867216.500297, 7.786243924617766]"
"[1736866917.8074138, 1736866917.8479912, 7.982676659584045]","[1736866993.1448019, 1736866993.184263, 8.016174600601197]","[1736867067.7864652, 1736867067.8254383, 8.098959490060805]","[1736867142.693317, 1736867142.7318535, 7.883982315926021]","[1736867216.6337655, 1736867216.673972, 8.110682770729065]"
"[1736866917.9833488, 1736866918.0227923, 7.842134928703309]","[1736866993.3205845, 1736866993.358878, 8.03693415927887]","[1736867067.960558, 1736867067.9991314, 8.082500210762024]","[1736867142.8677056, 1736867142.9059324, 8.10221757531166]","[1736867216.8082898, 1736867216.849563, 8.419179330825804]"
"[1736866918.1624212, 1736866918.2015276, 7.891235097885134]","[1736866993.488753, 1736866993.5278275, 8.292295460700988]","[1736867068.1338236, 1736867068.1725137, 7.894395278930665]","[1736867143.038444, 1736867143.0781603, 8.421829485893252]","[1736867216.9854069, 1736867217.025402, 8.059188328266144]"
"[1736866918.3312466, 1736866918.3703408, 7.964116017341614]","[1736866993.6567175, 1736866993.6948824, 7.76704081749916]","[1736867068.3049822, 1736867068.3430324, 7.914664641380311]","[1736867143.2123055, 1736867143.250966, 7.93744448208809]","[1736867217.162819, 1736867217.2045217, 8.513494032382967]"
"[1736866918.5074382, 1736866918.5481052, 8.275764177560806]","[1736866993.823945, 1736866993.8631227, 8.134652639627458]","[1736867068.4758377, 1736867068.5160258, 8.55491571235657]","[1736867143.3836489, 1736867143.423371, 8.238742652654649]","[1736867217.3389046, 1736867217.3789835, 8.321817996025086]"
"[1736866918.6843383, 1736866918.724822, 8.09509384870529]","[1736866993.993229, 1736866994.0317862, 8.239500306844711]","[1736867068.649062, 1736867068.6875095, 7.980540340900419]","[1736867143.5588303, 1736867143.597236, 8.109008785486221]","[1736867217.514804, 1736867217.5556457, 8.498038724899292]"
"[1736866918.8594112, 1736866918.897666, 7.73663818359375]","[1736866994.1624484, 1736866994.2042341, 8.565278661251066]","[1736867068.8283975, 1736867068.869656, 8.460541301727297]","[1736867143.728817, 1736867143.767594, 8.182402198433877]","[1736867217.6907063, 1736867217.7306075, 8.126212928771974]"
"[1736866919.0305583, 1736866919.070116, 8.133655537366868]","[1736866994.3468883, 1736866994.3874009, 8.335459589958191]","[1736867069.0153, 1736867069.0667708, 10.706665731690832]","[1736867143.9000235, 1736867143.938623, 7.893781295061111]","[1736867217.8673544, 1736867217.9076679, 8.1996417709589]"
"[1736866919.2121766, 1736866919.2910306, 16.28518199300766]","[1736866994.5171554, 1736866994.5560415, 8.135276985168455]","[1736867069.217912, 1736867069.2587059, 8.349653782367707]","[1736867144.0699964, 1736867144.1083238, 8.065629739761352]","[1736867218.0426354, 1736867218.0831766, 8.401711949825286]"
"[1736866919.4330716, 1736866919.4719856, 7.681266509771347]","[1736866994.6869547, 1736866994.7268696, 8.406628642678264]","[1736867069.4079533, 1736867069.4490216, 8.278181424856186]","[1736867144.2470946, 1736867144.2855647, 8.180690313577651]","[1736867218.219268, 1736867218.259706, 8.408785888433458]"
"[1736866919.6153033, 1736866919.6537206, 7.507939041614532]","[1736866994.8588932, 1736866994.8978353, 7.932671372652055]","[1736867069.5906403, 1736867069.6294615, 7.657524544715881]","[1736867144.41821, 1736867144.4573805, 8.10106140577793]","[1736867218.3947406, 1736867218.4345648, 8.146647161245347]"
"[1736866919.7856681, 1736866919.8241043, 7.472362036705017]","[1736866995.0291708, 1736866995.0940185, 13.383988224506375]","[1736867069.761882, 1736867069.8003695, 7.589038612842559]","[1736867144.5895455, 1736867144.6281428, 7.949895222187042]","[1736867218.57098, 1736867218.6112173, 8.1597263764143]"
"[1736866919.9564269, 1736866919.994729, 7.483135824441911]","[1736866995.2241073, 1736866995.2624705, 7.853526235818862]","[1736867069.933392, 1736867069.9714882, 7.496791017770765]","[1736867144.7602742, 1736867144.798921, 8.184686841249466]","[1736867218.7448456, 1736867218.7847004, 8.26348696231842]"
"[1736866920.137892, 1736866920.1760552, 7.4700236921310434]","[1736866995.3941078, 1736866995.4326315, 7.96665726184845]","[1736867070.1258688, 1736867070.1648061, 7.701219862699509]","[1736867144.933583, 1736867144.971798, 8.126594227552415]","[1736867218.9216611, 1736867218.962287, 8.49859457588196]"
"[1736866920.3119822, 1736866920.3559124, 8.53578766286425]","[1736866995.5654297, 1736866995.604501, 7.913361610651018]","[1736867070.3009264, 1736867070.340545, 7.883525274276733]","[1736867145.1197965, 1736867145.1582043, 7.905645781993865]","[1736867219.098138, 1736867219.1364644, 7.868841796875]"
"[1736866920.4952035, 1736866920.5369055, 8.253961406469344]","[1736866995.7440825, 1736866995.7840884, 8.189692369461058]","[1736867070.473802, 1736867070.513717, 8.07493309020996]","[1736867145.290093, 1736867145.3282924, 7.852693943977355]","[1736867219.2697847, 1736867219.312214, 8.623096507310866]"
"[1736866920.6735506, 1736866920.7145815, 8.249923919439317]","[1736866995.9143617, 1736866995.953457, 8.030938334941863]","[1736867070.6489458, 1736867070.687465, 7.793147399902343]","[1736867145.45968, 1736867145.4982212, 8.073854925870895]","[1736867219.4435706, 1736867219.4834087, 8.277714708328245]"
"[1736866920.8535783, 1736866920.8940163, 8.193696502685548]","[1736866996.0830524, 1736866996.1214147, 7.85706775212288]","[1736867070.8218596, 1736867070.8613608, 8.087592182159424]","[1736867145.6354544, 1736867145.6750364, 8.348836320638657]","[1736867219.615652, 1736867219.6556067, 8.410096827030182]"
"[1736866921.0371647, 1736866921.0797076, 8.600692336559296]","[1736866996.2504244, 1736866996.2894108, 7.882201370716095]","[1736867071.0037038, 1736867071.0425103, 7.992147191524506]","[1736867145.8095105, 1736867145.848312, 7.906340529441834]","[1736867219.7881963, 1736867219.8278856, 8.164010206222535]"
"[1736866921.2241604, 1736866921.2657456, 8.281236533880236]","[1736866996.418965, 1736866996.4571302, 7.959215538978576]","[1736867071.1743147, 1736867071.215304, 8.390194237947462]","[1736867145.9800806, 1736867146.018556, 7.980206246376039]","[1736867219.9660075, 1736867220.005226, 8.066887795209885]"
"[1736866921.4028885, 1736866921.4442139, 8.135900065898895]","[1736866996.5870774, 1736866996.626227, 8.247991021871568]","[1736867071.3490927, 1736867071.387573, 7.848741380453109]","[1736867146.1490195, 1736867146.1881173, 8.191572623252869]","[1736867220.147888, 1736867220.188268, 8.469220664024354]"
"[1736866921.5841382, 1736866921.625931, 8.228382185101507]","[1736866996.7583892, 1736866996.7964609, 7.733839948177339]","[1736867071.5249803, 1736867071.5665689, 8.505303733694197]","[1736867146.3189118, 1736867146.3575847, 8.037250969529152]","[1736867220.321511, 1736867220.3603134, 8.146250380992889]"
"[1736866921.7620943, 1736866921.804414, 8.360017559051514]","[1736866996.9353933, 1736866996.9749494, 8.189481937885283]","[1736867071.7025657, 1736867071.746549, 9.084558375835421]","[1736867146.4895968, 1736867146.5286398, 8.032657423496246]","[1736867220.5019898, 1736867220.540804, 8.015881290435791]"
"[1736866921.947323, 1736866921.99023, 8.499190106391909]","[1736866997.1053212, 1736866997.143955, 8.1813688788414]","[1736867071.8851705, 1736867071.9313686, 9.56786364197731]","[1736867146.658299, 1736867146.6969912, 8.195982879400253]","[1736867220.6839767, 1736867220.7342372, 10.1350121884346]"
"[1736866922.1318755, 1736866922.1750872, 8.489370293617247]","[1736866997.2731526, 1736866997.3132267, 8.273274042367936]","[1736867072.0757742, 1736867072.1180952, 8.669534674644469]","[1736867146.829477, 1736867146.8686821, 8.300420255899429]","[1736867220.8709, 1736867220.9097197, 7.8086817190647135]"
"[1736866922.3166265, 1736866922.3581502, 8.155876551866532]","[1736866997.4437225, 1736866997.4827116, 7.9554852027893075]","[1736867072.260596, 1736867072.3067374, 9.311097670316697]","[1736867146.99964, 1736867147.0379708, 7.872215591907501]","[1736867221.0549104, 1736867221.1031516, 9.775240345716476]"
"[1736866922.4978902, 1736866922.5385954, 7.9989372909069045]","[1736866997.6186988, 1736866997.6575122, 8.15126980304718]","[1736867072.4415872, 1736867072.4801383, 7.6889357156753535]","[1736867147.1695666, 1736867147.2087467, 8.259779388427733]","[1736867221.2397857, 1736867221.2809157, 8.217046829223634]"
"[1736866922.6721878, 1736866922.7108018, 7.590322177648544]","[1736866997.7913358, 1736866997.8300226, 8.165491753578186]","[1736867072.6103895, 1736867072.648919, 7.686777666807175]","[1736867147.3380196, 1736867147.3761914, 8.19589851951599]","[1736867221.419515, 1736867221.4621294, 8.578589097499846]"
"[1736866922.845413, 1736866922.8850107, 7.902126932144165]","[1736866997.959968, 1736866998.0000238, 8.126961119413375]","[1736867072.7819667, 1736867072.8200743, 7.705020543336868]","[1736867147.5075943, 1736867147.5462878, 7.993441209554672]","[1736867221.599875, 1736867221.640077, 8.01526162147522]"
"[1736866923.0163136, 1736866923.055603, 7.866538581848145]","[1736866998.1301742, 1736866998.168703, 7.9446631431579595]","[1736867072.9582882, 1736867072.9963279, 7.687879969477654]","[1736867147.6778936, 1736867147.715952, 7.963581112861633]","[1736867221.7748742, 1736867221.8167026, 8.338052488803864]"
"[1736866923.1993122, 1736866923.2377272, 7.68177285695076]","[1736866998.2986076, 1736866998.338005, 8.372555059194566]","[1736867073.1364608, 1736867073.1747034, 7.761281326532365]","[1736867147.8481743, 1736867147.8940656, 9.854602746009826]","[1736867221.9623451, 1736867222.002652, 8.168580909252167]"
"[1736866923.369391, 1736866923.4078496, 7.760404181957245]","[1736866998.4695559, 1736866998.5079365, 7.8694070916175844]","[1736867073.307675, 1736867073.3472195, 8.126451220989228]","[1736867148.0274057, 1736867148.0678687, 8.548652938365937]","[1736867222.1397762, 1736867222.1812527, 8.319146603345871]"
"[1736866923.5477595, 1736866923.5867026, 7.983793036460877]","[1736866998.6391263, 1736866998.67836, 8.043336901187898]","[1736867073.482431, 1736867073.5216198, 8.223155636787414]","[1736867148.2040782, 1736867148.2447379, 8.359296017765997]","[1736867222.3246796, 1736867222.3655217, 8.313604764938352]"
"[1736866923.7209022, 1736866923.764663, 9.048196957111356]","[1736866998.8083863, 1736866998.8468287, 8.13021596646309]","[1736867073.6577084, 1736867073.6969445, 8.096434925079345]","[1736867148.3868427, 1736867148.425371, 8.046615397930145]","[1736867222.5130563, 1736867222.553647, 8.098669052124023]"
"[1736866923.9019396, 1736866923.9440603, 8.510985994577407]","[1736866998.9774513, 1736866999.0164936, 8.090153786420823]","[1736867073.8304765, 1736867073.868808, 7.81138648748398]","[1736867148.5585816, 1736867148.6005707, 8.758461889028549]","[1736867222.6997972, 1736867222.7402256, 8.046019747495652]"
"[1736866924.0759513, 1736866924.1152408, 7.896477161407473]","[1736866999.1481843, 1736866999.1868224, 7.90446963787079]","[1736867074.0005243, 1736867074.0408716, 8.399912240505218]","[1736867148.7311213, 1736867148.7695854, 7.97054796397686]","[1736867222.8764725, 1736867222.9166222, 7.985245563626288]"
"[1736866924.312595, 1736866924.351184, 7.619281143069267]","[1736866999.331135, 1736866999.3695865, 8.087912906885148]","[1736867074.1730034, 1736867074.2113178, 8.05061086620544]","[1736867148.9015286, 1736867148.9431546, 8.47256192266941]","[1736867223.0515084, 1736867223.0912352, 7.904507749557495]"
"[1736866924.4844322, 1736866924.52409, 7.696659713268279]","[1736866999.5006082, 1736866999.5390456, 8.1454929561615]","[1736867074.3539827, 1736867074.3929753, 8.016894352555273]","[1736867149.0901217, 1736867149.1284163, 7.910084729433061]","[1736867223.2270787, 1736867223.2673082, 8.103238910436632]"
"[1736866924.664094, 1736866924.7038693, 7.623506813049315]","[1736866999.6718204, 1736866999.7110338, 8.045600130796432]","[1736867074.5266678, 1736867074.5652657, 7.882524443149565]","[1736867149.2634625, 1736867149.3139517, 10.421877051830293]","[1736867223.4024851, 1736867223.4426, 8.030597748756408]"
"[1736866924.8429413, 1736866924.8842783, 7.948074221611023]","[1736866999.842086, 1736866999.880639, 7.919749921560287]","[1736867074.7002392, 1736867074.7392664, 8.147984667778013]","[1736867149.4474335, 1736867149.4855053, 7.820837916135788]","[1736867223.5811183, 1736867223.6216512, 8.131729989528655]"
"[1736866925.0185897, 1736866925.076106, 11.10312042840884]","[1736867000.0128133, 1736867000.0793478, 14.085158110141759]","[1736867074.8714597, 1736867074.910001, 8.063291990041733]","[1736867149.6153023, 1736867149.6548362, 8.010354821205139]","[1736867223.7638464, 1736867223.8072746, 8.841704478740692]"
"[1736866925.2085967, 1736866925.2468042, 7.420230458736419]","[1736867000.2117414, 1736867000.2501066, 7.924623625278476]","[1736867075.0423007, 1736867075.082609, 8.18695082974434]","[1736867149.789743, 1736867149.8284824, 7.952471562623977]","[1736867223.944653, 1736867223.9866102, 8.651352475881577]"
"[1736866925.3803635, 1736866925.4186091, 7.271564904479951]","[1736867000.3805807, 1736867000.4204414, 8.111495817184448]","[1736867075.2175014, 1736867075.2555602, 7.8020453453063965]","[1736867149.9612274, 1736867150.0010693, 8.242689481973647]","[1736867224.1233459, 1736867224.164824, 8.537034282684326]"
"[1736866925.5485988, 1736866925.5870693, 7.763271304607391]","[1736867000.5509343, 1736867000.589384, 7.847673783302306]","[1736867075.3888717, 1736867075.4291975, 8.42637491774559]","[1736867150.1387398, 1736867150.1774383, 8.030157417774202]","[1736867224.310012, 1736867224.3504217, 8.179784960746765]"
"[1736866925.7262533, 1736866925.7646165, 7.862810134649275]","[1736867000.719137, 1736867000.7583296, 8.169360691547395]","[1736867075.563079, 1736867075.6014159, 7.971773975610734]","[1736867150.3075979, 1736867150.3472512, 8.059116588115693]","[1736867224.4873116, 1736867224.5276988, 8.078991538763047]"
"[1736866925.896153, 1736866925.934934, 7.755159757614133]","[1736867000.8885562, 1736867000.9278696, 8.168841685295103]","[1736867075.7376537, 1736867075.7769132, 7.98509403514862]","[1736867150.4786546, 1736867150.5183969, 8.271868552684785]","[1736867224.668174, 1736867224.7090988, 8.22822154068947]"
"[1736866926.0693438, 1736866926.1086748, 7.954725853443146]","[1736867001.062798, 1736867001.1028857, 8.170784522652626]","[1736867075.9104786, 1736867075.9504666, 8.26564802312851]","[1736867150.651762, 1736867150.6904216, 8.18260781764984]","[1736867224.8450992, 1736867224.8849883, 8.051295159816744]"
"[1736866926.244183, 1736866926.2834425, 8.059412116050721]","[1736867001.2354448, 1736867001.2738745, 7.939468393802643]","[1736867076.08284, 1736867076.1216197, 8.149483869552613]","[1736867150.8227355, 1736867150.861225, 7.992987612009047]","[1736867225.0220523, 1736867225.0828848, 12.417677485942843]"
