epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737223582.8654118, 1737223582.8784404, 0.8072273416519165]","[1737223656.0663939, 1737223656.0822098, 2.3229236278533936]","[1737223729.1420698, 1737223729.154224, 2.0064842905998233]","[1737223802.0969064, 1737223802.1090436, 1.8135366296768187]","[1737223874.5190284, 1737223874.5320237, 2.354777030467987]"
"[1737223583.0890553, 1737223583.1039493, 1.1539580011367798]","[1737223656.282564, 1737223656.2980664, 2.2024954862594606]","[1737223729.3447828, 1737223729.3567433, 1.8312252988815307]","[1737223802.2730424, 1737223802.2886972, 2.3263975539207458]","[1737223874.6976736, 1737223874.713508, 2.510359083652496]"
"[1737223583.267938, 1737223583.2823966, 1.2281954895357152]","[1737223656.4676623, 1737223656.4830842, 2.071313283751033]","[1737223729.5163307, 1737223729.5316918, 2.3011191029548645]","[1737223802.4505608, 1737223802.4657252, 2.277567855834961]","[1737223874.8794692, 1737223874.8930073, 2.1308192019462586]"
"[1737223583.4439793, 1737223583.4607112, 1.723042307138443]","[1737223656.6399493, 1737223656.6562908, 2.164996715784073]","[1737223729.690969, 1737223729.7074502, 2.514734807383862]","[1737223802.6233456, 1737223802.6405625, 2.59192134976387]","[1737223875.06411, 1737223875.078322, 2.253750428676605]"
"[1737223583.6227171, 1737223583.6372428, 2.143100160360336]","[1737223656.8118212, 1737223656.828001, 2.5998349885940555]","[1737223729.8635323, 1737223729.8798742, 2.4151240208148956]","[1737223802.8017983, 1737223802.816228, 2.4502418646812436]","[1737223875.240289, 1737223875.2551913, 2.3717999185323713]"
"[1737223583.8014016, 1737223583.8154144, 2.2687925009727476]","[1737223656.9860368, 1737223657.0009515, 2.8178439164161686]","[1737223730.0374544, 1737223730.0527618, 2.6453222875595093]","[1737223802.9727983, 1737223802.9898107, 3.0980524134635923]","[1737223875.4162645, 1737223875.4316533, 2.6171762216091157]"
"[1737223583.9753504, 1737223583.9914749, 2.9494427745342255]","[1737223657.1557045, 1737223657.1726205, 3.299050039052964]","[1737223730.208573, 1737223730.2254586, 3.3759049336910247]","[1737223803.1465774, 1737223803.162944, 3.417420277833939]","[1737223875.5933247, 1737223875.6085818, 2.9760538530349727]"
"[1737223584.1512501, 1737223584.1681292, 3.4993543443679807]","[1737223657.3275206, 1737223657.345015, 3.793756803274154]","[1737223730.3831458, 1737223730.39998, 3.6367961387634278]","[1737223803.3185458, 1737223803.33544, 3.7562177660465244]","[1737223875.7691, 1737223875.7846413, 3.3795677530765533]"
"[1737223584.327404, 1737223584.3440182, 3.5568503240346905]","[1737223657.4997678, 1737223657.5169103, 3.8642700719833374]","[1737223730.5568588, 1737223730.5738695, 3.635694513320922]","[1737223803.4924984, 1737223803.508465, 3.497125399827957]","[1737223875.9443183, 1737223875.9600878, 3.4807819170951846]"
"[1737223584.5058637, 1737223584.5209987, 3.1731237349510186]","[1737223657.6752944, 1737223657.6910222, 3.4734721734523775]","[1737223730.7307081, 1737223730.7469234, 3.5508155221939086]","[1737223803.6661513, 1737223803.6827998, 3.7492158751487734]","[1737223876.1167164, 1737223876.132598, 3.527654952049255]"
