epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737464691.199339, 1737464691.200292, 0.0882594822169466]","[1737464763.1052139, 1737464763.106203, 0.17528402853012087]","[1737464836.3609684, 1737464836.3619208, 0.14913585662841797]","[1737464909.9964926, 1737464909.9974902, 0.16098154830932615]","[1737464982.619076, 1737464982.6200304, 0.16147603487968445]"
"[1737464691.3502452, 1737464691.351034, 0.078740309715271]","[1737464763.2536023, 1737464763.254354, 0.12645515298843385]","[1737464836.5117831, 1737464836.5126612, 0.1345251281261444]","[1737464910.2265618, 1737464910.2273529, 0.12225160646438597]","[1737464982.7671282, 1737464982.7679017, 0.12944354343414305]"
"[1737464691.496784, 1737464691.497531, 0.08207879996299744]","[1737464763.3982267, 1737464763.3990211, 0.1370731840133667]","[1737464836.6578457, 1737464836.6585543, 0.10922760963439941]","[1737464910.3736348, 1737464910.3744187, 0.11771190261840819]","[1737464982.9110086, 1737464982.9117935, 0.1295403079986572]"
"[1737464691.6392226, 1737464691.6399481, 0.09099027824401855]","[1737464763.5404692, 1737464763.541224, 0.12484715032577515]","[1737464836.7985663, 1737464836.7992456, 0.10685149264335632]","[1737464910.516761, 1737464910.5175211, 0.11801129722595216]","[1737464983.051667, 1737464983.05242, 0.12446843481063842]"
"[1737464691.7821574, 1737464691.7829275, 0.12659311532974243]","[1737464763.6836047, 1737464763.684373, 0.13142410469055177]","[1737464836.9425354, 1737464836.9432733, 0.1257708275318146]","[1737464910.6601691, 1737464910.6610746, 0.15517879915237429]","[1737464983.193715, 1737464983.1944573, 0.1293426775932312]"
"[1737464691.9290452, 1737464691.9297695, 0.14082072305679322]","[1737464763.8286533, 1737464763.829376, 0.14177027750015259]","[1737464837.0969226, 1737464837.0978858, 0.1905164051055908]","[1737464910.8041663, 1737464910.8049142, 0.14718748378753663]","[1737464983.3394697, 1737464983.3402243, 0.1425671052932739]"
"[1737464692.0710118, 1737464692.0717285, 0.14953873586654662]","[1737464763.9708028, 1737464763.9715042, 0.14826773643493651]","[1737464837.2413056, 1737464837.2422705, 0.2035443284511566]","[1737464910.9470034, 1737464910.9479666, 0.20332133293151855]","[1737464983.4814777, 1737464983.4822254, 0.16144818115234374]"
"[1737464692.2120063, 1737464692.2127483, 0.17740230560302733]","[1737464764.1110384, 1737464764.1117334, 0.15831798601584668]","[1737464837.3841004, 1737464837.3850288, 0.2134804573059082]","[1737464911.0884256, 1737464911.0891728, 0.17400658559799195]","[1737464983.6216953, 1737464983.6224542, 0.17468728709220885]"
"[1737464692.3549597, 1737464692.3557043, 0.18050435829162598]","[1737464764.2539713, 1737464764.2547822, 0.1977764389514923]","[1737464837.529961, 1737464837.530787, 0.19628240966796873]","[1737464911.2309182, 1737464911.231707, 0.18343264603614806]","[1737464983.7641714, 1737464983.7649257, 0.18215971660614014]"
"[1737464692.498153, 1737464692.4988754, 0.18069815397262573]","[1737464764.397752, 1737464764.39848, 0.1827147023677826]","[1737464837.6733346, 1737464837.6740794, 0.1824741086959839]","[1737464911.3766, 1737464911.3774245, 0.20021968269348145]","[1737464983.9054065, 1737464983.9063776, 0.2362324151992798]"
"[1737464692.6440806, 1737464692.6448374, 0.18591602325439452]","[1737464764.5409718, 1737464764.5417159, 0.18211136317253113]","[1737464837.8178108, 1737464837.818672, 0.20583032512664795]","[1737464911.520232, 1737464911.5210278, 0.19381757831573487]","[1737464984.0557125, 1737464984.0567157, 0.24405032348632813]"
"[1737464692.7870302, 1737464692.7877192, 0.17213064193725586]","[1737464764.6829815, 1737464764.6837666, 0.1959750418663025]","[1737464837.96195, 1737464837.9633942, 0.3515534727573395]","[1737464911.6637444, 1737464911.6645045, 0.18849717044830322]","[1737464984.2184877, 1737464984.2193851, 0.21602124881744386]"
"[1737464692.928278, 1737464692.9290051, 0.17884546518325806]","[1737464764.8275285, 1737464764.8282776, 0.1830580506324768]","[1737464838.1062, 1737464838.1070044, 0.1910781183242798]","[1737464911.8224063, 1737464911.8231635, 0.18217742156982422]","[1737464984.3659358, 1737464984.3667684, 0.20047322845458984]"
"[1737464693.0701792, 1737464693.070913, 0.1829207797050476]","[1737464764.97264, 1737464764.973387, 0.18526758933067322]","[1737464838.2490563, 1737464838.249788, 0.17798763513565063]","[1737464911.9652777, 1737464911.9660308, 0.18549833965301513]","[1737464984.5224931, 1737464984.5232422, 0.17562087488174438]"
"[1737464693.210922, 1737464693.2116382, 0.17852379035949706]","[1737464765.1293378, 1737464765.1301312, 0.19243951416015623]","[1737464838.391041, 1737464838.3918002, 0.1887601661682129]","[1737464912.1081228, 1737464912.1088595, 0.17671618223190308]","[1737464984.6651154, 1737464984.6658692, 0.18105774307250977]"
"[1737464693.3530653, 1737464693.3537867, 0.17930888843536377]","[1737464765.2752914, 1737464765.2760658, 0.19071440505981446]","[1737464838.5338452, 1737464838.5345767, 0.17700286960601808]","[1737464912.250554, 1737464912.251302, 0.18239951419830322]","[1737464984.809896, 1737464984.8109276, 0.24110702300071715]"
"[1737464693.494531, 1737464693.4952583, 0.18302054500579834]","[1737464765.4210994, 1737464765.4218745, 0.18561290979385375]","[1737464838.693023, 1737464838.6938322, 0.1982958877679619]","[1737464912.3930924, 1737464912.3940616, 0.23094194412231445]","[1737464984.9581413, 1737464984.9592423, 0.2627951412200928]"
"[1737464693.6593971, 1737464693.6601346, 0.1810121898651123]","[1737464765.5688121, 1737464765.5695949, 0.190447945356369]","[1737464838.8380153, 1737464838.8387828, 0.18336609292030334]","[1737464912.5366127, 1737464912.5373597, 0.1799133412837982]","[1737464985.1255383, 1737464985.1263337, 0.18567860984802245]"
"[1737464693.8056035, 1737464693.806374, 0.19272740709984434]","[1737464765.712547, 1737464765.7132897, 0.18097496093472423]","[1737464838.9847057, 1737464838.9854171, 0.1746957702636719]","[1737464912.681974, 1737464912.68272, 0.1796985604763031]","[1737464985.271894, 1737464985.27265, 0.1776190752983093]"
"[1737464693.9584901, 1737464693.959392, 0.2190382239818573]","[1737464765.8607516, 1737464765.861511, 0.18246965527534487]","[1737464839.127633, 1737464839.128381, 0.17822687363624573]","[1737464912.8252852, 1737464912.8261957, 0.21856135368347168]","[1737464985.4138489, 1737464985.4146533, 0.18722170829772952]"
"[1737464694.1019928, 1737464694.1027277, 0.1818843398094177]","[1737464766.0048327, 1737464766.0055628, 0.18019593286514282]","[1737464839.271459, 1737464839.272375, 0.2237312731742859]","[1737464912.9692154, 1737464912.9700568, 0.2089497847557068]","[1737464985.5554793, 1737464985.5562484, 0.1864891266822815]"
"[1737464694.245101, 1737464694.2459006, 0.19387737607955932]","[1737464766.148764, 1737464766.1495852, 0.1966226351261139]","[1737464839.4235792, 1737464839.4244423, 0.20467484474182127]","[1737464913.1161196, 1737464913.1169045, 0.1900062131881714]","[1737464985.698624, 1737464985.6994085, 0.1848475799560547]"
"[1737464694.3885288, 1737464694.3893006, 0.1882378957271576]","[1737464766.295147, 1737464766.29591, 0.18903427124023436]","[1737464839.5696318, 1737464839.5703642, 0.17675390625]","[1737464913.2593193, 1737464913.2600496, 0.1799429540634155]","[1737464985.8417532, 1737464985.8425426, 0.18909618210792542]"
"[1737464694.539488, 1737464694.5402253, 0.17909668445587157]","[1737464766.4376771, 1737464766.4384608, 0.1895028965473175]","[1737464839.714605, 1737464839.7157066, 0.2605506563186646]","[1737464913.403507, 1737464913.4042594, 0.18127926921844484]","[1737464985.9859574, 1737464985.986755, 0.18892616629600525]"
"[1737464694.6807477, 1737464694.6815, 0.18078629970550536]","[1737464766.582038, 1737464766.5828204, 0.19399330043792726]","[1737464839.8577151, 1737464839.8584218, 0.17121336078643798]","[1737464913.5483775, 1737464913.5491786, 0.1965040969848633]","[1737464986.1283972, 1737464986.1291695, 0.18394163298606875]"
"[1737464694.8218827, 1737464694.8226175, 0.18121640110015869]","[1737464766.7282462, 1737464766.7290158, 0.18633383846282958]","[1737464840.0237455, 1737464840.024446, 0.16514720201492308]","[1737464913.6911747, 1737464913.6919327, 0.18149986100196838]","[1737464986.2713466, 1737464986.2721255, 0.18730143427848817]"
"[1737464694.9624817, 1737464694.9632082, 0.17840802550315857]","[1737464766.8733962, 1737464766.8741407, 0.18404260826110838]","[1737464840.195587, 1737464840.1963415, 0.18131133629940344]","[1737464913.8337502, 1737464913.8344843, 0.17821449065208436]","[1737464986.4147165, 1737464986.41556, 0.20533590030670165]"
"[1737464695.130104, 1737464695.130861, 0.1851116418838501]","[1737464767.0170724, 1737464767.0178068, 0.17735078811645508]","[1737464840.3517194, 1737464840.3525, 0.18135817956924438]","[1737464913.9761608, 1737464913.9768796, 0.17534448233377625]","[1737464986.558266, 1737464986.5590503, 0.19045005321502687]"
"[1737464695.272358, 1737464695.2730978, 0.18012445425987245]","[1737464767.1623504, 1737464767.1631618, 0.1991973760128021]","[1737464840.5012393, 1737464840.502138, 0.20961633443832398]","[1737464914.119074, 1737464914.119824, 0.18199637174606323]","[1737464986.7008488, 1737464986.7016425, 0.1919139723777771]"
"[1737464695.4138637, 1737464695.4145904, 0.180418493270874]","[1737464767.3100946, 1737464767.31091, 0.20400770187377928]","[1737464840.647659, 1737464840.64836, 0.16238152027130126]","[1737464914.2618365, 1737464914.2625833, 0.18522264289855955]","[1737464986.8443933, 1737464986.8451293, 0.18053887510299682]"
"[1737464695.555518, 1737464695.5562596, 0.1803670678138733]","[1737464767.4592302, 1737464767.4600532, 0.20012247848510745]","[1737464840.7954857, 1737464840.7962506, 0.18066535572676426]","[1737464914.4064739, 1737464914.4072304, 0.18382321429252624]","[1737464986.986087, 1737464986.9868448, 0.1822875967025757]"
"[1737464695.7058644, 1737464695.706599, 0.1836001102529758]","[1737464767.602758, 1737464767.6035304, 0.19247634887695314]","[1737464840.93878, 1737464840.9397013, 0.21436459922790527]","[1737464914.5498378, 1737464914.550587, 0.18457275342941284]","[1737464987.1277957, 1737464987.128545, 0.18271391153335573]"
