epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737227060.5867012, 1737227060.5869238, 0.014822890758514404]","[1737227160.6667325, 1737227160.6669276, 0.0495349497795105]","[1737227260.6123633, 1737227260.6125565, 0.05221842527389526]","[1737227360.342061, 1737227360.3423243, 0.05937689208984375]","[1737227459.6168213, 1737227459.6170933, 0.07741751094974075]"
"[1737227060.789857, 1737227060.7899635, 0.01016845965385437]","[1737227160.8639817, 1737227160.864078, 0.02403269386291504]","[1737227260.81151, 1737227260.8116055, 0.02476367950439453]","[1737227360.541041, 1737227360.5411375, 0.021216251850128175]","[1737227459.8172376, 1737227459.8173757, 0.03561075067520142]"
"[1737227060.988603, 1737227060.9887216, 0.014633776187896729]","[1737227161.0634606, 1737227161.0635529, 0.02335994839668274]","[1737227261.0121362, 1737227261.0122223, 0.021172053575515746]","[1737227360.7431965, 1737227360.7433014, 0.023008947372436524]","[1737227460.0178244, 1737227460.0179589, 0.033783222198486326]"
"[1737227061.190109, 1737227061.1902015, 0.012930638313293458]","[1737227161.2651517, 1737227161.26526, 0.026803542137145996]","[1737227261.212994, 1737227261.2130897, 0.023893814086914062]","[1737227360.9428592, 1737227360.9429455, 0.018402749538421633]","[1737227460.2256858, 1737227460.2258036, 0.029163085460662843]"
"[1737227061.3917387, 1737227061.3918252, 0.018093468189239504]","[1737227161.4667397, 1737227161.4668453, 0.025938759088516235]","[1737227261.4138834, 1737227261.4139724, 0.02240078830718994]","[1737227361.1424963, 1737227361.1425676, 0.016917012214660646]","[1737227460.4286544, 1737227460.4287736, 0.030525922775268555]"
"[1737227061.590158, 1737227061.590245, 0.021913728713989257]","[1737227161.6651535, 1737227161.6652925, 0.03950310158729553]","[1737227261.611495, 1737227261.6115773, 0.02391974687576294]","[1737227361.344395, 1737227361.3444712, 0.021057815551757814]","[1737227460.629357, 1737227460.6294773, 0.03546381568908691]"
"[1737227061.7896686, 1737227061.7897506, 0.02371877861022949]","[1737227161.8649251, 1737227161.8650224, 0.031232208251953126]","[1737227261.8124762, 1737227261.8125546, 0.025181657791137693]","[1737227361.5438447, 1737227361.5439134, 0.021626380920410155]","[1737227460.8299575, 1737227460.8300726, 0.03647007536888123]"
"[1737227061.9891741, 1737227061.9892597, 0.025943530559539796]","[1737227162.0667486, 1737227162.0668495, 0.0323680465221405]","[1737227262.013261, 1737227262.0133455, 0.026127593994140625]","[1737227361.742372, 1737227361.742441, 0.02172800016403198]","[1737227461.0310385, 1737227461.031176, 0.0431403489112854]"
"[1737227062.1895416, 1737227062.189628, 0.025804655551910402]","[1737227162.2666075, 1737227162.2667146, 0.03431989026069641]","[1737227262.2141132, 1737227262.214194, 0.02591125273704529]","[1737227361.940186, 1737227361.940275, 0.028222421407699587]","[1737227461.233268, 1737227461.2334, 0.04208615493774414]"
"[1737227062.388866, 1737227062.388947, 0.023753366470336913]","[1737227162.4683423, 1737227162.4684515, 0.03501142024993897]","[1737227262.4140174, 1737227262.4140937, 0.0240863037109375]","[1737227362.13979, 1737227362.1398616, 0.022728896141052248]","[1737227461.4341516, 1737227461.434277, 0.040199589729309086]"
"[1737227062.589618, 1737227062.5896957, 0.023682875156402584]","[1737227162.6692085, 1737227162.6693082, 0.03189306163787842]","[1737227262.6157858, 1737227262.615866, 0.025716876983642577]","[1737227362.3383985, 1737227362.3384705, 0.02291073513031006]","[1737227461.635184, 1737227461.6352887, 0.033687824964523314]"
"[1737227062.7890859, 1737227062.7891657, 0.024387973546981814]","[1737227162.868791, 1737227162.8688912, 0.03197987079620362]","[1737227262.8166447, 1737227262.816725, 0.02575830364227295]","[1737227362.538135, 1737227362.5382211, 0.027201452732086177]","[1737227461.8361104, 1737227461.8362405, 0.041939367771148685]"
"[1737227062.9885378, 1737227062.9886553, 0.035863091707229615]","[1737227163.068411, 1737227163.0685112, 0.03200270175933838]","[1737227263.0183325, 1737227263.0184119, 0.02544565987586975]","[1737227362.736747, 1737227362.7368848, 0.04346716260910034]","[1737227462.0376778, 1737227462.0377676, 0.02888757610321045]"
"[1737227063.187028, 1737227063.1871095, 0.024914125442504882]","[1737227163.270096, 1737227163.2701926, 0.030919228792190553]","[1737227263.2192137, 1737227263.2192967, 0.0265724458694458]","[1737227362.937589, 1737227362.9376762, 0.027559617519378663]","[1737227462.2375968, 1737227462.237693, 0.031025606155395506]"
"[1737227063.3885658, 1737227063.388645, 0.02418152618408203]","[1737227163.469981, 1737227163.470176, 0.06125915670394898]","[1737227263.4209101, 1737227263.420989, 0.025194187402725218]","[1737227363.1370633, 1737227363.1371305, 0.021384727478027346]","[1737227462.4381893, 1737227462.4382718, 0.026138677597045898]"
"[1737227063.5868669, 1737227063.5869465, 0.024307927131652834]","[1737227163.6717923, 1737227163.671888, 0.03008235311508179]","[1737227263.6205795, 1737227263.620659, 0.025478435039520263]","[1737227363.3369315, 1737227363.3370006, 0.022045869827270505]","[1737227462.6377392, 1737227462.637834, 0.030704129219055177]"
"[1737227063.7886782, 1737227063.7888057, 0.03901058673858643]","[1737227163.8737276, 1737227163.8738425, 0.03529457521438599]","[1737227263.8233972, 1737227263.8234813, 0.02644236207008362]","[1737227363.5366328, 1737227363.5367036, 0.022603574037551883]","[1737227462.8387356, 1737227462.8388255, 0.029090443849563597]"
"[1737227063.9887924, 1737227063.9888716, 0.02318243217468262]","[1737227164.0751827, 1737227164.0752852, 0.0314161229133606]","[1737227264.024163, 1737227264.0242455, 0.02640257215499878]","[1737227363.737423, 1737227363.7375002, 0.02467265796661377]","[1737227463.0374517, 1737227463.0375454, 0.029594512859733708]"
"[1737227064.1892953, 1737227064.1893756, 0.0245325288772583]","[1737227164.2749486, 1737227164.2750485, 0.03134869837760926]","[1737227264.2270315, 1737227264.2271113, 0.0250596821308136]","[1737227363.936075, 1737227363.9361818, 0.03411154174804688]","[1737227463.2393966, 1737227463.239492, 0.030824756622314452]"
"[1737227064.3887799, 1737227064.3888578, 0.023798947334289552]","[1737227164.5309417, 1737227164.5310192, 0.023604416847229002]","[1737227264.42681, 1737227264.4268923, 0.026316311359405518]","[1737227364.1366959, 1737227364.1367915, 0.03048555064201355]","[1737227463.4401987, 1737227463.4402905, 0.029587134122848514]"
"[1737227064.589252, 1737227064.5893335, 0.02490336227416992]","[1737227164.8085113, 1737227164.808595, 0.025517122507095334]","[1737227264.6286962, 1737227264.6287792, 0.026552118301391602]","[1737227364.3363085, 1737227364.3363788, 0.02215117812156677]","[1737227463.6399293, 1737227463.6400208, 0.029430450439453124]"
"[1737227064.7886724, 1737227064.788752, 0.024324012756347657]","[1737227165.0073826, 1737227165.0074623, 0.02285050582885742]","[1737227264.8293374, 1737227264.8294318, 0.03007389736175537]","[1737227364.5365927, 1737227364.536671, 0.0246390380859375]","[1737227463.8406768, 1737227463.8407598, 0.026680970191955564]"
"[1737227064.9890482, 1737227064.9891305, 0.0246343731880188]","[1737227165.2089684, 1737227165.2090502, 0.02403442859649658]","[1737227265.030764, 1737227265.0308514, 0.02740141296386719]","[1737227364.737321, 1737227364.7373977, 0.02453601884841919]","[1737227464.0422192, 1737227464.0423088, 0.028861331939697265]"
"[1737227065.1885455, 1737227065.1886268, 0.024859081983566282]","[1737227165.4097438, 1737227165.4098272, 0.0244610071182251]","[1737227265.2353234, 1737227265.2354038, 0.025146541118621826]","[1737227364.937978, 1737227364.938082, 0.03316353607177734]","[1737227464.2431328, 1737227464.243264, 0.04220911264419556]"
"[1737227065.3898735, 1737227065.3899627, 0.027180535316467285]","[1737227165.6094387, 1737227165.60952, 0.02402672505378723]","[1737227265.435931, 1737227265.4360101, 0.025371621131896973]","[1737227365.143227, 1737227365.1433096, 0.026347961902618407]","[1737227464.4449537, 1737227464.4450486, 0.030086676120758056]"
"[1737227065.589337, 1737227065.5894191, 0.024666473388671877]","[1737227165.8103313, 1737227165.8104231, 0.027138880491256713]","[1737227265.6365955, 1737227265.636678, 0.025931868076324464]","[1737227365.3436215, 1737227365.3436923, 0.022490135908126832]","[1737227464.6449327, 1737227464.6450303, 0.03142587113380432]"
"[1737227065.7898214, 1737227065.7898986, 0.02312894153594971]","[1737227166.0101216, 1737227166.0102096, 0.02763375663757324]","[1737227265.8383925, 1737227265.8384755, 0.025565360069274904]","[1737227365.5432127, 1737227365.5432825, 0.02220051121711731]","[1737227464.8470173, 1737227464.847135, 0.03788849067687988]"
"[1737227065.9902697, 1737227065.9903505, 0.02472419214248657]","[1737227166.2125137, 1737227166.2126, 0.027135776519775393]","[1737227266.0382552, 1737227266.0383337, 0.024175825357437133]","[1737227365.7428172, 1737227365.7428858, 0.021611755371093753]","[1737227465.0502257, 1737227465.0504076, 0.05842984867095948]"
"[1737227066.1917691, 1737227066.1918516, 0.02524495029449463]","[1737227166.4122097, 1737227166.4122977, 0.027527832984924314]","[1737227266.239118, 1737227266.2391973, 0.02442825222015381]","[1737227365.940873, 1737227365.9409423, 0.02190195608139038]","[1737227465.2542593, 1737227465.2543697, 0.035261948347091676]"
"[1737227066.3920958, 1737227066.392177, 0.02389574956893921]","[1737227166.6141067, 1737227166.6141882, 0.025520124435424806]","[1737227266.4377964, 1737227266.4378786, 0.025955625772476197]","[1737227366.1416707, 1737227366.141745, 0.02366468238830566]","[1737227465.4559965, 1737227465.4561005, 0.033229752540588374]"
"[1737227066.5925982, 1737227066.5926776, 0.023324427366256714]","[1737227166.8127472, 1737227166.8128362, 0.02783868789672852]","[1737227266.6386466, 1737227266.6387255, 0.02541704773902893]","[1737227366.340143, 1737227366.3402185, 0.024097207069396973]","[1737227465.6566057, 1737227465.6567483, 0.044006558895111084]"
"[1737227066.792984, 1737227066.7930653, 0.024884773015975956]","[1737227167.0146575, 1737227167.0147367, 0.024745505332946775]","[1737227266.837235, 1737227266.8373165, 0.026296540260314943]","[1737227366.5419512, 1737227366.5420213, 0.022354296684265137]","[1737227465.8565161, 1737227465.856647, 0.04204938340187073]"
