epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737227567.0919976, 1737227567.094203, 0.1986246109008789]","[1737227755.0780869, 1737227755.0802827, 0.5454432463645935]","[1737227942.8956718, 1737227942.8979821, 0.5789505529403687]","[1737228130.4040318, 1737228130.4062421, 0.5773553233146668]","[1737228317.8304124, 1737228317.832569, 0.5802354526519775]"
"[1737227567.4754202, 1737227567.4774163, 0.31932653427124025]","[1737227755.5024455, 1737227755.5043476, 0.3988254375457764]","[1737227943.2788305, 1737227943.2807848, 0.4378139324188232]","[1737228130.7867563, 1737228130.788685, 0.4568609189987183]","[1737228318.2141764, 1737228318.2160726, 0.4628636655807495]"
"[1737227567.8544044, 1737227567.8563042, 0.42610132598876954]","[1737227755.887504, 1737227755.8893988, 0.4675240859985352]","[1737227943.6622477, 1737227943.664485, 0.5902542228698731]","[1737228131.1669865, 1737228131.1689115, 0.4766298470497132]","[1737228318.5994759, 1737228318.6013799, 0.5292978587150573]"
"[1737227568.2406273, 1737227568.2425666, 0.5277621493339539]","[1737227756.255296, 1737227756.257185, 0.5050669198036195]","[1737227944.043029, 1737227944.0450668, 0.5574852511882782]","[1737228131.5460749, 1737228131.5479984, 0.5302950172424317]","[1737228318.9797306, 1737228318.9816358, 0.5251444022655487]"
"[1737227568.6226776, 1737227568.624592, 0.516766073690092]","[1737227756.6633747, 1737227756.665248, 0.5181965967837736]","[1737227944.4283707, 1737227944.4302943, 0.5284666556494702]","[1737228131.9312809, 1737228131.9331918, 0.5293090021610259]","[1737228319.3633, 1737228319.3652718, 0.543018057346344]"
"[1737227569.0119324, 1737227569.0138485, 0.5121271233558655]","[1737227757.0704312, 1737227757.0723238, 0.5166252822875976]","[1737227944.8156247, 1737227944.8175347, 0.523895560503006]","[1737228132.3113909, 1737228132.3132765, 0.5222107293605806]","[1737228319.7436705, 1737228319.7455916, 0.5297837448120117]"
"[1737227569.3899016, 1737227569.391828, 0.5141485786437987]","[1737227757.4518154, 1737227757.4537055, 0.4977058429718017]","[1737227945.2334838, 1737227945.2354069, 0.5116788749694825]","[1737228132.6750546, 1737228132.676931, 0.5247674894332885]","[1737228320.1271284, 1737228320.1291788, 0.5614686064736654]"
"[1737227569.766824, 1737227569.7687397, 0.5139268684387207]","[1737227757.8394463, 1737227757.8413882, 0.538935045003891]","[1737227945.6146543, 1737227945.6166332, 0.5578466176986694]","[1737228133.081872, 1737228133.0837457, 0.5134811587333679]","[1737228320.5065303, 1737228320.5084429, 0.5276559519767761]"
"[1737227570.1468742, 1737227570.1487737, 0.5157755243778229]","[1737227758.2210176, 1737227758.2229242, 0.5215729067325592]","[1737227946.0000231, 1737227946.0019226, 0.5250126996040344]","[1737228133.4669724, 1737228133.4688704, 0.5185853052139282]","[1737228320.8887718, 1737228320.890662, 0.5223254699707032]"
"[1737227570.5272417, 1737227570.5293083, 0.5689755496978759]","[1737227758.606399, 1737227758.6082964, 0.5170351858139037]","[1737227946.387358, 1737227946.3892744, 0.5380712078595506]","[1737228133.8512454, 1737228133.8531382, 0.5329798455238343]","[1737228321.270002, 1737228321.2719584, 0.5443349227905273]"
"[1737227570.9065456, 1737227570.9084325, 0.5129632430076599]","[1737227758.9918973, 1737227758.9937892, 0.5199810397624969]","[1737227946.771562, 1737227946.773458, 0.5362092018127441]","[1737228134.236438, 1737228134.2383156, 0.5193349421024323]","[1737228321.6524386, 1737228321.6544175, 0.548387598991394]"
"[1737227571.2879431, 1737227571.289831, 0.5143589663505553]","[1737227759.3755236, 1737227759.3774292, 0.5204506552219391]","[1737227947.1506875, 1737227947.1525905, 0.5218296747207642]","[1737228134.6187286, 1737228134.6205976, 0.5120006110668183]","[1737228322.033739, 1737228322.035698, 0.5393038921356201]"
"[1737227571.6719897, 1737227571.6738715, 0.527661686182022]","[1737227759.7630312, 1737227759.7649817, 0.5324071834087372]","[1737227947.5318208, 1737227947.53372, 0.5236724095344543]","[1737228135.000084, 1737228135.001978, 0.5190934925079345]","[1737228322.415971, 1737228322.4179265, 0.5375518755912781]"
"[1737227572.056054, 1737227572.0579212, 0.5029344470500946]","[1737227760.1425123, 1737227760.1444938, 0.5414310317752533]","[1737227947.9140086, 1737227947.9158943, 0.5216676614284516]","[1737228135.38223, 1737228135.3841174, 0.5154482545852661]","[1737228322.8024414, 1737228322.8044171, 0.5335559995174407]"
"[1737227572.4380941, 1737227572.4399927, 0.5109259297847748]","[1737227760.5240633, 1737227760.5260339, 0.5397438097000122]","[1737227948.2961981, 1737227948.298157, 0.5427612571716308]","[1737228135.763474, 1737228135.765395, 0.5283214762210846]","[1737228323.183692, 1737228323.1856048, 0.528381655216217]"
"[1737227572.820499, 1737227572.8223667, 0.5035847215652466]","[1737227760.9076204, 1737227760.9097273, 0.5800246212482453]","[1737227948.6797223, 1737227948.6816409, 0.5296763913631439]","[1737228136.1437845, 1737228136.1457086, 0.5315481877326965]","[1737228323.5670629, 1737228323.5689502, 0.5195739393234253]"
"[1737227573.2035098, 1737227573.2054105, 0.5110852441787719]","[1737227761.296878, 1737227761.2987764, 0.503905067994697]","[1737227949.0670278, 1737227949.0689187, 0.5160089781284333]","[1737228136.5322037, 1737228136.5340958, 0.5219064941406251]","[1737228323.9482322, 1737228323.9501266, 0.5247768840789795]"
"[1737227573.5846653, 1737227573.5865304, 0.5004697134494781]","[1737227761.6784303, 1737227761.6803386, 0.5208711147308349]","[1737227949.4503963, 1737227949.4522805, 0.5135673251152039]","[1737228136.919611, 1737228136.9215138, 0.5208966135978699]","[1737228324.3316345, 1737228324.333685, 0.5643397331237792]"
"[1737227573.9658058, 1737227573.9676852, 0.5044228086471557]","[1737227762.0609248, 1737227762.062821, 0.518500292301178]","[1737227949.8316703, 1737227949.8335793, 0.5271732909679413]","[1737228137.299916, 1737228137.3018034, 0.5139214115142823]","[1737228324.7205906, 1737228324.722576, 0.543810572385788]"
"[1737227574.3470218, 1737227574.3489196, 0.5127697944641113]","[1737227762.4421697, 1737227762.444109, 0.5370436234474183]","[1737227950.2148743, 1737227950.216794, 0.5365172853469848]","[1737228137.6819654, 1737228137.6838446, 0.5140724835395813]","[1737228325.1071827, 1737228325.1091373, 0.5406926002502441]"
"[1737227574.7262886, 1737227574.728204, 0.5282958598136902]","[1737227762.8235435, 1737227762.8254695, 0.5327549839019776]","[1737227950.59502, 1737227950.596958, 0.5341263122558593]","[1737228138.0631394, 1737228138.0650167, 0.5227682967185974]","[1737228325.492637, 1737228325.4945576, 0.5238440551757813]"
"[1737227575.1113994, 1737227575.113325, 0.5224981918334961]","[1737227763.2111042, 1737227763.2130294, 0.5296461820602417]","[1737227950.9782257, 1737227950.980151, 0.5302044987678528]","[1737228138.447191, 1737228138.4490848, 0.520577243089676]","[1737228325.873932, 1737228325.87595, 0.5550510323047638]"
"[1737227575.4968433, 1737227575.4987464, 0.5130185203552247]","[1737227763.5914497, 1737227763.5933383, 0.519307237148285]","[1737227951.3604727, 1737227951.3623948, 0.5281745748519897]","[1737228138.8281996, 1737228138.8300908, 0.5242229461669922]","[1737228326.2604501, 1737228326.2623703, 0.5290330228805541]"
"[1737227575.8829894, 1737227575.8849294, 0.5374240581989288]","[1737227763.971652, 1737227763.9735363, 0.5188921365737915]","[1737227951.7466176, 1737227951.748537, 0.5240487127304078]","[1737228139.211464, 1737228139.213347, 0.5201945524215699]","[1737228326.6439526, 1737228326.645844, 0.51964381980896]"
"[1737227576.2666368, 1737227576.2686155, 0.5276922714710236]","[1737227764.356113, 1737227764.357987, 0.5186361980438232]","[1737227952.1277506, 1737227952.129664, 0.5250771570972992]","[1737228139.5925844, 1737228139.5944617, 0.5159273867607116]","[1737228327.0312455, 1737228327.0331342, 0.5168040952682496]"
"[1737227576.65181, 1737227576.653817, 0.5352970247268677]","[1737227764.7383285, 1737227764.7402642, 0.5355093178749084]","[1737227952.5067415, 1737227952.5086596, 0.5249432778358459]","[1737228139.9748788, 1737228139.976858, 0.5436048438549042]","[1737228327.414523, 1737228327.4164243, 0.5519216477870942]"
"[1737227577.0360746, 1737227577.0380182, 0.5283566932678223]","[1737227765.123583, 1737227765.1254935, 0.5244982352256775]","[1737227952.8919635, 1737227952.8938801, 0.5272446615695953]","[1737228140.3584018, 1737228140.3603504, 0.5245871183872224]","[1737228327.7968812, 1737228327.7987647, 0.5171827077865601]"
