epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737222141.276466, 1737222141.278813, 0.2532404899597168]","[1737222312.297119, 1737222312.2993617, 0.4810185680389405]","[1737222483.4540548, 1737222483.4564176, 0.527594826221466]","[1737222656.609724, 1737222656.612008, 0.5216039276123047]","[1737222829.0168862, 1737222829.0191526, 0.5234856262207032]"
"[1737222141.7475853, 1737222141.7496614, 0.41893572330474854]","[1737222312.675225, 1737222312.677386, 0.4572925510406494]","[1737222483.834885, 1737222483.8370593, 0.5070256805419922]","[1737222656.9922707, 1737222656.9944732, 0.5391746520996095]","[1737222829.3984506, 1737222829.4005613, 0.4642337973117828]"
"[1737222142.1300268, 1737222142.132256, 0.6447019815444947]","[1737222313.059368, 1737222313.0613892, 0.5942558312416077]","[1737222484.2215002, 1737222484.22353, 0.626283745765686]","[1737222657.4622746, 1737222657.4643197, 0.5935733919143676]","[1737222829.8188577, 1737222829.820936, 0.592145663022995]"
"[1737222142.5469482, 1737222142.5490348, 0.6188033485412598]","[1737222313.5331514, 1737222313.5351367, 0.6055061128139495]","[1737222484.6432543, 1737222484.6454384, 0.6843823766708373]","[1737222657.8741913, 1737222657.8761926, 0.6260061235427857]","[1737222830.2815483, 1737222830.2836041, 0.6143185210227966]"
"[1737222142.9297314, 1737222142.9317806, 0.6025367331504821]","[1737222313.9443555, 1737222313.946348, 0.6007538177967071]","[1737222485.028576, 1737222485.0306702, 0.6625261230468749]","[1737222658.2915308, 1737222658.2935297, 0.6204989624023438]","[1737222830.751125, 1737222830.7532184, 0.6237642259012792]"
"[1737222143.342275, 1737222143.3444514, 0.6254848866462708]","[1737222314.363936, 1737222314.3659496, 0.5972282671928406]","[1737222485.4979339, 1737222485.499986, 0.6159538491296292]","[1737222658.6919537, 1737222658.6941292, 0.6799720823764801]","[1737222831.2136002, 1737222831.2156594, 0.614906121969223]"
"[1737222143.7242227, 1737222143.7262435, 0.6154192953109741]","[1737222314.7844486, 1737222314.7864769, 0.5964264729022979]","[1737222485.8993244, 1737222485.901443, 0.6417785133756017]","[1737222659.1125956, 1737222659.1146562, 0.6342521324157715]","[1737222831.6371415, 1737222831.639281, 0.6566677532196046]"
"[1737222144.1383588, 1737222144.1405034, 0.6471598553657533]","[1737222315.2029881, 1737222315.2050464, 0.6434453237056732]","[1737222486.319831, 1737222486.3218844, 0.6441724383831025]","[1737222659.5555172, 1737222659.5577526, 0.6621470947265626]","[1737222832.1019983, 1737222832.1040165, 0.6250789964199066]"
"[1737222144.547938, 1737222144.5499632, 0.5878398089408875]","[1737222315.6178982, 1737222315.619942, 0.6504151821136475]","[1737222486.706278, 1737222486.7084699, 0.6664310424327851]","[1737222659.97802, 1737222659.9800227, 0.6246591567993165]","[1737222832.527546, 1737222832.5297067, 0.6708575599193572]"
"[1737222144.9614456, 1737222144.9634345, 0.5632470545768737]","[1737222316.0002077, 1737222316.0022182, 0.6293750817775726]","[1737222487.174944, 1737222487.1770244, 0.6334982995986939]","[1737222660.3899062, 1737222660.3919175, 0.6233297595977783]","[1737222832.9393756, 1737222832.9414127, 0.6275575561523438]"
