epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737228512.5705914, 1737228512.9079096, 33.37257712340356]","[1737228740.845465, 1737228741.1725178, 87.93986213588715]","[1737228965.9836807, 1737228966.3119547, 90.01519593048097]","[1737229208.2432265, 1737229208.5806139, 92.6695308992862]","[1737229438.9973469, 1737229439.3235803, 90.71553507041918]"
"[1737228513.0418296, 1737228513.3724244, 60.37211710309984]","[1737228741.3067489, 1737228741.6364307, 79.62834338152405]","[1737228966.4463186, 1737228966.7759542, 80.96069835805893]","[1737229208.7160604, 1737229209.0442986, 79.71745494639865]","[1737229439.50236, 1737229439.832317, 78.16530003654955]"
"[1737228513.5091152, 1737228513.8359926, 83.55790742516525]","[1737228741.7744117, 1737228742.1040473, 92.98290194869035]","[1737228966.9119308, 1737228967.1919618, 79.76507799172398]","[1737229209.1833797, 1737229209.5121086, 91.69284006035325]","[1737229439.9693873, 1737229440.296466, 90.45406977069376]"
"[1737228513.9696367, 1737228514.2962384, 90.91755075037489]","[1737228742.2355006, 1737228742.563611, 94.10501881313341]","[1737228967.439406, 1737228967.763235, 89.75314595282067]","[1737229209.6448708, 1737229209.9717414, 93.25304162275788]","[1737229440.4294193, 1737229440.760145, 96.38102170705797]"
"[1737228514.481586, 1737228514.8072028, 89.14682985723022]","[1737228742.6962576, 1737228743.0314436, 97.29182005941871]","[1737228967.9467525, 1737228968.271932, 88.25893458569053]","[1737229210.1055164, 1737229210.4364424, 96.16848968815805]","[1737229440.8930259, 1737229441.219969, 95.07020954561234]"
"[1737228514.941182, 1737228515.2674456, 88.94177145278456]","[1737228743.1641808, 1737228743.4921613, 93.89753621149073]","[1737228968.406852, 1737228968.6804879, 76.90775725424288]","[1737229210.621959, 1737229210.9474587, 91.43233551287655]","[1737229441.3559895, 1737229441.683144, 94.19318034005164]"
"[1737228515.4024348, 1737228515.7320008, 90.6151919016838]","[1737228743.6278894, 1737228743.9556813, 93.95675873649112]","[1737228968.932039, 1737228969.2560482, 89.74110744786263]","[1737229211.080442, 1737229211.407016, 91.78346064877506]","[1737229441.817392, 1737229442.147534, 96.04623055934901]"
"[1737228515.8656273, 1737228516.195785, 91.33182278537753]","[1737228744.086134, 1737228744.4165268, 95.61758665680891]","[1737228969.438387, 1737228969.7646043, 88.68818671655657]","[1737229211.538821, 1737229211.8682332, 95.63004250657556]","[1737229442.280483, 1737229442.6086395, 94.70996259295947]"
"[1737228516.3304594, 1737228516.6601825, 90.76919700133797]","[1737228744.5489864, 1737228744.8764443, 93.46645475280283]","[1737228969.8982995, 1737228970.1731036, 76.41358753454689]","[1737229212.0007484, 1737229212.3355658, 98.29345740985876]","[1737229442.7436042, 1737229443.0712564, 94.30447406339653]"
"[1737228516.7940025, 1737228517.127794, 93.3172977385521]","[1737228745.00786, 1737228745.3360448, 96.08949790179739]","[1737228970.423977, 1737228970.7481964, 89.22493153727055]","[1737229212.4671834, 1737229212.7993307, 97.27239591491224]","[1737229443.2050653, 1737229443.5323765, 94.33334521985051]"
"[1737228517.2615588, 1737228517.5880136, 90.82086727714545]","[1737228745.4707768, 1737228745.800125, 95.75041648721697]","[1737228970.9306166, 1737228971.2560773, 88.14134195848179]","[1737229212.9321272, 1737229213.2601879, 94.74697131633764]","[1737229443.6667018, 1737229443.9961107, 94.88803707718846]"
"[1737228517.7227037, 1737228518.0565248, 93.52419850993164]","[1737228745.932575, 1737228746.2589746, 94.45383940899369]","[1737228971.3897943, 1737228971.668535, 78.9038919937611]","[1737229213.392823, 1737229213.719439, 94.69652530395987]","[1737229444.1312559, 1737229444.460224, 94.62573446869848]"
"[1737228518.19234, 1737228518.519935, 90.63480387163155]","[1737228746.3914256, 1737228746.720189, 94.92365417313582]","[1737228971.9194503, 1737228972.2444744, 91.02042362928388]","[1737229213.9020278, 1737229214.228222, 92.21368615508078]","[1737229444.5952716, 1737229444.924576, 93.77305746805666]"
"[1737228518.6981578, 1737228519.0233984, 87.89518314206605]","[1737228746.8526294, 1737228747.1805847, 94.29881958413122]","[1737228972.4259076, 1737228972.7520823, 88.81117480874063]","[1737229214.3618984, 1737229214.6884396, 91.68699968492984]","[1737229445.0583665, 1737229445.387601, 95.38002405369285]"
