epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737463135.7423544, 1737463135.845267, 7.972383178234102]","[1737463348.2035034, 1737463348.3010616, 21.523871172428134]","[1737463559.2093346, 1737463559.306952, 23.174331455469126]","[1737463769.5248237, 1737463769.622516, 21.040570990800852]","[1737463983.496572, 1737463983.5938861, 21.326786018490775]"
"[1737463136.0964582, 1737463136.2676334, 23.480128975391402]","[1737463348.5453243, 1737463348.7267516, 37.51181667733192]","[1737463559.5515525, 1737463559.7382689, 40.64523118257526]","[1737463769.868852, 1737463770.050233, 35.088244184255586]","[1737463983.8400474, 1737463984.028383, 38.453926987052014]"
"[1737463136.5172992, 1737463136.687451, 38.14747531819343]","[1737463348.9775648, 1737463349.1746655, 48.45227027976516]","[1737463559.9877899, 1737463560.1635516, 45.91725438642503]","[1737463770.3010511, 1737463770.4950106, 49.60535974860189]","[1737463984.2891898, 1737463984.5029724, 53.870765873432156]"
"[1737463136.9341335, 1737463137.1086638, 49.8217819415331]","[1737463349.420747, 1737463349.6006422, 54.239762059688594]","[1737463560.4348192, 1737463560.6085365, 50.91618204736711]","[1737463770.7396626, 1737463770.9142754, 52.61474159228803]","[1737463984.762251, 1737463984.9204419, 45.18044159185889]"
"[1737463137.3596063, 1737463137.5320086, 50.880971556901905]","[1737463349.8482459, 1737463350.0181174, 51.94793300604822]","[1737463560.8572931, 1737463561.0001934, 43.33099560844899]","[1737463771.1645467, 1737463771.3627627, 59.938476097822175]","[1737463985.1689942, 1737463985.3650744, 56.74959448695182]"
"[1737463137.7802167, 1737463137.952599, 49.551630504608156]","[1737463350.2674668, 1737463350.4421146, 53.43968053019047]","[1737463561.2469516, 1737463561.4220984, 54.202001961469655]","[1737463771.6104236, 1737463771.8023326, 58.350018463492404]","[1737463985.6182077, 1737463985.8111408, 57.441876432895654]"
"[1737463138.2040997, 1737463138.3717368, 48.6690678408146]","[1737463350.6898005, 1737463350.8869588, 58.79156389069558]","[1737463561.671531, 1737463561.8708289, 62.69579740488529]","[1737463772.04865, 1737463772.2286446, 54.23548294759511]","[1737463986.0594263, 1737463986.2576041, 56.606225988626484]"
"[1737463138.620376, 1737463138.8162942, 57.06753660392767]","[1737463351.1329832, 1737463351.317848, 55.37521458041668]","[1737463562.1171, 1737463562.2958899, 54.52622048819068]","[1737463772.4790232, 1737463772.676744, 59.62309989356992]","[1737463986.5019753, 1737463986.6037192, 30.643228918910008]"
"[1737463139.0650632, 1737463139.2012415, 40.074534770250345]","[1737463351.5666895, 1737463351.765902, 59.646772994875924]","[1737463562.5439637, 1737463562.7421477, 57.95730656266211]","[1737463772.9257967, 1737463773.1501615, 64.66000373530389]","[1737463986.8540125, 1737463987.0532594, 62.06582038974759]"
"[1737463139.4498613, 1737463139.6232324, 49.04864340686793]","[1737463352.0130124, 1737463352.1860056, 52.239323885321625]","[1737463562.9890537, 1737463563.158488, 50.8838551325798]","[1737463773.3961356, 1737463773.569653, 50.44111281502247]","[1737463987.3009164, 1737463987.478329, 56.23452763080596]"
"[1737463139.8718321, 1737463140.0939968, 65.2490269423724]","[1737463352.4344573, 1737463352.6347642, 60.727907400608075]","[1737463563.4074368, 1737463563.6067562, 59.33879088640216]","[1737463773.8189633, 1737463773.9943018, 51.754395411968254]","[1737463987.745184, 1737463987.924395, 52.22687858796121]"
"[1737463140.3483553, 1737463140.546377, 54.940262367725374]","[1737463352.8830466, 1737463353.0657425, 55.36959723722936]","[1737463563.8526, 1737463564.0400817, 56.651630245566395]","[1737463774.2427976, 1737463774.385361, 43.90868166422844]","[1737463988.1729443, 1737463988.3170502, 42.431807048439985]"
