epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736808019.6450338, 1736808019.650004, 0.3529696640968323]","[1736808226.5970469, 1736808226.6019123, 1.1721108314990998]","[1736808437.9156451, 1736808437.9222217, 1.467021774291992]","[1736808649.4712355, 1736808649.4778016, 1.6490825700759886]","[1736808862.4432082, 1736808862.4489532, 1.3769458007812498]"
"[1736808019.9820528, 1736808019.9963317, 1.3749855875968935]","[1736808226.929975, 1736808226.944347, 3.2746597671508786]","[1736808438.2486608, 1736808438.2645352, 3.359655017852783]","[1736808649.8025334, 1736808649.8173304, 3.1388669316768643]","[1736808862.776387, 1736808862.7908664, 3.146518137454987]"
"[1736808020.4466155, 1736808020.4611845, 3.0661718859672544]","[1736808227.3483763, 1736808227.3630998, 3.4299957275390622]","[1736808438.7031305, 1736808438.718088, 3.3852997169494627]","[1736808650.2300007, 1736808650.2448654, 3.7023466324806216]","[1736808863.1961308, 1736808863.2104225, 3.435882816314697]"
"[1736808020.875437, 1736808020.8904133, 4.259324091672897]","[1736808227.77473, 1736808227.788901, 4.308205770015716]","[1736808439.0805564, 1736808439.0959444, 4.764904316425324]","[1736808650.6629505, 1736808650.6779013, 4.729535920143128]","[1736808863.6355703, 1736808863.6503239, 4.551641748189926]"
"[1736808021.3061924, 1736808021.3205972, 4.393326339244843]","[1736808228.1945088, 1736808228.2087348, 4.303395510673522]","[1736808439.5194097, 1736808439.5343785, 4.822192199707031]","[1736808651.0964658, 1736808651.1114924, 4.700386030673981]","[1736808864.0667548, 1736808864.0816617, 4.530529767990112]"
"[1736808021.7431355, 1736808021.7579286, 4.488258802175522]","[1736808228.5803914, 1736808228.5947342, 4.412586761474609]","[1736808439.9627554, 1736808439.9777865, 4.659640789031982]","[1736808651.5562549, 1736808651.5711977, 4.472061628103256]","[1736808864.515701, 1736808864.5301604, 4.25326752448082]"
"[1736808022.1772025, 1736808022.1923175, 4.4977017176151275]","[1736808229.0164547, 1736808229.0311067, 4.603108110666275]","[1736808440.3429365, 1736808440.3578205, 4.683934080243111]","[1736808652.0032432, 1736808652.017755, 4.430071538686753]","[1736808864.947024, 1736808864.9617965, 4.493832755088807]"
"[1736808022.606872, 1736808022.6210363, 4.112606517791748]","[1736808229.4509294, 1736808229.4652853, 4.395560599565506]","[1736808440.7792242, 1736808440.79428, 4.753492290258408]","[1736808652.4380295, 1736808652.4524703, 4.363222378253937]","[1736808865.3919678, 1736808865.4064822, 4.333128271579742]"
"[1736808022.9947731, 1736808023.0088115, 4.385277724027634]","[1736808229.8840957, 1736808229.8984025, 4.31419631075859]","[1736808441.163055, 1736808441.1781456, 4.633173637390136]","[1736808652.8727503, 1736808652.887339, 4.51572520017624]","[1736808865.836526, 1736808865.8516946, 4.563766454696655]"
"[1736808023.4609685, 1736808023.4758322, 4.51870753455162]","[1736808230.3245578, 1736808230.3388085, 4.169343481063843]","[1736808441.5987844, 1736808441.6136365, 4.7400010852813725]","[1736808653.3127983, 1736808653.3274794, 4.551155943155289]","[1736808866.2467873, 1736808866.2613237, 4.507470021247864]"
