epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622533.3650491, 1743622533.3905182, 1.0073524475097655]","[1743622590.9467747, 1743622590.9718876, 3.4229978113174444]","[1743622648.4450812, 1743622648.4686754, 3.4699195353984833]","[1743622707.6997411, 1743622707.7235665, 2.75788616514206]","[1743622766.449501, 1743622766.474664, 3.1899807913303375]"
"[1743622533.5022504, 1743622533.5267546, 0.994379816055298]","[1743622591.0821948, 1743622591.105714, 3.1890494039058686]","[1743622648.583332, 1743622648.6070254, 3.0649445874691015]","[1743622707.8399093, 1743622707.8632193, 2.341973590612411]","[1743622766.5951507, 1743622766.6187103, 2.743559360742569]"
"[1743622533.6350381, 1743622533.658382, 1.8246152098178863]","[1743622591.214727, 1743622591.238371, 3.153727359771729]","[1743622648.735288, 1743622648.7587974, 2.9155074319839476]","[1743622707.978588, 1743622708.0022154, 2.5044918060302734]","[1743622766.734683, 1743622766.7583113, 2.841767807006835]"
"[1743622533.7669451, 1743622533.7902184, 2.342892750501633]","[1743622591.3469255, 1743622591.3704145, 2.9052602577209474]","[1743622648.870605, 1743622648.8940742, 3.340724650621414]","[1743622708.1188028, 1743622708.1434634, 3.1379069440364837]","[1743622766.8726013, 1743622766.8962073, 3.2383267884254456]"
"[1743622533.9014974, 1743622533.9246817, 2.813901610851288]","[1743622591.479889, 1743622591.5033371, 3.4331585720397033]","[1743622649.0077949, 1743622649.0313566, 3.7076009571552277]","[1743622708.2609673, 1743622708.2845337, 4.023882954120636]","[1743622767.0096045, 1743622767.0329702, 3.718459398269654]"
"[1743622534.031921, 1743622534.0550373, 3.336914496660232]","[1743622591.6100867, 1743622591.6335719, 3.9140505313873293]","[1743622649.150701, 1743622649.1741707, 3.947527402196763]","[1743622708.3981698, 1743622708.421682, 4.380238353967666]","[1743622767.1504514, 1743622767.1740575, 4.673716990470886]"
"[1743622534.162842, 1743622534.1860929, 4.451159897089005]","[1743622591.7404282, 1743622591.7636008, 4.7336558470726]","[1743622649.2866786, 1743622649.3102381, 4.814770821809768]","[1743622708.5348344, 1743622708.5582726, 4.349687425374985]","[1743622767.2872343, 1743622767.3107471, 4.685403680801391]"
"[1743622534.2946286, 1743622534.317836, 4.952511138439179]","[1743622591.8707488, 1743622591.8942106, 5.423997093200683]","[1743622649.4214015, 1743622649.4448686, 5.181269572257996]","[1743622708.672106, 1743622708.7037058, 6.992983784437179]","[1743622767.4224958, 1743622767.4460635, 4.9635412216186525]"
"[1743622534.4269578, 1743622534.4501438, 5.371678786754608]","[1743622592.0033817, 1743622592.0265543, 5.831018295764922]","[1743622649.5627098, 1743622649.5859609, 5.863660730838776]","[1743622708.8192744, 1743622708.842742, 5.920907464027405]","[1743622767.5582564, 1743622767.5818458, 5.501507617099584]"
"[1743622534.5665836, 1743622534.5897763, 5.649565758943556]","[1743622592.1337214, 1743622592.1570902, 6.051289833068847]","[1743622649.6980793, 1743622649.7215493, 5.9672518825531]","[1743622708.957161, 1743622708.9806647, 5.75132804775238]","[1743622767.695076, 1743622767.720255, 6.352720925450325]"
