epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622174.8252757, 1743622175.0197997, 5.950546243429182]","[1743622233.886351, 1743622233.9093237, 5.0082759604454035]","[1743622294.3355544, 1743622294.3584175, 4.379230545759201]","[1743622354.758317, 1743622354.7812943, 3.2703205757141114]","[1743622414.2094605, 1743622414.2324426, 4.51899733877182]"
"[1743622175.198693, 1743622175.2213125, 0.8628429074287415]","[1743622234.006182, 1743622234.0291789, 4.819391859054565]","[1743622294.4628897, 1743622294.4857297, 3.8351139488220216]","[1743622354.8785963, 1743622354.901419, 2.9677620172500614]","[1743622414.3298109, 1743622414.3527422, 4.000303007841111]"
"[1743622175.3142362, 1743622175.336876, 1.5008570418357852]","[1743622234.1366818, 1743622234.159672, 4.613517771720886]","[1743622294.5824285, 1743622294.6050835, 3.781302446365356]","[1743622355.0017858, 1743622355.024582, 2.7170052094459534]","[1743622414.4493062, 1743622414.4720864, 3.7646525430679314]"
"[1743622175.4301703, 1743622175.452833, 1.7866998448371887]","[1743622234.2545533, 1743622234.2775056, 4.235666703701019]","[1743622294.6993408, 1743622294.722047, 3.7594090411663057]","[1743622355.1274567, 1743622355.1502326, 2.7220830831527714]","[1743622414.5804024, 1743622414.6033406, 3.927212162017822]"
"[1743622175.5484097, 1743622175.5710778, 2.847274956464767]","[1743622234.3776178, 1743622234.4006371, 4.113965725898742]","[1743622294.820906, 1743622294.8436863, 3.6412220764160157]","[1743622355.2485008, 1743622355.2712464, 3.2043104534149176]","[1743622414.6999168, 1743622414.7227306, 3.610283374786377]"
"[1743622175.6667712, 1743622175.6895344, 3.232950901985168]","[1743622234.4970374, 1743622234.5200338, 4.022764735221863]","[1743622294.9478164, 1743622294.9704201, 4.09434641623497]","[1743622355.365019, 1743622355.3877516, 3.687642811059951]","[1743622414.817037, 1743622414.8399184, 3.785843318939209]"
"[1743622175.7823353, 1743622175.805049, 3.962407758712768]","[1743622234.6162598, 1743622234.6392872, 4.394627112701663]","[1743622295.102028, 1743622295.1251378, 4.708922066688538]","[1743622355.4815705, 1743622355.5043972, 4.150208470344544]","[1743622414.9421096, 1743622414.96485, 4.205375528335572]"
"[1743622175.9035041, 1743622175.9265368, 4.761957475662231]","[1743622234.735142, 1743622234.7582679, 4.800332253098488]","[1743622295.2250626, 1743622295.2480536, 4.916130137205125]","[1743622355.5980687, 1743622355.6208212, 5.213672484636307]","[1743622415.0947344, 1743622415.117656, 5.411116108894348]"
"[1743622176.0471306, 1743622176.0699556, 5.038231314420701]","[1743622234.854032, 1743622234.8768725, 5.145028162002563]","[1743622295.3474178, 1743622295.3703592, 5.217643208980561]","[1743622355.715843, 1743622355.7385833, 5.21570716381073]","[1743622415.2135851, 1743622415.2363381, 5.193349556207657]"
"[1743622176.1692753, 1743622176.1922307, 5.294437522888184]","[1743622234.9821675, 1743622235.005245, 6.142442656517028]","[1743622295.4673362, 1743622295.49015, 5.977146371841431]","[1743622355.833178, 1743622355.8559332, 5.946343391299249]","[1743622415.3308594, 1743622415.3536038, 5.675846565485]"
