Model,MACs,Parameters,TotalEnergyPerEpoch,AverageEnergyPerSec,TotalTime,AverageTimeperEpoch,Total Time to Device,Average Time to Device,Total Forward Time,Average Forward Time,Total Backward Time,Average Backward Time,Total Test Time,Average Test Time
Alexnet,712390000.0,57040000.0,2985.59,135.45,431.56,21.58,100.94,5.05,36.81,1.84,61.28,3.06,82.09,4.1
VGG11,7640000000.0,129180000.0,23860.35,294.21,1618.57,80.93,114.94,5.75,398.29,19.91,784.64,39.23,149.39,7.47
VGG13,11350000000.0,129360000.00000001,37894.64,326.68,2317.64,115.88,117.14,5.86,610.64,30.53,1224.06,61.2,191.93,9.6
VGG16,15520000000.0,134670000.0,46992.02,340.52,2749.5,137.48,115.99,5.8,741.62,37.08,1505.22,75.26,216.65,10.83
ResNet18,1830000000.0,11230000.0,9525.8,210.37,897.24,44.86,114.59,5.73,158.2,7.91,336.78,16.84,105.21,5.26
ResNet34,3680000000.0,21340000.0,15869.56,255.15,1234.98,61.75,120.02,6.0,258.92,12.95,566.91,28.35,116.87,5.84
ResNet50,2400000000.0,13920000.0,12656.49,222.06,1132.8,56.64,113.35,5.67,240.22,12.01,504.82,25.24,111.23,5.56
GoogleNet,1600000000.0,6080000.0,10421.94,219.69,942.78,47.14,121.64,6.08,166.22,8.31,346.77,17.34,110.52,5.53
GoogleNet_mod0,485620000.0,143720.0,4300.57,148.68,572.6,28.63,125.44,6.27,61.71,3.09,112.59,5.63,104.32,5.22
GoogleNet_mod1,1170000000.0,3460000.0,6774.33,182.25,735.63,36.78,138.08,6.9,107.45,5.37,202.89,10.14,108.48,5.42
GoogleNet_mod2,1940000000.0,7360000.0,9660.11,219.62,871.27,43.56,125.06,6.25,152.06,7.6,314.14,15.71,110.75,5.54
GoogleNet_mod3,2820000000.0,11820000.0,13105.0,244.57,1064.14,53.21,130.09,6.5,202.78,10.14,446.12,22.31,112.87,5.64
GoogleNet_mod4,3790000000.0,16850000.0,17145.73,258.48,1319.06,65.95,147.53,7.38,258.9,12.94,599.14,29.96,129.84,6.49
GoogleNet_mod5,533740000.0,467700.0,4909.86,163.4,593.64,29.68,117.14,5.86,75.18,3.76,129.54,6.48,107.41,5.37
GoogleNet_mod6,657650000.0,1390000.0,5783.42,181.02,630.37,31.52,116.36,5.82,90.25,4.51,160.57,8.03,103.66,5.18
GoogleNet_mod7,857010000.0,2900000.0,7203.88,204.42,695.91,34.8,117.14,5.86,108.34,5.42,207.32,10.37,102.62,5.13
GoogleNet_mod8,1130000000.0,4990000.0,8601.12,220.54,773.38,38.67,115.57,5.78,127.76,6.39,266.05,13.3,103.36,5.17
GoogleNet_mod9,623090000.0,756180.0,4857.35,155.04,616.26,30.81,122.39,6.12,79.29,3.96,143.35,7.17,92.23,4.61
GoogleNet_mod10,766740000.0,1430000.0,5533.03,168.0,653.9,32.69,116.33,5.82,91.85,4.59,176.39,8.82,92.76,4.64
GoogleNet_mod11,916270000.0,2140000.0,6423.14,180.55,704.25,35.21,113.72,5.69,106.51,5.33,213.37,10.67,91.7,4.59
GoogleNet_mod12,1070000000.0000001,2890000.0,7443.64,187.43,785.72,39.29,121.38,6.07,121.22,6.06,256.3,12.82,99.83,4.99
