power.draw [W]
274.01 W
221.61 W
302.80 W
306.40 W
305.83 W
302.37 W
301.33 W
302.95 W
301.73 W
302.07 W
301.11 W
302.78 W
299.30 W
302.95 W
306.12 W
306.71 W
304.32 W
302.04 W
304.41 W
306.56 W
302.90 W
304.50 W
307.89 W
305.61 W
305.78 W
305.64 W
306.25 W
305.26 W
302.31 W
305.89 W
307.24 W
300.23 W
303.77 W
301.03 W
299.85 W
301.96 W
303.71 W
301.82 W
301.97 W
301.11 W
298.55 W
302.33 W
301.27 W
302.31 W
304.06 W
301.68 W
301.02 W
299.13 W
300.73 W
303.73 W
306.20 W
301.26 W
302.48 W
305.82 W
308.55 W
303.96 W
306.26 W
301.71 W
304.12 W
302.35 W
305.70 W
304.94 W
302.77 W
306.89 W
304.67 W
302.15 W
303.08 W
301.49 W
303.23 W
305.90 W
301.02 W
302.08 W
299.49 W
301.84 W
300.51 W
302.21 W
303.23 W
301.19 W
300.29 W
301.52 W
302.86 W
303.32 W
303.20 W
300.01 W
304.36 W
212.82 W
288.23 W
287.64 W
287.21 W
290.12 W
