Model,MACs_f,Parameters_f,MACs_c100,Parameters_c100,MACs_c10,Parameters_c10,samples_3080_f,samples_3080_c,samples_4090_f,samples_4090_c
alexnet,666.41 MMac,57.03 M,713.63 MMac,57.41 M,713.26 MMac,57.04 M,99451,53119,115131,214768
resnet18,1.75 GMac,11.18 M,1.83 GMac,11.23 M,1.83 GMac,11.18 M,124217,120549,282327,391117
resnet34,3.61 GMac,21.29 M,3.68 GMac,21.34 M,3.68 GMac,21.3 M,225560,197381,441854,594548
resnet50,2.32 GMac,13.87 M,2.4 GMac,13.92 M,2.4 GMac,13.87 M,234788,208876,532983,709445
vgg11,7.6 GMac,128.81 M,7.65 GMac,129.18 M,7.65 GMac,128.81 M,294067,289341,734732,968211
vgg13,11.31 GMac,128.99 M,11.37 GMac,129.36 M,11.37 GMac,128.99 M,452899,412981,1264659,1577272
vgg16,15.48 GMac,134.3 M,15.54 GMac,134.67 M,15.54 GMac,134.3 M,558496,474812,1564824,1814464
mobilenetv1,567.7 MMac,3.21 M,575.02 MMac,3.3 M,574.93 MMac,3.21 M,86442,82877,115422,234207
mobilenetv2,326.2 MMac,2.24 M,333.54 MMac,2.35 M,333.42 MMac,2.24 M,250239,211794,483553,679876
googlenet,1.52 GMac,5.98 M,1.6 GMac,6.08 M,1.6 GMac,5.98 M,164526,157499,274024,512358
googlenet_mod1,1.32 GMac,4.61 M,1.4 GMac,4.67 M,1.4 GMac,4.62 M,130507,125718,160164,327206
googlenet_mod2,682.58 MMac,5.03 M,761.31 MMac,5.09 M,761.26 MMac,5.03 M,97025,92248,126834,233123
googlenet_mod3,1.32 GMac,4.94 M,1.4 GMac,5.03 M,1.4 GMac,4.95 M,132375,129061,166711,310538
googlenet_mod4,1.42 GMac,5.29 M,1.5 GMac,5.38 M,1.5 GMac,5.3 M,117001,109334,156172,265789
googlenet_mod5,1.09 GMac,3.42 M,1.17 GMac,3.46 M,1.17 GMac,3.42 M,85822,95144,119159,225984
googlenet_mod6,1.87 GMac,7.28 M,1.95 GMac,7.36 M,1.95 GMac,7.29 M,130055,124952,166220,280968
googlenet_mod7,2.75 GMac,11.71 M,2.83 GMac,11.82 M,2.83 GMac,11.71 M,180410,171590,223602,407980
googlenet_mod8,3.72 GMac,16.7 M,3.8 GMac,16.85 M,3.8 GMac,16.71 M,231119,221213,354898,521293
googlenet_mod9,410.09 MMac,120.07 k,488.78 MMac,143.72 k,488.77 MMac,126.35 k,58156,68584,98535,188343
