power.draw [W]
24.70 W
28.60 W
73.20 W
79.61 W
79.39 W
79.59 W
79.68 W
79.35 W
79.91 W
79.74 W
79.85 W
79.53 W
79.29 W
79.82 W
79.40 W
79.64 W
79.63 W
79.48 W
79.56 W
79.69 W
79.31 W
79.61 W
79.52 W
79.38 W
79.66 W
79.54 W
79.73 W
79.60 W
79.56 W
79.76 W
79.58 W
79.63 W
64.37 W
41.00 W
32.80 W
25.66 W
25.69 W
25.58 W
25.61 W
25.60 W
25.50 W
25.50 W
25.50 W
25.45 W
25.42 W
25.40 W
25.41 W
25.37 W
25.34 W
25.32 W
25.32 W
25.28 W
25.30 W
25.29 W
25.28 W
25.27 W
25.29 W
25.26 W
25.23 W
25.21 W
25.19 W
25.20 W
25.16 W
25.17 W
25.17 W
25.18 W
25.17 W
25.17 W
25.16 W
25.16 W
25.15 W
25.12 W
25.14 W
25.13 W
25.13 W
25.10 W
25.12 W
25.13 W
25.12 W
25.12 W
25.14 W
25.14 W
25.13 W
25.14 W
25.10 W
25.10 W
25.10 W
25.13 W
25.12 W
25.11 W
25.10 W
25.09 W
25.11 W
25.08 W
25.07 W
25.07 W
25.07 W
25.07 W
25.08 W
25.08 W
25.06 W
25.03 W
25.06 W
25.07 W
25.07 W
25.08 W
25.06 W
25.07 W
25.05 W
25.04 W
25.03 W
25.02 W
25.04 W
25.00 W
25.01 W
25.01 W
25.01 W
25.06 W
25.01 W
25.01 W
25.00 W
24.99 W
24.98 W
24.99 W
24.98 W
24.99 W
24.97 W
24.99 W
24.98 W
24.97 W
24.99 W
24.99 W
25.00 W
25.01 W
25.00 W
24.98 W
24.98 W
24.98 W
25.03 W
25.00 W
25.00 W
24.94 W
24.98 W
24.98 W
24.98 W
24.98 W
24.97 W
24.97 W
24.98 W
24.92 W
24.92 W
24.97 W
24.97 W
24.94 W
24.97 W
24.97 W
24.98 W
24.98 W
24.98 W
24.97 W
24.97 W
24.95 W
24.93 W
24.94 W
24.95 W
24.94 W
24.92 W
24.93 W
24.92 W
24.94 W
24.93 W
24.90 W
24.91 W
24.94 W
24.93 W
24.91 W
24.91 W
24.91 W
24.92 W
24.91 W
24.89 W
24.87 W
24.88 W
24.90 W
24.92 W
24.92 W
24.89 W
24.88 W
24.90 W
24.89 W
24.89 W
24.91 W
24.87 W
24.90 W
24.89 W
24.88 W
24.87 W
24.90 W
24.92 W
24.91 W
24.91 W
24.89 W
24.88 W
24.86 W
24.89 W
24.87 W
24.90 W
24.87 W
24.87 W
24.90 W
24.92 W
24.89 W
24.87 W
24.86 W
24.88 W
24.87 W
24.87 W
24.89 W
24.92 W
24.92 W
24.90 W
24.89 W
24.88 W
24.88 W
24.86 W
24.87 W
24.85 W
24.84 W
24.87 W
24.85 W
24.88 W
24.85 W
24.88 W
24.84 W
24.84 W
24.83 W
24.86 W
24.86 W
24.85 W
24.88 W
24.86 W
24.87 W
24.85 W
24.85 W
24.83 W
24.83 W
24.83 W
24.83 W
24.84 W
24.84 W
24.84 W
24.83 W
24.84 W
24.83 W
24.84 W
24.82 W
24.83 W
24.85 W
24.83 W
24.81 W
24.83 W
24.84 W
24.82 W
24.83 W
24.82 W
24.81 W
24.79 W
24.80 W
24.81 W
24.80 W
24.82 W
24.79 W
24.81 W
24.83 W
24.84 W
24.81 W
24.83 W
24.82 W
24.83 W
24.84 W
24.81 W
24.83 W
24.85 W
24.83 W
24.81 W
24.83 W
24.82 W
24.81 W
24.82 W
24.81 W
24.81 W
24.81 W
24.80 W
24.80 W
24.80 W
24.83 W
24.81 W
24.82 W
24.80 W
24.80 W
24.78 W
24.82 W
24.81 W
24.81 W
24.80 W
24.82 W
24.79 W
24.79 W
24.81 W
24.78 W
24.79 W
24.79 W
24.79 W
24.80 W
24.81 W
24.82 W
24.81 W
24.79 W
24.78 W
24.81 W
24.76 W
24.73 W
24.75 W
24.76 W
24.77 W
24.79 W
24.75 W
24.78 W
24.80 W
24.79 W
24.78 W
24.79 W
24.78 W
24.76 W
24.77 W
24.78 W
24.76 W
24.78 W
24.77 W
24.78 W
24.79 W
24.79 W
24.79 W
24.78 W
24.78 W
24.77 W
24.79 W
24.79 W
24.81 W
24.79 W
24.79 W
24.76 W
24.78 W
24.80 W
24.80 W
24.77 W
24.77 W
24.80 W
24.78 W
24.83 W
24.82 W
24.82 W
24.79 W
24.75 W
24.78 W
24.78 W
24.81 W
24.82 W
24.82 W
24.79 W
24.78 W
24.76 W
24.78 W
24.75 W
24.77 W
24.77 W
24.78 W
24.78 W
24.77 W
24.75 W
24.75 W
24.76 W
24.76 W
24.80 W
24.78 W
24.79 W
24.80 W
24.79 W
24.80 W
24.77 W
24.76 W
24.78 W
24.78 W
24.76 W
24.76 W
24.77 W
24.76 W
24.78 W
24.76 W
24.76 W
24.76 W
24.75 W
24.77 W
24.77 W
24.77 W
24.76 W
24.78 W
24.77 W
24.77 W
24.78 W
24.78 W
24.76 W
24.77 W
24.76 W
24.79 W
24.77 W
24.75 W
24.80 W
24.78 W
24.77 W
24.74 W
24.76 W
24.76 W
24.75 W
24.75 W
24.76 W
24.78 W
24.76 W
24.77 W
24.75 W
24.76 W
24.76 W
24.77 W
24.75 W
24.74 W
24.75 W
24.74 W
24.76 W
24.74 W
24.78 W
24.74 W
24.76 W
24.75 W
24.74 W
24.76 W
24.77 W
24.76 W
24.75 W
24.78 W
24.78 W
24.77 W
24.75 W
24.79 W
24.80 W
24.78 W
24.72 W
24.74 W
24.75 W
24.74 W
24.73 W
24.75 W
24.75 W
24.73 W
24.74 W
24.75 W
24.78 W
24.77 W
24.76 W
24.75 W
24.74 W
24.73 W
24.77 W
24.75 W
24.78 W
24.79 W
24.75 W
24.78 W
24.77 W
24.74 W
24.81 W
24.80 W
24.80 W
24.76 W
24.74 W
24.75 W
24.75 W
24.74 W
24.75 W
24.77 W
24.77 W
24.75 W
24.72 W
24.75 W
24.77 W
24.80 W
24.78 W
24.81 W
24.77 W
24.80 W
24.79 W
24.74 W
24.73 W
24.75 W
24.76 W
24.75 W
24.75 W
24.78 W
24.76 W
24.76 W
24.75 W
24.75 W
24.74 W
24.75 W
24.74 W
24.76 W
24.73 W
24.75 W
24.73 W
24.72 W
24.71 W
24.74 W
24.75 W
24.76 W
24.75 W
24.76 W
24.74 W
24.75 W
24.75 W
24.74 W
24.72 W
24.75 W
24.74 W
24.72 W
24.74 W
24.72 W
24.75 W
24.73 W
24.76 W
24.76 W
24.76 W
24.73 W
24.73 W
24.72 W
24.72 W
24.71 W
24.72 W
24.75 W
24.74 W
24.76 W
24.75 W
24.77 W
24.72 W
24.74 W
24.74 W
24.74 W
24.72 W
24.75 W
24.73 W
24.74 W
24.75 W
24.74 W
24.75 W
24.75 W
24.73 W
24.75 W
24.72 W
24.75 W
24.76 W
24.77 W
24.75 W
24.76 W
24.75 W
24.74 W
24.72 W
24.72 W
24.74 W
24.72 W
24.73 W
24.74 W
24.76 W
24.74 W
24.75 W
24.74 W
24.71 W
24.72 W
24.72 W
24.73 W
24.69 W
24.70 W
24.71 W
24.71 W
24.72 W
24.72 W
24.74 W
24.75 W
24.72 W
24.75 W
24.72 W
24.73 W
24.72 W
24.72 W
24.72 W
24.71 W
24.75 W
24.72 W
24.72 W
24.72 W
24.72 W
24.74 W
24.71 W
24.71 W
24.71 W
24.75 W
24.72 W
24.71 W
24.73 W
24.72 W
24.73 W
24.70 W
24.68 W
24.69 W
24.73 W
24.70 W
24.73 W
24.71 W
24.70 W
24.72 W
24.73 W
24.74 W
24.70 W
24.75 W
24.73 W
24.71 W
24.72 W
24.70 W
24.70 W
24.72 W
24.72 W
24.72 W
24.74 W
24.73 W
24.76 W
24.74 W
24.86 W
24.89 W
24.89 W
24.87 W
24.86 W
24.86 W
24.86 W
24.85 W
24.85 W
24.85 W
24.85 W
24.86 W
24.85 W
24.84 W
24.85 W
24.87 W
24.88 W
24.89 W
24.87 W
24.85 W
24.85 W
24.85 W
24.86 W
24.85 W
24.85 W
24.85 W
24.83 W
24.85 W
24.84 W
24.84 W
24.87 W
24.87 W
24.87 W
24.90 W
24.88 W
24.89 W
24.84 W
24.86 W
24.85 W
24.85 W
24.85 W
24.84 W
24.85 W
24.86 W
24.86 W
24.84 W
24.86 W
24.88 W
24.87 W
24.89 W
24.88 W
24.87 W
24.91 W
24.90 W
24.90 W
24.88 W
24.86 W
24.87 W
24.91 W
24.92 W
24.92 W
24.91 W
24.91 W
24.89 W
24.94 W
24.97 W
24.95 W
24.95 W
24.92 W
24.91 W
24.97 W
24.92 W
24.88 W
24.86 W
24.91 W
24.88 W
24.95 W
24.91 W
24.91 W
24.86 W
24.89 W
24.92 W
24.88 W
24.85 W
24.86 W
24.88 W
24.86 W
24.94 W
24.87 W
24.87 W
24.84 W
24.85 W
24.87 W
24.89 W
24.85 W
24.86 W
24.86 W
24.84 W
24.88 W
24.88 W
24.86 W
24.86 W
24.83 W
24.84 W
24.92 W
24.85 W
24.85 W
24.86 W
24.84 W
24.85 W
24.88 W
24.84 W
24.83 W
24.87 W
24.87 W
24.91 W
24.88 W
24.84 W
24.83 W
24.86 W
24.84 W
24.90 W
24.86 W
24.87 W
24.85 W
24.85 W
24.87 W
24.90 W
24.86 W
24.85 W
24.84 W
24.83 W
24.90 W
24.82 W
24.83 W
24.87 W
24.86 W
24.88 W
24.89 W
24.85 W
24.86 W
24.87 W
24.86 W
24.90 W
24.83 W
24.83 W
24.82 W
24.83 W
24.81 W
24.88 W
24.84 W
24.83 W
24.83 W
24.81 W
24.85 W
24.87 W
24.81 W
24.81 W
24.79 W
24.81 W
24.90 W
24.86 W
24.84 W
24.86 W
24.86 W
24.89 W
24.92 W
24.83 W
24.86 W
24.83 W
24.82 W
24.87 W
24.88 W
24.86 W
24.91 W
24.87 W
24.87 W
24.93 W
24.82 W
24.83 W
24.84 W
24.83 W
24.85 W
24.90 W
24.87 W
24.87 W
24.88 W
24.89 W
24.89 W
24.89 W
24.88 W
24.83 W
24.84 W
24.81 W
24.86 W
24.82 W
24.82 W
24.80 W
24.84 W
24.83 W
24.86 W
24.81 W
24.85 W
24.83 W
24.82 W
24.86 W
24.84 W
24.82 W
24.79 W
24.76 W
24.79 W
24.87 W
24.81 W
24.80 W
24.81 W
24.83 W
24.88 W
24.86 W
24.84 W
24.83 W
24.83 W
24.85 W
24.87 W
24.83 W
24.84 W
24.86 W
24.84 W
24.83 W
24.86 W
24.79 W
24.78 W
24.79 W
24.81 W
24.83 W
24.81 W
24.83 W
24.78 W
24.78 W
24.80 W
24.86 W
24.80 W
24.81 W
24.81 W
24.79 W
24.78 W
24.87 W
24.82 W
24.81 W
24.80 W
24.80 W
24.89 W
24.83 W
24.84 W
24.82 W
24.81 W
24.81 W
24.87 W
24.78 W
24.77 W
24.80 W
24.80 W
24.82 W
24.84 W
24.82 W
24.80 W
24.82 W
24.83 W
24.89 W
24.84 W
24.81 W
24.83 W
24.79 W
24.82 W
24.87 W
24.81 W
24.82 W
24.82 W
24.81 W
24.81 W
24.85 W
24.80 W
24.80 W
24.81 W
24.79 W
24.88 W
24.81 W
24.83 W
24.83 W
24.83 W
24.83 W
24.86 W
24.81 W
24.80 W
24.79 W
24.79 W
24.85 W
24.83 W
24.78 W
24.80 W
24.80 W
24.78 W
24.84 W
24.79 W
24.80 W
24.78 W
24.78 W
24.81 W
24.81 W
24.78 W
24.76 W
24.80 W
24.78 W
24.82 W
24.80 W
24.80 W
24.76 W
24.78 W
24.79 W
24.83 W
24.77 W
24.78 W
24.79 W
24.80 W
24.82 W
24.83 W
24.80 W
24.81 W
24.82 W
24.84 W
24.88 W
