epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736646587.6474922, 1736646587.6734982, 1.9117998683452606]","[1736646619.6028392, 1736646619.6256015, 3.2194312248229986]","[1736646651.4370003, 1736646651.4596026, 3.3399697158336634]","[1736646683.079441, 1736646683.1016016, 3.2238695964813235]","[1736646714.4537303, 1736646714.476109, 2.9967742099761967]"
"[1736646587.737897, 1736646587.762099, 2.3053330314159393]","[1736646619.6905358, 1736646619.712473, 3.091117379188537]","[1736646651.51698, 1736646651.5389276, 3.2379107701778413]","[1736646683.1474278, 1736646683.1690884, 3.1664932100772862]","[1736646714.5401988, 1736646714.5623956, 3.1075477600097656]"
"[1736646587.8184857, 1736646587.8406048, 2.237783808708191]","[1736646619.766004, 1736646619.7891445, 3.2578255009651187]","[1736646651.5851095, 1736646651.6071033, 3.2967719686031343]","[1736646683.2122767, 1736646683.2338681, 3.1710582703351977]","[1736646714.618245, 1736646714.6404452, 3.2856058722906925]"
"[1736646587.8926585, 1736646587.9149542, 2.408873469829559]","[1736646619.839087, 1736646619.8610222, 3.172189113855362]","[1736646651.6527593, 1736646651.674842, 3.3079685688018805]","[1736646683.278698, 1736646683.3006132, 3.288945160865784]","[1736646714.693267, 1736646714.7154055, 3.2836718261241913]"
"[1736646587.9684687, 1736646587.9903865, 2.5416561579704284]","[1736646619.9130712, 1736646619.9349856, 3.277683346748352]","[1736646651.7184834, 1736646651.7405245, 3.3045103500261983]","[1736646683.3474412, 1736646683.3693666, 3.4317274847030643]","[1736646714.768062, 1736646714.7901118, 3.4868458957672117]"
"[1736646588.0454118, 1736646588.0672584, 2.592552399277687]","[1736646619.9886239, 1736646620.010578, 3.45807174396515]","[1736646651.7855046, 1736646651.8074827, 3.5210518553256986]","[1736646683.4124026, 1736646683.434047, 3.463524411678314]","[1736646714.8395984, 1736646714.8616025, 3.618094676971435]"
"[1736646588.1191301, 1736646588.1409318, 2.795110048770904]","[1736646620.0624812, 1736646620.084325, 3.587403531074524]","[1736646651.8501983, 1736646651.8722196, 3.681696041107177]","[1736646683.4781754, 1736646683.5002007, 3.7050597805976864]","[1736646714.911023, 1736646714.9330974, 3.784391653776169]"
"[1736646588.2003424, 1736646588.2219644, 2.9756138548694513]","[1736646620.1335542, 1736646620.1553888, 3.644746321678162]","[1736646651.9151373, 1736646651.937154, 3.680938687324524]","[1736646683.542279, 1736646683.5643132, 3.8692880802154543]","[1736646714.9836354, 1736646715.0056374, 3.8403579039573668]"
"[1736646588.307022, 1736646588.3287675, 3.179792689323426]","[1736646620.2073228, 1736646620.229196, 3.843739963531494]","[1736646651.981872, 1736646652.0038624, 3.9427726898193356]","[1736646683.6135647, 1736646683.635478, 3.9292609658241267]","[1736646715.0575333, 1736646715.0794678, 4.024697303771972]"
"[1736646588.3785217, 1736646588.4001641, 3.347393918037415]","[1736646620.2843657, 1736646620.3063264, 4.028411405086518]","[1736646652.053321, 1736646652.075415, 4.111496658086777]","[1736646683.6791103, 1736646683.7011366, 4.121605389118195]","[1736646715.128986, 1736646715.151011, 4.197831473350525]"
"[1736646588.4510183, 1736646588.4727173, 3.4870988602638247]","[1736646620.355585, 1736646620.37744, 4.182193062782288]","[1736646652.1211703, 1736646652.1431837, 4.1566168173551565]","[1736646683.7417912, 1736646683.7638037, 4.287809450626374]","[1736646715.2012537, 1736646715.2233727, 4.271221131563187]"
"[1736646588.5220609, 1736646588.5437143, 3.6201692883968355]","[1736646620.4277046, 1736646620.4496174, 4.193279757022857]","[1736646652.1866224, 1736646652.208621, 4.357403384208679]","[1736646683.8061626, 1736646683.8281698, 4.294410328017484]","[1736646715.2740872, 1736646715.2962599, 4.482874350547791]"
"[1736646588.5950053, 1736646588.6166635, 3.8461899342536934]","[1736646620.5006268, 1736646620.5226717, 4.468456548213959]","[1736646652.2513359, 1736646652.2733886, 4.537731273651123]","[1736646683.873675, 1736646683.8956876, 4.564264088392258]","[1736646715.347398, 1736646715.3696947, 4.6680302238464355]"
"[1736646588.6695573, 1736646588.6912146, 4.045981765508652]","[1736646620.5745344, 1736646620.59642, 4.584865126609802]","[1736646652.319025, 1736646652.3410034, 4.5316932402678045]","[1736646683.9372275, 1736646683.959216, 4.726653979539871]","[1736646715.4203866, 1736646715.4425843, 4.828461731445443]"
"[1736646588.7407146, 1736646588.7624164, 4.059947630645685]","[1736646620.6784878, 1736646620.7004766, 4.759754499435425]","[1736646652.3859673, 1736646652.4079533, 4.791960306167603]","[1736646684.010654, 1736646684.0326529, 4.772515434622765]","[1736646715.4967027, 1736646715.5189056, 4.849974230647087]"
"[1736646588.8136997, 1736646588.8354578, 4.295849947929383]","[1736646620.7510104, 1736646620.773028, 4.8192958784103395]","[1736646652.4501073, 1736646652.4720914, 4.95587574005127]","[1736646684.076249, 1736646684.0984442, 5.0204525556564334]","[1736646715.5713258, 1736646715.5935524, 5.06916983127594]"
"[1736646588.8860838, 1736646588.9078813, 4.38503029346466]","[1736646620.8235998, 1736646620.8456085, 4.817364987134933]","[1736646652.515619, 1736646652.5376139, 4.958294341564179]","[1736646684.1419747, 1736646684.164097, 5.16438184928894]","[1736646715.644516, 1736646715.666727, 5.071121549606323]"
"[1736646588.9584792, 1736646588.9802535, 4.472971986775142]","[1736646620.8959782, 1736646620.9179819, 4.905955955982209]","[1736646652.5808945, 1736646652.6029036, 5.174149389982224]","[1736646684.208359, 1736646684.2305195, 5.190887011885643]","[1736646715.717446, 1736646715.739607, 5.057793257801087]"
"[1736646589.0317266, 1736646589.0534282, 4.462885356903076]","[1736646620.9690552, 1736646620.991071, 4.816552867174148]","[1736646652.6456926, 1736646652.667604, 5.116811816453934]","[1736646684.2748556, 1736646684.2969244, 5.28045337176323]","[1736646715.7921612, 1736646715.814444, 5.085500890016556]"
"[1736646589.104372, 1736646589.126147, 4.567220670223236]","[1736646621.0428495, 1736646621.064867, 4.848339622735978]","[1736646652.711521, 1736646652.7335844, 5.15233324599266]","[1736646684.3409536, 1736646684.363164, 5.210616986989975]","[1736646715.864901, 1736646715.8889627, 5.4892391452789315]"
"[1736646589.1782146, 1736646589.199889, 4.469975423097611]","[1736646621.1159503, 1736646621.138023, 4.87192025589943]","[1736646652.776663, 1736646652.7986996, 5.254505743980408]","[1736646684.4073346, 1736646684.429698, 5.247990686273939]","[1736646715.9395978, 1736646715.961858, 5.075723788261414]"
"[1736646589.2513871, 1736646589.2731285, 4.519960420370102]","[1736646621.189321, 1736646621.2113347, 4.9100597553253165]","[1736646652.8435829, 1736646652.865574, 5.159289916276932]","[1736646684.4743278, 1736646684.4964762, 5.299064145326614]","[1736646716.01642, 1736646716.0386434, 5.040068020204466]"
