epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736646587.6464317, 1736646587.64749, 0.055614712476730346]","[1736646619.6024795, 1736646619.602838, 0.0507166976928711]","[1736646651.4366953, 1736646651.4369986, 0.045664644241333006]","[1736646683.0792215, 1736646683.0794404, 0.03184051609039307]","[1736646714.4531891, 1736646714.4537282, 0.07218719291687012]"
"[1736646587.7377164, 1736646587.7378962, 0.017040531158447267]","[1736646619.6903834, 1736646619.6905348, 0.021332879066467282]","[1736646651.5168123, 1736646651.5169792, 0.02462155818939209]","[1736646683.147315, 1736646683.147427, 0.016381237506866455]","[1736646714.5400357, 1736646714.5401962, 0.02246379852294922]"
"[1736646587.8183548, 1736646587.818485, 0.013169960975646973]","[1736646619.7658584, 1736646619.7660034, 0.020407981872558593]","[1736646651.58498, 1736646651.585109, 0.019334124326705934]","[1736646683.2121663, 1736646683.212276, 0.016032700538635255]","[1736646714.618028, 1736646714.6182444, 0.030744772023477425]"
"[1736646587.892524, 1736646587.892658, 0.01447668170928955]","[1736646619.8389566, 1736646619.8390863, 0.01825977325439453]","[1736646651.6525993, 1736646651.6527586, 0.023857688903808596]","[1736646683.2785842, 1736646683.278697, 0.016924368858337403]","[1736646714.6931326, 1736646714.6932664, 0.019838887453079223]"
"[1736646587.9683301, 1736646587.968468, 0.015980390071868897]","[1736646619.9129255, 1736646619.9130704, 0.021681007385253907]","[1736646651.7183716, 1736646651.718483, 0.01667895317077637]","[1736646683.3473136, 1736646683.3474405, 0.019852537155151367]","[1736646714.767923, 1736646714.7680612, 0.021829782485961912]"
"[1736646588.0452843, 1736646588.045411, 0.01470859432220459]","[1736646619.9884882, 1736646619.9886234, 0.021293267726898196]","[1736646651.7854123, 1736646651.785504, 0.014705585241317749]","[1736646683.4122958, 1736646683.4124022, 0.01664329242706299]","[1736646714.8394716, 1736646714.8395972, 0.020659817695617675]"
"[1736646588.1189985, 1736646588.1191294, 0.01678111410140991]","[1736646620.0623415, 1736646620.0624804, 0.02282750773429871]","[1736646651.8500986, 1736646651.8501978, 0.016582061767578125]","[1736646683.4780633, 1736646683.478175, 0.018769746780395506]","[1736646714.9108944, 1736646714.9110222, 0.02101264190673828]"
"[1736646588.2002168, 1736646588.2003417, 0.017174700992083507]","[1736646620.1334314, 1736646620.1335537, 0.020086640596389774]","[1736646651.9150221, 1736646651.9151368, 0.019173008918762207]","[1736646683.5421631, 1736646683.5422783, 0.020221884727478028]","[1736646714.9834955, 1736646714.9836345, 0.024261550426483154]"
"[1736646588.3068929, 1736646588.3070214, 0.01879141139984131]","[1736646620.2071922, 1736646620.207322, 0.0227918701171875]","[1736646651.9817493, 1736646651.9818714, 0.02188671875]","[1736646683.6134276, 1736646683.6135635, 0.02386433601379395]","[1736646715.0573907, 1736646715.0575318, 0.025898052215576173]"
"[1736646588.3783946, 1736646588.3785207, 0.01950725841522217]","[1736646620.2842286, 1736646620.284365, 0.0250162992477417]","[1736646652.0531795, 1736646652.0533204, 0.02622122311592102]","[1736646683.6789954, 1736646683.6791098, 0.02141441345214844]","[1736646715.1288486, 1736646715.1289852, 0.026037642717361448]"
"[1736646588.450885, 1736646588.4510174, 0.02046602725982666]","[1736646620.3554463, 1736646620.3555841, 0.02637082004547119]","[1736646652.1210134, 1736646652.1211693, 0.02901637887954712]","[1736646683.7416813, 1736646683.7417908, 0.021316673755645752]","[1736646715.2011178, 1736646715.2012532, 0.025810438156127928]"
"[1736646588.5219378, 1736646588.5220604, 0.020488290309906006]","[1736646620.4275618, 1736646620.4277039, 0.027192056655883787]","[1736646652.1864905, 1736646652.1866217, 0.0259737491607666]","[1736646683.806047, 1736646683.806162, 0.02243127107620239]","[1736646715.2739613, 1736646715.2740865, 0.0253068208694458]"
"[1736646588.5948818, 1736646588.5950043, 0.021762658119201663]","[1736646620.5003219, 1736646620.5006254, 0.0615202317237854]","[1736646652.2511814, 1736646652.2513351, 0.03164284586906433]","[1736646683.87356, 1736646683.8736742, 0.023679774045944214]","[1736646715.3472242, 1736646715.3473973, 0.03623851776123047]"
"[1736646588.6694276, 1736646588.6695564, 0.024052205085754393]","[1736646620.5744145, 1736646620.5745337, 0.024973392486572266]","[1736646652.3188767, 1736646652.319024, 0.030318261623382567]","[1736646683.9371293, 1736646683.937227, 0.021012589931488038]","[1736646715.420258, 1736646715.4203858, 0.027700767826079324]"
"[1736646588.7405913, 1736646588.7407138, 0.02289413595199585]","[1736646620.6783507, 1736646620.6784873, 0.029571706295013427]","[1736646652.3858497, 1736646652.3859665, 0.02546261548995972]","[1736646684.010566, 1736646684.0106535, 0.018808830499649046]","[1736646715.4965663, 1736646715.4967017, 0.029457345962524414]"
"[1736646588.8135684, 1736646588.8136992, 0.025842884302139282]","[1736646620.7508776, 1736646620.7510095, 0.028858996629714966]","[1736646652.4500136, 1736646652.4501069, 0.021014959812164308]","[1736646684.0761483, 1736646684.0762484, 0.022650117874145507]","[1736646715.5711834, 1736646715.5713246, 0.03219038391113281]"
"[1736646588.8859527, 1736646588.8860831, 0.026235838890075684]","[1736646620.8234692, 1736646620.823599, 0.0284415066242218]","[1736646652.5155172, 1736646652.5156186, 0.022842347621917725]","[1736646684.14187, 1736646684.141974, 0.024266828536987306]","[1736646715.6443872, 1736646715.6445153, 0.02923134684562683]"
"[1736646588.958324, 1736646588.9584787, 0.031172302422071415]","[1736646620.8958411, 1736646620.8959775, 0.03040640163421631]","[1736646652.5807917, 1736646652.580894, 0.02404547667503357]","[1736646684.2082703, 1736646684.2083583, 0.020537751674652098]","[1736646715.717291, 1736646715.7174456, 0.03527266787167075]"
"[1736646589.0316012, 1736646589.031726, 0.025642848968505858]","[1736646620.9689264, 1736646620.9690547, 0.028062349796295166]","[1736646652.6455936, 1736646652.6456919, 0.02293860340118408]","[1736646684.2747502, 1736646684.274855, 0.025043689489364623]","[1736646715.7920167, 1736646715.7921605, 0.03281108736991882]"
"[1736646589.1042342, 1736646589.1043715, 0.028804229736328128]","[1736646621.0427086, 1736646621.042849, 0.030722535371780393]","[1736646652.7114213, 1736646652.7115204, 0.02316130828857422]","[1736646684.3408484, 1736646684.3409529, 0.024498966693878174]","[1736646715.8647838, 1736646715.8649004, 0.026597153663635253]"
"[1736646589.1780882, 1736646589.1782138, 0.025912473440170287]","[1736646621.1158164, 1736646621.1159499, 0.029469699859619142]","[1736646652.7765603, 1736646652.7766626, 0.024388529062271118]","[1736646684.407204, 1736646684.4073339, 0.03048387408256531]","[1736646715.9394631, 1736646715.9395971, 0.030552414894104003]"
"[1736646589.2512696, 1736646589.2513866, 0.024142361402511598]","[1736646621.1891913, 1736646621.1893206, 0.028822644233703613]","[1736646652.8434865, 1736646652.8435824, 0.022485928058624267]","[1736646684.474214, 1736646684.4743273, 0.02709512114524841]","[1736646716.0162864, 1736646716.0164192, 0.03027132994929434]"
"[1736646589.324022, 1736646589.3241475, 0.026272886753082276]","[1736646621.2622788, 1736646621.2624075, 0.02810680389404297]","[1736646652.910579, 1736646652.9106784, 0.023324955224990847]","[1736646684.5403888, 1736646684.540498, 0.025591215610504148]","[1736646716.090754, 1736646716.0909207, 0.037784261226654056]"
"[1736646589.397118, 1736646589.39724, 0.025790959119796755]","[1736646621.3366182, 1736646621.3367772, 0.034717107772827153]","[1736646652.9761448, 1736646652.976247, 0.024418190717697144]","[1736646684.6069422, 1736646684.6070566, 0.02682048797607422]","[1736646716.1637433, 1736646716.163868, 0.028382102966308595]"
"[1736646589.47027, 1736646589.4703922, 0.025994396924972536]","[1736646621.4109244, 1736646621.4110594, 0.02992943286895752]","[1736646653.040803, 1736646653.0409005, 0.02294544076919556]","[1736646684.6724637, 1736646684.6725712, 0.025676427125930785]","[1736646716.238624, 1736646716.2387526, 0.029155550479888916]"
"[1736646589.542892, 1736646589.5430133, 0.0257917115688324]","[1736646621.4836566, 1736646621.483791, 0.029841693878173828]","[1736646653.1067815, 1736646653.1068754, 0.022103920936584472]","[1736646684.7394578, 1736646684.73957, 0.02627439022064209]","[1736646716.3111331, 1736646716.3112712, 0.031319227695465086]"
"[1736646589.6157672, 1736646589.6158884, 0.025848228454589842]","[1736646621.5565083, 1736646621.5566297, 0.02648756146430969]","[1736646653.1723495, 1736646653.1724393, 0.021530406951904297]","[1736646684.8053164, 1736646684.8054223, 0.024820913314819334]","[1736646716.3841696, 1736646716.3842995, 0.029277268648147583]"
"[1736646589.6885092, 1736646589.6886292, 0.02547281289100647]","[1736646621.6297538, 1736646621.629886, 0.028829290866851806]","[1736646653.2377424, 1736646653.2378583, 0.02775537872314453]","[1736646684.8718483, 1736646684.8719616, 0.027037817239761355]","[1736646716.4617326, 1736646716.46188, 0.03342925500869751]"
"[1736646589.7608654, 1736646589.7609835, 0.025265003442764285]","[1736646621.7027092, 1736646621.702831, 0.02711539363861084]","[1736646653.301977, 1736646653.3020737, 0.0229058780670166]","[1736646684.9393234, 1736646684.939441, 0.02740982413291931]","[1736646716.5360599, 1736646716.5362062, 0.032961973667144776]"
"[1736646589.8348265, 1736646589.8349497, 0.02638789248466492]","[1736646621.775601, 1736646621.7757356, 0.029994152784347534]","[1736646653.3668613, 1736646653.3669577, 0.02308113765716553]","[1736646685.0036874, 1736646685.003801, 0.02652025580406189]","[1736646716.6093764, 1736646716.6095142, 0.03102934980392456]"
"[1736646589.90752, 1736646589.907654, 0.028545226097106934]","[1736646621.8486776, 1736646621.8488138, 0.030312674760818482]","[1736646653.432264, 1736646653.4323585, 0.022624085426330567]","[1736646685.0736747, 1736646685.073809, 0.03188545036315918]","[1736646716.684614, 1736646716.6847398, 0.02831972122192383]"
"[1736646589.9795973, 1736646589.9797256, 0.027307100772857668]","[1736646621.9224706, 1736646621.922608, 0.03064031982421875]","[1736646653.496598, 1736646653.4967024, 0.02482822608947754]","[1736646685.1423156, 1736646685.1424193, 0.024148528575897218]","[1736646716.7576704, 1736646716.7578304, 0.03630752372741699]"
"[1736646590.0523129, 1736646590.0524583, 0.03096158266067505]","[1736646621.9955516, 1736646621.995673, 0.02705246925354004]","[1736646653.560131, 1736646653.5602236, 0.022166200637817383]","[1736646685.2097213, 1736646685.2098446, 0.028700664997100833]","[1736646716.83047, 1736646716.830602, 0.029632402181625366]"
"[1736646590.1254618, 1736646590.1255977, 0.029075095653533937]","[1736646622.0689716, 1736646622.0690978, 0.028125524520874023]","[1736646653.6251488, 1736646653.6252534, 0.02507979917526245]","[1736646685.275311, 1736646685.2754152, 0.02471538281440735]","[1736646716.9036398, 1736646716.9037774, 0.030918437719345094]"
