epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736646587.6097982, 1736646587.6271305, 0.9107958443164825]","[1736646619.564293, 1736646619.588834, 3.471025161981583]","[1736646651.4080265, 1736646651.4233835, 2.312382912635803]","[1736646683.0527456, 1736646683.0659552, 1.921703479290009]","[1736646714.414356, 1736646714.439497, 3.4294458998441693]"
"[1736646587.7061796, 1736646587.7233272, 1.6254497108459471]","[1736646619.6594808, 1736646619.6773732, 2.5211767597198484]","[1736646651.4903684, 1736646651.5037634, 1.9761614339351654]","[1736646683.121356, 1736646683.134278, 1.8834174259901049]","[1736646714.5107777, 1736646714.5268638, 2.204215930938721]"
"[1736646587.7890115, 1736646587.8051367, 1.6313867044448853]","[1736646619.7378964, 1736646619.7528803, 2.111164363145828]","[1736646651.5592358, 1736646651.5719635, 1.9078242015838625]","[1736646683.1867557, 1736646683.1991255, 1.8083143522739413]","[1736646714.588997, 1736646714.6034093, 2.0177364349365234]"
"[1736646587.8642943, 1736646587.8793066, 1.6219550542831422]","[1736646619.8118358, 1736646619.8259697, 1.9898453640937803]","[1736646651.6265388, 1736646651.6395478, 1.9499772060009504]","[1736646683.2526336, 1736646683.2655416, 1.9371782875061037]","[1736646714.6656568, 1736646714.6800613, 2.13655269742012]"
"[1736646587.9404883, 1736646587.9551358, 1.5825434474945068]","[1736646619.8857691, 1736646619.899956, 2.1218859596252444]","[1736646651.6929255, 1736646651.7053564, 1.8621497631072998]","[1736646683.3216398, 1736646683.334291, 1.9318359594345091]","[1736646714.7409077, 1736646714.7548933, 2.211632194519043]"
"[1736646588.013094, 1736646588.027611, 1.6834428565502166]","[1736646619.9603448, 1736646619.9755182, 2.3900284738540654]","[1736646651.7603495, 1736646651.7724051, 1.9313971889019013]","[1736646683.3866324, 1736646683.3992443, 1.9739840421676633]","[1736646714.8123803, 1736646714.8264177, 2.2684981093406678]"
"[1736646588.0917575, 1736646588.1060455, 1.83180073928833]","[1736646620.0350134, 1736646620.0493445, 2.258090232626948]","[1736646651.824508, 1736646651.8370833, 2.0146651780605316]","[1736646683.4526916, 1736646683.4650295, 2.0754607396125793]","[1736646714.883707, 1736646714.8978446, 2.3246019163131715]"
"[1736646588.163099, 1736646588.1778119, 1.9255235919533271]","[1736646620.1062572, 1736646620.120452, 2.3311858112812045]","[1736646651.889686, 1736646651.9020038, 2.0593645172119137]","[1736646683.5166016, 1736646683.5291343, 2.1155056317173457]","[1736646714.9563453, 1736646714.970458, 2.4633172459602357]"
"[1736646588.2795968, 1736646588.2940052, 2.106904202461243]","[1736646620.1802473, 1736646620.1942322, 2.457541774749756]","[1736646651.9560525, 1736646651.968746, 2.2758767700195315]","[1736646683.5873027, 1736646683.6003938, 2.2988473014831543]","[1736646715.0300114, 1736646715.0443375, 2.6286522998809816]"
"[1736646588.3512745, 1736646588.3655155, 2.126225721359253]","[1736646620.2569895, 1736646620.2712626, 2.6182268719673156]","[1736646652.0274162, 1736646652.0401354, 2.281359720780939]","[1736646683.6537817, 1736646683.6659625, 2.27929663181305]","[1736646715.101822, 1736646715.1157935, 2.563600942373276]"
"[1736646588.423467, 1736646588.4379938, 2.246837911605835]","[1736646620.328378, 1736646620.342477, 2.5863004760742188]","[1736646652.0947697, 1736646652.1079838, 2.4590271911621095]","[1736646683.716693, 1736646683.728674, 2.242594147788115]","[1736646715.173916, 1736646715.1879685, 2.6782873678207397]"
"[1736646588.4945586, 1736646588.5090392, 2.420966537475586]","[1736646620.4004052, 1736646620.4145823, 2.712955142498016]","[1736646652.1610105, 1736646652.173442, 2.4623586454391475]","[1736646683.7804039, 1736646683.7930002, 2.453646676540375]","[1736646715.2467527, 1736646715.2608385, 2.847860908508301]"
"[1736646588.5677135, 1736646588.5820093, 2.53873685503006]","[1736646620.4732225, 1736646620.4873466, 2.862937979221344]","[1736646652.225801, 1736646652.2381616, 2.448332820892334]","[1736646683.8478625, 1736646683.8605404, 2.6287515342235563]","[1736646715.3199573, 1736646715.3341043, 2.9618249702453614]"
"[1736646588.642383, 1736646588.6565526, 2.5162967600822452]","[1736646620.5472512, 1736646620.5614622, 2.9536758291721346]","[1736646652.2932236, 1736646652.3058653, 2.6012381651401517]","[1736646683.9122493, 1736646683.9241073, 2.458741632461548]","[1736646715.3930507, 1736646715.407129, 2.9474493598937994]"
"[1736646588.7131, 1736646588.7276828, 2.7243576371669773]","[1736646620.6511672, 1736646620.665291, 3.0568732145668305]","[1736646652.3600554, 1736646652.3728495, 2.7885201478004453]","[1736646683.974677, 1736646683.9867067, 2.585881067276001]","[1736646715.4686062, 1736646715.4834375, 3.2261498596668243]"
"[1736646588.7863774, 1736646588.8006833, 2.824500158071518]","[1736646620.7236428, 1736646620.737864, 3.078347534179687]","[1736646652.4250162, 1736646652.4369872, 2.60913861989975]","[1736646684.0503836, 1736646684.0630438, 2.863675974369049]","[1736646715.543945, 1736646715.558063, 3.21985402584076]"
"[1736646588.8588967, 1736646588.873076, 2.848460014538396]","[1736646620.7963586, 1736646620.8104448, 3.08326806306839]","[1736646652.4901376, 1736646652.5025172, 2.7907436656951905]","[1736646684.1161108, 1736646684.1287637, 2.863514741617033]","[1736646715.6170957, 1736646715.6312666, 3.235019262194634]"
"[1736646588.931287, 1736646588.9454386, 2.8469002799987795]","[1736646620.8687086, 1736646620.882809, 3.143819928407669]","[1736646652.5556998, 1736646652.5677798, 2.8398885004520418]","[1736646684.1826682, 1736646684.1951728, 2.9191436309814454]","[1736646715.6900966, 1736646715.7041743, 3.21414172410965]"
"[1736646589.0042667, 1736646589.0187113, 2.970500965118408]","[1736646620.941807, 1736646620.955902, 3.1200022275447843]","[1736646652.620609, 1736646652.632601, 2.819206027507782]","[1736646684.2488432, 1736646684.2616427, 3.0625751030445096]","[1736646715.764677, 1736646715.7788944, 3.244760799407959]"
"[1736646589.0768456, 1736646589.0913477, 3.041746663093567]","[1736646621.0142362, 1736646621.029579, 3.3566325912475583]","[1736646652.6860733, 1736646652.6984136, 2.8817455666065217]","[1736646684.3152125, 1736646684.327755, 3.0010569689830824]","[1736646715.8375568, 1736646715.8516688, 3.2193978023529053]"
"[1736646589.1505756, 1736646589.1652083, 3.050889269113541]","[1736646621.0887833, 1736646621.1027973, 3.0932133715152736]","[1736646652.7512598, 1736646652.7635548, 2.931683112382889]","[1736646684.381138, 1736646684.3940928, 3.0392142791748045]","[1736646715.9121697, 1736646715.9263442, 3.232760639190674]"
"[1736646589.2242022, 1736646589.238385, 2.924962632894516]","[1736646621.1621358, 1736646621.1761646, 3.129064961910248]","[1736646652.8181016, 1736646652.8304749, 2.9503298199176786]","[1736646684.4485521, 1736646684.4611187, 3.0065887269973754]","[1736646715.9890258, 1736646716.0031629, 3.2234972262382504]"
"[1736646589.296646, 1736646589.3111246, 3.033219760179519]","[1736646621.2349615, 1736646621.2492473, 3.186391180515289]","[1736646652.8851702, 1736646652.8975708, 2.9092987318038945]","[1736646684.5145924, 1736646684.5272894, 3.03779089808464]","[1736646716.0621102, 1736646716.0775926, 3.510206517219544]"
"[1736646589.3699846, 1736646589.3842306, 3.015775712966919]","[1736646621.3080373, 1736646621.323586, 3.3944691162109377]","[1736646652.9508164, 1736646652.9631236, 2.9381515264511116]","[1736646684.5813344, 1736646684.5938394, 2.930697071552276]","[1736646716.1366248, 1736646716.1506295, 3.1876954650878906]"
"[1736646589.4426925, 1736646589.4573977, 3.1129839072227483]","[1736646621.3836343, 1736646621.3978944, 3.1627372956275943]","[1736646653.0156813, 1736646653.0277996, 2.893071789741516]","[1736646684.6468668, 1736646684.6593719, 2.9860944628715513]","[1736646716.2113779, 1736646716.2255015, 3.209378575086594]"
"[1736646589.5156918, 1736646589.5300033, 3.0416484682559966]","[1736646621.4562817, 1736646621.4706233, 3.1827436380386356]","[1736646653.0812814, 1736646653.093773, 2.9393165726661685]","[1736646684.7137938, 1736646684.726357, 2.9999859223365783]","[1736646716.2838714, 1736646716.298012, 3.2081923913955688]"
"[1736646589.588483, 1736646589.602881, 3.072733598709106]","[1736646621.5291991, 1736646621.543482, 3.169727580070496]","[1736646653.1473105, 1736646653.1593447, 2.8826188087463382]","[1736646684.7797158, 1736646684.792211, 2.929818121433258]","[1736646716.3569534, 1736646716.3710427, 3.1745691573619843]"
"[1736646589.6613252, 1736646589.6756382, 3.040954534551972]","[1736646621.6024463, 1736646621.6167276, 3.1171020269393925]","[1736646653.212358, 1736646653.2247431, 2.966684482574463]","[1736646684.8463092, 1736646684.8587463, 2.969321550130844]","[1736646716.4332821, 1736646716.448519, 3.4569527978897097]"
"[1736646589.7337537, 1736646589.7479894, 3.0237697513103483]","[1736646621.67536, 1736646621.6896787, 3.1868281717300415]","[1736646653.276646, 1736646653.2889767, 2.91790420627594]","[1736646684.9138944, 1736646684.9262302, 2.9449836817994326]","[1736646716.50874, 1736646716.5229354, 3.2127105224132535]"
"[1736646589.8075917, 1736646589.8219082, 3.0648745994567874]","[1736646621.7482722, 1736646621.7625716, 3.1837487651109697]","[1736646653.341506, 1736646653.3538404, 2.9556425137519833]","[1736646684.9783528, 1736646684.9905815, 2.8516780722141264]","[1736646716.5814497, 1736646716.596216, 3.3248646206855774]"
"[1736646589.8803153, 1736646589.894638, 3.0512916593551633]","[1736646621.82137, 1736646621.8356469, 3.1789554991722104]","[1736646653.4069562, 1736646653.4192572, 2.947644099712372]","[1736646685.046409, 1736646685.0605414, 3.357090507507324]","[1736646716.6573813, 1736646716.6714957, 3.175241470336914]"
"[1736646589.952373, 1736646589.9667158, 3.0548143075704575]","[1736646621.8950932, 1736646621.9094462, 3.202392176628113]","[1736646653.4715044, 1736646653.4835932, 2.874178939819336]","[1736646685.116029, 1736646685.1291728, 3.1187636465622974]","[1736646716.7304504, 1736646716.7445376, 3.1971182518005374]"
"[1736646590.025125, 1736646590.0394292, 3.0451985464096074]","[1736646621.9681723, 1736646621.9825256, 3.199632129669189]","[1736646653.535032, 1736646653.5471253, 2.889556010246277]","[1736646685.1838756, 1736646685.196621, 2.967659863471985]","[1736646716.8031867, 1736646716.8173482, 3.2138620815638035]"
"[1736646590.0983176, 1736646590.1125698, 3.0492123999595644]","[1736646622.041592, 1736646622.055944, 3.1998235416412353]","[1736646653.6000364, 1736646653.6121457, 2.9016013669967653]","[1736646685.2494922, 1736646685.2622063, 3.0160119435787207]","[1736646716.876449, 1736646716.890517, 3.16177195429802]"
"[1736646590.1706824, 1736646590.185027, 3.0570469629764556]","[1736646622.1147385, 1736646622.1291108, 3.205033779144287]","[1736646653.6664157, 1736646653.6788557, 2.9739356400966646]","[1736646685.315419, 1736646685.3286254, 3.131430063924528]","[1736646716.949131, 1736646716.963265, 3.1906216726303103]"
"[1736646590.24289, 1736646590.2571852, 3.0465798861980433]","[1736646622.1824172, 1736646622.1946166, 2.7220159378051756]","[1736646653.7319968, 1736646653.7443457, 2.9515382273197175]","[1736646685.3831725, 1736646685.3957658, 2.928350701332092]","[1736646717.0222182, 1736646717.0364313, 3.2288576245307925]"
"[1736646590.3154492, 1736646590.329771, 3.0614574766159057]","[1736646622.2481296, 1736646622.2607975, 2.8275851271753036]","[1736646653.7977364, 1736646653.8100786, 2.9491598327159885]","[1736646685.4479194, 1736646685.4606278, 3.0168023009300233]","[1736646717.0955536, 1736646717.1097023, 3.2142336845397947]"
"[1736646590.3883986, 1736646590.4027047, 3.070253955841064]","[1736646622.3150253, 1736646622.327306, 2.741200186729431]","[1736646653.8640425, 1736646653.8762407, 2.9193975424766543]","[1736646685.5137482, 1736646685.5259938, 2.906947072029114]","[1736646717.1685872, 1736646717.182848, 3.2218642115592955]"
"[1736646590.4555776, 1736646590.4679372, 2.6447907125949857]","[1736646622.3806493, 1736646622.3929074, 2.783534119606018]","[1736646653.9288487, 1736646653.940934, 2.8913643348217013]","[1736646685.5793543, 1736646685.5919757, 2.939663533687592]","[1736646717.241529, 1736646717.255718, 3.2187757611274717]"
"[1736646590.520659, 1736646590.5334058, 2.720194942474365]","[1736646622.4456353, 1736646622.4581165, 2.8106950716972348]","[1736646653.9938998, 1736646654.0058632, 2.85613434791565]","[1736646685.6440806, 1736646685.6564193, 2.934745121002197]","[1736646717.3145776, 1736646717.3287137, 3.21010072350502]"
"[1736646590.586183, 1736646590.5987248, 2.7311462059020997]","[1736646622.510933, 1736646622.5232964, 2.777766860961914]","[1736646654.058827, 1736646654.0706427, 2.832314885616302]","[1736646685.709764, 1736646685.7219026, 2.887167227268219]","[1736646717.3883958, 1736646717.4029648, 3.309504060745239]"
"[1736646590.6514366, 1736646590.664109, 2.7509733493328095]","[1736646622.5765402, 1736646622.5889392, 2.8274956262111663]","[1736646654.1235876, 1736646654.1355622, 2.8703770279884337]","[1736646685.7735395, 1736646685.7860684, 2.92857940196991]","[1736646717.461861, 1736646717.475964, 3.189757220506668]"
"[1736646590.716365, 1736646590.7287319, 2.652313892841339]","[1736646622.6416492, 1736646622.6539822, 2.813886092782021]","[1736646654.1890054, 1736646654.2012396, 2.9209423370361325]","[1736646685.83891, 1736646685.851323, 2.9528777766227727]","[1736646717.5298243, 1736646717.5417492, 2.7115978231430056]"
"[1736646590.7818575, 1736646590.7940843, 2.6813049437999728]","[1736646622.7070534, 1736646622.7194834, 2.839871275424957]","[1736646654.254573, 1736646654.2668781, 2.9534881241321567]","[1736646685.9046366, 1736646685.9169114, 2.920038404464721]","[1736646717.5938096, 1736646717.605654, 2.693273652076721]"
"[1736646590.8481848, 1736646590.8602264, 2.6395711928869607]","[1736646622.7730122, 1736646622.7852778, 2.8124718704223635]","[1736646654.3196347, 1736646654.3315134, 2.851168138742447]","[1736646685.9702027, 1736646685.9824684, 2.8744994254112246]","[1736646717.6573086, 1736646717.6692889, 2.748387537240982]"
"[1736646590.9131806, 1736646590.9256432, 2.714619472503662]","[1736646622.8381827, 1736646622.8505244, 2.830092996097297]","[1736646654.3841872, 1736646654.3966072, 2.9704768204689023]","[1736646686.0355678, 1736646686.047587, 2.8622301263809207]","[1736646717.7234626, 1736646717.7349894, 2.6489676768779753]"
"[1736646591.0131533, 1736646591.0254917, 2.7147687735557557]","[1736646622.9028208, 1736646622.914886, 2.773035047054291]","[1736646654.4489846, 1736646654.4612842, 2.9538077659606934]","[1736646686.1016185, 1736646686.1147194, 3.1198262956142426]","[1736646717.7876806, 1736646717.7995965, 2.738386156797409]"
"[1736646591.0809429, 1736646591.093232, 2.707866981506348]","[1736646622.9678867, 1736646622.980192, 2.868860552787781]","[1736646654.5141976, 1736646654.5260332, 2.8423843746185304]","[1736646686.1684427, 1736646686.1808884, 2.9233926038742064]","[1736646717.8528721, 1736646717.8648398, 2.7612979602813716]"
"[1736646591.1458197, 1736646591.158149, 2.716745406150818]","[1736646623.0354424, 1736646623.0476167, 2.8383443076610564]","[1736646654.578695, 1736646654.5911753, 2.982794367313385]","[1736646686.2336864, 1736646686.2457974, 2.8891878890991216]","[1736646717.9174087, 1736646717.928867, 2.6765830560936346]"
