epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736634543.0515187, 1736634543.0775945, 2.312092580795288]","[1736634571.5410295, 1736634571.5413017, 0.03996465253829956]","[1736634600.831112, 1736634600.8313699, 0.044168145656585694]","[1736634629.8290396, 1736634629.82924, 0.033683879613876345]","[1736634659.0892804, 1736634659.0895631, 0.044209371089935307]"
"[1736634543.2455444, 1736634543.2456903, 0.013462732315063477]","[1736634571.5904818, 1736634571.5906086, 0.01861750888824463]","[1736634600.8831267, 1736634600.8832633, 0.023390339612960817]","[1736634629.8806221, 1736634629.8807487, 0.021100213050842285]","[1736634659.1444807, 1736634659.1446016, 0.01889894700050354]"
"[1736634543.3101244, 1736634543.3102672, 0.013821415901184082]","[1736634571.641288, 1736634571.6414075, 0.017787436008453367]","[1736634600.9407306, 1736634600.940838, 0.01829847717285156]","[1736634629.9385667, 1736634629.9386935, 0.021139949798583985]","[1736634659.19896, 1736634659.199064, 0.01657168483734131]"
"[1736634543.372857, 1736634543.3730042, 0.014236750602722168]","[1736634571.697891, 1736634571.6980093, 0.017835247030699813]","[1736634600.9914243, 1736634600.9915192, 0.016291576385498045]","[1736634629.9918559, 1736634629.9919856, 0.021927032470703125]","[1736634659.2472317, 1736634659.2473257, 0.014975329875946046]"
"[1736634543.4335237, 1736634543.433673, 0.015434094905853271]","[1736634571.7522435, 1736634571.7523644, 0.018292621850967406]","[1736634601.0401235, 1736634601.0402384, 0.019729999542236327]","[1736634630.0412107, 1736634630.041337, 0.021362733840942384]","[1736634659.2956505, 1736634659.2957513, 0.016397272825241088]"
"[1736634543.488446, 1736634543.4885864, 0.014521856069564819]","[1736634571.8024747, 1736634571.802593, 0.018351497650146483]","[1736634601.093643, 1736634601.093749, 0.01834998607635498]","[1736634630.1004934, 1736634630.1006384, 0.02501432800292969]","[1736634659.3514886, 1736634659.3515866, 0.01593210196495056]"
"[1736634543.5781522, 1736634543.578311, 0.018373217582702637]","[1736634571.852425, 1736634571.8525422, 0.018166502714157106]","[1736634601.1488237, 1736634601.1489403, 0.020164366722106933]","[1736634630.1564329, 1736634630.1565564, 0.021311549186706545]","[1736634659.4051294, 1736634659.4052272, 0.016135175228118897]"
"[1736634543.6379886, 1736634543.638166, 0.02207855987548828]","[1736634571.9060795, 1736634571.9061975, 0.019007967710494997]","[1736634601.2026663, 1736634601.202784, 0.020621768474578858]","[1736634630.2120886, 1736634630.2122083, 0.021267506599426268]","[1736634659.4608114, 1736634659.4609165, 0.017355151891708373]"
"[1736634543.7215388, 1736634543.7217124, 0.023019899368286134]","[1736634571.9666896, 1736634571.9668152, 0.02023676562309265]","[1736634601.2559054, 1736634601.2560027, 0.0170317440032959]","[1736634630.2662735, 1736634630.2663949, 0.02156406545639038]","[1736634659.5165787, 1736634659.5166748, 0.01659693908691406]"
"[1736634543.781242, 1736634543.781419, 0.023494210481643678]","[1736634572.021914, 1736634572.0220337, 0.020631255149841307]","[1736634601.309431, 1736634601.3095307, 0.01769155931472778]","[1736634630.320191, 1736634630.320317, 0.022737027168273926]","[1736634659.570523, 1736634659.5706136, 0.01653469085693359]"
"[1736634543.8441718, 1736634543.8443363, 0.023991966247558595]","[1736634572.0777087, 1736634572.0778313, 0.021124432563781735]","[1736634601.363972, 1736634601.364068, 0.017056694746017453]","[1736634630.378752, 1736634630.378874, 0.0230333251953125]","[1736634659.6249967, 1736634659.6250918, 0.01736142539978027]"
"[1736634543.9027548, 1736634543.902903, 0.021627540588378905]","[1736634572.1358247, 1736634572.1359491, 0.022871127605438232]","[1736634601.4179707, 1736634601.418064, 0.017654422760009766]","[1736634630.4574485, 1736634630.457577, 0.024247973203659057]","[1736634659.6793685, 1736634659.6794617, 0.01799383211135864]"
"[1736634543.9607332, 1736634543.9608872, 0.02404689311981201]","[1736634572.1936111, 1736634572.1937337, 0.022520612239837645]","[1736634601.471302, 1736634601.4714034, 0.019140636920928954]","[1736634630.5160036, 1736634630.5161278, 0.024650432586669924]","[1736634659.7334623, 1736634659.733552, 0.017303531646728515]"
"[1736634544.0185137, 1736634544.0186534, 0.02339415168762207]","[1736634572.2497697, 1736634572.2498856, 0.02234418296813965]","[1736634601.5260122, 1736634601.52611, 0.01951190710067749]","[1736634630.571769, 1736634630.5718925, 0.02450849151611328]","[1736634659.7884908, 1736634659.7885814, 0.018538289070129395]"
"[1736634544.0723083, 1736634544.0724385, 0.02179728126525879]","[1736634572.3074322, 1736634572.3075492, 0.023768811702728272]","[1736634601.579221, 1736634601.5793183, 0.01941672706604004]","[1736634630.627212, 1736634630.6273248, 0.02344619846343994]","[1736634659.8441002, 1736634659.844193, 0.018977353811264037]"
"[1736634544.1259408, 1736634544.1260672, 0.02281008243560791]","[1736634572.3625288, 1736634572.3626413, 0.022849040985107424]","[1736634601.6321588, 1736634601.6322622, 0.021740437507629395]","[1736634630.6831577, 1736634630.6832774, 0.026021678924560546]","[1736634659.8987205, 1736634659.898815, 0.020433780670166015]"
"[1736634544.1804218, 1736634544.180548, 0.02276704454421997]","[1736634572.420077, 1736634572.4201941, 0.025173456907272337]","[1736634601.6867552, 1736634601.6868722, 0.025856990814208985]","[1736634630.7394166, 1736634630.7395446, 0.02783593940734863]","[1736634659.9527507, 1736634659.952842, 0.019762974739074707]"
"[1736634544.2352676, 1736634544.235396, 0.024780197620391846]","[1736634572.4750817, 1736634572.475207, 0.026967898845672605]","[1736634601.740337, 1736634601.7404475, 0.024435119628906248]","[1736634630.797129, 1736634630.7972531, 0.02839144825935364]","[1736634660.0074394, 1736634660.0075297, 0.020515751123428346]"
"[1736634544.2892125, 1736634544.2893379, 0.024227479457855222]","[1736634572.5320306, 1736634572.532151, 0.027334846258163452]","[1736634601.7933764, 1736634601.7934844, 0.02504701066017151]","[1736634630.8527143, 1736634630.8528385, 0.02839144825935364]","[1736634660.0621445, 1736634660.062248, 0.023492970943450927]"
