epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736634542.7398539, 1736634542.7512064, 0.5721112060546876]","[1736634571.5260947, 1736634571.5313592, 0.7727316048145295]","[1736634600.8156643, 1736634600.8213966, 0.9814553844928742]","[1736634629.8143878, 1736634629.8193765, 0.8380517206192017]","[1736634659.0730531, 1736634659.0793817, 0.9894549293518067]"
"[1736634543.228859, 1736634543.2351723, 0.5825051498413086]","[1736634571.5759902, 1736634571.5811322, 0.7547440116405487]","[1736634600.8688102, 1736634600.8737383, 0.843766701221466]","[1736634629.8664327, 1736634629.8712375, 0.8071714932918549]","[1736634659.1297278, 1736634659.1350365, 0.8299880747795105]"
"[1736634543.2935972, 1736634543.29981, 0.5732220239639283]","[1736634571.6268678, 1736634571.6319263, 0.7532854886054992]","[1736634600.9269152, 1736634600.9313507, 0.7548223266601561]","[1736634629.9241908, 1736634629.9291584, 0.827954875946045]","[1736634659.1847637, 1736634659.1894977, 0.7546958122253418]"
"[1736634543.3564572, 1736634543.3625512, 0.589775276184082]","[1736634571.6836834, 1736634571.68856, 0.7261960401535034]","[1736634600.9772158, 1736634600.9820352, 0.8201450500488281]","[1736634629.9773858, 1736634629.982445, 0.8553154945373536]","[1736634659.2335978, 1736634659.237826, 0.6740798866748811]"
"[1736634543.418441, 1736634543.424169, 0.5923388659954071]","[1736634571.7383194, 1736634571.7429118, 0.6949753098487854]","[1736634601.0263922, 1736634601.0307689, 0.7514182605743407]","[1736634630.0268846, 1736634630.0318246, 0.8351619720458985]","[1736634659.2811253, 1736634659.286222, 0.8286631233692169]"
"[1736634543.4732761, 1736634543.479079, 0.6000805685520172]","[1736634571.7884297, 1736634571.7931287, 0.7111031243801116]","[1736634601.0801363, 1736634601.084282, 0.7117535934448241]","[1736634630.086303, 1736634630.0910623, 0.8212763414382935]","[1736634659.3378782, 1736634659.3420694, 0.681436546087265]"
"[1736634543.5631726, 1736634543.5688088, 0.65216646194458]","[1736634571.838205, 1736634571.8430965, 0.7590712213516235]","[1736634601.1351073, 1736634601.1394663, 0.7539163942337035]","[1736634630.1423001, 1736634630.147055, 0.820494643688202]","[1736634659.3897405, 1736634659.3957107, 0.9854656655788421]"
"[1736634543.622322, 1736634543.6286488, 0.7874686355590821]","[1736634571.8921149, 1736634571.8967268, 0.7268109178543091]","[1736634601.1875093, 1736634601.193307, 1.0145705909624132]","[1736634630.1981015, 1736634630.2027025, 0.81757040309906]","[1736634659.447243, 1736634659.451387, 0.6840133674144745]"
"[1736634543.7057624, 1736634543.7121248, 0.8349286068495796]","[1736634571.952607, 1736634571.9573624, 0.7659250988960267]","[1736634601.24185, 1736634601.2465432, 0.8217399036884308]","[1736634630.2521248, 1736634630.2568908, 0.8468873643875122]","[1736634659.5024095, 1736634659.507169, 0.8221456451416015]"
"[1736634543.7647476, 1736634543.7718446, 0.9412545940876007]","[1736634572.0080283, 1736634572.0125709, 0.7830424389839172]","[1736634601.2955844, 1736634601.300074, 0.7970089795589446]","[1736634630.305948, 1736634630.3107634, 0.86809024143219]","[1736634659.5566087, 1736634659.5611107, 0.777667495727539]"
"[1736634543.8278296, 1736634543.834777, 1.0132259368896483]","[1736634572.0626147, 1736634572.0683684, 0.9918208775520324]","[1736634601.349232, 1736634601.3546336, 0.958899444580078]","[1736634630.3647003, 1736634630.369368, 0.8414849109649658]","[1736634659.6113236, 1736634659.6155832, 0.7773915443420409]"
"[1736634543.8878288, 1736634543.8933854, 0.8103721237182618]","[1736634572.1219, 1736634572.126497, 0.8447858455181121]","[1736634601.4047842, 1736634601.4086225, 0.7250473265647888]","[1736634630.4221244, 1736634630.4267108, 0.8654142124652862]","[1736634659.6653898, 1736634659.66996, 0.8483613562646735]"
"[1736634543.9455178, 1736634543.9513562, 0.9115484809875488]","[1736634572.1794608, 1736634572.1842887, 0.887242019176483]","[1736634601.456138, 1736634601.4619458, 1.0970962715148924]","[1736634630.501795, 1736634630.5065637, 0.946321117401123]","[1736634659.7196283, 1736634659.724046, 0.8527051539421081]"
"[1736634544.0035975, 1736634544.0091536, 0.9063400344848631]","[1736634572.235904, 1736634572.240438, 0.874319603919983]","[1736634601.5125499, 1736634601.5166473, 0.8178820376396179]","[1736634630.557665, 1736634630.562344, 0.9285311698913575]","[1736634659.7740576, 1736634659.7790751, 1.026679719686508]"
"[1736634544.0584555, 1736634544.0629616, 0.7545212745666503]","[1736634572.293401, 1736634572.2981136, 0.9459314749011083]","[1736634601.5654223, 1736634601.56986, 0.8857929923534393]","[1736634630.6129162, 1736634630.617788, 1.012895601272583]","[1736634659.8296356, 1736634659.8346894, 1.03409503531456]"
"[1736634544.1124148, 1736634544.1166005, 0.755573221206665]","[1736634572.3484938, 1736634572.3532102, 0.9576265439987182]","[1736634601.6175025, 1736634601.6228044, 1.1139720029830933]","[1736634630.6691892, 1736634630.673739, 0.9459277067184448]","[1736634659.8851502, 1736634659.8893135, 0.9010471668243408]"
"[1736634544.1669335, 1736634544.1710868, 0.7497200679779054]","[1736634572.4061782, 1736634572.4107463, 0.9823287868499756]","[1736634601.673219, 1736634601.6773896, 0.8762798924446106]","[1736634630.7252934, 1736634630.7299812, 1.0191997032165527]","[1736634659.9380379, 1736634659.9433265, 1.1446013202667236]"
"[1736634544.2214344, 1736634544.2259293, 0.8683662931919097]","[1736634572.4612687, 1736634572.4657636, 0.9665889675617217]","[1736634601.7265203, 1736634601.7309735, 0.9836188888549804]","[1736634630.782993, 1736634630.7877064, 1.0772947037220002]","[1736634659.9938943, 1736634659.9980295, 0.9388527374267579]"
"[1736634544.2753844, 1736634544.2798717, 0.8668923780918121]","[1736634572.5177703, 1736634572.5226977, 1.1186718170642853]","[1736634601.7786658, 1736634601.7840261, 1.1839974021911621]","[1736634630.838641, 1736634630.8432834, 1.0611099433898925]","[1736634660.04841, 1736634660.0527232, 0.97928879570961]"
"[1736634544.3297384, 1736634544.3342292, 0.9146743535995483]","[1736634572.5773513, 1736634572.5818276, 1.0162608683109284]","[1736634601.8328953, 1736634601.8373704, 1.037819845676422]","[1736634630.8925674, 1736634630.896833, 1.024558747768402]","[1736634660.100947, 1736634660.1060116, 1.2030901787281036]"
