epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641951.7893684, 1736641951.7967126, 0.7497887535095215]","[1736642029.3668797, 1736642029.3726184, 1.0820901703834533]","[1736642106.5878246, 1736642106.5926254, 0.9406923174506059]","[1736642184.1459677, 1736642184.1508334, 1.011921931028366]","[1736642262.0271163, 1736642262.0329664, 1.0732492167949677]"
"[1736641952.014903, 1736641952.0304635, 1.7387776427268982]","[1736642029.5169194, 1736642029.532011, 2.642005952835083]","[1736642106.7381139, 1736642106.7539802, 2.98257497215271]","[1736642184.3102314, 1736642184.325996, 3.1304778904914854]","[1736642262.180338, 1736642262.1955752, 2.8132075452804566]"
"[1736641952.1738212, 1736641952.1892333, 2.0324696600437164]","[1736642029.6731555, 1736642029.6883717, 2.620457967758179]","[1736642106.9373667, 1736642106.9524906, 2.7560029950141907]","[1736642184.4658892, 1736642184.4814627, 2.9568005847930907]","[1736642262.3351443, 1736642262.3506608, 2.7760915451049804]"
"[1736641952.3452995, 1736641952.3612344, 2.5186932077407835]","[1736642029.8253732, 1736642029.841176, 3.0224708561897278]","[1736642107.095035, 1736642107.1110425, 3.1236405801773075]","[1736642184.6196847, 1736642184.6353507, 2.98587845993042]","[1736642262.4862015, 1736642262.5021198, 3.0505584416389464]"
"[1736641952.5071971, 1736641952.5236096, 2.846701364994049]","[1736642029.9787116, 1736642029.9941595, 3.115399812698364]","[1736642107.2602916, 1736642107.2756934, 3.201473277807236]","[1736642184.7773333, 1736642184.7932649, 3.4111480865478514]","[1736642262.6439571, 1736642262.659058, 3.2329938640594484]"
"[1736641952.6647165, 1736641952.6803358, 3.1327585792541504]","[1736642030.1372, 1736642030.1529133, 3.5742378478050236]","[1736642107.4179204, 1736642107.433314, 3.5342319903373713]","[1736642184.9324753, 1736642184.948225, 3.538987497806549]","[1736642262.799343, 1736642262.814945, 3.5157105495929715]"
"[1736641952.8262846, 1736641952.8421552, 3.5879711108207704]","[1736642030.2926428, 1736642030.308521, 3.868773125886917]","[1736642107.5768857, 1736642107.5922048, 3.8266980998516087]","[1736642185.086949, 1736642185.1028268, 3.9583800277709957]","[1736642262.9539187, 1736642262.9696543, 3.917840480804444]"
"[1736641952.9876347, 1736641953.0030231, 3.679156837463379]","[1736642030.4504128, 1736642030.4661565, 4.121898080825806]","[1736642107.7341878, 1736642107.749412, 4.010607190132141]","[1736642185.2466042, 1736642185.2621307, 4.137030273914337]","[1736642263.108951, 1736642263.1246707, 4.07958775457634]"
"[1736641953.1469088, 1736641953.1627219, 4.075054842233658]","[1736642030.6101706, 1736642030.6253996, 4.034645915031433]","[1736642107.8948991, 1736642107.9107347, 4.17630264043808]","[1736642185.4086616, 1736642185.4246821, 4.27804394364357]","[1736642263.268022, 1736642263.2839787, 4.287262013912201]"
"[1736641953.3057103, 1736641953.3220122, 4.135935803174973]","[1736642030.7661793, 1736642030.7816725, 4.128228489160538]","[1736642108.0573897, 1736642108.0724814, 3.945894989490509]","[1736642185.5653844, 1736642185.5804677, 4.045646209716797]","[1736642263.4219615, 1736642263.4372587, 4.098546166896821]"
"[1736641953.4666867, 1736641953.4824066, 4.041772510528565]","[1736642030.9541764, 1736642030.9699714, 4.199635771751404]","[1736642108.2163684, 1736642108.2317035, 4.091139450073242]","[1736642185.7237487, 1736642185.7388246, 4.048126275062561]","[1736642263.5781984, 1736642263.5940623, 4.2678003282547]"
"[1736641953.62811, 1736641953.644042, 4.127237998962403]","[1736642031.1101868, 1736642031.1255946, 4.089415192604065]","[1736642108.3740344, 1736642108.3894083, 4.114061658010812]","[1736642185.8833659, 1736642185.8985114, 4.054824614524842]","[1736642263.734491, 1736642263.7497337, 4.081093186378479]"
"[1736641953.7854936, 1736641953.8011303, 4.009261032342911]","[1736642031.2660198, 1736642031.2815263, 4.06075074338913]","[1736642108.5346675, 1736642108.5506065, 4.240729613304139]","[1736642186.0420225, 1736642186.0579827, 4.260083632469177]","[1736642263.8957882, 1736642263.9112368, 4.167174582481384]"
"[1736641953.9455533, 1736641953.9617553, 4.2052058801651]","[1736642031.418932, 1736642031.4339528, 4.000337037563324]","[1736642108.6917834, 1736642108.7071047, 4.101729710102081]","[1736642186.2009869, 1736642186.216656, 4.167919901847839]","[1736642264.0487003, 1736642264.063951, 4.107634164333343]"
"[1736641954.1068814, 1736641954.122438, 3.9951317799091344]","[1736642031.5745142, 1736642031.590187, 4.1184207680225375]","[1736642108.8523514, 1736642108.8675625, 4.041164779663086]","[1736642186.360673, 1736642186.376187, 4.158532955169678]","[1736642264.205362, 1736642264.2209487, 4.206858456134795]"
"[1736641954.2692027, 1736641954.2852013, 4.135878573656083]","[1736642031.730553, 1736642031.74585, 4.080490691184997]","[1736642109.0173817, 1736642109.0331912, 4.223723061084748]","[1736642186.517551, 1736642186.5331016, 4.145093755722046]","[1736642264.3586097, 1736642264.3735454, 4.023372520208359]"
"[1736641954.4274774, 1736641954.4434793, 4.170745582580567]","[1736642031.8839219, 1736642031.8994532, 4.101464118480682]","[1736642109.175309, 1736642109.1913614, 4.289384386539458]","[1736642186.6762378, 1736642186.6914654, 4.103171618700027]","[1736642264.5182853, 1736642264.5339558, 4.228996089458465]"
"[1736641954.6211953, 1736641954.6348624, 3.48944466304779]","[1736642032.0391388, 1736642032.0547843, 4.146903416633605]","[1736642109.3375783, 1736642109.3535733, 4.234107215881348]","[1736642186.830311, 1736642186.8458023, 4.150585347414017]","[1736642264.6723485, 1736642264.687812, 4.174628242254257]"
