epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736654356.8471217, 1736654356.8473573, 0.012295868873596192]","[1736654434.1358793, 1736654434.1362429, 0.06694861054420471]","[1736654511.4195778, 1736654511.419945, 0.06702553272247315]","[1736654588.9137285, 1736654588.9140003, 0.05182628631591797]","[1736654666.2124994, 1736654666.2127593, 0.04912284851074219]"
"[1736654357.0396032, 1736654357.0397556, 0.010139619112014771]","[1736654434.3185089, 1736654434.3186138, 0.019347896575927732]","[1736654511.6097114, 1736654511.6098547, 0.02572448921203613]","[1736654589.0997307, 1736654589.0998816, 0.028322659492492675]","[1736654666.394616, 1736654666.394741, 0.024207518880857357]"
"[1736654357.2236218, 1736654357.223767, 0.02102364206314087]","[1736654434.498527, 1736654434.4986265, 0.018401947975158692]","[1736654511.7925608, 1736654511.7926736, 0.02018257713317871]","[1736654589.2813604, 1736654589.2814915, 0.0240669846534729]","[1736654666.575073, 1736654666.5751624, 0.017157286405563354]"
"[1736654357.4056647, 1736654357.4058032, 0.022365216493606566]","[1736654434.6782162, 1736654434.67832, 0.020125744342803956]","[1736654511.9744203, 1736654511.9745338, 0.022772236824035643]","[1736654589.4645088, 1736654589.4646213, 0.022293575286865232]","[1736654666.7580884, 1736654666.75818, 0.018437896728515625]"
"[1736654357.5857425, 1736654357.5858703, 0.023853721618652343]","[1736654434.8600771, 1736654434.860179, 0.021672497034072875]","[1736654512.156673, 1736654512.1567926, 0.026717066894213302]","[1736654589.6467273, 1736654589.646838, 0.02433102035522461]","[1736654666.938451, 1736654666.9385488, 0.021554231643676758]"
"[1736654357.7657895, 1736654357.7659187, 0.027391371726989747]","[1736654435.042135, 1736654435.0422373, 0.023776271581649782]","[1736654512.3414671, 1736654512.3415775, 0.025904484748840332]","[1736654589.8279207, 1736654589.8280394, 0.028869083404541016]","[1736654667.1211774, 1736654667.1212611, 0.020174091339111327]"
"[1736654357.946614, 1736654357.946758, 0.034110998153686525]","[1736654435.2224023, 1736654435.2224984, 0.024242046356201172]","[1736654512.528983, 1736654512.529101, 0.029915220737457275]","[1736654590.0113547, 1736654590.0114625, 0.027462128639221192]","[1736654667.3058007, 1736654667.305898, 0.025257980346679688]"
"[1736654358.1337078, 1736654358.1338444, 0.03370154285430908]","[1736654435.402068, 1736654435.4021664, 0.025189106225967407]","[1736654512.7121248, 1736654512.712238, 0.028833037614822386]","[1736654590.1939025, 1736654590.1940167, 0.029210258483886718]","[1736654667.5264976, 1736654667.5265858, 0.02223041296005249]"
"[1736654358.3509064, 1736654358.3510454, 0.03366504526138306]","[1736654435.5822852, 1736654435.5823948, 0.02778367519378662]","[1736654512.894108, 1736654512.8942213, 0.02883960604667664]","[1736654590.3746445, 1736654590.3747427, 0.025162692070007327]","[1736654667.7081697, 1736654667.7082536, 0.021224464416503906]"
"[1736654358.532166, 1736654358.532296, 0.03161940336227417]","[1736654435.761546, 1736654435.7616396, 0.02376428246498108]","[1736654513.0764756, 1736654513.0765862, 0.0281823616027832]","[1736654590.5563753, 1736654590.55649, 0.029508140087127686]","[1736654667.88882, 1736654667.888906, 0.022169680595397947]"
"[1736654358.7165155, 1736654358.7166526, 0.03348426222801208]","[1736654435.9419003, 1736654435.9419913, 0.02316078281402588]","[1736654513.2587602, 1736654513.2588894, 0.03298013162612915]","[1736654590.7376804, 1736654590.7377741, 0.024157066583633424]","[1736654668.0694363, 1736654668.0695207, 0.021677003860473634]"
"[1736654358.9010715, 1736654358.901224, 0.03784147596359253]","[1736654436.122668, 1736654436.122763, 0.024150794982910156]","[1736654513.4440842, 1736654513.444209, 0.03197255229949951]","[1736654590.9175792, 1736654590.917683, 0.02653815865516663]","[1736654668.2507162, 1736654668.2508101, 0.023971574783325195]"
"[1736654359.083093, 1736654359.0832443, 0.03766984820365906]","[1736654436.3029847, 1736654436.303079, 0.0243017578125]","[1736654513.6258333, 1736654513.6259577, 0.0318853669166565]","[1736654591.09776, 1736654591.0978756, 0.029610491991043087]","[1736654668.4311547, 1736654668.4312425, 0.022162891387939455]"
"[1736654359.265053, 1736654359.2652037, 0.037239189147949214]","[1736654436.4820096, 1736654436.482102, 0.023588034868240355]","[1736654513.8095574, 1736654513.8096702, 0.028924436092376708]","[1736654591.2768774, 1736654591.2769744, 0.02485314702987671]","[1736654668.6146784, 1736654668.6147852, 0.027687683105468753]"
"[1736654359.4461455, 1736654359.4462664, 0.030128533601760866]","[1736654436.6620355, 1736654436.6621325, 0.0246871178150177]","[1736654513.9912114, 1736654513.9913273, 0.029714996337890622]","[1736654591.4564726, 1736654591.4565656, 0.023856897354125977]","[1736654668.799968, 1736654668.8000875, 0.03093432855606079]"
"[1736654359.627745, 1736654359.6278443, 0.02475502038002014]","[1736654436.8420906, 1736654436.8421855, 0.02413561248779297]","[1736654514.1735232, 1736654514.1736355, 0.028776867628097537]","[1736654591.6366005, 1736654591.6367602, 0.04145648002624512]","[1736654668.9834476, 1736654668.9835706, 0.031679045677185054]"
"[1736654359.8062146, 1736654359.8063135, 0.024491437673568726]","[1736654437.021432, 1736654437.0215273, 0.02428264617919922]","[1736654514.355903, 1736654514.3560283, 0.03213270902633667]","[1736654591.816555, 1736654591.8166776, 0.03154118537902832]","[1736654669.1666427, 1736654669.166761, 0.030511486053466794]"
"[1736654359.9855504, 1736654359.985656, 0.026102997303009034]","[1736654437.2009585, 1736654437.2010546, 0.02481969547271728]","[1736654514.5397568, 1736654514.5398781, 0.031043715715408326]","[1736654591.9966247, 1736654591.996727, 0.026273476123809817]","[1736654669.347882, 1736654669.3480186, 0.0352556619644165]"
"[1736654360.1968184, 1736654360.196924, 0.026042160511016845]","[1736654437.3814383, 1736654437.3815398, 0.025977413177490236]","[1736654514.7258263, 1736654514.7259676, 0.03618649578094483]","[1736654592.1771374, 1736654592.1773665, 0.058907046556472775]","[1736654669.528625, 1736654669.5287435, 0.030544681072235107]"
