timestamp,power_in_watts,step
1736643061.262302,102.472,idle
1736643061.403577,102.471,idle
1736643061.7514937,102.447,idle
1736643061.9422176,102.422,idle
1736643061.9453034,102.422,idle
1736643061.9580586,102.422,idle
1736643061.9624698,102.422,idle
1736643061.965103,102.422,idle
1736643061.9680824,102.422,idle
1736643061.970931,102.422,idle
1736643061.9735465,102.422,idle
1736643061.9761777,102.422,idle
1736643061.9790485,102.422,idle
1736643061.981835,102.422,idle
1736643061.9844742,102.417,idle
1736643061.987461,102.417,idle
1736643061.990333,102.417,idle
1736643061.9930406,102.417,idle
1736643061.995661,102.417,idle
1736643061.998278,102.417,idle
1736643062.0008872,102.417,idle
1736643062.0035276,102.417,idle
1736643062.006134,102.417,idle
1736643062.0091102,102.417,idle
1736643062.011791,102.417,idle
1736643062.0144014,102.417,idle
1736643062.0173855,102.417,idle
1736643062.020549,102.417,idle
1736643062.023336,102.417,idle
1736643062.0260496,102.417,idle
1736643062.0290794,102.417,idle
1736643062.0318265,102.417,idle
1736643062.0346518,102.417,idle
1736643062.0374565,102.417,idle
1736643062.0402756,102.417,idle
1736643062.0430918,102.417,idle
1736643062.046317,102.417,idle
1736643062.0494723,102.417,idle
1736643062.052254,102.417,idle
1736643062.0550463,102.417,idle
1736643062.0577557,102.417,idle
1736643062.0605817,102.417,idle
1736643062.063373,102.417,idle
1736643062.0661244,102.417,idle
1736643062.0691402,102.417,idle
1736643062.0718863,102.417,idle
1736643062.0747018,102.417,idle
1736643062.0775025,102.417,idle
1736643062.0803375,102.417,idle
1736643062.0831523,102.423,idle
1736643062.0863996,102.423,idle
1736643062.089606,102.423,idle
1736643062.0924938,102.423,idle
1736643062.095309,102.423,idle
1736643062.097962,102.423,idle
1736643062.1006384,102.423,idle
1736643062.1033318,102.423,idle
1736643062.1067162,102.423,idle
1736643062.1099937,102.423,idle
1736643062.1129024,102.423,idle
1736643062.115703,102.423,idle
1736643062.1183553,102.423,idle
1736643062.1210265,102.423,idle
1736643062.1237588,102.423,idle
1736643062.126597,102.423,idle
1736643062.1297803,102.423,idle
1736643062.1329677,102.423,idle
1736643062.1357634,102.423,idle
1736643062.138429,102.423,idle
1736643062.141126,102.423,idle
1736643062.1439424,102.423,idle
1736643062.146795,102.423,idle
1736643062.1499689,102.423,idle
1736643062.1528587,102.423,idle
1736643062.155718,102.423,idle
1736643062.1585052,102.423,idle
1736643062.1611714,102.423,idle
1736643062.1638925,102.423,idle
1736643062.1668267,102.423,idle
1736643062.1700957,102.423,idle
1736643062.176203,102.423,to_device
1736643062.1790483,102.423,to_device
1736643062.1818926,102.423,to_device
1736643062.184863,102.372,to_device
1736643062.1904843,102.372,forward
1736643062.1935186,102.372,forward
1736643062.1966846,102.372,forward
1736643062.1995826,102.372,forward
1736643062.2023623,102.372,forward
1736643062.2051904,102.372,forward
1736643062.2083714,102.372,forward
1736643062.2126117,102.372,forward
1736643062.2154596,102.372,forward
1736643062.218252,102.372,forward
1736643062.220974,102.372,forward
1736643062.223839,102.372,forward
1736643062.2266724,102.372,forward
1736643062.2301743,102.372,forward
1736643062.2331307,102.372,forward
1736643062.2359746,102.372,forward
1736643062.2390652,102.372,forward
1736643062.2417705,102.372,backward
1736643062.2447095,102.372,backward
1736643062.2478776,102.372,backward
1736643062.251044,102.372,backward
1736643062.2538626,102.372,backward
1736643062.2571974,102.372,backward
1736643062.260173,102.372,backward
1736643062.263057,102.372,backward
1736643062.2659562,102.372,backward
1736643062.269135,102.372,backward
1736643062.2725778,102.372,backward
1736643062.2755373,102.372,backward
1736643062.278492,102.372,backward
1736643062.2812438,102.372,backward
1736643062.2841403,108.197,backward
1736643062.287088,108.197,backward
1736643062.2928054,108.197,backward
1736643062.295887,108.197,backward
1736643062.2987535,108.197,backward
1736643062.3015676,108.197,backward
1736643062.3044095,108.197,backward
1736643062.3074143,108.197,backward
1736643062.310448,108.197,backward
1736643062.3132164,108.197,backward
1736643062.315881,108.197,backward
1736643062.3185742,108.197,backward
1736643062.3213172,108.197,backward
1736643062.3240342,108.197,backward
1736643062.327007,108.197,backward
1736643062.330257,108.197,backward
1736643062.332989,108.197,backward
1736643062.3356588,108.197,backward
1736643062.3383417,108.197,backward
1736643062.341153,108.197,backward
1736643062.3438551,108.197,backward
1736643062.3467512,108.197,backward
1736643062.3500388,108.197,backward
1736643062.3529303,108.197,backward
1736643062.3571637,108.197,optimize
1736643062.3604589,108.197,idle
1736643062.363298,108.197,idle
1736643062.3669236,108.197,idle
1736643062.3702912,108.197,idle
1736643062.3732972,108.197,idle
1736643062.3758986,108.197,idle
1736643062.3808582,108.197,idle
1736643062.3840415,114.192,to_device
1736643062.3870633,114.192,to_device
1736643062.39029,114.192,to_device
1736643062.3930192,114.192,to_device
1736643062.395728,114.192,to_device
1736643062.3986084,114.192,to_device
1736643062.4015036,114.192,forward
1736643062.40434,114.192,forward
1736643062.407917,114.192,forward
1736643062.4109285,114.192,forward
1736643062.4137185,114.192,forward
1736643062.4165351,114.192,forward
1736643062.4197366,114.192,forward
1736643062.4225242,114.192,forward
1736643062.4251842,114.192,forward
1736643062.4281662,114.192,forward
1736643062.4328856,114.192,forward
1736643062.4357946,114.192,backward
1736643062.4386394,114.192,backward
1736643062.44152,114.192,backward
1736643062.444321,114.192,backward
1736643062.4471712,114.192,backward
1736643062.4502964,114.192,backward
1736643062.453241,114.192,backward
1736643062.455938,114.192,backward
1736643062.4587483,114.192,backward
1736643062.4615684,114.192,backward
1736643062.464354,114.192,backward
1736643062.46795,114.192,backward
1736643062.4708984,114.192,backward
1736643062.4736817,114.192,backward
1736643062.476331,114.192,backward
1736643062.479228,114.192,backward
1736643062.4820445,114.192,backward
1736643062.4848804,123.194,backward
1736643062.488346,123.194,backward
1736643062.496174,123.194,backward
1736643062.4997995,123.194,backward
1736643062.5026264,123.194,backward
1736643062.5054314,123.194,backward
1736643062.5086184,123.194,backward
1736643062.5126784,123.194,idle
1736643062.5155191,123.194,idle
1736643062.5182593,123.194,idle
1736643062.5210884,123.194,idle
1736643062.5242522,123.194,idle
1736643062.5276206,123.194,idle
1736643062.5307765,123.194,idle
1736643062.534121,123.194,to_device
1736643062.536982,123.194,to_device
1736643062.5397017,123.194,to_device
1736643062.542522,123.194,to_device
1736643062.545325,123.194,to_device
1736643062.5483985,123.194,to_device
1736643062.55311,123.194,forward
1736643062.5559435,123.194,forward
1736643062.5587702,123.194,forward
1736643062.561617,123.194,forward
1736643062.5644326,123.194,forward
1736643062.567513,123.194,forward
1736643062.5704231,123.194,forward
1736643062.5732028,123.194,forward
1736643062.576093,123.194,forward
1736643062.5792031,123.194,forward
1736643062.582022,123.194,backward
1736643062.58504,136.01,backward
1736643062.5882072,136.01,backward
1736643062.591374,136.01,backward
1736643062.5948098,136.01,backward
1736643062.597599,136.01,backward
1736643062.6003177,136.01,backward
1736643062.6031418,136.01,backward
1736643062.6059322,136.01,backward
1736643062.6091945,136.01,backward
1736643062.6141784,136.01,backward
1736643062.6171255,136.01,backward
1736643062.6201544,136.01,backward
1736643062.6229916,136.01,backward
1736643062.6262734,136.01,backward
1736643062.6293485,136.01,backward
1736643062.632696,136.01,backward
1736643062.6355104,136.01,backward
1736643062.6385968,136.01,backward
1736643062.6414342,136.01,backward
1736643062.6440845,136.01,backward
1736643062.646901,136.01,backward
1736643062.649937,136.01,backward
1736643062.6528947,136.01,optimize
1736643062.6556053,136.01,idle
1736643062.658314,136.01,idle
1736643062.661056,136.01,idle
1736643062.6638882,136.01,idle
