epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736653179.6682868, 1736653179.7642486, 5.163805088281631]","[1736653273.3841794, 1736653273.4732502, 16.408228175640108]","[1736653366.8930094, 1736653366.9832594, 16.842277347564693]","[1736653461.1528296, 1736653461.2423236, 15.677684289932252]","[1736653554.5728385, 1736653554.663104, 17.48465234375]"
"[1736653179.9044695, 1736653179.994119, 6.2006413804292695]","[1736653273.6119084, 1736653273.7005167, 16.10829546657469]","[1736653367.1211205, 1736653367.210089, 16.3431372089386]","[1736653461.3805566, 1736653461.4696283, 15.394825358867648]","[1736653554.7966948, 1736653554.8860083, 17.104392681121823]"
"[1736653180.1331928, 1736653180.2218053, 13.740410987377166]","[1736653273.8340964, 1736653273.92266, 17.21581980180741]","[1736653367.346813, 1736653367.4371598, 17.766158507108692]","[1736653461.6025944, 1736653461.692496, 17.50617302489281]","[1736653555.0169573, 1736653555.1065385, 17.692529764771464]"
"[1736653180.3594856, 1736653180.4489598, 16.55637537348271]","[1736653274.0579345, 1736653274.147424, 19.54608495926857]","[1736653367.569574, 1736653367.660098, 19.920803382515906]","[1736653461.8262753, 1736653461.915228, 19.57920863187313]","[1736653555.2370021, 1736653555.326213, 19.61783208407021]"
"[1736653180.5870614, 1736653180.6753347, 19.039000054359438]","[1736653274.2931154, 1736653274.3828843, 21.886951496958737]","[1736653367.7993946, 1736653367.8890417, 21.776344332060166]","[1736653462.0510807, 1736653462.1403477, 21.804243014574045]","[1736653555.4564264, 1736653555.5456653, 21.5923786175251]"
"[1736653180.8377602, 1736653180.9259214, 20.709091386580464]","[1736653274.5254679, 1736653274.6151135, 22.784083161473273]","[1736653368.0189476, 1736653368.108688, 22.88641878783703]","[1736653462.2761035, 1736653462.3653367, 22.911416360855103]","[1736653555.676862, 1736653555.7669463, 23.134845474958414]"
"[1736653181.0615654, 1736653181.1499755, 21.44817300415039]","[1736653274.748707, 1736653274.838243, 22.786178974628456]","[1736653368.239551, 1736653368.3289146, 22.924689529180522]","[1736653462.5024295, 1736653462.592192, 23.029046024322504]","[1736653555.8980057, 1736653555.9883456, 23.29291418147087]"
"[1736653181.2819843, 1736653181.374021, 22.43495043289661]","[1736653274.9778762, 1736653275.0703716, 23.406325824022286]","[1736653368.4600868, 1736653368.5498962, 23.194841885566714]","[1736653462.7260747, 1736653462.8159933, 23.13299799036979]","[1736653556.1199975, 1736653556.2097926, 23.18202778911591]"
"[1736653181.511359, 1736653181.6001668, 21.63311855483055]","[1736653275.215571, 1736653275.3053114, 22.502703296422958]","[1736653368.678809, 1736653368.7680936, 23.106245946168904]","[1736653462.95364, 1736653463.0433004, 22.90522927474976]","[1736653556.340428, 1736653556.430365, 23.29169704771043]"
"[1736653181.7340188, 1736653181.822853, 21.60398891675473]","[1736653275.444833, 1736653275.5343935, 22.72122559785843]","[1736653368.8995833, 1736653368.9894946, 23.354140095114712]","[1736653463.1787019, 1736653463.2681897, 22.967381263017657]","[1736653556.5617752, 1736653556.6534212, 23.73689621949196]"
"[1736653181.9544384, 1736653182.0431495, 22.077411335945133]","[1736653275.6723368, 1736653275.7618847, 22.588332825779915]","[1736653369.122618, 1736653369.2123914, 23.29288448810577]","[1736653463.401986, 1736653463.4920776, 23.0576485054493]","[1736653556.7867155, 1736653556.876555, 23.223454489469532]"
"[1736653182.1767616, 1736653182.26617, 22.235910974025728]","[1736653275.895973, 1736653275.985836, 22.651181786298753]","[1736653369.34272, 1736653369.4326167, 23.29261469626427]","[1736653463.622145, 1736653463.7124593, 23.233226907491677]","[1736653557.0068815, 1736653557.0966852, 23.244934388637542]"
"[1736653182.4038637, 1736653182.4940195, 22.40969131922722]","[1736653276.11617, 1736653276.2060342, 22.787867393016814]","[1736653369.5625708, 1736653369.6524227, 23.22310925626755]","[1736653463.8450077, 1736653463.9350162, 23.137780691742904]","[1736653557.2278774, 1736653557.317571, 23.172972926616662]"
