epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736653179.6074765, 1736653179.6680717, 2.944881863594055]","[1736653273.3300054, 1736653273.3839793, 9.859684592485426]","[1736653366.840585, 1736653366.8928342, 9.98496187520027]","[1736653461.0924854, 1736653461.152556, 10.537870037555694]","[1736653554.5160205, 1736653554.5725741, 11.074104110717773]"
"[1736653179.8551555, 1736653179.9043307, 3.1612317466735838]","[1736653273.5614686, 1736653273.6117995, 9.13686614227295]","[1736653367.0718677, 1736653367.121003, 9.098174960136415]","[1736653461.33041, 1736653461.3804493, 8.737953279733658]","[1736653554.7481337, 1736653554.796609, 9.256836700439454]"
"[1736653180.0803401, 1736653180.1330752, 7.691782059431077]","[1736653273.784533, 1736653273.833983, 9.373126740694044]","[1736653367.2975566, 1736653367.3467038, 9.259073379039762]","[1736653461.5545547, 1736653461.6024818, 9.041072842955588]","[1736653554.9681861, 1736653555.0168638, 9.206264129400255]"
"[1736653180.3089406, 1736653180.3593688, 8.937042196631431]","[1736653274.008597, 1736653274.0578074, 10.433570822119712]","[1736653367.5204244, 1736653367.5694668, 10.365909298419954]","[1736653461.7754922, 1736653461.826162, 10.704828894138336]","[1736653555.188215, 1736653555.2369075, 10.27994662448091]"
"[1736653180.532917, 1736653180.5869553, 11.198607204675675]","[1736653274.241751, 1736653274.2929661, 12.019893533706664]","[1736653367.7442226, 1736653367.7992837, 13.003877578496935]","[1736653462.000771, 1736653462.0509717, 11.806451808214186]","[1736653555.4081955, 1736653555.456341, 11.39814687561989]"
"[1736653180.7904205, 1736653180.837652, 10.987577348566054]","[1736653274.4705849, 1736653274.525357, 14.110581000208855]","[1736653367.9719458, 1736653368.0188642, 11.990973998904227]","[1736653462.2272, 1736653462.275961, 12.57695689058304]","[1736653555.6272948, 1736653555.6767664, 12.680755316615105]"
"[1736653181.012111, 1736653181.0614603, 12.110235312461853]","[1736653274.7005148, 1736653274.748595, 12.262625941157342]","[1736653368.1918192, 1736653368.239469, 12.204892288684848]","[1736653462.4503152, 1736653462.50231, 13.360377209186556]","[1736653555.848788, 1736653555.897913, 12.675761555433276]"
"[1736653181.232784, 1736653181.2818716, 11.954617441177367]","[1736653274.926099, 1736653274.977753, 13.13573206806183]","[1736653368.4122357, 1736653368.4599972, 12.402786334037783]","[1736653462.6762211, 1736653462.725965, 12.863620919466017]","[1736653556.070319, 1736653556.119904, 12.815914732217788]"
"[1736653181.4627604, 1736653181.511247, 11.90284683609009]","[1736653275.1647987, 1736653275.2154171, 13.033804262399675]","[1736653368.6327631, 1736653368.678719, 11.931897023677825]","[1736653462.9019341, 1736653462.9535286, 13.423339965343477]","[1736653556.2918074, 1736653556.3403366, 12.586428093910218]"
"[1736653181.686293, 1736653181.7339103, 11.8769312210083]","[1736653275.3925486, 1736653275.4447234, 13.321271858096122]","[1736653368.8511107, 1736653368.8995006, 12.577594022154809]","[1736653463.1293855, 1736653463.1785922, 12.717309596061707]","[1736653556.5129156, 1736653556.5616937, 12.64572216546535]"
