epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736653179.5871742, 1736653179.6074722, 0.9261979293823243]","[1736653273.31467, 1736653273.3300037, 2.801074969768524]","[1736653366.826234, 1736653366.8405833, 2.7474312222003934]","[1736653461.0746973, 1736653461.0924792, 3.119402593374253]","[1736653554.4980323, 1736653554.516014, 3.6030607302188873]"
"[1736653179.8169396, 1736653179.855151, 2.3662327218055723]","[1736653273.527357, 1736653273.5614672, 6.1922055358886725]","[1736653367.0367696, 1736653367.071866, 6.653366248607636]","[1736653461.2972755, 1736653461.3304088, 5.844609138250351]","[1736653554.71309, 1736653554.7481315, 6.78058788061142]"
"[1736653180.0510225, 1736653180.0803385, 4.275936298370361]","[1736653273.7526717, 1736653273.7845316, 5.9538459491729725]","[1736653367.2654233, 1736653367.297555, 5.991210585474969]","[1736653461.523096, 1736653461.554553, 5.83960478782654]","[1736653554.9346006, 1736653554.968185, 6.354329734968262]"
"[1736653180.2776666, 1736653180.308939, 5.411534421443939]","[1736653273.974079, 1736653274.0085955, 7.193737035274506]","[1736653367.4861174, 1736653367.5204227, 7.241328528034148]","[1736653461.7400815, 1736653461.7754905, 7.363350574493407]","[1736653555.151456, 1736653555.1882136, 7.758619564056397]"
"[1736653180.497392, 1736653180.5329146, 7.13434341597557]","[1736653274.2091365, 1736653274.2417493, 7.635762466907501]","[1736653367.7143805, 1736653367.7442212, 7.000958292722702]","[1736653461.972494, 1736653462.0007691, 6.649914997816086]","[1736653555.3706014, 1736653555.4081933, 8.794294679641723]"
"[1736653180.7590468, 1736653180.7904189, 7.297865112304686]","[1736653274.4381044, 1736653274.4705827, 8.399383964538575]","[1736653367.9330382, 1736653367.9719443, 10.021588195800781]","[1736653462.1917577, 1736653462.2271872, 9.157917682170867]","[1736653555.5912945, 1736653555.6272933, 9.205438578128815]"
"[1736653180.9823365, 1736653181.0121093, 7.411809133529664]","[1736653274.668436, 1736653274.7005136, 8.296954769849776]","[1736653368.1550467, 1736653368.1918182, 9.419019596457481]","[1736653462.4179282, 1736653462.4503138, 8.390231360197067]","[1736653555.8112557, 1736653555.8487868, 9.672936303377153]"
"[1736653181.1976848, 1736653181.2327821, 8.682946625709533]","[1736653274.8951173, 1736653274.9260974, 7.90511164546013]","[1736653368.3740952, 1736653368.4122348, 9.871128930568695]","[1736653462.6426976, 1736653462.6762195, 8.635674635648728]","[1736653556.0337183, 1736653556.0703177, 9.457163621902467]"
"[1736653181.42804, 1736653181.4627576, 8.517381332516669]","[1736653275.1309607, 1736653275.1647964, 8.734199216842653]","[1736653368.5940735, 1736653368.632762, 10.044984316349028]","[1736653462.8686693, 1736653462.9019322, 8.654026401042938]","[1736653556.2555275, 1736653556.2918055, 9.410044028043746]"
"[1736653181.6540065, 1736653181.6862912, 8.052588150024414]","[1736653275.3610146, 1736653275.3925474, 8.17959909439087]","[1736653368.8117101, 1736653368.8511097, 10.243153613567351]","[1736653463.0949872, 1736653463.129384, 8.921830107927324]","[1736653556.4772398, 1736653556.5129147, 9.260609985351563]"
