epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641446.1887848, 1736641446.3598585, 18.387357661485673]","[1736641544.73253, 1736641544.8180897, 16.93777504658699]","[1736641645.1235735, 1736641645.210684, 15.64217463874817]","[1736641742.9761539, 1736641743.0632195, 16.456263686656953]","[1736641841.9306722, 1736641842.0170467, 15.477303190231325]"
"[1736641446.4883418, 1736641446.572464, 10.598404441348233]","[1736641544.9409943, 1736641545.0261433, 16.23666057598591]","[1736641645.327469, 1736641645.4134572, 14.7941028614458]","[1736641743.1794918, 1736641743.2656815, 15.603263019204135]","[1736641842.1378136, 1736641842.2234697, 14.760710566520693]"
"[1736641446.7026849, 1736641446.7871523, 13.124107240676874]","[1736641545.150741, 1736641545.237892, 16.696178289890288]","[1736641645.5279396, 1736641645.6137497, 16.431775601112367]","[1736641743.3773072, 1736641743.4633484, 16.66102815675735]","[1736641842.3421943, 1736641842.4279227, 16.49260822200775]"
"[1736641446.9097188, 1736641446.9947345, 15.61895964217186]","[1736641545.3576171, 1736641545.4433565, 18.327067905071402]","[1736641645.7236564, 1736641645.8098028, 18.457373367309568]","[1736641743.573926, 1736641743.6598005, 18.562730192184446]","[1736641842.5827672, 1736641842.6685863, 18.411535210371024]"
"[1736641447.1251662, 1736641447.2102716, 18.03820762181282]","[1736641545.5600247, 1736641545.6460407, 20.306225322723385]","[1736641645.9241333, 1736641646.0100992, 20.349583277463907]","[1736641743.7760868, 1736641743.8622026, 20.543916445732116]","[1736641842.7901294, 1736641842.8762088, 20.54531749081612]"
"[1736641447.333444, 1736641447.4194853, 20.28772308802605]","[1736641545.7586377, 1736641545.8442333, 22.111410526891962]","[1736641646.1193924, 1736641646.2073078, 22.84236039352417]","[1736641743.9717286, 1736641744.0577564, 22.527050341844554]","[1736641842.991242, 1736641843.077133, 22.151443733453753]"
"[1736641447.534845, 1736641447.6203544, 21.469631020307542]","[1736641545.959105, 1736641546.0451024, 22.309672313928605]","[1736641646.3162565, 1736641646.4027228, 22.587508324146267]","[1736641744.1698983, 1736641744.2572129, 23.10574591231346]","[1736641843.1879709, 1736641843.2739034, 22.165269276380535]"
"[1736641447.7330003, 1736641447.8184526, 21.626824551343915]","[1736641546.154529, 1736641546.2404819, 22.36103996276855]","[1736641646.510398, 1736641646.5964136, 22.60530779266357]","[1736641744.366108, 1736641744.452314, 22.962597800254823]","[1736641843.3838627, 1736641843.4700885, 22.301787638664244]"
"[1736641447.9293475, 1736641448.014417, 21.69232922506332]","[1736641546.3498516, 1736641546.4371552, 22.73447857999801]","[1736641646.7080781, 1736641646.7943642, 22.726919306755065]","[1736641744.5580947, 1736641744.6438577, 22.9998946275711]","[1736641843.5836349, 1736641843.6699162, 22.372952123165128]"
"[1736641448.1526356, 1736641448.2387633, 22.133312217712405]","[1736641546.5471225, 1736641546.633082, 22.472804760932927]","[1736641646.9033391, 1736641646.989404, 22.73056717777252]","[1736641744.755987, 1736641744.8423538, 23.122779825925825]","[1736641843.7838063, 1736641843.8700168, 22.39654104852676]"
"[1736641448.3466628, 1736641448.4321547, 22.090091462254524]","[1736641546.7432837, 1736641546.8300333, 22.803706402371706]","[1736641647.0990176, 1736641647.1864715, 23.16487061238289]","[1736641744.9538243, 1736641745.0399225, 23.089781841516494]","[1736641843.985804, 1736641844.0719552, 22.497570302009585]"
"[1736641448.5433772, 1736641448.6282115, 21.93570133495331]","[1736641546.9387352, 1736641547.024869, 22.69342288374901]","[1736641647.2918806, 1736641647.3775485, 22.832138136625286]","[1736641745.1537511, 1736641745.2398276, 23.040359380245206]","[1736641844.1835895, 1736641844.2698865, 22.536719547033314]"
"[1736641448.7388828, 1736641448.824174, 22.035117143511766]","[1736641547.138558, 1736641547.2245135, 22.659956127882]","[1736641647.4853017, 1736641647.5714982, 22.98721676540375]","[1736641745.353669, 1736641745.4397788, 23.023697830438618]","[1736641844.3836021, 1736641844.469748, 22.44550952196121]"
"[1736641448.9301882, 1736641449.0152957, 21.921246461868282]","[1736641547.333261, 1736641547.4192283, 22.702693046331408]","[1736641647.6832988, 1736641647.7693434, 22.934429133653634]","[1736641745.5534382, 1736641745.6394787, 22.94260979378223]","[1736641844.583463, 1736641844.6695285, 22.386598077535627]"
"[1736641449.1294017, 1736641449.2146974, 21.884128329396248]","[1736641547.5332146, 1736641547.619297, 22.71906283307076]","[1736641647.8790958, 1736641647.9667506, 23.429322877168655]","[1736641745.7535253, 1736641745.8396268, 22.88203915309906]","[1736641844.7834387, 1736641844.8696747, 22.45592606544495]"
"[1736641449.332378, 1736641449.4174657, 21.966019360780713]","[1736641547.73335, 1736641547.819335, 22.647604343891146]","[1736641648.075592, 1736641648.162115, 23.185154311180113]","[1736641745.9493847, 1736641746.0366912, 23.2657175655365]","[1736641844.985521, 1736641845.0716777, 22.413421549558645]"
"[1736641449.5302515, 1736641449.6147177, 21.780959172725677]","[1736641547.9331727, 1736641548.0192602, 22.64179136681557]","[1736641648.2720141, 1736641648.3577313, 22.99904258513451]","[1736641746.149466, 1736641746.237018, 23.33136759281158]","[1736641845.188542, 1736641845.2747188, 22.408735975503923]"
"[1736641449.7249923, 1736641449.8105054, 22.019887006998065]","[1736641548.1334465, 1736641548.2193007, 22.565268397927284]","[1736641648.46485, 1736641648.551044, 23.066665016055104]","[1736641746.346319, 1736641746.4327786, 23.090508280038836]","[1736641845.385868, 1736641845.4721394, 22.418560995459554]"
"[1736641449.9226851, 1736641450.0071912, 21.736292437791825]","[1736641548.3331177, 1736641548.419172, 22.651222107887268]","[1736641648.662775, 1736641648.7491214, 23.097670904755596]","[1736641746.545651, 1736641746.6320333, 23.071138886928555]","[1736641845.5869808, 1736641845.6730416, 22.32426849842071]"
"[1736641450.1223345, 1736641450.2077448, 21.887756830334663]","[1736641548.5287964, 1736641548.615727, 22.931889753818513]","[1736641648.8586276, 1736641648.946329, 23.445372719287878]","[1736641746.7389498, 1736641746.8248968, 22.986726634025572]","[1736641845.785316, 1736641845.8714612, 22.30538522553444]"
"[1736641450.3187468, 1736641450.4033692, 21.738390613079073]","[1736641548.7263844, 1736641548.8126671, 22.839043714046483]","[1736641649.0557013, 1736641649.142195, 23.140019034624096]","[1736641746.936322, 1736641747.0224743, 23.013472328186037]","[1736641845.9851635, 1736641846.0713844, 22.30751260232926]"
"[1736641450.509573, 1736641450.5947278, 21.91997251617909]","[1736641548.9220295, 1736641549.0077744, 22.810490645170212]","[1736641649.2498586, 1736641649.3356342, 22.940104711890214]","[1736641747.1296632, 1736641747.2164674, 23.119712157964702]","[1736641846.185031, 1736641846.2712042, 22.360489588737487]"
"[1736641450.7050462, 1736641450.790608, 22.059761186242106]","[1736641549.122002, 1736641549.2077484, 22.82845266067982]","[1736641649.4480088, 1736641649.5343475, 23.046040016651148]","[1736641747.326491, 1736641747.4159915, 23.853289855241773]","[1736641846.3850923, 1736641846.471236, 22.370608381032948]"
"[1736641450.902407, 1736641450.9878757, 22.028085779786107]","[1736641549.3181577, 1736641549.4041896, 22.962832227706915]","[1736641649.6446404, 1736641649.7308712, 22.958759878873824]","[1736641747.52585, 1736641747.6122403, 22.995829312801362]","[1736641846.5828636, 1736641846.6690688, 22.402550225257876]"
"[1736641451.0983164, 1736641451.1850445, 22.355462068080904]","[1736641549.5164526, 1736641549.6021721, 22.887004705429078]","[1736641649.8423626, 1736641649.9284618, 22.90537365865707]","[1736641747.7215867, 1736641747.8072524, 22.822320700168614]","[1736641846.7827606, 1736641846.8689733, 22.452482580184935]"
"[1736641451.295223, 1736641451.381028, 22.11430282402038]","[1736641549.7136302, 1736641549.799657, 22.96700986576081]","[1736641650.0453768, 1736641650.1315577, 22.8891719725132]","[1736641747.9163694, 1736641748.0026376, 22.942881796836854]","[1736641846.9848773, 1736641847.0710287, 22.433196971416475]"
"[1736641451.4934652, 1736641451.5793507, 22.072385454177855]","[1736641549.9085813, 1736641549.9967408, 23.53102534103394]","[1736641650.242504, 1736641650.3284972, 22.723059558391572]","[1736641748.1176825, 1736641748.2038305, 22.962185051560397]","[1736641847.1848264, 1736641847.2710395, 22.43672959482669]"
"[1736641451.689337, 1736641451.7744277, 21.779673251032825]","[1736641550.1083791, 1736641550.1962235, 23.418330182313913]","[1736641650.4378417, 1736641650.5254855, 23.087079261541366]","[1736641748.3163342, 1736641748.4026406, 22.936920830726624]","[1736641847.3825994, 1736641847.4688966, 22.460405618548396]"
"[1736641451.885003, 1736641451.9705322, 21.89784159183502]","[1736641550.3090308, 1736641550.3959167, 23.183957255363467]","[1736641650.6347587, 1736641650.721026, 22.738636330127722]","[1736641748.5173337, 1736641748.6034708, 22.85597621917725]","[1736641847.584644, 1736641847.670882, 22.473395443916313]"
"[1736641452.082103, 1736641452.167492, 21.85289777135849]","[1736641550.5058787, 1736641550.592221, 23.062806913614274]","[1736641650.829147, 1736641650.9149163, 22.650152721405032]","[1736641748.712216, 1736641748.7983513, 22.796289491415028]","[1736641847.7824888, 1736641847.868857, 22.480633737683302]"
"[1736641452.282222, 1736641452.3676348, 21.845418801546096]","[1736641550.705529, 1736641550.7916808, 23.064257075667385]","[1736641651.022135, 1736641651.1085234, 22.83149050974846]","[1736641748.9142659, 1736641749.0002954, 22.713971385955816]","[1736641847.9845765, 1736641848.070781, 22.461717733860016]"
"[1736641452.477598, 1736641452.5628908, 21.83521681594848]","[1736641550.898299, 1736641550.984181, 23.018279366254806]","[1736641651.2221096, 1736641651.3079512, 22.738166978359214]","[1736641749.1075325, 1736641749.195505, 23.177826391458517]","[1736641848.182392, 1736641848.268686, 22.50307282054424]"
"[1736641452.6702106, 1736641452.7558134, 21.98223636317253]","[1736641551.1044416, 1736641551.1907601, 23.084234504222874]","[1736641651.4217107, 1736641651.507804, 22.766826830863955]","[1736641749.3072362, 1736641749.3952775, 23.27092647016048]","[1736641848.384401, 1736641848.4705787, 22.48515425491333]"
"[1736641452.8666756, 1736641452.9521937, 21.916819936037065]","[1736641551.299468, 1736641551.3853052, 22.978690466403958]","[1736641651.624302, 1736641651.7105622, 22.71628620446086]","[1736641749.5087707, 1736641749.5957406, 23.03935381126404]","[1736641848.5822277, 1736641848.6685808, 22.478723290205007]"
"[1736641453.065397, 1736641453.1508343, 21.84655059528351]","[1736641551.4961433, 1736641551.5818825, 22.947578169941895]","[1736641651.8222067, 1736641651.9083018, 22.59324693632126]","[1736641749.7119577, 1736641749.7984, 22.904661565423005]","[1736641848.7852623, 1736641848.8712242, 22.400213835477828]"
"[1736641453.2614055, 1736641453.3467984, 21.90242675304413]","[1736641551.6922987, 1736641551.778327, 22.94943825507164]","[1736641652.024666, 1736641652.1109025, 22.49724701182795]","[1736641749.9099443, 1736641749.9961116, 22.768457791805258]","[1736641848.9816062, 1736641849.067774, 22.39527610516547]"
"[1736641453.4539266, 1736641453.5390775, 21.977365472793583]","[1736641551.8974802, 1736641551.9835386, 22.905887561798096]","[1736641652.2214432, 1736641652.307542, 22.42196407914162]","[1736641750.1124516, 1736641750.198297, 22.697021113872523]","[1736641849.1848435, 1736641849.271171, 22.491184454917907]"
"[1736641453.6462128, 1736641453.7313375, 22.08874474060536]","[1736641552.0978563, 1736641552.1836867, 22.710918933153152]","[1736641652.4212382, 1736641652.507346, 22.42589742660522]","[1736641750.3118901, 1736641750.3980439, 22.697464053630828]","[1736641849.3822682, 1736641849.4684558, 22.381009246587748]"
"[1736641453.8414917, 1736641453.926667, 22.159859945416454]","[1736641552.2995193, 1736641552.3852854, 22.709275434732433]","[1736641652.6174784, 1736641652.7048962, 22.800496114254003]","[1736641750.5124636, 1736641750.5986028, 22.68320604896546]","[1736641849.582169, 1736641849.6682854, 22.394735083818432]"
"[1736641454.0345292, 1736641454.1204464, 22.44279734158516]","[1736641552.504023, 1736641552.590691, 22.893395284652705]","[1736641652.8175216, 1736641652.9047909, 22.80975309562683]","[1736641750.709826, 1736641750.79586, 22.64524400830269]","[1736641849.7798853, 1736641849.8660307, 22.397129816293713]"
"[1736641454.2567983, 1736641454.3446088, 22.64286515188217]","[1736641552.7185042, 1736641552.8050346, 22.802481691837308]","[1736641653.0171669, 1736641653.1045475, 22.8921568350792]","[1736641750.9079285, 1736641750.9947927, 22.94211780703068]","[1736641849.97797, 1736641850.0654922, 22.86444569838047]"
