epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641446.359875, 1736641446.361384, 0.16335452866554262]","[1736641544.8180912, 1736641544.8192363, 0.2260349671840668]","[1736641645.21069, 1736641645.2117705, 0.1940316784350684]","[1736641743.0632207, 1736641743.0641377, 0.17277411603927612]","[1736641842.017049, 1736641842.0183263, 0.22798679542541503]"
"[1736641446.572466, 1736641446.5734248, 0.12417604157206939]","[1736641545.0261443, 1736641545.0268888, 0.1418241083621979]","[1736641645.413458, 1736641645.4140117, 0.09858629395809428]","[1736641743.2656822, 1736641743.2663007, 0.11171945285797119]","[1736641842.2234719, 1736641842.2243927, 0.1580708656311035]"
"[1736641446.7871537, 1736641446.78806, 0.15419758629798888]","[1736641545.237893, 1736641545.2386417, 0.1434218692779541]","[1736641645.6137505, 1736641645.6144006, 0.13062548017011807]","[1736641743.4633493, 1736641743.4638686, 0.100826717376709]","[1736641842.4279242, 1736641842.428799, 0.1693670997619629]"
"[1736641446.9947362, 1736641446.9956362, 0.17740043997764587]","[1736641545.4433577, 1736641545.4440517, 0.15314929408900982]","[1736641645.8098035, 1736641645.8103209, 0.1108492660522461]","[1736641743.6598012, 1736641743.6603901, 0.12803495407104493]","[1736641842.668588, 1736641842.6694608, 0.19903520798683166]"
"[1736641447.2102735, 1736641447.211217, 0.2084604821205139]","[1736641545.646042, 1736641545.6467497, 0.1776679916381836]","[1736641646.0101001, 1736641646.010619, 0.12280850219726563]","[1736641743.862204, 1736641743.862765, 0.13433736157417298]","[1736641842.876211, 1736641842.877086, 0.21850492238998415]"
"[1736641447.4194877, 1736641447.420439, 0.23103127241134644]","[1736641545.8442347, 1736641545.844851, 0.1616728327046842]","[1736641646.207309, 1736641646.2078884, 0.1505297327041626]","[1736641744.0577574, 1736641744.058339, 0.15308348655700682]","[1736641843.0771344, 1736641843.07775, 0.16032171392440794]"
"[1736641447.6203556, 1736641447.6209688, 0.15616930198669435]","[1736641546.0451033, 1736641546.045696, 0.15774879789352417]","[1736641646.4027238, 1736641646.4032843, 0.14642462229728698]","[1736641744.257214, 1736641744.2576997, 0.1283168420791626]","[1736641843.2739046, 1736641843.2745416, 0.16691527175903323]"
"[1736641447.8184536, 1736641447.8190672, 0.15806614351272583]","[1736641546.240483, 1736641546.2410326, 0.1429694354534149]","[1736641646.5964148, 1736641646.596923, 0.13342943286895753]","[1736641744.4523144, 1736641744.4528098, 0.13171058225631713]","[1736641843.4700902, 1736641843.4707894, 0.18373626470565796]"
"[1736641448.0144181, 1736641448.0149853, 0.14725305676460268]","[1736641546.4371567, 1736641546.4376824, 0.13689933657646178]","[1736641646.794366, 1736641646.7949364, 0.1500337624549866]","[1736641744.643859, 1736641744.644421, 0.15063402128219602]","[1736641843.669918, 1736641843.670695, 0.20751736330986023]"
"[1736641448.2387643, 1736641448.2393267, 0.14527158427238465]","[1736641546.6330829, 1736641546.633615, 0.13912270545959474]","[1736641646.9894047, 1736641646.9899132, 0.13397055959701537]","[1736641744.8423548, 1736641744.8428967, 0.14492982745170593]","[1736641843.8700185, 1736641843.8708508, 0.22196040320396426]"
"[1736641448.4321554, 1736641448.4326975, 0.1409165167808533]","[1736641546.8300343, 1736641546.8306212, 0.15427884674072265]","[1736641647.1864724, 1736641647.187011, 0.14219789028167723]","[1736641745.0399237, 1736641745.0405548, 0.1691407594680786]","[1736641844.0719562, 1736641844.0726357, 0.1814715027809143]"
"[1736641448.6282125, 1736641448.628725, 0.13329033851623537]","[1736641547.0248704, 1736641547.0255315, 0.17404040932655335]","[1736641647.3775496, 1736641647.3780668, 0.13743864727020264]","[1736641745.2398288, 1736641745.2404068, 0.15472540855407715]","[1736641844.2698874, 1736641844.2705424, 0.17542128920555117]"
"[1736641448.824175, 1736641448.8247206, 0.14199776101112366]","[1736641547.2245147, 1736641547.2251065, 0.1557510766983032]","[1736641647.5714996, 1736641647.5720382, 0.14317057943344116]","[1736641745.4397798, 1736641745.44029, 0.13644444942474365]","[1736641844.4697497, 1736641844.47047, 0.19192835569381717]"
"[1736641449.0152967, 1736641449.0158546, 0.14559167861938477]","[1736641547.4192295, 1736641547.4197617, 0.1401752986907959]","[1736641647.7693448, 1736641647.7699437, 0.15948247146606445]","[1736641745.63948, 1736641745.6400898, 0.1627046146392822]","[1736641844.6695304, 1736641844.6701815, 0.1735915002822876]"
"[1736641449.2146986, 1736641449.2154388, 0.19282769680023193]","[1736641547.6192982, 1736641547.6201925, 0.2354552226066589]","[1736641647.966752, 1736641647.9672525, 0.1337657699584961]","[1736641745.8396277, 1736641745.8402176, 0.15726987648010254]","[1736641844.869676, 1736641844.8703516, 0.1800715844631195]"
