epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736641445.9974341, 1736641446.005713, 0.8453613195419312]","[1736641544.6746082, 1736641544.680099, 1.1088794684410095]","[1736641645.0588493, 1736641645.0668094, 1.488105321407318]","[1736641742.9153075, 1736641742.9209347, 1.0938739738464356]","[1736641841.8733075, 1736641841.878117, 0.871310396194458]"
"[1736641446.4172578, 1736641446.4328513, 1.8421103315353393]","[1736641544.8687994, 1736641544.8845925, 3.0897907547950743]","[1736641645.2631803, 1736641645.2781756, 2.698080911636352]","[1736641743.1101816, 1736641743.1257586, 2.913240679502487]","[1736641842.0711923, 1736641842.0863853, 2.659076328277588]"
"[1736641446.6318572, 1736641446.6478782, 2.3122327387332913]","[1736641545.0834424, 1736641545.0990705, 2.977543646097183]","[1736641645.456354, 1736641645.4722824, 2.944973846197128]","[1736641743.313322, 1736641743.329025, 2.9115491585731506]","[1736641842.2729692, 1736641842.2883472, 2.82180118560791]"
"[1736641446.836864, 1736641446.8526802, 2.691175869464874]","[1736641545.288349, 1736641545.3041122, 3.2561740331649784]","[1736641645.655786, 1736641645.671134, 3.173098148345947]","[1736641743.504759, 1736641743.5206797, 3.3029276161193843]","[1736641842.5143204, 1736641842.5302796, 3.2969762339591977]"
"[1736641447.052411, 1736641447.0677402, 3.021446698904037]","[1736641545.491646, 1736641545.50666, 3.436313956975937]","[1736641645.8579316, 1736641645.873884, 3.6573152267932887]","[1736641743.7112596, 1736641743.7262952, 3.4622994594573973]","[1736641842.7178802, 1736641842.733421, 3.5437618033885956]"
"[1736641447.2614083, 1736641447.277447, 3.568007930874825]","[1736641545.6896493, 1736641545.7055426, 3.990406331062317]","[1736641646.0547764, 1736641646.0703547, 3.924415454864502]","[1736641743.904499, 1736641743.9202154, 3.9731628406047816]","[1736641842.9233115, 1736641842.9387505, 3.8554508867263793]"
"[1736641447.4659019, 1736641447.481826, 3.897558385372162]","[1736641545.8913317, 1736641545.9065478, 4.027765747070313]","[1736641646.2491395, 1736641646.2643597, 4.076310318470001]","[1736641744.102822, 1736641744.117822, 4.007319330692291]","[1736641843.1250834, 1736641843.1403832, 3.9845720472335815]"
"[1736641447.6676342, 1736641447.6835797, 3.996020719766617]","[1736641546.0866232, 1736641546.1023564, 4.1873866343498225]","[1736641646.445204, 1736641646.4607506, 4.186921883821488]","[1736641744.3015306, 1736641744.3166356, 4.0535500264167785]","[1736641843.315513, 1736641843.3307157, 3.9832905328273776]"
"[1736641447.8618815, 1736641447.8773777, 3.9518903412818904]","[1736641546.2854712, 1736641546.3004775, 4.018553097486496]","[1736641646.641021, 1736641646.6561332, 4.071201232671737]","[1736641744.4942, 1736641744.509155, 4.019511985301972]","[1736641843.5167584, 1736641843.5319262, 3.9853166341781616]"
"[1736641448.0903213, 1736641448.1053169, 3.783353569030762]","[1736641546.4814112, 1736641546.4971402, 4.217199021339416]","[1736641646.8370194, 1736641646.8529024, 4.27108916759491]","[1736641744.688441, 1736641744.704202, 4.229200723171234]","[1736641843.7149513, 1736641843.7309036, 4.260441626787185]"
"[1736641448.281666, 1736641448.2973852, 4.003611082077026]","[1736641546.6770186, 1736641546.6927211, 4.229197672128678]","[1736641647.03201, 1736641647.047573, 4.1871192140579225]","[1736641744.8865075, 1736641744.901615, 4.056259554624558]","[1736641843.9170957, 1736641843.9329515, 4.228374292373657]"
"[1736641448.4766197, 1736641448.4920993, 3.9583723583221433]","[1736641546.8745239, 1736641546.8900816, 4.194451491832734]","[1736641647.2282248, 1736641647.24382, 4.191271756649018]","[1736641745.0861907, 1736641745.1020274, 4.237445856094361]","[1736641844.1160104, 1736641844.131929, 4.251336079359055]"
"[1736641448.671519, 1736641448.6871555, 3.9975526242121395]","[1736641547.0702116, 1736641547.0854135, 4.101508341789245]","[1736641647.4187725, 1736641647.4340563, 4.1029422879219055]","[1736641745.285956, 1736641745.3016224, 4.187416398525239]","[1736641844.3170168, 1736641844.3327863, 4.223776814937591]"
