epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736657237.3649592, 1736657237.3652472, 0.02002847862243652]","[1736657287.7105114, 1736657287.710765, 0.045228968381881715]","[1736657338.0930219, 1736657338.0932865, 0.04783160448074341]","[1736657388.6483064, 1736657388.648535, 0.040642967939376835]","[1736657439.0222464, 1736657439.022531, 0.05076409578323364]"
"[1736657237.4995017, 1736657237.4997485, 0.01997696399688721]","[1736657287.825415, 1736657287.825546, 0.023263680934906005]","[1736657338.2106333, 1736657338.2107623, 0.02327227759361267]","[1736657388.7661366, 1736657388.7662673, 0.023875990867614747]","[1736657439.1387107, 1736657439.138998, 0.052371755838394166]"
"[1736657237.6439486, 1736657237.6440902, 0.013378797950977234]","[1736657287.941699, 1736657287.94181, 0.019743218421936035]","[1736657338.3251836, 1736657338.3252926, 0.019842321157455444]","[1736657388.8865805, 1736657388.8867266, 0.026943153381347656]","[1736657439.2541938, 1736657439.2543123, 0.021975192546844484]"
"[1736657237.7988784, 1736657237.79902, 0.0193694543838501]","[1736657288.0562396, 1736657288.0563552, 0.0208430814743042]","[1736657338.4398983, 1736657338.440005, 0.019698822021484375]","[1736657389.0022926, 1736657389.0024114, 0.021982482433319094]","[1736657439.3687932, 1736657439.3689086, 0.02152559185028076]"
"[1736657237.913816, 1736657237.9139605, 0.02216738748550415]","[1736657288.1835291, 1736657288.1836398, 0.021389358520507815]","[1736657338.5535944, 1736657338.553695, 0.01935877752304077]","[1736657389.1189706, 1736657389.1191006, 0.025255553722381592]","[1736657439.4829593, 1736657439.4830625, 0.01990922057474869]"
"[1736657238.0309992, 1736657238.0311325, 0.022302536725997926]","[1736657288.2966583, 1736657288.2967598, 0.020961357593536376]","[1736657338.668024, 1736657338.6681259, 0.02083199715614319]","[1736657389.2359345, 1736657389.2360501, 0.023918110132217407]","[1736657439.5977712, 1736657439.5978968, 0.025947277545928953]"
"[1736657238.1447144, 1736657238.1448576, 0.025769338846206667]","[1736657288.41276, 1736657288.4129126, 0.03317184448242188]","[1736657338.7821026, 1736657338.7822065, 0.02258043956756592]","[1736657389.3521123, 1736657389.3522384, 0.027652940034866333]","[1736657439.7127748, 1736657439.7128892, 0.024967689514160157]"
"[1736657238.2710025, 1736657238.2711933, 0.03892230987548828]","[1736657288.5289676, 1736657288.5290976, 0.029465808868408203]","[1736657338.8959723, 1736657338.8960676, 0.021741485595703124]","[1736657389.4687881, 1736657389.4689155, 0.029482709884643556]","[1736657439.8255527, 1736657439.8256586, 0.024412302017211916]"
"[1736657238.3993301, 1736657238.3995092, 0.03948731064796448]","[1736657288.6457067, 1736657288.6458476, 0.03458874821662903]","[1736657339.0111296, 1736657339.0112302, 0.02387910223007202]","[1736657389.5868378, 1736657389.5869503, 0.027175506591796874]","[1736657439.9386163, 1736657439.9387183, 0.024789955139160158]"
"[1736657238.5141785, 1736657238.5143113, 0.03138136839866638]","[1736657288.7620163, 1736657288.7621522, 0.03491370677947998]","[1736657339.1246529, 1736657339.1247568, 0.02669459247589111]","[1736657389.7016506, 1736657389.7017777, 0.033082998752593996]","[1736657440.0535276, 1736657440.0536542, 0.0322757248878479]"
"[1736657238.6286423, 1736657238.6287787, 0.032795562744140624]","[1736657288.8783436, 1736657288.8784668, 0.03216877603530884]","[1736657339.2388854, 1736657339.23899, 0.027088439702987674]","[1736657389.8164847, 1736657389.8166094, 0.03196340823173523]","[1736657440.1665125, 1736657440.16662, 0.0284892201423645]"
"[1736657238.745119, 1736657238.7452888, 0.04135510265543605]","[1736657288.9935474, 1736657288.993675, 0.03375090003013611]","[1736657339.3521101, 1736657339.352206, 0.025207042694091797]","[1736657389.9326072, 1736657389.9327316, 0.03206333684921264]","[1736657440.2816257, 1736657440.2817335, 0.028121658084943733]"
"[1736657238.8638828, 1736657238.8640218, 0.03460036301612854]","[1736657289.1103058, 1736657289.110445, 0.036998884201049805]","[1736657339.4666283, 1736657339.4667377, 0.029089998722076415]","[1736657390.056419, 1736657390.056541, 0.0319561767578125]","[1736657440.3950222, 1736657440.3951306, 0.028170312643051146]"
"[1736657238.981012, 1736657238.981156, 0.0356823787689209]","[1736657289.2266598, 1736657289.2267928, 0.03513269376754761]","[1736657339.5806189, 1736657339.5807245, 0.02828340482711792]","[1736657390.1732593, 1736657390.1733737, 0.03016822814941406]","[1736657440.5087302, 1736657440.5088484, 0.030940399169921872]"
"[1736657239.0958402, 1736657239.0959857, 0.03631433010101318]","[1736657289.3475924, 1736657289.3477244, 0.03358285808563232]","[1736657339.6950955, 1736657339.695195, 0.026443678379058838]","[1736657390.2906134, 1736657390.2907379, 0.03282985210418701]","[1736657440.6227098, 1736657440.6228151, 0.027838185787200924]"
"[1736657239.2104595, 1736657239.2106144, 0.03925039768218994]","[1736657289.463492, 1736657289.46363, 0.03526094627380371]","[1736657339.8090208, 1736657339.80924, 0.057735357284545895]","[1736657390.4083047, 1736657390.4084294, 0.03208822584152222]","[1736657440.7363226, 1736657440.7364311, 0.02896395564079285]"
"[1736657239.325768, 1736657239.325917, 0.037968605756759644]","[1736657289.580233, 1736657289.5803711, 0.03573015904426575]","[1736657339.9258642, 1736657339.9259686, 0.02704751586914062]","[1736657390.5228493, 1736657390.5229475, 0.025143537521362305]","[1736657440.850145, 1736657440.8502593, 0.030571438074111938]"
"[1736657239.4402573, 1736657239.4404001, 0.03660104584693909]","[1736657289.6962729, 1736657289.6963985, 0.033015903472900385]","[1736657340.0398016, 1736657340.039919, 0.030560440063476565]","[1736657390.6384523, 1736657390.6385646, 0.029079053878784178]","[1736657440.9632962, 1736657440.9634078, 0.029654588699340817]"
"[1736657239.5881374, 1736657239.588296, 0.03907186388969421]","[1736657289.811385, 1736657289.8115115, 0.03352653551101684]","[1736657340.155251, 1736657340.1553528, 0.026888157129287722]","[1736657390.7528331, 1736657390.7529464, 0.029734385013580323]","[1736657441.0770373, 1736657441.0772324, 0.05126210355758667]"
"[1736657239.702791, 1736657239.702951, 0.03975794792175293]","[1736657289.927371, 1736657289.9274857, 0.0300836009979248]","[1736657340.2693515, 1736657340.269452, 0.026794152259826662]","[1736657390.8670812, 1736657390.8671956, 0.030292167663574218]","[1736657441.1908333, 1736657441.1909478, 0.029799270629882812]"
"[1736657239.8189318, 1736657239.819069, 0.03447350859642029]","[1736657290.0455225, 1736657290.0456593, 0.03493851995468139]","[1736657340.3870866, 1736657340.3871863, 0.026690763950347904]","[1736657390.9818203, 1736657390.9819283, 0.028675284147262572]","[1736657441.304018, 1736657441.3041236, 0.02764609718322754]"
"[1736657239.9342194, 1736657239.9343557, 0.03433674144744873]","[1736657290.1658149, 1736657290.1659505, 0.034785981178283694]","[1736657340.5014522, 1736657340.5015585, 0.028125205516815188]","[1736657391.0956576, 1736657391.0957737, 0.03053247785568237]","[1736657441.4178457, 1736657441.4179604, 0.03021410608291626]"
"[1736657240.0498374, 1736657240.05, 0.040805652141571044]","[1736657290.2843158, 1736657290.2844973, 0.04704159569740296]","[1736657340.6151302, 1736657340.6152272, 0.025222504000985566]","[1736657391.2089982, 1736657391.2091122, 0.029478632926940918]","[1736657441.5312366, 1736657441.5313408, 0.0277482180595398]"
"[1736657240.1685164, 1736657240.1686363, 0.029754359006881715]","[1736657290.3997977, 1736657290.3999305, 0.03493719840049744]","[1736657340.729137, 1736657340.7292354, 0.025376784086227417]","[1736657391.3226745, 1736657391.3227818, 0.027896583080291748]","[1736657441.6448963, 1736657441.6450195, 0.033024340391159056]"
