epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736645534.1059718, 1736645534.1697826, 6.576343660354615]","[1736645586.886177, 1736645586.9323215, 6.403008804321289]","[1736645639.3531148, 1736645639.3999262, 8.776096359729769]","[1736645692.2807236, 1736645692.328456, 6.727016002655028]","[1736645745.2634888, 1736645745.310114, 7.898951015472412]"
"[1736645534.2304525, 1736645534.2792952, 5.4959724340438845]","[1736645586.9874613, 1736645587.0334485, 6.959508186340334]","[1736645639.4616694, 1736645639.5079842, 8.575586468478289]","[1736645692.3895826, 1736645692.4358842, 7.150495505094529]","[1736645745.370668, 1736645745.4177623, 7.973684850692749]"
"[1736645534.3390243, 1736645534.3850036, 5.613699982643127]","[1736645587.091939, 1736645587.1372638, 7.386719021320343]","[1736645639.5683665, 1736645639.6153972, 8.572424472093582]","[1736645692.4971056, 1736645692.5431843, 7.650351765840241]","[1736645745.4765708, 1736645745.5232143, 7.849027502298354]"
"[1736645534.4412751, 1736645534.4871829, 6.310798720598221]","[1736645587.1918008, 1736645587.2374256, 8.006456265449524]","[1736645639.703556, 1736645639.7496722, 8.224347710609436]","[1736645692.6400955, 1736645692.6871786, 8.595165305376053]","[1736645745.5797322, 1736645745.626495, 8.392128537654877]"
"[1736645534.546975, 1736645534.5931501, 7.069037693603862]","[1736645587.2950623, 1736645587.3418136, 8.751181496143344]","[1736645639.809698, 1736645639.8559356, 8.808515215873717]","[1736645692.7500443, 1736645692.7964468, 9.00583474779129]","[1736645745.6868696, 1736645745.7333453, 8.931864250063898]"
"[1736645534.6551995, 1736645534.7007027, 7.771397897243499]","[1736645587.3959901, 1736645587.4426484, 9.30608676624298]","[1736645639.9158552, 1736645639.962265, 9.415333186762275]","[1736645692.8534327, 1736645692.9000168, 9.591020051956175]","[1736645745.7928886, 1736645745.8398316, 9.673118602752687]"
"[1736645534.7576683, 1736645534.8055327, 8.957603410959242]","[1736645587.4970226, 1736645587.543279, 9.791626898288726]","[1736645640.020869, 1736645640.0676937, 10.159060083985331]","[1736645692.9611902, 1736645693.0076978, 10.090753314495085]","[1736645745.895565, 1736645745.945075, 10.79409120798111]"
"[1736645534.8662322, 1736645534.9126186, 9.479241656899452]","[1736645587.5998878, 1736645587.6465952, 10.458719158172608]","[1736645640.126903, 1736645640.1746078, 10.954703533172607]","[1736645693.066678, 1736645693.113185, 10.631752201080323]","[1736645746.0013118, 1736645746.0483837, 10.876660754680632]"
"[1736645534.9743202, 1736645535.0212727, 10.322185420751572]","[1736645587.7009237, 1736645587.7501535, 11.64089276790619]","[1736645640.2342818, 1736645640.2812839, 11.404218701839449]","[1736645693.1720765, 1736645693.218754, 11.247618656158448]","[1736645746.108593, 1736645746.156149, 11.620604846835137]"
"[1736645535.0907657, 1736645535.1374764, 11.067323339868892]","[1736645587.8040798, 1736645587.8495262, 11.337012468338013]","[1736645640.3401911, 1736645640.3870459, 11.96862135863304]","[1736645693.2755241, 1736645693.322366, 11.87628513813019]","[1736645746.2118702, 1736645746.2595272, 12.212243012666702]"
"[1736645535.1987643, 1736645535.2450695, 11.579999313354493]","[1736645587.9158885, 1736645587.9627898, 12.840007950305937]","[1736645640.4448242, 1736645640.4914129, 12.304127871632573]","[1736645693.3826637, 1736645693.4288473, 12.354432572364805]","[1736645746.317322, 1736645746.3653576, 12.929215423345566]"
