epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736657508.7581263, 1736657508.77355, 0.69895464347088]","[1736657637.2659981, 1736657637.282682, 3.0025364778041843]","[1736657764.6375868, 1736657764.6517034, 2.554455899000168]","[1736657892.0131478, 1736657892.0273259, 2.5833802390098572]","[1736658020.0182226, 1736658020.0358531, 3.2883141937255855]"
"[1736657509.043602, 1736657509.0890985, 5.241831565618514]","[1736657637.5432248, 1736657637.5884736, 7.937580425024032]","[1736657764.9122996, 1736657764.957341, 7.760890150547028]","[1736657892.292338, 1736657892.337313, 8.003173859834671]","[1736658020.3032377, 1736658020.3479772, 8.109702709913254]"
"[1736657509.3908737, 1736657509.4355154, 7.14017737007141]","[1736657637.8610163, 1736657637.9059758, 8.565287903308867]","[1736657765.2254536, 1736657765.2701638, 8.520951580047608]","[1736657892.6054232, 1736657892.6507726, 8.602607486486434]","[1736658020.6184506, 1736658020.663364, 8.692608346939087]"
"[1736657509.7087731, 1736657509.75394, 8.807920349121096]","[1736657638.1786637, 1736657638.2234786, 9.630906307935716]","[1736657765.5370398, 1736657765.5819805, 9.718825464844704]","[1736657892.9260395, 1736657892.970732, 9.77848840034008]","[1736658020.9264035, 1736658020.9709733, 9.840951981782915]"
"[1736657510.0304165, 1736657510.0752962, 9.778218639492989]","[1736657638.4976559, 1736657638.5427687, 10.371654802441595]","[1736657765.853056, 1736657765.8980656, 10.466084626317027]","[1736657893.2382526, 1736657893.2828963, 10.194179901006812]","[1736658021.2374272, 1736658021.2826622, 10.750168873786926]"
"[1736657510.3426616, 1736657510.3881662, 10.062832541942596]","[1736657638.8089702, 1736657638.8541446, 10.32460021817684]","[1736657766.1645322, 1736657766.2090788, 10.283959948182105]","[1736657893.5562396, 1736657893.6015809, 10.42866961956024]","[1736658021.5511453, 1736658021.596308, 10.676272051095962]"
"[1736657510.668396, 1736657510.7139323, 10.051405158519744]","[1736657639.1212907, 1736657639.1659305, 10.11539785970089]","[1736657766.4773126, 1736657766.522693, 10.34456670828692]","[1736657893.8681054, 1736657893.9129906, 10.400340085029601]","[1736658021.860839, 1736658021.9056776, 10.547343656659125]"
"[1736657510.988385, 1736657511.033501, 10.005589306354523]","[1736657639.430173, 1736657639.4754744, 10.389069236755368]","[1736657766.7920737, 1736657766.8374445, 10.425669339179994]","[1736657894.1825755, 1736657894.2275593, 10.54160861778259]","[1736658022.1722002, 1736658022.216743, 10.418983214497565]"
"[1736657511.3029509, 1736657511.3483262, 10.182500149726868]","[1736657639.744358, 1736657639.789247, 10.41819202041626]","[1736657767.1041288, 1736657767.1488194, 10.358121205329894]","[1736657894.4968715, 1736657894.541818, 10.517181382179265]","[1736658022.5249104, 1736658022.5698698, 10.321532839536665]"
"[1736657511.6254113, 1736657511.669922, 9.913400648117067]","[1736657640.0653198, 1736657640.1106646, 10.571285459995268]","[1736657767.4068766, 1736657767.4517047, 10.457203216314316]","[1736657894.8109329, 1736657894.8559864, 10.470905607223509]","[1736658022.8350894, 1736658022.880208, 10.405425163269042]"
"[1736657511.948752, 1736657511.9941945, 10.065345390796661]","[1736657640.3798563, 1736657640.4245272, 10.361288163542747]","[1736657767.7133033, 1736657767.758508, 10.652337668895722]","[1736657895.1258059, 1736657895.170273, 10.26346347153187]","[1736658023.1471663, 1736658023.1921782, 10.338477434873582]"
"[1736657512.2720437, 1736657512.3171723, 9.922376615285874]","[1736657640.6923451, 1736657640.7370937, 10.302274639606475]","[1736657768.01978, 1736657768.064786, 10.679797504663465]","[1736657895.4424865, 1736657895.4876838, 10.324543057203293]","[1736658023.459257, 1736658023.5040083, 10.245629722118379]"
"[1736657512.5852408, 1736657512.6305678, 9.983486968278886]","[1736657641.0043895, 1736657641.0497968, 10.400823066711427]","[1736657768.3252344, 1736657768.3698776, 10.625028312921522]","[1736657895.7636957, 1736657895.8090358, 10.462037758827213]","[1736658023.7692497, 1736658023.8138497, 10.39737779378891]"
"[1736657512.905034, 1736657512.9498885, 10.024555278539657]","[1736657641.322394, 1736657641.3676083, 10.266384978294372]","[1736657768.631238, 1736657768.6759582, 10.6180895280838]","[1736657896.0749664, 1736657896.1204243, 10.570311527252196]","[1736658024.07843, 1736658024.1232488, 10.39238217020035]"
"[1736657513.2270205, 1736657513.2722194, 10.096134711384773]","[1736657641.6367383, 1736657641.6814048, 10.202549819946288]","[1736657768.9410915, 1736657768.9859257, 10.561157118797304]","[1736657896.3900557, 1736657896.434604, 10.4007744140625]","[1736658024.3958273, 1736658024.4405975, 10.346044483184816]"
"[1736657513.5427573, 1736657513.587119, 9.95578285050392]","[1736657641.950589, 1736657641.995453, 10.33014634013176]","[1736657769.2540145, 1736657769.2988274, 10.433891327619552]","[1736657896.7013085, 1736657896.7460742, 10.406049783945084]","[1736658024.7041607, 1736658024.748752, 10.36719460248947]"
"[1736657513.849594, 1736657513.8946414, 10.11138172030449]","[1736657642.2628763, 1736657642.308221, 10.486127870082855]","[1736657769.5643709, 1736657769.608942, 10.303074642419816]","[1736657897.0163438, 1736657897.0609927, 10.376938764452936]","[1736658025.0153718, 1736658025.0602496, 10.505257097721099]"
"[1736657514.1596851, 1736657514.2048645, 10.075679398792463]","[1736657642.5749269, 1736657642.6193705, 10.326301522910748]","[1736657769.8750603, 1736657769.9195578, 10.179941970705986]","[1736657897.3279898, 1736657897.372943, 10.366929906368254]","[1736658025.3363097, 1736658025.3816502, 10.65652267360687]"
"[1736657514.4712937, 1736657514.5158587, 10.105461740970613]","[1736657642.8836315, 1736657642.9290528, 10.528460881710053]","[1736657770.1874757, 1736657770.2322454, 10.304119330406188]","[1736657897.6370566, 1736657897.6822093, 10.381856298600395]","[1736658025.6548662, 1736658025.699898, 10.482466073513029]"
"[1736657514.782432, 1736657514.8271034, 10.239510043859482]","[1736657643.1972072, 1736657643.2422094, 10.378283113360405]","[1736657770.4952579, 1736657770.5403376, 10.454164627075192]","[1736657897.9476252, 1736657897.9929, 10.481327409744264]","[1736658025.971096, 1736658026.015902, 10.33045754432678]"
"[1736657515.0995965, 1736657515.1442037, 10.281817129135135]","[1736657643.508707, 1736657643.5533707, 10.238116954803466]","[1736657770.8065271, 1736657770.8509848, 10.409186423540117]","[1736657898.2554395, 1736657898.3003678, 10.518796189308167]","[1736658026.285933, 1736658026.3311434, 10.33101667678356]"
