epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736651940.4533365, 1736651940.531682, 4.168244371175766]","[1736652055.8450363, 1736652055.915866, 13.458975443601606]","[1736652173.8686814, 1736652173.939887, 13.920663442730902]","[1736652291.634484, 1736652291.7095866, 13.984695353150368]","[1736652409.6087005, 1736652409.6786516, 12.566493733048443]"
"[1736651940.7655957, 1736651940.8404498, 10.117734080791474]","[1736652056.1257582, 1736652056.193488, 12.959064356088641]","[1736652174.1505685, 1736652174.2230794, 14.208861349463461]","[1736652291.9207442, 1736652291.988264, 12.752392094373702]","[1736652409.8908653, 1736652409.9585876, 12.526642127513888]"
"[1736651941.0557091, 1736651941.126363, 12.690093363671872]","[1736652056.4001684, 1736652056.4678268, 14.600404948115349]","[1736652174.434281, 1736652174.5035074, 15.000665109276774]","[1736652292.197422, 1736652292.266973, 14.952369404792787]","[1736652410.1659627, 1736652410.2342968, 14.577107815861702]"
"[1736651941.3362465, 1736651941.4054425, 15.580167046546936]","[1736652056.6762455, 1736652056.7452238, 17.307309789419175]","[1736652174.713801, 1736652174.7827213, 17.141255117177963]","[1736652292.4747639, 1736652292.5459795, 17.617464876174928]","[1736652410.4419506, 1736652410.5129664, 17.41826685094833]"
"[1736651941.6508696, 1736651941.7210708, 18.204077892541882]","[1736652056.9587762, 1736652057.026238, 18.989864271283153]","[1736652174.9914827, 1736652175.0635357, 20.191183596611026]","[1736652292.7554395, 1736652292.8260016, 19.727123639345173]","[1736652410.7211816, 1736652410.7890787, 18.95238391256333]"
"[1736651941.9372828, 1736651942.007117, 18.55425902605057]","[1736652057.2336206, 1736652057.301861, 19.211720974445342]","[1736652175.2744489, 1736652175.3438833, 19.38079178547859]","[1736652293.0341456, 1736652293.100782, 18.572175310134888]","[1736652410.9966712, 1736652411.0646448, 19.024679131150247]"
"[1736651942.2093832, 1736651942.277576, 18.45863752412795]","[1736652057.5115628, 1736652057.579924, 19.09287100386619]","[1736652175.5535786, 1736652175.6229367, 19.533450420737267]","[1736652293.307259, 1736652293.3743396, 18.834128731966015]","[1736652411.2709363, 1736652411.3384373, 18.89467939615249]"
"[1736651942.4819512, 1736651942.5500216, 18.36022372055054]","[1736652057.7883494, 1736652057.8587825, 19.731214225888255]","[1736652175.8328373, 1736652175.903254, 19.876264953255653]","[1736652293.5827694, 1736652293.6498878, 18.868590848088267]","[1736652411.546713, 1736652411.6144488, 18.95833295239098]"
"[1736651942.7578454, 1736651942.8265338, 18.809000852444154]","[1736652058.0673862, 1736652058.1394842, 20.24256703400612]","[1736652176.111805, 1736652176.1822221, 19.91770658564568]","[1736652293.861524, 1736652293.9345088, 20.492861738204954]","[1736652411.823213, 1736652411.8933253, 19.589987623214718]"
"[1736651943.0337386, 1736651943.1042, 19.394176006793977]","[1736652058.3479104, 1736652058.4184325, 19.86902902650833]","[1736652176.3929622, 1736652176.462603, 19.57082685828209]","[1736652294.1429064, 1736652294.2108376, 18.9882034971714]","[1736652412.1015913, 1736652412.171294, 19.415652191281325]"
"[1736651943.3169184, 1736651943.3875306, 19.426557451128964]","[1736652058.6274238, 1736652058.6967554, 19.48323249101639]","[1736652176.6710775, 1736652176.7419386, 19.805217880010602]","[1736652294.4233413, 1736652294.490609, 18.785398027896882]","[1736652412.379595, 1736652412.4466813, 18.81732198095322]"
"[1736651943.596288, 1736651943.6653106, 18.976491373896597]","[1736652058.903467, 1736652058.971693, 19.141216942548752]","[1736652176.9514039, 1736652177.0216377, 19.73764576864243]","[1736652294.6995325, 1736652294.7669342, 18.889195791482923]","[1736652412.6529188, 1736652412.720642, 19.060203929662705]"
"[1736651943.8694954, 1736651943.9386742, 18.961706931352616]","[1736652059.1793735, 1736652059.246804, 19.022514988541605]","[1736652177.2307932, 1736652177.3026073, 20.257676958084108]","[1736652294.976243, 1736652295.046173, 19.659523429208274]","[1736652412.9301124, 1736652412.9972224, 18.88067763328552]"
"[1736651944.150054, 1736651944.220659, 19.184904401302337]","[1736652059.4554791, 1736652059.523497, 19.190822072505945]","[1736652177.5152535, 1736652177.58301, 19.163857002483823]","[1736652295.2555146, 1736652295.3262303, 19.82612693119049]","[1736652413.2050889, 1736652413.273368, 19.143778983592988]"
"[1736651944.4339538, 1736651944.5013247, 18.373975378990167]","[1736652059.733925, 1736652059.8016782, 19.04430576992035]","[1736652177.7912765, 1736652177.8617399, 19.75716757893562]","[1736652295.5344965, 1736652295.605291, 19.79231510925293]","[1736652413.4828901, 1736652413.5543976, 20.074536729812625]"
"[1736651944.703681, 1736651944.7719998, 18.75346266436577]","[1736652060.0099273, 1736652060.0811315, 19.91038983130455]","[1736652178.071675, 1736652178.1407385, 19.294978502273555]","[1736652295.8140666, 1736652295.8848362, 19.87885120356083]","[1736652413.7643247, 1736652413.8335192, 19.419826597690584]"
"[1736651944.973559, 1736651945.0407634, 18.499577557563782]","[1736652060.2900803, 1736652060.3592348, 19.41850481164456]","[1736652178.3507445, 1736652178.4213688, 19.778209283351895]","[1736652296.094159, 1736652296.1653137, 20.062886721253395]","[1736652414.0423243, 1736652414.112872, 19.873958964347842]"
"[1736651945.2458382, 1736651945.3124971, 18.369538558006287]","[1736652060.5669594, 1736652060.6380577, 20.02007141828537]","[1736652178.6320188, 1736652178.7021968, 19.707144099712366]","[1736652296.3731525, 1736652296.440085, 18.895630148649218]","[1736652414.3209395, 1736652414.3930073, 20.199433759689327]"
"[1736651945.5127804, 1736651945.5792742, 18.376726375579832]","[1736652060.846761, 1736652060.9176462, 20.025843490123748]","[1736652178.9109886, 1736652178.9815533, 19.876183941364292]","[1736652296.6472309, 1736652296.714509, 18.837216522773453]","[1736652414.6020443, 1736652414.6723745, 19.62639582061768]"
"[1736651945.7832294, 1736651945.8534126, 19.302506709098814]","[1736652061.1266682, 1736652061.1975582, 19.920005003452307]","[1736652179.1905282, 1736652179.2612665, 19.77051034545898]","[1736652296.9223597, 1736652296.9898674, 18.939595654726027]","[1736652414.8798327, 1736652414.9474125, 19.02033485209942]"
"[1736651946.0547402, 1736651946.1216714, 18.40458232051196]","[1736652061.4059947, 1736652061.4742217, 19.13202348208427]","[1736652179.4703085, 1736652179.539473, 19.28897192144394]","[1736652297.198798, 1736652297.2658536, 18.82252320969105]","[1736652415.1551707, 1736652415.223363, 19.227346648573874]"
"[1736651946.33955, 1736651946.4239311, 23.109864745603875]","[1736652061.6842165, 1736652061.757241, 20.58704249429703]","[1736652179.7489457, 1736652179.8213274, 20.334019612312318]","[1736652297.4741902, 1736652297.5443316, 19.686142162322998]","[1736652415.4292653, 1736652415.497118, 19.096473884582522]"
"[1736651946.6267023, 1736651946.6932907, 18.169556840896604]","[1736652061.966209, 1736652062.038053, 20.29430672419072]","[1736652180.0308366, 1736652180.1026967, 20.222768094301223]","[1736652297.7531948, 1736652297.8244557, 20.016197333335878]","[1736652415.705367, 1736652415.7725875, 18.84305053591729]"
"[1736651946.897067, 1736651946.9637256, 18.296211769580843]","[1736652062.2465417, 1736652062.3171852, 19.987921309471126]","[1736652180.3124144, 1736652180.3819673, 19.64955904476143]","[1736652298.0330486, 1736652298.1043386, 19.96774268341064]","[1736652415.9823267, 1736652416.0545745, 20.27253609633446]"
"[1736651947.166025, 1736651947.2330024, 18.34312817573547]","[1736652062.5266354, 1736652062.597504, 19.869824348449704]","[1736652180.5917573, 1736652180.6618168, 19.63166334962845]","[1736652298.3136494, 1736652298.384729, 19.98929283475876]","[1736652416.2637343, 1736652416.3330204, 19.432115784645084]"
"[1736651947.4366949, 1736651947.5034957, 18.420081262350077]","[1736652062.8070538, 1736652062.8763006, 19.386123042583467]","[1736652180.8748806, 1736652180.9430275, 18.957603924751282]","[1736652298.5930002, 1736652298.662216, 19.545527194738387]","[1736652416.5407958, 1736652416.6120358, 20.04977104187012]"
"[1736651947.7050748, 1736651947.7734518, 18.843740893840792]","[1736652063.0858595, 1736652063.157295, 20.163306106567383]","[1736652181.1544428, 1736652181.2226124, 19.108732091903693]","[1736652298.8698263, 1736652298.9367619, 18.93579631042481]","[1736652416.8204367, 1736652416.8923748, 20.19444599151612]"
"[1736651947.9763103, 1736651948.0431058, 18.324701485633852]","[1736652063.3657887, 1736652063.4371865, 20.209938197493553]","[1736652181.4317496, 1736652181.5011008, 19.497013895988463]","[1736652299.1427565, 1736652299.2101316, 18.88326729774475]","[1736652417.101353, 1736652417.1725783, 19.93999268496037]"
"[1736651948.2449667, 1736651948.312904, 18.785743351221083]","[1736652063.6454716, 1736652063.7123923, 18.98454887437821]","[1736652181.7095628, 1736652181.7792218, 19.636870598793028]","[1736652299.4212692, 1736652299.4890954, 19.047988787651068]","[1736652417.380943, 1736652417.4517212, 19.986958123207092]"
"[1736651948.5151544, 1736651948.5815396, 18.38743885421753]","[1736652063.9212322, 1736652063.9892447, 19.088177467584607]","[1736652181.9876356, 1736652182.0553296, 19.007310010671613]","[1736652299.698294, 1736652299.765565, 18.925756146788594]","[1736652417.660774, 1736652417.7320023, 20.182790616631507]"
"[1736651948.7849472, 1736651948.8511572, 18.205044053792953]","[1736652064.1969748, 1736652064.2649176, 19.04349076604843]","[1736652182.2622044, 1736652182.3307045, 19.255175527930255]","[1736652299.9728732, 1736652300.043922, 19.982883453369137]","[1736652417.9405637, 1736652418.011361, 20.07532623887062]"
"[1736651949.054088, 1736651949.1204684, 18.266496345096716]","[1736652064.4724052, 1736652064.5404565, 19.122453208327293]","[1736652182.5400863, 1736652182.608306, 19.22235135948658]","[1736652300.251605, 1736652300.323844, 20.336701354980462]","[1736652418.2207518, 1736652418.2920926, 20.0384890794754]"
"[1736651949.3231492, 1736651949.3921301, 19.2746384973526]","[1736652064.7487955, 1736652064.8178072, 19.380000312805176]","[1736652182.8179288, 1736652182.8869317, 19.42850996661186]","[1736652300.531114, 1736652300.6021178, 19.95488737630845]","[1736652418.5004475, 1736652418.5716999, 19.932356845736496]"
"[1736651949.5947146, 1736651949.6611192, 18.336112419724465]","[1736652065.0257576, 1736652065.0967646, 19.970367461442947]","[1736652183.1011732, 1736652183.171662, 19.789908004760743]","[1736652300.8086615, 1736652300.8766668, 19.203687198758125]","[1736652418.7803204, 1736652418.8515282, 20.053830684542653]"
"[1736651949.8630307, 1736651949.9320726, 19.06890809988975]","[1736652065.3050566, 1736652065.3764944, 20.080223505973812]","[1736652183.38348, 1736652183.454062, 19.5194986205101]","[1736652301.0833018, 1736652301.1511722, 19.179294198036192]","[1736652419.0596652, 1736652419.1270294, 19.036866083145142]"
"[1736651950.1332574, 1736651950.2001314, 18.72142433428764]","[1736652065.5855706, 1736652065.6562736, 19.95847203302383]","[1736652183.6668549, 1736652183.7404678, 20.325350695848464]","[1736652301.3575559, 1736652301.4253547, 19.111276258945463]","[1736652419.3337014, 1736652419.4016228, 19.205115476846693]"
"[1736651950.4032433, 1736651950.472012, 19.076787066698074]","[1736652065.8658159, 1736652065.9347615, 19.497985593557363]","[1736652183.9559712, 1736652184.026201, 19.439313044905663]","[1736652301.635376, 1736652301.7040906, 19.28493824779987]","[1736652419.6092365, 1736652419.6768165, 18.958579631805417]"
"[1736651950.675394, 1736651950.7424316, 18.54467345619202]","[1736652066.1474361, 1736652066.218927, 20.254991493916165]","[1736652184.2499907, 1736652184.3218915, 19.922567218661314]","[1736652301.9127293, 1736652301.982992, 19.73114415001869]","[1736652419.887286, 1736652419.9551432, 19.00913844037056]"
"[1736651950.943357, 1736651951.0122046, 19.157172648310663]","[1736652066.4358952, 1736652066.506478, 19.82524500703812]","[1736652184.5401251, 1736652184.610545, 19.588668530941007]","[1736652302.192395, 1736652302.2634816, 20.02804254722595]","[1736652420.1664698, 1736652420.2346764, 19.108228785038]"
"[1736651951.2151287, 1736651951.282742, 18.806365630626683]","[1736652066.7212377, 1736652066.7909882, 19.338688021898268]","[1736652184.8171062, 1736652184.8846357, 18.841400530099868]","[1736652302.4715505, 1736652302.5431242, 20.210561644554137]","[1736652420.4429767, 1736652420.5128062, 19.564828858129733]"
"[1736651951.482746, 1736651951.5520523, 19.09584650421143]","[1736652067.0089474, 1736652067.0789797, 19.34909736466408]","[1736652185.096677, 1736652185.1650503, 18.932950226783756]","[1736652302.7519238, 1736652302.822817, 19.90286515045166]","[1736652420.7218854, 1736652420.7921965, 19.677115284919733]"
"[1736651951.7533233, 1736651951.8196325, 18.282288079741583]","[1736652067.2920752, 1736652067.361435, 19.29342891597748]","[1736652185.3770373, 1736652185.4442577, 18.614513967990874]","[1736652303.031036, 1736652303.09811, 18.78920262026787]","[1736652421.000089, 1736652421.0699027, 19.49035445427895]"
"[1736651952.0232184, 1736651952.0917003, 19.165263562321663]","[1736652067.5760229, 1736652067.647622, 20.012361651659006]","[1736652185.6542418, 1736652185.7216203, 18.843072345018392]","[1736652303.3060563, 1736652303.3740444, 19.17703213095665]","[1736652421.2767444, 1736652421.346378, 19.569313789844514]"
"[1736651952.2939003, 1736651952.3606718, 18.474705011606222]","[1736652067.864029, 1736652067.9368284, 20.40199861550331]","[1736652185.93056, 1736652185.9994256, 19.25463977456093]","[1736652303.5813956, 1736652303.6485105, 18.890474141240123]","[1736652421.5533724, 1736652421.620871, 18.99459630918502]"
"[1736651952.5638707, 1736651952.6314075, 18.69399218320847]","[1736652068.150556, 1736652068.2196941, 19.401107686996465]","[1736652186.2070346, 1736652186.2789316, 20.177829537868497]","[1736652303.8568594, 1736652303.9237587, 18.807132505416863]","[1736652421.8279772, 1736652421.8951566, 18.879035354614256]"
"[1736651952.833449, 1736651952.9001856, 18.715351569175724]","[1736652068.4296203, 1736652068.497216, 18.791813028097156]","[1736652186.4888113, 1736652186.559602, 19.853200002193454]","[1736652304.1317055, 1736652304.2023153, 19.803399368762967]","[1736652422.103548, 1736652422.1717148, 19.066514903068544]"
"[1736651953.1034918, 1736651953.1719906, 19.015254786968228]","[1736652068.7069597, 1736652068.7764878, 19.353587528228758]","[1736652186.7700508, 1736652186.839538, 19.36850042462349]","[1736652304.4107716, 1736652304.48186, 19.93054337310791]","[1736652422.379476, 1736652422.4510589, 20.06122024106979]"
"[1736651953.373364, 1736651953.4397137, 18.35306925797462]","[1736652068.9854984, 1736652069.0562694, 19.919983323812485]","[1736652187.0476866, 1736652187.1189375, 20.020293932676317]","[1736652304.6892068, 1736652304.7573607, 19.207141986489294]","[1736652422.6595178, 1736652422.7314453, 20.191306513309478]"
"[1736651953.6434798, 1736651953.7114012, 18.92139594769478]","[1736652069.2659128, 1736652069.3356223, 19.65378655481338]","[1736652187.3304603, 1736652187.3993967, 19.394823284149172]","[1736652304.9638126, 1736652305.0327659, 19.46468228530884]","[1736652422.9413297, 1736652423.0117292, 19.82091523957252]"
"[1736651953.9122696, 1736651953.9792542, 18.69195486879349]","[1736652069.5442257, 1736652069.615135, 20.021442769765855]","[1736652187.6081634, 1736652187.6783998, 19.795720456123355]","[1736652305.239014, 1736652305.3064005, 18.90879027509689]","[1736652423.2193189, 1736652423.2913015, 20.182271649599073]"
"[1736651954.1837196, 1736651954.250942, 18.60735002827644]","[1736652069.8242357, 1736652069.894912, 19.81834878444672]","[1736652187.889162, 1736652187.959774, 19.773465404510496]","[1736652305.5152838, 1736652305.5832274, 19.07540033769608]","[1736652423.499467, 1736652423.5707483, 19.920486249923705]"
"[1736651954.4847074, 1736651954.5513678, 18.430201894283293]","[1736652070.1048596, 1736652070.1750321, 19.6292250828743]","[1736652188.170604, 1736652188.2390132, 19.014493646264075]","[1736652305.7908435, 1736652305.8626297, 20.166908145070078]","[1736652423.780358, 1736652423.8506997, 19.794157016038895]"
"[1736651954.7535312, 1736651954.820633, 18.454372673966414]","[1736652070.384259, 1736652070.4551263, 19.96437329530716]","[1736652188.4468615, 1736652188.5182858, 20.0153432495594]","[1736652306.0716586, 1736652306.1429455, 20.036411205006203]","[1736652424.0589054, 1736652424.125768, 18.881435669898988]"
"[1736651955.0243638, 1736651955.0915854, 18.44528578901291]","[1736652070.6646616, 1736652070.73364, 19.498062280178072]","[1736652188.7284021, 1736652188.798622, 19.72563843083382]","[1736652306.3505898, 1736652306.4217207, 19.947050408124923]","[1736652424.3327825, 1736652424.4003353, 19.10791885447502]"
"[1736651955.2949317, 1736651955.3624156, 18.615310227155685]","[1736652070.9449408, 1736652071.0157053, 20.043631828308108]","[1736652189.008356, 1736652189.0793912, 20.012447742938992]","[1736652306.6303341, 1736652306.7016215, 19.92574098181725]","[1736652424.6080601, 1736652424.675167, 18.809930615663525]"
"[1736651955.5634685, 1736651955.6308498, 18.601102167606353]","[1736652071.226087, 1736652071.2958868, 19.563798161745073]","[1736652189.2888634, 1736652189.3587415, 19.574603140354156]","[1736652306.910486, 1736652306.9798937, 19.501547288656237]","[1736652424.8840466, 1736652424.9511461, 18.845141352653506]"
"[1736651955.8351362, 1736651955.9018402, 18.647051997184754]","[1736652071.5036223, 1736652071.5728602, 19.33721302342415]","[1736652189.5689967, 1736652189.6368978, 18.901528424263002]","[1736652307.1874254, 1736652307.2541914, 18.83630288052559]","[1736652425.1598117, 1736652425.2307916, 19.954903141736985]"
