epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736640063.343512, 1736640063.344906, 0.1654410996437073]","[1736640200.4941344, 1736640200.4952745, 0.23832449197769165]","[1736640338.1047747, 1736640338.1063387, 0.3259208349171232]","[1736640472.6124914, 1736640472.6137846, 0.2840656127929687]","[1736640605.5526266, 1736640605.5538032, 0.2580121386051178]"
"[1736640063.6303263, 1736640063.6313436, 0.1653022198677063]","[1736640200.7731931, 1736640200.7742496, 0.2172258272515655]","[1736640338.4268053, 1736640338.4281554, 0.2818967773914337]","[1736640472.88539, 1736640472.8865142, 0.24226531147956848]","[1736640605.8244438, 1736640605.8253531, 0.19528919887542726]"
"[1736640063.915457, 1736640063.9165065, 0.21844679832458494]","[1736640201.0582178, 1736640201.0590878, 0.21161796045303344]","[1736640338.717123, 1736640338.71829, 0.28537275433540343]","[1736640473.158282, 1736640473.1592355, 0.22099659987835904]","[1736640606.1049817, 1736640606.1060522, 0.24802079916000366]"
"[1736640064.203955, 1736640064.2050042, 0.2449974753856659]","[1736640201.3348727, 1736640201.3357568, 0.23909662723897732]","[1736640339.00298, 1736640339.0040948, 0.3121968116760254]","[1736640473.430076, 1736640473.430924, 0.22902655053138732]","[1736640606.3891711, 1736640606.3902147, 0.2813902294635772]"
"[1736640064.4895463, 1736640064.4905992, 0.2745775909423828]","[1736640201.6125846, 1736640201.6134684, 0.2471622636318207]","[1736640339.2861812, 1736640339.2872632, 0.2910850005149841]","[1736640473.7031505, 1736640473.7040222, 0.24732607650756838]","[1736640606.6897285, 1736640606.6908317, 0.30421478319168094]"
"[1736640064.7727044, 1736640064.7739367, 0.32851087689399716]","[1736640201.8845608, 1736640201.885513, 0.2669472670555115]","[1736640339.5687366, 1736640339.5696404, 0.24874713659286496]","[1736640473.9827363, 1736640473.9836206, 0.2500351569652557]","[1736640606.970699, 1736640606.971645, 0.2593856506347656]"
"[1736640065.0549707, 1736640065.0562608, 0.34539390325546265]","[1736640202.1577017, 1736640202.1586268, 0.2603426361083985]","[1736640339.8406236, 1736640339.8415184, 0.2488710057735443]","[1736640474.257589, 1736640474.2585487, 0.2713252101616733]","[1736640607.2441454, 1736640607.2450244, 0.24433439040184018]"
"[1736640065.35329, 1736640065.354499, 0.32361250281333925]","[1736640202.440786, 1736640202.4416568, 0.24443713998794556]","[1736640340.1186173, 1736640340.1196873, 0.3000985336303711]","[1736640474.5337043, 1736640474.534608, 0.2556618809700012]","[1736640607.5182595, 1736640607.5191393, 0.2429302668571472]"
"[1736640065.6405027, 1736640065.6417222, 0.329841148853302]","[1736640202.7178965, 1736640202.7187786, 0.24737215042114258]","[1736640340.3938003, 1736640340.394707, 0.2550300629138947]","[1736640474.8041945, 1736640474.8050878, 0.25307837247848514]","[1736640607.7894762, 1736640607.790347, 0.24382051229476928]"
"[1736640065.9313846, 1736640065.932576, 0.32410475587844845]","[1736640202.9959671, 1736640202.9968233, 0.23957699704170227]","[1736640340.6651294, 1736640340.6660354, 0.25653305053710934]","[1736640475.077586, 1736640475.0785983, 0.28794681692123414]","[1736640608.0578406, 1736640608.058778, 0.26461173248291014]"
"[1736640066.2183688, 1736640066.2195728, 0.3299852728843689]","[1736640203.2780766, 1736640203.2789924, 0.25534113597869873]","[1736640340.9353328, 1736640340.936532, 0.33919458389282225]","[1736640475.3474724, 1736640475.3483744, 0.2561962444782257]","[1736640608.327492, 1736640608.328357, 0.24389655017852782]"
"[1736640066.5089695, 1736640066.510184, 0.32709737565342123]","[1736640203.557313, 1736640203.5582337, 0.2571459922790527]","[1736640341.2058363, 1736640341.206793, 0.270715307712555]","[1736640475.6166587, 1736640475.617561, 0.2564318585395813]","[1736640608.5951512, 1736640608.5960178, 0.24509945392608642]"
"[1736640066.793273, 1736640066.7944758, 0.3200600373744965]","[1736640203.835146, 1736640203.8360078, 0.24162015674101125]","[1736640341.4745915, 1736640341.4754694, 0.24959675073623655]","[1736640475.8877232, 1736640475.8886042, 0.2504735946655273]","[1736640608.8625708, 1736640608.8634408, 0.2464906153678894]"
"[1736640067.078684, 1736640067.079835, 0.30758904075622556]","[1736640204.1125913, 1736640204.1135516, 0.2680836334228516]","[1736640341.745146, 1736640341.7460327, 0.2523372299671173]","[1736640476.1548123, 1736640476.1558535, 0.29678038311004634]","[1736640609.1299117, 1736640609.1308722, 0.2720617046356201]"
"[1736640067.3654044, 1736640067.366585, 0.3159239101409912]","[1736640204.3898435, 1736640204.3907754, 0.2607386162281036]","[1736640342.0131352, 1736640342.0140102, 0.2493371629714966]","[1736640476.424795, 1736640476.425721, 0.26367985343933104]","[1736640609.3973036, 1736640609.3981845, 0.25029740333557127]"
"[1736640067.690007, 1736640067.6912231, 0.31914694762229917]","[1736640204.6706915, 1736640204.671568, 0.24597265815734862]","[1736640342.2832105, 1736640342.2841249, 0.26092476487159727]","[1736640476.6931536, 1736640476.6940846, 0.2650896894931793]","[1736640609.6650345, 1736640609.665975, 0.2669820857048035]"
"[1736640067.9893591, 1736640067.9906235, 0.3319432334899902]","[1736640204.950903, 1736640204.9517767, 0.24537642240524293]","[1736640342.554352, 1736640342.5553741, 0.2912884068489075]","[1736640476.9634664, 1736640476.9644456, 0.2786917476654053]","[1736640609.9322972, 1736640609.9331782, 0.2506885480880737]"
"[1736640068.285675, 1736640068.2865872, 0.24033182668685912]","[1736640205.232172, 1736640205.2331343, 0.26948884105682375]","[1736640342.8246696, 1736640342.8256233, 0.27179622650146484]","[1736640477.2326615, 1736640477.2336519, 0.2819622735977173]","[1736640610.2083702, 1736640610.209318, 0.2687015175819397]"
"[1736640068.5628374, 1736640068.5637114, 0.2336918721199036]","[1736640205.5120254, 1736640205.5129232, 0.2509559874534607]","[1736640343.0958602, 1736640343.0970817, 0.3469818892323945]","[1736640477.5019717, 1736640477.5029597, 0.2816747512817383]","[1736640610.4749324, 1736640610.4759045, 0.27538751292228697]"
"[1736640068.8420014, 1736640068.8428688, 0.23498354148864745]","[1736640205.7920735, 1736640205.7929888, 0.2549839346408844]","[1736640343.3733585, 1736640343.3743145, 0.2716487264633179]","[1736640477.768182, 1736640477.7690656, 0.25249690914154055]","[1736640610.7432508, 1736640610.7441614, 0.25824821305274964]"
"[1736640069.1157014, 1736640069.116667, 0.2655271053314209]","[1736640206.0672498, 1736640206.0682182, 0.27103313970565795]","[1736640343.6510053, 1736640343.6521013, 0.30910775899887083]","[1736640478.0376523, 1736640478.0385046, 0.2437259018421173]","[1736640611.0084748, 1736640611.0094242, 0.26908261251449583]"
"[1736640069.3909965, 1736640069.391895, 0.24689114546775817]","[1736640206.3414884, 1736640206.3423455, 0.24098553776741027]","[1736640343.939634, 1736640343.9407444, 0.31024541783332826]","[1736640478.3025231, 1736640478.3034024, 0.25140242767333987]","[1736640611.2746673, 1736640611.275552, 0.2520280029773712]"
"[1736640069.6670578, 1736640069.6679282, 0.23941999626159668]","[1736640206.6164086, 1736640206.6172988, 0.2502319779396057]","[1736640344.2124672, 1736640344.2133512, 0.2474729375839233]","[1736640478.5685463, 1736640478.5694623, 0.26206604814529416]","[1736640611.5386276, 1736640611.5395536, 0.26461513137817383]"
"[1736640069.9430761, 1736640069.9439628, 0.24433761477470398]","[1736640206.8954701, 1736640206.8964124, 0.26508422470092774]","[1736640344.4866595, 1736640344.4876184, 0.2675030674934387]","[1736640478.8359134, 1736640478.836781, 0.24832162499427793]","[1736640611.8045964, 1736640611.8054974, 0.2573380949497223]"
"[1736640070.2217753, 1736640070.2226827, 0.24997455310821534]","[1736640207.1765382, 1736640207.1774058, 0.24231519412994382]","[1736640344.7573464, 1736640344.7582493, 0.2528239707946778]","[1736640479.1030793, 1736640479.1040401, 0.2747551703453064]","[1736640612.0706866, 1736640612.0716395, 0.27225849771499633]"
"[1736640070.5006387, 1736640070.5015244, 0.24371432542800905]","[1736640207.4547882, 1736640207.455692, 0.2519702472686768]","[1736640345.044919, 1736640345.046067, 0.32169652104377744]","[1736640479.3723228, 1736640479.3732104, 0.2534722995758057]","[1736640612.3362913, 1736640612.3371675, 0.2507063806056976]"
"[1736640070.7725537, 1736640070.7734551, 0.2482289083003998]","[1736640207.734066, 1736640207.7349246, 0.23967710124221603]","[1736640345.3332734, 1736640345.3345044, 0.34306226921081545]","[1736640479.6411738, 1736640479.6420345, 0.24574967861175537]","[1736640612.6062243, 1736640612.607097, 0.24812024116516113]"
"[1736640071.0448616, 1736640071.0457556, 0.2465870976448059]","[1736640208.0113752, 1736640208.0122387, 0.24048889541625976]","[1736640345.618802, 1736640345.6200573, 0.35108878970146173]","[1736640479.91068, 1736640479.911642, 0.27396472334861754]","[1736640612.8727806, 1736640612.873664, 0.2515233528614044]"
"[1736640071.3221889, 1736640071.3231268, 0.25848933744430547]","[1736640208.2906847, 1736640208.2915797, 0.24941615581512452]","[1736640345.9045935, 1736640345.905876, 0.36334473609924317]","[1736640480.181834, 1736640480.1828399, 0.2864688510894775]","[1736640613.1370773, 1736640613.137952, 0.24953602480888365]"
"[1736640071.5926852, 1736640071.5935912, 0.25127558708190917]","[1736640208.5672681, 1736640208.5681334, 0.241416565656662]","[1736640346.1843033, 1736640346.1852195, 0.2543205420970917]","[1736640480.4469244, 1736640480.4478436, 0.2621586835384369]","[1736640613.4032319, 1736640613.4041462, 0.2602124977111816]"
"[1736640071.8706307, 1736640071.8714998, 0.24001549959182739]","[1736640208.8501782, 1736640208.851036, 0.2399573678970337]","[1736640346.4521337, 1736640346.4530923, 0.2682773208618164]","[1736640480.7149508, 1736640480.7158413, 0.2547701597213745]","[1736640613.6706998, 1736640613.671586, 0.25328801178932187]"
"[1736640072.1441891, 1736640072.145085, 0.24719916391372682]","[1736640209.1296725, 1736640209.1305683, 0.24998899912834166]","[1736640346.723504, 1736640346.7243843, 0.24763743114471437]","[1736640480.9806817, 1736640480.982202, 0.43514777159690854]","[1736640613.9378915, 1736640613.9387681, 0.2503571469783783]"
"[1736640072.4250715, 1736640072.4259562, 0.2436633746623993]","[1736640209.4058347, 1736640209.406792, 0.26855761170387266]","[1736640346.99077, 1736640346.9916618, 0.25296493053436275]","[1736640481.2547672, 1736640481.2556667, 0.2573810894489288]","[1736640614.2157853, 1736640614.2166905, 0.25618477511405946]"
"[1736640072.703543, 1736640072.7044785, 0.2571378982833438]","[1736640209.682239, 1736640209.6831553, 0.25634635448455806]","[1736640347.26156, 1736640347.2624254, 0.24676758527755738]","[1736640481.5233517, 1736640481.5242317, 0.25132444977760315]","[1736640614.4870138, 1736640614.4879656, 0.26872093391418456]"
"[1736640072.979883, 1736640072.9807858, 0.2479944059848785]","[1736640209.9556808, 1736640209.9565825, 0.25343334293365477]","[1736640347.5304644, 1736640347.5313487, 0.2524590082168579]","[1736640481.791687, 1736640481.7925618, 0.2495710151195526]","[1736640614.756064, 1736640614.7569926, 0.26178836226463315]"
"[1736640073.255996, 1736640073.2568977, 0.24747762060165407]","[1736640210.2357256, 1736640210.2366884, 0.270820987701416]","[1736640347.8037186, 1736640347.804608, 0.2538577344417572]","[1736640482.0592453, 1736640482.0601094, 0.24655734778037947]","[1736640615.0254312, 1736640615.027227, 0.5044332342147827]"
"[1736640073.5264614, 1736640073.5273423, 0.24318632125854492]","[1736640210.515734, 1736640210.516618, 0.24737038707733153]","[1736640348.0713723, 1736640348.0722399, 0.24796330404281616]","[1736640482.3259716, 1736640482.3268664, 0.2559487545490265]","[1736640615.2956724, 1736640615.2965636, 0.25225126075744625]"
"[1736640073.7997296, 1736640073.80061, 0.24400296807289124]","[1736640210.7905777, 1736640210.7914388, 0.241885703086853]","[1736640348.343008, 1736640348.343988, 0.27969687938690185]","[1736640482.5943668, 1736640482.5953164, 0.2716951720714569]","[1736640615.56289, 1736640615.5637803, 0.25224128341674806]"
"[1736640074.0750577, 1736640074.0759294, 0.2421893939971924]","[1736640211.061961, 1736640211.0628917, 0.2614857482910156]","[1736640348.6186118, 1736640348.6195214, 0.25795771479606633]","[1736640482.8603282, 1736640482.8612406, 0.2605592987537384]","[1736640615.8304608, 1736640615.8313634, 0.256122299194336]"
"[1736640074.347207, 1736640074.348082, 0.24329881429672243]","[1736640211.3386495, 1736640211.339527, 0.2463701629638672]","[1736640348.8897681, 1736640348.8906841, 0.2611381359100342]","[1736640483.1257408, 1736640483.1266608, 0.2628907315731049]","[1736640616.0969265, 1736640616.097898, 0.27664757370948795]"
"[1736640074.6235476, 1736640074.6244059, 0.23790807723999022]","[1736640211.614178, 1736640211.6151354, 0.26928899765014647]","[1736640349.1606495, 1736640349.1615453, 0.25407267141342166]","[1736640483.3940167, 1736640483.3949027, 0.2529930620193482]","[1736640616.361035, 1736640616.3620026, 0.2754944286346436]"
"[1736640074.8982737, 1736640074.8991718, 0.24863810873031614]","[1736640211.8948324, 1736640211.8957014, 0.24267561793327333]","[1736640349.431684, 1736640349.4325788, 0.2542298727035523]","[1736640483.6601532, 1736640483.6610215, 0.24779261112213136]","[1736640616.6304429, 1736640616.6313248, 0.2511610050201416]"
"[1736640075.1767893, 1736640075.1777625, 0.26870732307434086]","[1736640212.1729014, 1736640212.1737738, 0.24254951620101928]","[1736640349.7020938, 1736640349.7029893, 0.2549050226211548]","[1736640483.9249535, 1736640483.9258978, 0.26992154598236084]","[1736640616.8947592, 1736640616.8956807, 0.2628147733211517]"
"[1736640075.4481883, 1736640075.4490874, 0.24839504671096804]","[1736640212.4503984, 1736640212.4512615, 0.24082043647766113]","[1736640349.9715576, 1736640349.9724336, 0.24867778539657592]","[1736640484.1942205, 1736640484.1950994, 0.2511465740203857]","[1736640617.1599054, 1736640617.1608925, 0.2812380266189576]"
"[1736640075.7212517, 1736640075.7221305, 0.24348685836791994]","[1736640212.721239, 1736640212.7221127, 0.2441196746826172]","[1736640350.2434378, 1736640350.2443788, 0.2674816195964813]","[1736640484.4595678, 1736640484.4605076, 0.26842942714691165]","[1736640617.4263473, 1736640617.4272263, 0.24999195170402527]"
"[1736640075.9959614, 1736640075.9968328, 0.24144344210624696]","[1736640212.9976726, 1736640212.9985273, 0.23967329978942872]","[1736640350.5131814, 1736640350.514105, 0.2626167345046997]","[1736640484.7298896, 1736640484.7308629, 0.27770673131942747]","[1736640617.6945896, 1736640617.695455, 0.24640668869018553]"
"[1736640076.276152, 1736640076.2770283, 0.2426597652435303]","[1736640213.2727869, 1736640213.2736735, 0.2490600655078888]","[1736640350.7828608, 1736640350.783837, 0.2782172155380249]","[1736640485.0003622, 1736640485.0012372, 0.2492496633529663]","[1736640617.962336, 1736640617.963259, 0.261455376625061]"
"[1736640076.5463047, 1736640076.5471315, 0.22879203414916993]","[1736640213.5517223, 1736640213.5525756, 0.23955888175964357]","[1736640351.051168, 1736640351.052056, 0.25355606675148007]","[1736640485.269082, 1736640485.2699952, 0.2601955771446228]","[1736640618.2299573, 1736640618.230894, 0.2659629673957825]"
"[1736640076.8217263, 1736640076.8225443, 0.2256819224357605]","[1736640213.828535, 1736640213.8294768, 0.26349506378173826]","[1736640351.3209527, 1736640351.321858, 0.25855840706825256]","[1736640485.5344381, 1736640485.5353777, 0.26792065644264224]","[1736640618.4964411, 1736640618.497368, 0.2641006507873535]"
"[1736640077.1001313, 1736640077.1010072, 0.24145225454615035]","[1736640214.1035993, 1736640214.104528, 0.2612116765975952]","[1736640351.5924058, 1736640351.5934243, 0.2907193908691406]","[1736640485.8002763, 1736640485.8012264, 0.2713004946708679]","[1736640618.7644138, 1736640618.7653067, 0.253752236366272]"
"[1736640077.377912, 1736640077.3787925, 0.24258979797363278]","[1736640214.375679, 1736640214.3765488, 0.2445991973876953]","[1736640351.858376, 1736640351.8592703, 0.2557703251838684]","[1736640486.0684016, 1736640486.0693324, 0.26608197021484375]","[1736640619.029482, 1736640619.030356, 0.24973142623901368]"
"[1736640077.6528637, 1736640077.653791, 0.25562526631355287]","[1736640214.6513848, 1736640214.6522825, 0.25302844047546386]","[1736640352.130486, 1736640352.131356, 0.2482305941581726]","[1736640486.33905, 1736640486.3399386, 0.2537037558555603]","[1736640619.3007376, 1736640619.301674, 0.26641368770599366]"
"[1736640077.9262748, 1736640077.9271548, 0.24295386147499087]","[1736640214.9338949, 1736640214.9347866, 0.25090067863464355]","[1736640352.401807, 1736640352.4027638, 0.2723332121372223]","[1736640486.6041157, 1736640486.6049886, 0.24870912528038028]","[1736640619.5664172, 1736640619.5673604, 0.2674171581268311]"
"[1736640078.200636, 1736640078.2015488, 0.2522480150460781]","[1736640215.2194157, 1736640215.2203252, 0.2535244858264923]","[1736640352.6699295, 1736640352.6708825, 0.27192400908470155]","[1736640486.870232, 1736640486.871106, 0.24910319685935975]","[1736640619.8349683, 1736640619.835853, 0.25157411527633666]"
