epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736649507.6146257, 1736649507.6329625, 0.8776346254348756]","[1736649903.7636485, 1736649903.7845569, 4.167662544250488]","[1736650306.7213538, 1736650306.7390468, 3.4413852810859678]","[1736650704.8593724, 1736650704.8737166, 2.8900868616104116]","[1736651122.4769979, 1736651122.499793, 4.840925517082214]"
"[1736649508.5325353, 1736649508.5777588, 9.606487144708632]","[1736649904.673479, 1736649904.718114, 10.841395829200746]","[1736650307.625671, 1736650307.6704721, 10.89283792257309]","[1736650705.7664928, 1736650705.8117096, 11.109405726432803]","[1736651123.3894272, 1736651123.4350731, 10.958333610534666]"
"[1736649509.5010524, 1736649509.5462441, 11.304191712617873]","[1736649905.6185813, 1736649905.6637225, 11.796638158798217]","[1736650308.6469803, 1736650308.6921487, 11.659861063957214]","[1736650706.794188, 1736650706.8389702, 11.535392253398893]","[1736651124.406269, 1736651124.4513881, 11.291710731029509]"
"[1736649510.4527373, 1736649510.498136, 11.494636127471924]","[1736649906.5990703, 1736649906.6443298, 11.72605561351776]","[1736650309.6595666, 1736650309.704709, 11.616386295146983]","[1736650707.805881, 1736650707.8509767, 11.758383449316025]","[1736651125.4227457, 1736651125.4677591, 11.214285278320311]"
"[1736649511.4059155, 1736649511.4509933, 11.312105955839158]","[1736649907.5701716, 1736649907.614823, 11.658812010883516]","[1736650310.672221, 1736650310.7168334, 11.408130886554714]","[1736650708.8692527, 1736650708.9147935, 11.367578114509582]","[1736651126.41221, 1736651126.4572968, 11.43401703071594]"
"[1736649512.361863, 1736649512.407268, 11.52237396812439]","[1736649908.5370526, 1736649908.5817475, 11.840528348922728]","[1736650311.6775901, 1736650311.7223234, 11.258923231124879]","[1736650709.8863988, 1736650709.931683, 11.604637916564943]","[1736651127.4179401, 1736651127.4632611, 11.526577444076537]"
"[1736649513.3160214, 1736649513.3613362, 11.438294307231905]","[1736649909.5209334, 1736649909.565568, 11.646832810527007]","[1736650312.7088065, 1736650312.754376, 11.340496965408326]","[1736650710.899798, 1736650710.9452355, 12.023827246904373]","[1736651128.4036424, 1736651128.4487953, 11.347466765403748]"
"[1736649514.2726893, 1736649514.3183978, 11.67420418024063]","[1736649910.5117106, 1736649910.556809, 11.617094089508056]","[1736650313.7338426, 1736650313.7795968, 11.578876678705214]","[1736650711.9083571, 1736650711.9541638, 12.070547095775604]","[1736651129.4154158, 1736651129.4608915, 11.413972823860508]"
"[1736649515.225835, 1736649515.2716115, 11.677696178078653]","[1736649911.49453, 1736649911.5388331, 11.495226906538008]","[1736650314.7627647, 1736650314.8083646, 11.565546175003051]","[1736650712.92011, 1736650712.9657316, 11.74540878200531]","[1736651130.414846, 1736651130.4594479, 11.169349782002191]"
"[1736649516.1786013, 1736649516.22382, 11.554238571882248]","[1736649912.470971, 1736649912.5158937, 11.680053156852724]","[1736650315.792017, 1736650315.8370032, 11.25587495803833]","[1736650713.9599004, 1736650714.0056925, 11.419771975994111]","[1736651131.4107757, 1736651131.4555717, 11.256287318110466]"
"[1736649517.125864, 1736649517.1709526, 11.553525386571884]","[1736649913.4548, 1736649913.5000172, 11.85400531878144]","[1736650316.824373, 1736650316.869371, 11.220773952007294]","[1736650714.9801733, 1736650715.0254064, 11.514696274757382]","[1736651132.4755807, 1736651132.5204341, 11.229952975153923]"
"[1736649518.08512, 1736649518.1301363, 11.470118017394384]","[1736649914.4325233, 1736649914.4775133, 11.76719589281082]","[1736650317.839759, 1736650317.8857305, 11.858550832271575]","[1736650716.0120854, 1736650716.0577924, 11.601368372797966]","[1736651133.4545522, 1736651133.4993625, 11.179541284561157]"
"[1736649519.060739, 1736649519.108824, 12.271766288280485]","[1736649915.4139104, 1736649915.4583724, 11.496424135684967]","[1736650318.8618073, 1736650318.907248, 11.642234523296356]","[1736650717.0334244, 1736650717.0783262, 11.385160903930664]","[1736651134.4429836, 1736651134.4883149, 11.685169651269915]"
"[1736649520.0177183, 1736649520.0636275, 11.628395115613937]","[1736649916.3982458, 1736649916.443442, 11.695061133384705]","[1736650319.8892617, 1736650319.9342022, 11.284489832401274]","[1736650718.064947, 1736650718.110066, 11.289552624464035]","[1736651135.4610848, 1736651135.5055654, 11.490174349546432]"
"[1736649520.9759815, 1736649521.0216634, 11.662191573143005]","[1736649917.3873167, 1736649917.4329576, 11.775418628692629]","[1736650320.9126139, 1736650320.9586384, 11.401526405096055]","[1736650719.0923147, 1736650719.1378624, 11.643774556875229]","[1736651136.4596071, 1736651136.5047014, 11.574657226324081]"
"[1736649521.939734, 1736649521.9847195, 11.627050768375394]","[1736649918.368847, 1736649918.4144988, 11.978422762870792]","[1736650321.9471118, 1736650321.9927394, 11.597393703460693]","[1736650720.1212516, 1736650720.166169, 11.432707956433296]","[1736651137.4607894, 1736651137.5069168, 11.784515289306638]"
"[1736649522.896364, 1736649522.942009, 11.539301542282105]","[1736649919.351235, 1736649919.396555, 11.956286056995394]","[1736650322.9665396, 1736650323.0121255, 11.525741907596586]","[1736650721.1395464, 1736650721.1850736, 11.376719270706179]","[1736651138.4671981, 1736651138.512647, 11.58483655166626]"
"[1736649523.8524761, 1736649523.8974597, 11.515133351087568]","[1736649920.34211, 1736649920.38759, 11.927952021598815]","[1736650323.9861028, 1736650324.0311308, 11.29784405875206]","[1736650722.1707516, 1736650722.2161906, 11.361659662723541]","[1736651139.4657967, 1736651139.5112534, 11.703777946461184]"
"[1736649524.8131785, 1736649524.8581583, 11.437834286451338]","[1736649921.3302279, 1736649921.3755808, 11.774801307678223]","[1736650325.0082586, 1736650325.0535262, 11.275566182613371]","[1736650723.188696, 1736650723.233928, 11.6002134847641]","[1736651140.4740882, 1736651140.519476, 11.50501951766014]"
"[1736649525.7719998, 1736649525.8172204, 11.640328557014463]","[1736649922.32866, 1736649922.3739595, 11.706168651580809]","[1736650326.028071, 1736650326.0730994, 11.384002192974092]","[1736650724.213754, 1736650724.2595124, 11.642864185333249]","[1736651141.4782362, 1736651141.5233495, 11.46881236052513]"
"[1736649526.731885, 1736649526.7774186, 11.685258141682668]","[1736649923.317884, 1736649923.3632257, 11.675750149363472]","[1736650327.0520656, 1736650327.0973227, 11.600569241523743]","[1736650725.2316859, 1736650725.2767951, 11.357515614748001]","[1736651142.4718938, 1736651142.5171869, 11.587205718517303]"
"[1736649527.6920762, 1736649527.7377133, 11.553516868948936]","[1736649924.3044527, 1736649924.3499682, 11.703614594459536]","[1736650328.068315, 1736650328.113635, 11.443547946810725]","[1736650726.2601035, 1736650726.3056128, 11.328912658691406]","[1736651143.490745, 1736651143.5358038, 11.211248637914657]"
"[1736649528.6524613, 1736649528.697903, 11.69858346748352]","[1736649925.2894602, 1736649925.3343532, 11.556708508491518]","[1736650329.0869434, 1736650329.1323414, 11.32459998512268]","[1736650727.278524, 1736650727.3239396, 11.506551934957505]","[1736651144.4888322, 1736651144.5337267, 11.333088426589967]"
"[1736649529.6186087, 1736649529.6644492, 11.66683987379074]","[1736649926.2701674, 1736649926.3155313, 11.836270460519888]","[1736650330.1009808, 1736650330.14654, 11.299133197250278]","[1736650728.3058033, 1736650728.3511152, 11.467139936685564]","[1736651145.4941761, 1736651145.5391164, 11.19690680003166]"
"[1736649530.5735452, 1736649530.6192381, 11.750391483306887]","[1736649927.257843, 1736649927.3035762, 11.99806280875206]","[1736650331.1211317, 1736650331.1665492, 11.413066277503967]","[1736650729.3200014, 1736650729.3648446, 11.35059791779518]","[1736651146.4873984, 1736651146.5323646, 11.271584146618842]"
"[1736649531.536954, 1736649531.582033, 11.63001952171326]","[1736649928.2417924, 1736649928.2873838, 11.987973083496096]","[1736650332.1394534, 1736650332.1846738, 11.51306227016449]","[1736650730.3511438, 1736650730.3970354, 11.395783081054686]","[1736651147.507527, 1736651147.5525882, 11.131796447753906]"
"[1736649532.4965453, 1736649532.5423892, 11.618395714521409]","[1736649929.2173197, 1736649929.2631257, 11.913343976020814]","[1736650333.1637022, 1736650333.208712, 11.425644888281822]","[1736650731.3701012, 1736650731.4155402, 11.467759739160536]","[1736651148.5133471, 1736651148.558209, 11.28834879398346]"
"[1736649533.4567258, 1736649533.5019557, 11.619880951881406]","[1736649930.20323, 1736649930.2484112, 11.617607316970824]","[1736650334.18805, 1736650334.23296, 11.136986025333405]","[1736650732.4079847, 1736650732.4534974, 11.442913267612457]","[1736651149.5127726, 1736651149.558269, 11.54108796596527]"
"[1736649534.4165645, 1736649534.462379, 11.69365901350975]","[1736649931.1853354, 1736649931.2303932, 11.709570150852203]","[1736650335.2206519, 1736650335.2656093, 11.168946554660797]","[1736650733.4162896, 1736650733.46154, 11.514130473017692]","[1736651150.5088499, 1736651150.554298, 11.43282428598404]"
"[1736649535.378928, 1736649535.4247115, 11.76174043893814]","[1736649932.1725125, 1736649932.2178056, 11.838301840543746]","[1736650336.2545245, 1736650336.2999988, 11.509494705319405]","[1736650734.449743, 1736650734.4947162, 11.184998565673828]","[1736651151.513298, 1736651151.558475, 11.431990340709687]"
"[1736649536.3316987, 1736649536.376808, 11.643244415283204]","[1736649933.1628842, 1736649933.2077866, 11.754530553817746]","[1736650337.2652907, 1736650337.3104362, 11.378348839282989]","[1736650735.4739554, 1736650735.5190597, 11.370965677261353]","[1736651152.501569, 1736651152.5462565, 11.292488642334938]"
"[1736649537.2923484, 1736649537.337287, 11.483133466482162]","[1736649934.1457443, 1736649934.1907094, 11.766448726654055]","[1736650338.2357228, 1736650338.2808177, 11.73068902158737]","[1736650736.5063343, 1736650736.551337, 11.3292952760458]","[1736651153.5055456, 1736651153.5506244, 11.260366567611694]"
"[1736649538.251598, 1736649538.2971008, 11.767232230186464]","[1736649935.126701, 1736649935.1720288, 11.877524940013883]","[1736650339.2089171, 1736650339.2550552, 11.978267790317535]","[1736650737.5225954, 1736650737.5678067, 11.414034864902494]","[1736651154.5089006, 1736651154.5536418, 11.213609579563142]"
"[1736649539.2112682, 1736649539.256789, 11.634838987827298]","[1736649936.1172512, 1736649936.1625574, 11.65665245246887]","[1736650340.182604, 1736650340.228196, 11.5357548661232]","[1736650738.5556307, 1736650738.6012335, 11.346295476913452]","[1736651155.5166454, 1736651155.5620031, 11.388140214920044]"
"[1736649540.173503, 1736649540.2195318, 11.918112681627274]","[1736649937.1033351, 1736649937.1488934, 11.730130422592163]","[1736650341.145653, 1736650341.1908581, 11.727563314437868]","[1736650739.5633829, 1736650739.608971, 11.534512320756912]","[1736651156.5103989, 1736651156.5554883, 11.495473578453067]"
"[1736649541.1345363, 1736649541.180253, 11.768317580223083]","[1736649938.0817006, 1736649938.126574, 11.648887093305587]","[1736650342.113528, 1736650342.158807, 11.700326721668242]","[1736650740.5946417, 1736650740.6399527, 11.509304603576657]","[1736651157.5265872, 1736651157.5714338, 11.305318093299864]"
"[1736649542.0936627, 1736649542.1392863, 11.633670754909518]","[1736649939.0600536, 1736649939.105364, 11.81987756347656]","[1736650343.0638087, 1736650343.1092052, 11.599814252614976]","[1736650741.6186452, 1736650741.6641653, 11.435325347185136]","[1736651158.5234299, 1736651158.5682933, 11.39890853881836]"
"[1736649543.0574033, 1736649543.1028454, 11.77813902378082]","[1736649940.0450737, 1736649940.0906823, 12.014971817016601]","[1736650344.0262005, 1736650344.071721, 11.79082236146927]","[1736650742.6500192, 1736650742.6952853, 11.217314453124999]","[1736651159.5388296, 1736651159.583935, 11.5019367184639]"
"[1736649544.0242548, 1736649544.0696313, 11.733018326265745]","[1736649941.0326, 1736649941.077512, 11.774335741996763]","[1736650344.9811583, 1736650345.0270078, 11.75613259243965]","[1736650743.6664758, 1736650743.7113667, 11.398333271026614]","[1736651160.5487816, 1736651160.5938582, 11.588970702886582]"
"[1736649544.9868171, 1736649545.0317705, 11.504110393524169]","[1736649942.017426, 1736649942.0625446, 11.6840403277874]","[1736650345.9429688, 1736650345.9879444, 11.708207055091862]","[1736650744.6975327, 1736650744.742847, 11.543846857945123]","[1736651161.5487173, 1736651161.5936272, 11.502202706813812]"
