epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1736637509.5719206, 1736637509.5774233, 0.5616716766357422]","[1736637944.7412095, 1736637944.746109, 1.128542484077012]","[1736638374.4195633, 1736638374.425157, 1.3587731113433836]","[1736638803.0456684, 1736638803.0505447, 1.1077515246868135]","[1736639235.5082543, 1736639235.513332, 1.088541068315506]"
"[1736637510.4710066, 1736637510.4867408, 3.2319033229351044]","[1736637945.614681, 1736637945.629895, 3.6536492376327514]","[1736638375.2851658, 1736638375.3006902, 3.7183619919513067]","[1736638803.9089522, 1736638803.9243968, 3.643530559897423]","[1736639236.3665946, 1736639236.3816025, 3.5546083221435545]"
"[1736637511.3459384, 1736637511.361905, 3.9771976675987246]","[1736637946.520696, 1736637946.536543, 4.093303450107575]","[1736638376.2030976, 1736638376.2189, 4.034964780807495]","[1736638804.7848663, 1736638804.7999847, 3.853110717058182]","[1736639237.2560897, 1736639237.2720466, 4.112390811920166]"
"[1736637512.2144492, 1736637512.2299888, 3.8922307105064395]","[1736637947.4147613, 1736637947.430869, 4.128573500871658]","[1736638377.0783193, 1736638377.0934103, 3.8854045715332033]","[1736638805.6737878, 1736638805.689686, 4.04894473028183]","[1736639238.1433635, 1736639238.1585894, 3.926284331798554]"
"[1736637513.0969687, 1736637513.1128793, 4.010559537887574]","[1736637948.3166702, 1736637948.3319387, 3.926021187543869]","[1736638377.9525387, 1736638377.968484, 4.133776157140732]","[1736638806.5664022, 1736638806.5819154, 3.9712969458103182]","[1736639239.0351775, 1736639239.0502572, 3.896965879440307]"
"[1736637513.9803512, 1736637513.9960966, 3.9573187340379445]","[1736637949.2117507, 1736637949.2276204, 4.079078863620758]","[1736638378.8250847, 1736638378.8406382, 4.030045686006546]","[1736638807.4566188, 1736638807.4723666, 4.022819066762924]","[1736639239.9328923, 1736639239.9479187, 3.879317808151245]"
"[1736637514.860525, 1736637514.8762434, 3.847250289916992]","[1736637950.1069248, 1736637950.12212, 3.914159457445145]","[1736638379.7034454, 1736638379.718727, 3.9076471252441403]","[1736638808.2615628, 1736638808.2774105, 4.103123593330383]","[1736639240.8275428, 1736639240.8431494, 4.04652129125595]"
"[1736637515.7394087, 1736637515.7549572, 3.8739318084716796]","[1736637951.004824, 1736637951.0206537, 4.064586486816406]","[1736638380.5783005, 1736638380.5943205, 4.130227682113647]","[1736638809.1455026, 1736638809.1611779, 4.0677419900894165]","[1736639241.7158463, 1736639241.7313275, 4.021529088973999]"
"[1736637516.6251457, 1736637516.64076, 3.8740412042140964]","[1736637951.9030588, 1736637951.9182234, 3.8889803540706636]","[1736638381.4603906, 1736638381.4763668, 4.103356737613678]","[1736638810.0388227, 1736638810.0548315, 4.114035322666169]","[1736639242.6112478, 1736639242.6262403, 3.899213045597076]"
"[1736637517.5089538, 1736637517.5243022, 3.8505845375061036]","[1736637952.7985938, 1736637952.8145437, 4.101214377880097]","[1736638382.3393567, 1736638382.355403, 4.1750509653091425]","[1736638810.9249833, 1736638810.9401317, 3.876627366542816]","[1736639243.508651, 1736639243.5238411, 3.9564654006958007]"
"[1736637518.3873718, 1736637518.4031644, 3.99845152258873]","[1736637953.6912427, 1736637953.7065113, 3.9363121998310096]","[1736638383.2148564, 1736638383.2306392, 4.000750275295892]","[1736638811.8160439, 1736638811.8314433, 3.9609270356508595]","[1736639244.3969486, 1736639244.412929, 4.178001162528992]"
"[1736637519.2682924, 1736637519.2840672, 3.8919128489494326]","[1736637954.582359, 1736637954.5980291, 4.0459000885486605]","[1736638384.0914361, 1736638384.1064463, 3.85988198852539]","[1736638812.7027078, 1736638812.7182875, 3.929730912685394]","[1736639245.2938979, 1736639245.3098118, 4.152907867431639]"
"[1736637520.150334, 1736637520.1653316, 3.6950034511089327]","[1736637955.4776316, 1736637955.492764, 3.8914398503303524]","[1736638384.9612863, 1736638384.9772055, 4.120448338985443]","[1736638813.5899794, 1736638813.6059215, 3.994276388645172]","[1736639246.188478, 1736639246.2039533, 4.017869988252149]"
"[1736637521.028421, 1736637521.0438886, 3.8568260307312014]","[1736637956.3694904, 1736637956.3854773, 4.144640829086304]","[1736638385.8366098, 1736638385.8518085, 3.9596128950119023]","[1736638814.4781363, 1736638814.493137, 3.812412850141526]","[1736639247.0782285, 1736639247.0934548, 3.887825189590454]"
"[1736637521.9186819, 1736637521.9337716, 3.761859657526016]","[1736637957.2610831, 1736637957.276557, 4.001319067955017]","[1736638386.719382, 1736638386.7344596, 3.834762442946434]","[1736638815.3684816, 1736638815.3839984, 3.9714986844062805]","[1736639247.969046, 1736639247.9841917, 3.8457555770874015]"
"[1736637522.8034983, 1736637522.8188026, 3.836320347547531]","[1736637958.149108, 1736637958.1649668, 4.110005435228348]","[1736638387.5921571, 1736638387.607297, 3.9039989383220672]","[1736638816.256454, 1736638816.2718093, 3.9165044999122616]","[1736639248.8603783, 1736639248.8762782, 4.041070025682449]"
"[1736637523.684104, 1736637523.6997786, 3.9740104217529297]","[1736637959.0420988, 1736637959.0576372, 4.05542773938179]","[1736638388.463601, 1736638388.4789004, 3.945801780223846]","[1736638817.1482732, 1736638817.1642232, 4.077736030101776]","[1736639249.7504554, 1736639249.7658389, 3.9604466686248774]"
"[1736637524.5648024, 1736637524.5797925, 3.686600036859512]","[1736637959.8584375, 1736637959.8739095, 4.021960517883301]","[1736638389.341286, 1736638389.3571498, 4.130006532669067]","[1736638818.0389137, 1736638818.0546849, 4.037114898920059]","[1736639250.6467235, 1736639250.6622891, 4.007279021263123]"
"[1736637525.4447875, 1736637525.4602067, 3.8281975750923154]","[1736637960.7449965, 1736637960.760135, 3.9700118923187255]","[1736638390.2213204, 1736638390.2371027, 4.064666643500328]","[1736638818.9223897, 1736638818.9383209, 4.089074859619141]","[1736639251.536126, 1736639251.5517788, 4.045835069656372]"
"[1736637526.3249393, 1736637526.3403714, 3.862875527858734]","[1736637961.6366944, 1736637961.652459, 4.115599925041199]","[1736638391.1000233, 1736638391.1151958, 3.878253178119659]","[1736638819.8114738, 1736638819.8273704, 4.102237323632039]","[1736639252.4259017, 1736639252.4416802, 4.065783033370971]"
"[1736637527.2143118, 1736637527.2296922, 3.8510017013549804]","[1736637962.5289633, 1736637962.5448644, 4.077334192752838]","[1736638391.981392, 1736638391.9970913, 4.033721895217896]","[1736638820.702234, 1736638820.7172332, 3.7799340354204176]","[1736639253.3181238, 1736639253.33324, 3.913633347988129]"
"[1736637528.1023555, 1736637528.117943, 3.9191199431419372]","[1736637963.4243672, 1736637963.439998, 4.002598916172982]","[1736638392.86047, 1736638392.876283, 4.094206043243408]","[1736638821.515681, 1736638821.5307744, 3.8832714328765867]","[1736639254.2103722, 1736639254.2260997, 4.076290085792542]"
"[1736637528.988973, 1736637529.0043867, 3.8972153663635254]","[1736637964.3201995, 1736637964.335365, 3.8400938112715743]","[1736638393.7367423, 1736638393.752244, 4.028529559135436]","[1736638822.3985977, 1736638822.4137566, 3.9161415394544603]","[1736639255.1046228, 1736639255.1205337, 4.115663158893586]"
"[1736637529.8740575, 1736637529.8899186, 3.9905498692989347]","[1736637965.1390533, 1736637965.1541405, 3.9094217872619628]","[1736638394.6180568, 1736638394.633112, 3.8344169282913203]","[1736638823.2106779, 1736638823.2262373, 4.013643950504682]","[1736639255.9923933, 1736639256.0074487, 3.935727155685425]"
"[1736637530.7611666, 1736637530.7762477, 3.6991501700878144]","[1736637966.0361943, 1736637966.0518723, 4.059282323360442]","[1736638395.5005352, 1736638395.5163357, 4.014189949035645]","[1736638824.0996099, 1736638824.1146863, 3.8885835564136504]","[1736639256.8885348, 1736639256.9037204, 3.948983493804932]"
"[1736637531.6404867, 1736637531.656335, 3.948406536102295]","[1736637966.9282725, 1736637966.9432976, 3.8725635216236114]","[1736638396.3801365, 1736638396.3952897, 3.893955459833146]","[1736638824.9116821, 1736638824.9274082, 4.051559610366821]","[1736639257.7757826, 1736639257.791171, 3.9140596359968183]"
"[1736637532.5243523, 1736637532.5400996, 3.9591883611679073]","[1736637967.8207061, 1736637967.836479, 3.995192731976509]","[1736638397.2604208, 1736638397.2763298, 4.1139607043266295]","[1736638825.7977355, 1736638825.812883, 3.900663885831833]","[1736639258.671305, 1736639258.686808, 3.9420466122627262]"
"[1736637533.416084, 1736637533.4315357, 3.867321149110794]","[1736637968.7156448, 1736637968.7312746, 3.930058367729187]","[1736638398.133186, 1736638398.1484296, 3.969552474975586]","[1736638826.6086788, 1736638826.6245515, 4.095363858461379]","[1736639259.4880257, 1736639259.503308, 3.961012747764587]"
"[1736637534.3015823, 1736637534.3168151, 3.8272565939426424]","[1736637969.5997171, 1736637969.6156194, 4.074355170249939]","[1736638399.0141842, 1736638399.029287, 3.8297826652526856]","[1736638827.499055, 1736638827.5141778, 3.887024071216583]","[1736639260.3764865, 1736639260.392283, 4.110460800766944]"
"[1736637535.1867166, 1736637535.2024107, 3.991977497577667]","[1736637970.4982758, 1736637970.5140216, 4.01025474023819]","[1736638399.8968847, 1736638399.9125593, 4.008604244232178]","[1736638828.3953366, 1736638828.410688, 3.829364865428667]","[1736639261.2694693, 1736639261.2844381, 3.7944692392349246]"
"[1736637536.0784085, 1736637536.0939283, 3.9327008271217347]","[1736637971.3917067, 1736637971.4068756, 3.898044597625732]","[1736638400.7743628, 1736638400.7902665, 4.087874053716659]","[1736638829.2789726, 1736638829.2947407, 3.984980726242066]","[1736639262.1578832, 1736639262.173451, 3.9292452850341792]"
"[1736637536.9596858, 1736637536.9753196, 3.877805442452431]","[1736637972.2800274, 1736637972.2954285, 3.9704408154487614]","[1736638401.6547084, 1736638401.670318, 4.020726948261261]","[1736638830.1629462, 1736638830.1780019, 3.829918106079101]","[1736639263.050644, 1736639263.065863, 3.8891324961185454]"
