epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743612242.944412, 1743612242.9491313, 0.8568000497817994]","[1743612693.5930245, 1743612693.5968313, 0.7209640095233917]","[1743613134.4298558, 1743613134.4333591, 0.6830182843208313]","[1743613585.291651, 1743613585.2956254, 0.8692532467842102]","[1743614036.942414, 1743614036.9461882, 0.7595547032356262]"
"[1743612243.9979527, 1743612244.0009975, 0.7723185081481934]","[1743612694.6612222, 1743612694.6645944, 0.8751614837646485]","[1743613135.511914, 1743613135.5149698, 0.7872777369022369]","[1743613586.3343039, 1743613586.3417966, 2.019604105949402]","[1743614037.9922733, 1743614037.9953904, 0.8404937825202943]"
"[1743612245.041077, 1743612245.0442204, 0.781599440574646]","[1743612695.6609454, 1743612695.663946, 0.8003887939453126]","[1743613136.616961, 1743613136.619912, 0.7579640069007874]","[1743613587.5853558, 1743613587.5884266, 0.7748365334883551]","[1743614039.2483344, 1743614039.2516747, 0.8550223731994628]"
"[1743612246.131036, 1743612246.134875, 0.9532007899284363]","[1743612696.7421136, 1743612696.7462528, 1.0663326880931856]","[1743613137.7035775, 1743613137.7065454, 0.7631211494190704]","[1743613588.687341, 1743613588.690331, 0.7620691661834716]","[1743614040.391417, 1743614040.3947754, 0.8325082364082336]"
"[1743612247.247297, 1743612247.2504718, 0.7722624979019165]","[1743612697.8380847, 1743612697.8414707, 0.8674443184163186]","[1743613138.8076057, 1743613138.8106496, 0.7767946400642396]","[1743613589.7849176, 1743613589.7879076, 0.7679224967218377]","[1743614041.4899087, 1743614041.493278, 0.8598163003921508]"
"[1743612248.309263, 1743612248.3125753, 0.8524993443489075]","[1743612698.856754, 1743612698.8607807, 1.0703523905277252]","[1743613139.8956823, 1743613139.8988335, 0.8075012442899611]","[1743613590.871533, 1743613590.874739, 0.8239233186244964]","[1743614042.5444036, 1743614042.5474424, 0.802210467338562]"
"[1743612249.3663502, 1743612249.37098, 1.177616335630417]","[1743612699.9562674, 1743612699.9597685, 0.9010103523731233]","[1743613141.0160434, 1743613141.019209, 0.8104745614528657]","[1743613591.984543, 1743613591.9876137, 0.7846311942241486]","[1743614043.6038845, 1743614043.6068225, 0.7542075431346893]"
"[1743612250.4121213, 1743612250.4152036, 0.7960777587890626]","[1743612701.036513, 1743612701.039637, 0.8063727774620056]","[1743613142.0938535, 1743613142.0968478, 0.7713094097436475]","[1743613593.075287, 1743613593.0783198, 0.7763459587097168]","[1743614044.6919303, 1743614044.695025, 0.7983142662048339]"
"[1743612251.4559119, 1743612251.4590948, 0.7977449980528826]","[1743612702.057515, 1743612702.0604265, 0.7805418004989625]","[1743613143.2166028, 1743613143.219573, 0.755700852394104]","[1743613594.1875966, 1743613594.1908958, 0.8441702392161562]","[1743614045.779504, 1743614045.782811, 0.8560648560523987]"
"[1743612252.5186117, 1743612252.5219057, 0.844131332397461]","[1743612703.1530843, 1743612703.156079, 0.7736404252052307]","[1743613144.3101943, 1743613144.313284, 0.7963626936614584]","[1743613595.3298986, 1743613595.333292, 0.8429200570583344]","[1743614046.777469, 1743614046.7806926, 0.8416808831691743]"
"[1743612253.5719652, 1743612253.5752006, 0.8320938897132875]","[1743612704.2531717, 1743612704.256156, 0.767214768815769]","[1743613145.4147596, 1743613145.4177604, 0.7680114331245422]","[1743613596.4373984, 1743613596.44042, 0.7730604207515717]","[1743614047.7643552, 1743614047.76736, 0.7884927835464477]"
"[1743612254.6311436, 1743612254.6344116, 0.8319225697517395]","[1743612705.2568855, 1743612705.2598913, 0.8051183271408082]","[1743613146.5036016, 1743613146.5065925, 0.7695413839817047]","[1743613597.52781, 1743613597.5308075, 0.7766858673095703]","[1743614048.8222005, 1743614048.8254085, 0.8368794786930084]"
"[1743612255.68784, 1743612255.691058, 0.826484915971756]","[1743612706.3542924, 1743612706.3574414, 0.8121575489044188]","[1743613147.61455, 1743613147.6187825, 1.0850705490112305]","[1743613598.616114, 1743613598.6195674, 0.9022354376316071]","[1743614049.8047214, 1743614049.8082335, 0.9023882788821229]"
"[1743612256.7328432, 1743612256.736285, 0.8805734767913819]","[1743612707.4350815, 1743612707.4382582, 0.8174630948579596]","[1743613148.6931846, 1743613148.6961696, 0.7737837982177733]","[1743613599.715168, 1743613599.7183552, 0.8222955150604248]","[1743614050.8682265, 1743614050.8716953, 0.9078035929203034]"
