epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743544324.7097135, 1743544324.8034332, 8.316907881736755]","[1743544443.5624516, 1743544443.6150405, 4.994595286369323]","[1743544566.3206651, 1743544566.3731163, 5.21555654990673]","[1743544687.8213775, 1743544687.877257, 5.816159583091736]","[1743544806.816992, 1743544806.8696218, 5.426701949834825]"
"[1743544325.0698118, 1743544325.1421943, 7.838237837224644]","[1743544443.833553, 1743544443.8858528, 6.078537040948868]","[1743544566.597909, 1743544566.649207, 6.28022626876831]","[1743544688.1219947, 1743544688.17341, 6.176060877128979]","[1743544807.1350162, 1743544807.1872187, 6.321082570791244]"
"[1743544325.3875606, 1743544325.438216, 6.419503749847412]","[1743544444.1115801, 1743544444.1632311, 6.877537384033204]","[1743544566.8532546, 1743544566.9038405, 7.30213288259506]","[1743544688.375538, 1743544688.4265141, 7.837300467014312]","[1743544807.397116, 1743544807.4485836, 7.175878089666367]"
"[1743544325.6531334, 1743544325.7038794, 9.248299710273743]","[1743544444.3834014, 1743544444.4349017, 9.175396495342255]","[1743544567.1191766, 1743544567.170452, 8.119135025978089]","[1743544688.63143, 1743544688.6832073, 8.65106533527374]","[1743544807.6717432, 1743544807.726239, 8.399904744863509]"
"[1743544325.9100528, 1743544325.9599495, 10.815120128512381]","[1743544444.6620572, 1743544444.7149084, 12.185898337364197]","[1743544567.364521, 1743544567.4164631, 12.141257755537888]","[1743544688.8763301, 1743544688.9288273, 12.499768125295638]","[1743544807.9561517, 1743544808.007759, 11.6887990680933]"
"[1743544326.1751215, 1743544326.2252371, 11.359649610519408]","[1743544444.9300644, 1743544444.982752, 12.059622366905213]","[1743544567.6058693, 1743544567.6571786, 11.80930803132057]","[1743544689.1379764, 1743544689.1921194, 12.553747271537778]","[1743544808.2175608, 1743544808.2694654, 12.049255840301514]"
"[1743544326.4396853, 1743544326.5109339, 16.139164483547212]","[1743544445.1993716, 1743544445.2515216, 12.062926709413528]","[1743544567.85336, 1743544567.904381, 11.988702076911924]","[1743544689.3960655, 1743544689.4474392, 12.300386555552484]","[1743544808.555385, 1743544808.623826, 15.303133677363396]"
"[1743544326.734613, 1743544326.7847166, 11.506794952869413]","[1743544445.482173, 1743544445.5339525, 11.930813654184343]","[1743544568.0965385, 1743544568.1477811, 12.063581768751144]","[1743544689.6602187, 1743544689.7120295, 12.042111575603483]","[1743544808.8612206, 1743544808.9140286, 11.740076091766356]"
"[1743544326.990035, 1743544327.0403368, 11.465790066719054]","[1743544445.7673726, 1743544445.819294, 11.94929640674591]","[1743544568.357685, 1743544568.409761, 12.21093022274971]","[1743544689.9209821, 1743544689.9986238, 18.010111154571963]","[1743544809.1546795, 1743544809.206418, 11.354657812237738]"
"[1743544327.2534835, 1743544327.3040006, 11.523704209327699]","[1743544446.028285, 1743544446.0832334, 12.675920333862305]","[1743544568.6127663, 1743544568.664331, 12.377156595808184]","[1743544690.2263083, 1743544690.2809067, 12.857361073493959]","[1743544809.4264746, 1743544809.4796891, 11.5639736703361]"
"[1743544327.5192063, 1743544327.5712926, 12.031167582035064]","[1743544446.301346, 1743544446.3533108, 11.93510909132477]","[1743544568.8602474, 1743544568.9134707, 12.526393727064132]","[1743544690.4763994, 1743544690.5279765, 12.19878799724579]","[1743544809.6940362, 1743544809.744983, 11.639795403480528]"
"[1743544327.791, 1743544327.8411705, 11.390846992015838]","[1743544446.6191177, 1743544446.691731, 16.24401730823517]","[1743544569.111379, 1743544569.162654, 12.252192342675002]","[1743544690.739661, 1743544690.7916584, 12.20889096593857]","[1743544809.9733114, 1743544810.0251606, 11.825222334623337]"
"[1743544328.0462878, 1743544328.0968025, 11.42925351715088]","[1743544446.9286273, 1743544446.9808953, 11.543080432891847]","[1743544569.403767, 1743544569.4564106, 12.298635879278184]","[1743544691.005408, 1743544691.0577152, 12.453192368507388]","[1743544810.2585373, 1743544810.3099997, 11.900198845028878]"
"[1743544328.3300452, 1743544328.3920946, 14.146876925349236]","[1743544447.213084, 1743544447.2645404, 11.080529335021973]","[1743544569.6547112, 1743544569.7214768, 15.717824128389358]","[1743544691.2723377, 1743544691.3235664, 11.846208146810529]","[1743544810.5516884, 1743544810.6029549, 11.852370624423026]"
"[1743544328.6205232, 1743544328.672287, 11.702428983569146]","[1743544447.4869711, 1743544447.5401027, 11.735831351280213]","[1743544569.9756553, 1743544570.028216, 12.23215815424919]","[1743544691.5387342, 1743544691.5902503, 11.896448277950288]","[1743544810.847811, 1743544810.899364, 11.88155502140522]"
"[1743544328.8725417, 1743544328.9224734, 11.270947428464892]","[1743544447.7625659, 1743544447.8140466, 11.898245375871658]","[1743544570.2487895, 1743544570.3072395, 13.134148043632507]","[1743544691.8102453, 1743544691.8628664, 12.260185677528384]","[1743544811.2016113, 1743544811.253778, 10.933670895814897]"
"[1743544329.1482885, 1743544329.198531, 11.364082674980162]","[1743544448.0352395, 1743544448.087574, 12.119791407823563]","[1743544570.5096486, 1743544570.5608845, 11.908970666878906]","[1743544692.076916, 1743544692.1304421, 12.437910794019698]","[1743544811.4868197, 1743544811.5388248, 10.791568458080292]"
"[1743544329.440448, 1743544329.4919548, 11.584834112644195]","[1743544448.3036935, 1743544448.3563573, 12.221950972731687]","[1743544570.7708943, 1743544570.821976, 11.83240187740326]","[1743544692.3508725, 1743544692.402852, 12.046414745807647]","[1743544811.7957416, 1743544811.9458733, 31.426157991290093]"
"[1743544329.7096403, 1743544329.7598433, 11.362387928962708]","[1743544448.5672097, 1743544448.6188247, 12.013882790446281]","[1743544571.0179694, 1743544571.0696073, 12.10602599167824]","[1743544692.6323235, 1743544692.6843743, 12.027176838397978]","[1743544812.30723, 1743544812.3591182, 10.676521682739256]"
