epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743544324.89435, 1743544324.8972554, 0.2839648445253691]","[1743544443.7031379, 1743544443.7051558, 0.2079624902362764]","[1743544566.4600189, 1743544566.4620697, 0.21357885208547006]","[1743544687.964644, 1743544687.9669557, 0.2678713073730469]","[1743544806.9590003, 1743544806.96193, 0.315263671875]"
"[1743544325.224996, 1743544325.2271125, 0.24834750509262085]","[1743544443.9763033, 1743544443.978403, 0.2672459900379181]","[1743544566.7386448, 1743544566.7403026, 0.2231015202999115]","[1743544688.2615757, 1743544688.2632349, 0.24774998593330383]","[1743544807.2742932, 1743544807.276118, 0.23885172653198244]"
"[1743544325.5252419, 1743544325.5273309, 0.27877393102645875]","[1743544444.2514992, 1743544444.2541854, 0.38583320236206053]","[1743544566.9918425, 1743544566.9934804, 0.25673822164535526]","[1743544688.5156507, 1743544688.5172944, 0.26588135433197024]","[1743544807.5373936, 1743544807.5397556, 0.3546208012104034]"
"[1743544325.7897673, 1743544325.7918744, 0.4636410841941833]","[1743544444.5223265, 1743544444.5241013, 0.3716157398223877]","[1743544567.2580469, 1743544567.2596602, 0.2633049886226654]","[1743544688.770807, 1743544688.7724543, 0.2926788833141327]","[1743544807.8145895, 1743544807.8166099, 0.3304054765701294]"
"[1743544326.0464075, 1743544326.04814, 0.39244153547286986]","[1743544444.802457, 1743544444.804489, 0.4651665755129344]","[1743544567.5037494, 1743544567.505433, 0.4033399457931519]","[1743544689.0159945, 1743544689.018046, 0.4943515663146973]","[1743544808.0945897, 1743544808.0964863, 0.43644825100898743]"
"[1743544326.3179123, 1743544326.3196027, 0.38560448646545414]","[1743544445.0712497, 1743544445.0738196, 0.5891861622333526]","[1743544567.7453198, 1743544567.7469695, 0.40296212291717526]","[1743544689.279246, 1743544689.28092, 0.41686049222946164]","[1743544808.3571968, 1743544808.3593109, 0.49456684923172]"
"[1743544326.5979273, 1743544326.599724, 0.4151722412109375]","[1743544445.3397462, 1743544445.342312, 0.5959108953475952]","[1743544567.993896, 1743544567.99554, 0.4109855329990387]","[1743544689.5370972, 1743544689.5392227, 0.5204312002658844]","[1743544808.7109244, 1743544808.7131734, 0.5133168187141418]"
"[1743544326.8716002, 1743544326.8738782, 0.5262956321239471]","[1743544445.62289, 1743544445.624668, 0.40929633498191836]","[1743544568.2429924, 1743544568.2449586, 0.4809713137149811]","[1743544689.8006203, 1743544689.8023546, 0.42760701417922975]","[1743544809.0014908, 1743544809.0034583, 0.4509389171600342]"
"[1743544327.1275802, 1743544327.1296244, 0.47357184505462646]","[1743544445.906677, 1743544445.9084265, 0.4026037631034851]","[1743544568.4980342, 1743544568.4997892, 0.44509060215950014]","[1743544690.0836127, 1743544690.085329, 0.410086697101593]","[1743544809.2937868, 1743544809.2958667, 0.4796770648956299]"
"[1743544327.3903587, 1743544327.3926542, 0.5355732011795045]","[1743544446.1709943, 1743544446.1727736, 0.41019682121276857]","[1743544568.7524397, 1743544568.7541194, 0.4145330953598022]","[1743544690.3696609, 1743544690.3715935, 0.45879842805862425]","[1743544809.5680976, 1743544809.5698712, 0.3868744540214539]"
