epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743544324.6931734, 1743544324.7097116, 1.4214793610572816]","[1743544443.5451522, 1743544443.56245, 1.6696689763069152]","[1743544566.3081634, 1743544566.320659, 1.2626656765937805]","[1743544687.8043132, 1743544687.8213758, 1.8239344140291216]","[1743544806.79595, 1743544806.816987, 2.1691565980911256]"
"[1743544325.04177, 1743544325.0698092, 3.0350832079648975]","[1743544443.815459, 1743544443.8335514, 2.1027884781360626]","[1743544566.5860536, 1743544566.5979078, 1.4512588310241699]","[1743544688.107614, 1743544688.1219935, 1.723336415536551]","[1743544807.1097078, 1743544807.1350133, 3.0520215923786163]"
"[1743544325.3693995, 1743544325.3875551, 2.3008378386497497]","[1743544444.0898478, 1743544444.1115787, 2.9047714562416074]","[1743544566.8289764, 1743544566.8532534, 3.491853964328766]","[1743544688.3602495, 1743544688.3755372, 2.338977994441986]","[1743544807.376951, 1743544807.397114, 2.8212195281982426]"
"[1743544325.633577, 1743544325.653131, 3.6415609967708598]","[1743544444.365732, 1743544444.3834, 2.5966672539711]","[1743544567.1070333, 1743544567.1191754, 1.9141906127929684]","[1743544688.615461, 1743544688.631429, 2.692503134727478]","[1743544807.6439066, 1743544807.6717398, 4.295167359828949]"
"[1743544325.8919225, 1743544325.9100513, 3.9251727032661434]","[1743544444.6410384, 1743544444.6620553, 4.853354925394059]","[1743544567.3517396, 1743544567.3645194, 2.237015981257696]","[1743544688.8624465, 1743544688.8763285, 3.2991497635841367]","[1743544807.9310129, 1743544807.956149, 5.73432869195938]"
"[1743544326.1578515, 1743544326.1751204, 3.914323410749436]","[1743544444.914658, 1743544444.9300632, 3.526075803279877]","[1743544567.5937622, 1743544567.605868, 2.786291452407837]","[1743544689.1122787, 1743544689.1379719, 6.034532863378525]","[1743544808.1960542, 1743544808.2175589, 4.992130273342132]"
"[1743544326.420068, 1743544326.439684, 4.416144615411759]","[1743544445.1837327, 1743544445.1993701, 3.598180863380432]","[1743544567.840978, 1743544567.8533587, 3.0150065274238584]","[1743544689.3827214, 1743544689.3960643, 3.182578366279602]","[1743544808.4758158, 1743544808.5553808, 18.480011938813565]"
"[1743544326.7156734, 1743544326.7346115, 4.303220661163331]","[1743544445.4610393, 1743544445.4821713, 4.867458587646486]","[1743544568.082279, 1743544568.0965374, 3.356723185539246]","[1743544689.6411839, 1743544689.6602168, 4.423734605312347]","[1743544808.8439271, 1743544808.8612056, 3.9760611312389376]"
"[1743544326.9727385, 1743544326.9900334, 3.942195796966553]","[1743544445.7380164, 1743544445.76737, 6.764717533111571]","[1743544568.343359, 1743544568.357683, 3.5382447872161866]","[1743544689.8975682, 1743544689.9209795, 5.619532529856966]","[1743544809.1321166, 1743544809.1546679, 5.03766683793068]"
"[1743544327.2297218, 1743544327.2534816, 5.4239879273176195]","[1743544446.0105863, 1743544446.0282834, 4.082507652282715]","[1743544568.600256, 1743544568.6127648, 3.0010653471946718]","[1743544690.2099457, 1743544690.2263062, 3.8461455934047697]","[1743544809.4052749, 1743544809.4264731, 4.670947712895705]"
"[1743544327.5035603, 1743544327.519205, 3.562740805864334]","[1743544446.285767, 1743544446.3013444, 3.5880155558312854]","[1743544568.845689, 1743544568.8602455, 3.6038609185218813]","[1743544690.4599645, 1743544690.476398, 3.8795167441368106]","[1743544809.676272, 1743544809.6940346, 4.081806231021881]"
"[1743544327.773778, 1743544327.7909985, 3.909776109695435]","[1743544446.6034937, 1743544446.6191165, 3.496957508814191]","[1743544569.099266, 1743544569.1113775, 2.8939645421504974]","[1743544690.7226255, 1743544690.7396598, 3.9996398375054962]","[1743544809.9542174, 1743544809.97331, 4.4114123153686515]"
"[1743544328.02858, 1743544328.0462866, 4.08788064289093]","[1743544446.9135618, 1743544446.928626, 3.326846908569336]","[1743544569.3877406, 1743544569.4037654, 3.7437363321781163]","[1743544690.9865482, 1743544691.0054066, 4.429921291351318]","[1743544810.233828, 1743544810.2585351, 5.726458512783051]"
"[1743544328.3053107, 1743544328.3300421, 5.5991142289638525]","[1743544447.1965418, 1743544447.213082, 3.666066083908081]","[1743544569.6411388, 1743544569.6547103, 3.2451358370780947]","[1743544691.2567642, 1743544691.2723362, 3.592710378170014]","[1743544810.5189292, 1743544810.551687, 7.616899660110473]"
"[1743544328.5976796, 1743544328.6205215, 5.168466431140899]","[1743544447.4690225, 1743544447.48697, 4.153718549251556]","[1743544569.9625044, 1743544569.97565, 3.059659463542423]","[1743544691.5232112, 1743544691.5387287, 3.5834035384655]","[1743544810.831019, 1743544810.8478096, 3.914332044124603]"
"[1743544328.8559551, 1743544328.8725402, 3.743707490205765]","[1743544447.746767, 1743544447.7625644, 3.663095693588257]","[1743544570.2191567, 1743544570.248787, 6.931240832805634]","[1743544691.7883587, 1743544691.8102438, 5.041946155071259]","[1743544811.1841316, 1743544811.2016096, 3.6677741435557545]"
"[1743544329.1253784, 1743544329.148286, 5.178671109080314]","[1743544448.0174232, 1743544448.0352373, 4.1254564747810365]","[1743544570.4950418, 1743544570.5096467, 3.394653687000274]","[1743544692.0602944, 1743544692.0769145, 3.846553013324737]","[1743544811.4603016, 1743544811.4868174, 5.877161458253861]"
"[1743544329.4179647, 1743544329.4404466, 5.081048435211182]","[1743544448.2864392, 1743544448.303685, 4.001475692391066]","[1743544570.7491884, 1743544570.7708926, 5.054487484335899]","[1743544692.3331552, 1743544692.3508716, 4.105830651283264]","[1743544811.7747028, 1743544811.79574, 4.435922918915749]"
"[1743544329.686128, 1743544329.7096388, 5.29534391117096]","[1743544448.5501518, 1743544448.567208, 3.9429561581611634]","[1743544571.0026352, 1743544571.0179682, 3.5713324091434484]","[1743544692.6160004, 1743544692.6323223, 3.770160652756691]","[1743544812.291835, 1743544812.3072286, 3.1673656463623048]"
"[1743544329.9477084, 1743544329.9720664, 5.491859807968139]","[1743544448.8187077, 1743544448.8366554, 4.145535746097564]","[1743544571.2622333, 1743544571.2761748, 3.2438884262671137]","[1743544692.8968978, 1743544692.9129605, 3.7194551410675047]","[1743544812.553299, 1743544812.5709455, 3.629066179990769]"
"[1743544330.2275763, 1743544330.2525601, 5.630763471961021]","[1743544449.1071322, 1743544449.1239858, 3.899612950801849]","[1743544571.5137398, 1743544571.5288737, 3.6118464851379395]","[1743544693.1574135, 1743544693.17485, 4.044327441215515]","[1743544812.811877, 1743544812.838897, 5.569287183444503]"
"[1743544330.4995055, 1743544330.5275893, 6.36143032836914]","[1743544449.4087086, 1743544449.4269795, 4.2049539794921875]","[1743544571.7667065, 1743544571.7849267, 4.24195087814331]","[1743544693.424302, 1743544693.444393, 4.676399164438248]","[1743544813.0842834, 1743544813.106623, 4.746362728480858]"
"[1743544330.775847, 1743544330.8009112, 5.702438152074813]","[1743544449.6966407, 1743544449.7185392, 4.895398735046387]","[1743544572.0436954, 1743544572.0588849, 3.6547389504909518]","[1743544693.68664, 1743544693.7019165, 3.5368300981521603]","[1743544813.372726, 1743544813.3884957, 3.6451985598802565]"
"[1743544331.043902, 1743544331.0626824, 4.27297450777524]","[1743544449.9740882, 1743544449.9980097, 5.529811170101166]","[1743544572.3042889, 1743544572.3213308, 3.943415452241898]","[1743544693.9446695, 1743544693.961684, 3.9295336074829104]","[1743544813.6393394, 1743544813.6587, 4.48409520149231]"
"[1743544331.3002264, 1743544331.316562, 3.7001839141845703]","[1743544450.2688463, 1743544450.2918968, 5.334841566324234]","[1743544572.6035357, 1743544572.6194198, 3.6770085446834564]","[1743544694.2092342, 1743544694.2269688, 4.133626739501953]","[1743544813.9041798, 1743544813.9233325, 4.445385502815247]"
"[1743544331.548186, 1743544331.5640776, 3.594812079906464]","[1743544450.54246, 1743544450.5587556, 3.7985373136997223]","[1743544572.901633, 1743544572.9223192, 4.769440023422242]","[1743544694.4844604, 1743544694.4996145, 3.45951965546608]","[1743544814.242451, 1743544814.2600951, 4.132228610515595]"
"[1743544331.805722, 1743544331.8312747, 5.867677898406983]","[1743544450.807093, 1743544450.8237915, 3.884995819568634]","[1743544573.224341, 1743544573.2399886, 3.598411778211594]","[1743544694.7520268, 1743544694.7703466, 4.208269960641862]","[1743544814.508659, 1743544814.5240808, 3.602208936691284]"
"[1743544332.1155477, 1743544332.131622, 3.6581359088420866]","[1743544451.067588, 1743544451.0878906, 4.704036244153977]","[1743544573.510512, 1743544573.527633, 3.860132656097412]","[1743544695.020466, 1743544695.0386078, 4.179818023443222]","[1743544814.769848, 1743544814.7872539, 4.042338455915451]"
"[1743544332.410093, 1743544332.4255977, 3.5433279404640197]","[1743544451.3579779, 1743544451.3773396, 4.469695107460022]","[1743544573.7878706, 1743544573.80315, 3.411728626728058]","[1743544695.3026009, 1743544695.3192523, 3.8746078040439]","[1743544815.0341473, 1743544815.0582023, 5.577970575332642]"
"[1743544332.660707, 1743544332.6756592, 3.4055240998268133]","[1743544451.6353078, 1743544451.6575775, 5.118451508045196]","[1743544574.0589502, 1743544574.075223, 3.715365704536438]","[1743544695.5779355, 1743544695.6530054, 17.11539848655767]","[1743544815.3360686, 1743544815.3599606, 5.50104424238205]"
"[1743544332.907869, 1743544332.9231892, 3.501614796638489]","[1743544451.906051, 1743544451.9226663, 3.8326555752754214]","[1743544574.3233068, 1743544574.3411605, 4.202626831054687]","[1743544695.9503677, 1743544695.9674304, 3.757471622467041]","[1743544815.612531, 1743544815.6314883, 4.372291396617889]"
"[1743544333.1617308, 1743544333.1769986, 3.4516484198570256]","[1743544452.1718686, 1743544452.2031398, 7.21971914601326]","[1743544574.5930512, 1743544574.609533, 3.8162631011009216]","[1743544696.2634344, 1743544696.2835093, 4.381294631958007]","[1743544815.8676198, 1743544815.8844721, 3.9055556497573853]"
"[1743544333.4078066, 1743544333.4257646, 4.141582552671433]","[1743544452.4786963, 1743544452.4948142, 3.7234883906841283]","[1743544574.8495448, 1743544574.8774877, 6.472360194921494]","[1743544696.5748289, 1743544696.5917943, 3.5750146846771234]","[1743544816.1335068, 1743544816.1577406, 5.619046924591065]"
"[1743544333.6579812, 1743544333.672995, 3.4597507066726685]","[1743544452.755351, 1743544452.7721856, 3.9066303131580358]","[1743544575.2855537, 1743544575.303042, 3.7397029855251316]","[1743544696.8773048, 1743544696.8933558, 3.6914856033325196]","[1743544816.4000971, 1743544816.4191842, 4.418104612112046]"
"[1743544333.9075603, 1743544333.9252436, 4.249607501506806]","[1743544453.04975, 1743544453.068269, 4.31868731880188]","[1743544575.6196725, 1743544575.6422775, 4.7101014118194575]","[1743544697.1322045, 1743544697.1521568, 4.4476463804245]","[1743544816.7161748, 1743544816.7350094, 4.4040170545578]"
"[1743544334.1563053, 1743544334.1716936, 3.547745730161667]","[1743544453.318424, 1743544453.3362646, 4.1711378574371345]","[1743544575.891388, 1743544575.908186, 3.4224116764068606]","[1743544697.3937478, 1743544697.4124534, 4.426438596010208]","[1743544816.974494, 1743544816.991496, 3.973016028285027]"
"[1743544334.425512, 1743544334.4404268, 3.5903075047933504]","[1743544453.6519642, 1743544453.6693776, 4.092631348609925]","[1743544576.168386, 1743544576.2510798, 16.903525465250013]","[1743544697.6719456, 1743544697.749647, 17.954070500673847]","[1743544817.2494354, 1743544817.2775116, 6.5770678710937505]"
"[1743544334.677197, 1743544334.6920264, 3.4322194941043858]","[1743544453.923275, 1743544453.9408555, 3.9961903820037845]","[1743544576.4984493, 1743544576.5145767, 3.672051981210709]","[1743544697.9987426, 1743544698.016686, 4.1811310482025155]","[1743544817.516774, 1743544817.5365443, 4.633624400138856]"
"[1743544334.9342208, 1743544334.947813, 3.2066773592233657]","[1743544454.209197, 1743544454.2261097, 3.79789871764183]","[1743544576.7622356, 1743544576.7813375, 4.35085811449163]","[1743544698.2714024, 1743544698.2881393, 3.911349534988403]","[1743544817.9139698, 1743544817.9294343, 3.3736985900402066]"
"[1743544335.1822262, 1743544335.19932, 3.97062164568901]","[1743544454.4703102, 1743544454.487637, 4.043510760784149]","[1743544577.0259883, 1743544577.0472937, 4.941087817668915]","[1743544698.593875, 1743544698.609223, 3.627888828277588]","[1743544818.19245, 1743544818.2122257, 4.192097171545029]"
"[1743544335.4261677, 1743544335.4379294, 2.8254695806503296]","[1743544454.7460036, 1743544454.763035, 3.920839838981628]","[1743544577.3028092, 1743544577.320166, 4.028981399536133]","[1743544698.851281, 1743544698.8694842, 4.314226877689362]","[1743544818.4831672, 1743544818.5047584, 4.559841775894165]"
