epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743543647.622164, 1743543647.946146, 26.265712828209512]","[1743543773.1573973, 1743543773.2095954, 5.841079800128936]","[1743543898.024675, 1743543898.0812142, 5.652489168904238]","[1743544022.2579062, 1743544022.3100436, 5.991470708847046]","[1743544147.662546, 1743544147.7296321, 7.34201816160603]"
"[1743543648.256552, 1743543648.3048186, 5.40528853404522]","[1743543773.3868296, 1743543773.436773, 6.789590621232986]","[1743543898.2855136, 1743543898.3415666, 6.719891041049729]","[1743544022.5126033, 1743544022.5616922, 6.837421111106874]","[1743544147.9083085, 1743544147.9700205, 7.553120071172715]"
"[1743543648.513479, 1743543648.5617955, 6.374924520015717]","[1743543773.6461782, 1743543773.7002158, 8.10082629919052]","[1743543898.54245, 1743543898.5927558, 6.9243338651657105]","[1743544022.739087, 1743544022.7904673, 7.915325441002847]","[1743544148.194921, 1743544148.2447731, 7.798515020608902]"
"[1743543648.7463377, 1743543648.797561, 9.22739065170288]","[1743543773.8837643, 1743543773.9336882, 8.194879015922547]","[1743543898.7918646, 1743543898.8419764, 7.4655012531280525]","[1743544023.0375838, 1743544023.1131861, 12.500395847558972]","[1743544148.4320822, 1743544148.4820895, 8.541304241657256]"
"[1743543648.979538, 1743543649.0285122, 10.144090677022934]","[1743543774.1154773, 1743543774.1651459, 8.576805004835128]","[1743543899.0232227, 1743543899.0864007, 13.364674065470696]","[1743544023.3027894, 1743544023.3550577, 9.886418563127519]","[1743544148.6767411, 1743544148.7267692, 10.636449297189712]"
"[1743543649.2318835, 1743543649.304894, 16.048933624267583]","[1743543774.3482068, 1743543774.4018302, 12.700764885663986]","[1743543899.3190498, 1743543899.3690548, 11.287319389343262]","[1743544023.540469, 1743544023.5923462, 12.064631347656253]","[1743544148.9160607, 1743544148.966044, 11.60821296930313]"
"[1743543649.5194793, 1743543649.598416, 17.630856837630272]","[1743543774.6176286, 1743543774.6715958, 12.326702383995059]","[1743543899.563234, 1743543899.6149642, 12.140252022743226]","[1743544023.8139563, 1743544023.8636343, 11.660019964814186]","[1743544149.1701648, 1743544149.2195802, 11.803887467622756]"
"[1743543649.8125837, 1743543649.8607268, 10.565784211635592]","[1743543774.8946302, 1743543774.945143, 11.927291516304019]","[1743543899.7920263, 1743543899.8435564, 11.739180325508118]","[1743544024.0402532, 1743544024.0924516, 12.122872036695483]","[1743544149.4081392, 1743544149.4630394, 12.869093802452086]"
"[1743543650.0431988, 1743543650.09351, 11.338563410043712]","[1743543775.157921, 1743543775.2094371, 11.709857122898102]","[1743543900.0433621, 1743543900.1122344, 16.26047867965698]","[1743544024.2733455, 1743544024.324322, 12.155400934457779]","[1743544149.6491375, 1743544149.7003925, 12.333231419324875]"
"[1743543650.2784393, 1743543650.327019, 10.688212540626527]","[1743543775.3989387, 1743543775.454218, 12.865336442828177]","[1743543900.3023136, 1743543900.353129, 11.736057740449906]","[1743544024.5173209, 1743544024.5691864, 12.543929815411568]","[1743544149.8790948, 1743544149.929422, 12.209109085559843]"
"[1743543650.5038943, 1743543650.5532649, 11.007208424806594]","[1743543775.6510987, 1743543775.7110546, 13.623464685678483]","[1743543900.5488956, 1743543900.6014917, 12.726759080767632]","[1743544024.758475, 1743544024.8108387, 12.363001649618147]","[1743544150.1157, 1743544150.1682534, 12.491263622045519]"
"[1743543650.7381659, 1743543650.7869658, 11.53494877421856]","[1743543775.8999798, 1743543775.9507365, 11.897608645677566]","[1743543900.7889884, 1743543900.8419673, 12.431255686283112]","[1743544024.991846, 1743544025.0413215, 12.25318430185318]","[1743544150.4325953, 1743544150.482329, 11.424513094902037]"
"[1743543650.9733984, 1743543651.0220528, 11.306144420385362]","[1743543776.1413934, 1743543776.1922512, 11.602541895151136]","[1743543901.0432293, 1743543901.1017694, 14.105406750440599]","[1743544025.218353, 1743544025.2700183, 12.91463871574402]","[1743544150.6586697, 1743544150.7317698, 17.288572078227993]"
"[1743543651.2058191, 1743543651.255298, 11.876735347032549]","[1743543776.3809683, 1743543776.4328632, 12.415603086709977]","[1743543901.3955748, 1743543901.4471612, 11.880500270605088]","[1743544025.5163984, 1743544025.5662754, 11.966392862558367]","[1743544150.936152, 1743544150.986946, 11.734204695224761]"
"[1743543651.4314935, 1743543651.4811423, 12.078363738656044]","[1743543776.6228302, 1743543776.6775036, 12.646080276736662]","[1743543901.6636057, 1743543901.747284, 19.146085418224335]","[1743544025.779132, 1743544025.8295228, 11.68969461917877]","[1743544151.1950781, 1743544151.2464647, 11.958877938389776]"
"[1743543651.6944904, 1743543651.742693, 11.222268447875978]","[1743543776.86508, 1743543776.9163787, 12.337061212062835]","[1743543901.9383821, 1743543901.9883842, 11.616663129568101]","[1743544026.0170696, 1743544026.078312, 14.476040361642836]","[1743544151.4320905, 1743544151.4813275, 11.366512130498887]"
"[1743543651.9212837, 1743543651.9705927, 11.760360402822496]","[1743543777.1026912, 1743543777.1529615, 12.083029341340065]","[1743543902.1781087, 1743543902.2288039, 11.418579244136811]","[1743544026.2997003, 1743544026.3506656, 11.71931519603729]","[1743544151.6792142, 1743544151.729507, 12.056723069906235]"
"[1743543652.150842, 1743543652.2001686, 11.614460833430295]","[1743543777.3417428, 1743543777.3918927, 11.868730249404905]","[1743543902.4209108, 1743543902.4709847, 11.623695677518846]","[1743544026.530675, 1743544026.580736, 11.693017420530317]","[1743544151.9254918, 1743544151.9771962, 11.992061576843264]"
