epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743543648.1072118, 1743543648.1446805, 3.7533117914199834]","[1743543773.2964342, 1743543773.2983296, 0.2332494378089905]","[1743543898.1663365, 1743543898.168324, 0.2179087905883789]","[1743544022.394564, 1743544022.396553, 0.25828604865074156]","[1743544147.8151062, 1743544147.817113, 0.2433368172645569]"
"[1743543648.3885639, 1743543648.3902004, 0.21336099243164064]","[1743543773.521918, 1743543773.523608, 0.25482243001861493]","[1743543898.426694, 1743543898.4283516, 0.22021044898033143]","[1743544022.6474943, 1743544022.649799, 0.35812786293029786]","[1743544148.055455, 1743544148.0571394, 0.22320177197456356]"
"[1743543648.6456246, 1743543648.6478252, 0.3109056615829468]","[1743543773.7853818, 1743543773.7870562, 0.2663657283782959]","[1743543898.6777303, 1743543898.6793933, 0.23878399233747788]","[1743544022.8758557, 1743544022.8775814, 0.28624266958236694]","[1743544148.3300016, 1743544148.331672, 0.28513555955886843]"
"[1743543648.8812058, 1743543648.8832252, 0.4093516421318054]","[1743543774.0181272, 1743543774.020638, 0.42086800193786617]","[1743543898.9271367, 1743543898.9287138, 0.33098940968513485]","[1743544023.1959138, 1743544023.1974955, 0.2746995015144348]","[1743544148.5673096, 1743544148.5690336, 0.30900199055671695]"
"[1743543649.1116164, 1743543649.11331, 0.3690611114501953]","[1743543774.249888, 1743543774.2520108, 0.5164985904693603]","[1743543899.1716127, 1743543899.1732333, 0.3895789132118225]","[1743544023.4486473, 1743544023.4506109, 0.47057454395294185]","[1743544148.8123398, 1743544148.814022, 0.4164117736816406]"
"[1743543649.3878033, 1743543649.3894165, 0.3853904633522034]","[1743543774.4867015, 1743543774.4886057, 0.45806143021583556]","[1743543899.45434, 1743543899.4565575, 0.5371304082870484]","[1743544023.6773498, 1743544023.6790333, 0.4084426782131195]","[1743544149.0514884, 1743544149.0531573, 0.41480422019958496]"
"[1743543649.6822777, 1743543649.6839654, 0.38841720175743105]","[1743543774.756921, 1743543774.758623, 0.4209855403900147]","[1743543899.700035, 1743543899.7020984, 0.4962711343765259]","[1743544023.9491904, 1743544023.950843, 0.3910032329559326]","[1743544149.306221, 1743544149.307922, 0.43233771085739137]"
"[1743543649.9453306, 1743543649.9469645, 0.3738061790466308]","[1743543775.0339878, 1743543775.0357006, 0.4147525825500488]","[1743543899.935899, 1743543899.9377222, 0.44879932737350464]","[1743544024.1785805, 1743544024.1802194, 0.41097771739959715]","[1743544149.5486443, 1743544149.550973, 0.5790870969295502]"
"[1743543650.1771994, 1743543650.1792524, 0.46504447150230405]","[1743543775.2950802, 1743543775.2972252, 0.5141968395709992]","[1743543900.1955392, 1743543900.1972516, 0.4159573173522949]","[1743544024.4178374, 1743544024.419474, 0.39802750396728515]","[1743544149.786216, 1743544149.787987, 0.4304616022109985]"
"[1743543650.4110122, 1743543650.4128006, 0.42053703069686893]","[1743543775.5400295, 1743543775.542283, 0.530168288230896]","[1743543900.4392512, 1743543900.4441922, 1.2237736873626708]","[1743544024.6557236, 1743544024.65743, 0.4328664412498474]","[1743544150.0149465, 1743544150.016747, 0.4568484802246094]"
"[1743543650.638515, 1743543650.64064, 0.49500965094566346]","[1743543775.7964418, 1743543775.7989335, 0.5994312930107116]","[1743543900.686601, 1743543900.6885242, 0.4845984585285187]","[1743544024.896514, 1743544024.8987298, 0.5488491425514221]","[1743544150.2547581, 1743544150.2565274, 0.436628909111023]"
"[1743543650.870657, 1743543650.8723269, 0.40975940895080565]","[1743543776.0357368, 1743543776.0382, 0.6007334191799164]","[1743543900.9305606, 1743543900.9328094, 0.5634278297424317]","[1743544025.1265988, 1743544025.1285403, 0.4738051567077637]","[1743544150.567751, 1743544150.5698657, 0.5180157113075257]"
"[1743543651.1056118, 1743543651.107883, 0.5420046496391298]","[1743543776.2772527, 1743543776.2790835, 0.44752839040756226]","[1743543901.2079618, 1743543901.2096727, 0.42468951988220216]","[1743544025.3556843, 1743544025.3574162, 0.44151146697998045]","[1743544150.8175833, 1743544150.819502, 0.46384127807617187]"
"[1743543651.3405364, 1743543651.3427749, 0.5260659987926484]","[1743543776.527778, 1743543776.5298553, 0.5163854455947876]","[1743543901.5327368, 1743543901.5346093, 0.43434303188323975]","[1743544025.6517634, 1743544025.6534388, 0.4152146685123444]","[1743544151.0723152, 1743544151.074089, 0.4241024780273438]"
"[1743543651.565525, 1743543651.5672057, 0.41116416471863226]","[1743543776.7613537, 1743543776.7632778, 0.4788584089279175]","[1743543901.8355017, 1743543901.837333, 0.41013274145126344]","[1743544025.9148672, 1743544025.9164944, 0.3972304701805115]","[1743544151.331683, 1743544151.333462, 0.4186938920021057]"
"[1743543651.826675, 1743543651.8286548, 0.46716612625122067]","[1743543777.0016034, 1743543777.004098, 0.6009951646327972]","[1743543902.0741434, 1743543902.0759616, 0.4124650611877441]","[1743544026.1633728, 1743544026.165511, 0.5129093284606934]","[1743544151.567199, 1743544151.5688372, 0.4038705174922943]"
"[1743543652.0546064, 1743543652.0563278, 0.4009976911544799]","[1743543777.2378259, 1743543777.2401602, 0.5865677156448365]","[1743543902.314352, 1743543902.3160815, 0.398071150302887]","[1743544026.4357705, 1743544026.4374826, 0.401535017490387]","[1743544151.8180864, 1743544151.819798, 0.42678577709198]"
"[1743543652.284149, 1743543652.2865589, 0.5876216802597046]","[1743543777.478584, 1743543777.4805393, 0.47654641246795654]","[1743543902.5576174, 1743543902.559477, 0.4566741943359375]","[1743544026.6662188, 1743544026.6678698, 0.4045052707195282]","[1743544152.0628886, 1743544152.064643, 0.4309398412704468]"
"[1743543652.5148048, 1743543652.5164623, 0.3954744930267334]","[1743543777.7155297, 1743543777.7176325, 0.500628046989441]","[1743543902.8013957, 1743543902.8030658, 0.41742865920066835]","[1743544026.9350016, 1743544026.937921, 0.7047050189971924]","[1743544152.2983239, 1743544152.3003721, 0.49345547622491037]"
"[1743543652.8206058, 1743543652.8222737, 0.3949601268768311]","[1743543777.9509041, 1743543777.9526887, 0.44214691400527956]","[1743543903.0484033, 1743543903.0503795, 0.48458875036239624]","[1743544027.1862617, 1743544027.1881757, 0.46861058235168457]","[1743544152.5473757, 1743544152.549113, 0.4293788945674896]"
"[1743543653.04743, 1743543653.049334, 0.4445236830711365]","[1743543778.1917667, 1743543778.1935682, 0.434357442855835]","[1743543903.2861776, 1743543903.2878516, 0.4261525156497955]","[1743544027.4348757, 1743544027.4367208, 0.44581269335746765]","[1743544152.795775, 1743544152.7975833, 0.4326681113243103]"
"[1743543653.2782717, 1743543653.2800202, 0.4209382905960083]","[1743543778.43288, 1743543778.4347334, 0.4700426931381226]","[1743543903.519634, 1743543903.521319, 0.4203077518939972]","[1743544027.6692, 1743544027.6708534, 0.410258024930954]","[1743544153.0206578, 1743544153.0224085, 0.44007187461853026]"
"[1743543653.5339825, 1743543653.5360625, 0.4866095838546753]","[1743543778.668692, 1743543778.6705632, 0.4632211017608643]","[1743543903.7975447, 1743543903.7992706, 0.426759379863739]","[1743544027.901648, 1743544027.9032588, 0.3961654186248779]","[1743544153.2560294, 1743544153.2584405, 0.589462706565857]"
"[1743543653.7735589, 1743543653.7752118, 0.40711810612678523]","[1743543778.9036028, 1743543778.9056907, 0.5054827959537507]","[1743543904.0728211, 1743543904.074795, 0.47727521967887876]","[1743544028.1601593, 1743544028.1618028, 0.4156848256587982]","[1743544153.5497384, 1743544153.552079, 0.5766776907444]"
"[1743543654.0403025, 1743543654.0419319, 0.38169539165496824]","[1743543779.1509671, 1743543779.1528523, 0.4735485963821411]","[1743543904.4259696, 1743543904.4283376, 0.539069128036499]","[1743544028.4020188, 1743544028.4038217, 0.4432463974952698]","[1743544153.8045747, 1743544153.8065016, 0.4695910563468933]"
"[1743543654.3182063, 1743543654.319847, 0.38449936723709105]","[1743543779.3935091, 1743543779.395418, 0.4645643944740296]","[1743543904.6906717, 1743543904.6926556, 0.4653986430168152]","[1743544028.63595, 1743544028.6379807, 0.48929197454452517]","[1743544154.0546877, 1743544154.0563884, 0.410090562582016]"
"[1743543654.59046, 1743543654.592134, 0.3870593945980072]","[1743543779.6226754, 1743543779.6246142, 0.48467094923931625]","[1743543904.9390523, 1743543904.9410338, 0.4509668776988983]","[1743544028.9399521, 1743544028.9417462, 0.42976468066886664]","[1743544154.2939749, 1743544154.2959592, 0.4771428098678589]"
"[1743543654.850494, 1743543654.8525805, 0.47508814620971684]","[1743543779.8764079, 1743543779.8782742, 0.4583433990478516]","[1743543905.358776, 1743543905.3611434, 0.5217720861434937]","[1743544029.1724172, 1743544029.1740453, 0.40310159897804254]","[1743544154.5453808, 1743544154.5474153, 0.5057012739181519]"
"[1743543655.2629972, 1743543655.264902, 0.4164745367566383]","[1743543780.1220994, 1743543780.1241708, 0.5203894457054434]","[1743543905.5970776, 1743543905.5988407, 0.4051880657672882]","[1743544029.4112449, 1743544029.4133198, 0.5114001009464264]","[1743544154.7858956, 1743544154.787657, 0.4285310697555542]"
"[1743543655.5148928, 1743543655.516993, 0.44313997364044194]","[1743543780.360211, 1743543780.362086, 0.46559900522232056]","[1743543905.8284376, 1743543905.8303826, 0.4386639728546143]","[1743544029.645173, 1743544029.6474261, 0.5549658894538879]","[1743544155.0390537, 1743544155.0408034, 0.4363431420326233]"
"[1743543655.7556474, 1743543655.759137, 0.7318830499649048]","[1743543780.6089447, 1743543780.6107187, 0.4284048368930817]","[1743543906.11248, 1743543906.1141179, 0.3725091505050659]","[1743544029.8710005, 1743544029.8726602, 0.41324000239372255]","[1743544155.2812383, 1743544155.2833471, 0.5131499576568603]"
"[1743543656.008404, 1743543656.0105298, 0.45379448318481447]","[1743543780.8447802, 1743543780.8464632, 0.4221965646743775]","[1743543906.3533242, 1743543906.3550117, 0.4070010652542114]","[1743544030.098832, 1743544030.1005054, 0.41000774240493776]","[1743544155.5275059, 1743544155.5294697, 0.4936382279396057]"
"[1743543656.2614295, 1743543656.264162, 0.6480830053324863]","[1743543781.0758882, 1743543781.077668, 0.4366049957275391]","[1743543906.603108, 1743543906.6047976, 0.41577939438819883]","[1743544030.3258617, 1743544030.3275096, 0.4076812133789062]","[1743544155.7657816, 1743544155.7676234, 0.4517452955245972]"
"[1743543656.5025582, 1743543656.505022, 0.5989515938758849]","[1743543781.3249516, 1743543781.3266997, 0.4488785161972046]","[1743543906.859879, 1743543906.8622804, 0.5851302204132081]","[1743544030.5518935, 1743544030.5535085, 0.41024950933456417]","[1743544156.0343847, 1743544156.0370345, 0.6717838611602783]"
"[1743543656.8408005, 1743543656.8430018, 0.4968222305774689]","[1743543781.5620077, 1743543781.5641446, 0.5339308478832245]","[1743543907.1098282, 1743543907.1115022, 0.41886586856842045]","[1743544030.7792635, 1743544030.7808208, 0.3873129844665527]","[1743544156.3023381, 1743544156.3044055, 0.5092551195621491]"
"[1743543657.1417727, 1743543657.1436992, 0.4199137878417969]","[1743543781.796832, 1743543781.7987702, 0.47063963770866396]","[1743543907.3433166, 1743543907.3453066, 0.48973278737068177]","[1743544031.0052276, 1743544031.0068955, 0.4156363620758057]","[1743544156.5428288, 1743544156.545499, 0.6676174163818359]"
"[1743543657.3811543, 1743543657.3834772, 0.5093542532920837]","[1743543782.0384073, 1743543782.0407076, 0.5830199203491211]","[1743543907.6706524, 1743543907.6729147, 0.5397727539539338]","[1743544031.2546039, 1743544031.256335, 0.43913574838638303]","[1743544156.783762, 1743544156.7855682, 0.444460771560669]"
"[1743543657.6305852, 1743543657.6333091, 0.5918096959590912]","[1743543782.2833014, 1743543782.2850897, 0.43948131632804865]","[1743543907.914702, 1743543907.916383, 0.39773062252998354]","[1743544031.5210526, 1743544031.5226443, 0.38546569347381593]","[1743544157.0212257, 1743544157.0229285, 0.4218651056289673]"
"[1743543657.8673851, 1743543657.8695407, 0.4906219748908905]","[1743543782.5107121, 1743543782.5124805, 0.4228161654472351]","[1743543908.152714, 1743543908.1550412, 0.5622989702224732]","[1743544031.7649274, 1743544031.7670934, 0.5449976766109466]","[1743544157.4114711, 1743544157.4133267, 0.43097697448730465]"
"[1743543658.1613724, 1743543658.1632655, 0.43943739434476486]","[1743543782.739401, 1743543782.7411606, 0.44060368537902833]","[1743543908.4507759, 1743543908.4526637, 0.4295156469345093]","[1743544031.994085, 1743544031.9957857, 0.4198216230869293]","[1743544157.6503844, 1743544157.6521184, 0.40370894455909734]"
"[1743543658.4620893, 1743543658.4639456, 0.4267153050581587]","[1743543782.9671698, 1743543782.9690022, 0.45047067403793334]","[1743543908.6965845, 1743543908.6982453, 0.39794169187545775]","[1743544032.227413, 1743544032.229066, 0.40207989621162415]","[1743544157.89047, 1743544157.8926973, 0.5191606135368347]"
"[1743543658.773213, 1743543658.774896, 0.3803993403911591]","[1743543783.2025926, 1743543783.2044065, 0.4409218425750732]","[1743543908.9384449, 1743543908.9400876, 0.3997487354278565]","[1743544032.460418, 1743544032.4622707, 0.4691591103076935]","[1743544158.13142, 1743544158.1336274, 0.5123626329898834]"
"[1743543659.0249634, 1743543659.0267076, 0.37812466526031496]","[1743543783.4395816, 1743543783.4414437, 0.46594985723495486]","[1743543909.1961234, 1743543909.1979213, 0.4265642058849335]","[1743544032.6974642, 1743544032.699061, 0.3941922323703766]","[1743544158.4080644, 1743544158.409934, 0.46641747665405275]"
"[1743543659.265038, 1743543659.2667103, 0.37851777540244724]","[1743543783.7019, 1743543783.705037, 0.7528911137580871]","[1743543909.4431295, 1743543909.4447958, 0.40578918790817264]","[1743544032.925925, 1743544032.9275246, 0.3958039100170136]","[1743544158.642426, 1743544158.6441867, 0.43778748154640196]"
"[1743543659.5296748, 1743543659.531747, 0.47832376670837395]","[1743543783.958645, 1743543783.960278, 0.40325504493713377]","[1743543909.678625, 1743543909.6803145, 0.4136381421654871]","[1743544033.174104, 1743544033.1757445, 0.4137881622314453]","[1743544158.887176, 1743544158.8890867, 0.4637790217399597]"
"[1743543659.8059835, 1743543659.8076682, 0.3948906893730163]","[1743543784.1908708, 1743543784.1927, 0.4409616947174072]","[1743543909.930663, 1743543909.932455, 0.4414030790328979]","[1743544033.4852157, 1743544033.4871318, 0.4696897037029267]","[1743544159.132484, 1743544159.1347415, 0.5635204381942749]"
"[1743543660.0674012, 1743543660.0695505, 0.502387547492981]","[1743543784.4223037, 1743543784.4241755, 0.4662807834148407]","[1743543910.1932867, 1743543910.1951091, 0.4529261140823364]","[1743544033.7218218, 1743544033.7237053, 0.46053435802459713]","[1743544159.3675888, 1743544159.3699818, 0.586877856016159]"
"[1743543660.3546617, 1743543660.362478, 1.770477867126465]","[1743543784.656394, 1743543784.6581964, 0.4455516529083252]","[1743543910.4270298, 1743543910.4289083, 0.469303772687912]","[1743544033.9612086, 1743544033.963077, 0.4488048288822174]","[1743544159.6159472, 1743544159.617783, 0.4653774738311767]"
"[1743543660.6087394, 1743543660.610518, 0.40796163558959964]","[1743543784.8863277, 1743543784.8881426, 0.4388469982147217]","[1743543910.7004297, 1743543910.7020812, 0.40307626748085024]","[1743544034.1915956, 1743544034.193259, 0.4096569514274597]","[1743544159.852545, 1743544159.8549428, 0.5918885214328766]"
