timestamp,power_in_watts,step
1734699828.0517485,21.79,idle
1734699828.0539546,21.79,idle
1734699828.2478397,29.426,idle
1734699828.2506473,29.426,idle
1734699828.2519584,29.426,idle
1734699828.439136,35.795,idle
1734699828.4426212,35.795,idle
1734699828.6291215,40.837,idle
1734699828.6310546,40.837,idle
1734699828.8218102,66.36,idle
1734699828.823249,66.36,idle
1734699828.8244748,66.36,idle
1734699828.8311567,66.36,idle
1734699828.8323054,66.36,idle
1734699828.8345232,66.36,idle
1734699828.8361564,66.36,idle
1734699828.8377,66.36,idle
1734699828.8388257,66.36,idle
1734699828.8399563,66.36,idle
1734699828.841072,66.36,idle
1734699828.8421953,66.36,idle
1734699828.8433185,66.36,idle
1734699828.8444426,66.36,idle
1734699828.8455763,66.36,idle
1734699828.8467057,66.36,idle
1734699828.8478286,66.36,idle
1734699828.8489556,66.36,idle
1734699828.8500788,66.36,idle
1734699828.8512018,66.36,idle
1734699828.8523266,66.36,idle
1734699828.8534515,66.36,idle
1734699828.8545752,66.36,idle
1734699828.855705,66.36,idle
1734699828.8568318,66.36,idle
1734699828.857956,66.36,idle
1734699828.8590815,66.36,idle
1734699828.8602047,66.36,idle
1734699828.861331,66.36,idle
1734699828.8624558,66.36,idle
1734699828.8635824,66.36,idle
1734699828.8647103,66.36,idle
1734699828.865834,66.36,idle
1734699828.8669586,66.36,idle
1734699828.8680818,66.36,idle
1734699828.8692064,66.36,idle
1734699828.870331,66.36,idle
1734699828.8714557,66.36,idle
1734699828.872583,66.36,idle
1734699828.8737087,66.36,idle
1734699828.8748326,66.36,idle
1734699828.875957,66.36,idle
1734699828.8770669,66.36,idle
1734699828.8782046,66.36,idle
1734699828.879331,66.36,idle
1734699828.8804543,66.36,idle
1734699828.881579,66.36,idle
1734699828.8827024,66.36,idle
1734699828.8838265,66.36,idle
1734699828.884951,66.36,idle
1734699828.8860774,66.36,idle
1734699828.8872068,66.36,idle
1734699828.8883448,66.36,idle
1734699828.889468,66.36,idle
1734699828.8905926,66.36,idle
1734699828.8917267,67.837,idle
