epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467756.8450012, 1737467756.8462281, 0.046448056221008296]","[1737467776.6715293, 1737467776.6727762, 0.10331930398941039]","[1737467796.6273603, 1737467796.6285958, 0.10512371873855592]","[1737467816.610869, 1737467816.6120355, 0.09696163845062256]","[1737467836.5096612, 1737467836.5108452, 0.10127585124969482]"
"[1737467756.8894174, 1737467756.8903453, 0.0351293888092041]","[1737467776.7145948, 1737467776.7155275, 0.07728204917907715]","[1737467796.6716673, 1737467796.6725898, 0.07848777842521668]","[1737467816.6525486, 1737467816.6534717, 0.07672909545898438]","[1737467836.5778198, 1737467836.5787427, 0.07656253504753113]"
"[1737467756.9288967, 1737467756.9298208, 0.03865184211730957]","[1737467776.7552662, 1737467776.7561958, 0.07630200839042664]","[1737467796.7108111, 1737467796.7117226, 0.07756098794937133]","[1737467816.6912036, 1737467816.6921191, 0.076094970703125]","[1737467836.6214592, 1737467836.6224265, 0.0802413341999054]"
"[1737467756.9670014, 1737467756.9679005, 0.03760477209091186]","[1737467776.7983751, 1737467776.7993271, 0.07814155411720276]","[1737467796.7497613, 1737467796.750667, 0.07707407617568969]","[1737467816.729738, 1737467816.7306507, 0.07811145973205566]","[1737467836.6604652, 1737467836.661362, 0.07499575519561767]"
"[1737467757.005719, 1737467757.0066333, 0.04543057560920715]","[1737467776.844633, 1737467776.845556, 0.07847389888763429]","[1737467796.7902243, 1737467796.791143, 0.08311000251770019]","[1737467816.7696414, 1737467816.7705643, 0.07898888731002808]","[1737467836.699721, 1737467836.700658, 0.07836567878723144]"
"[1737467757.04394, 1737467757.044847, 0.04506334018707275]","[1737467776.8831396, 1737467776.8840516, 0.0775413751602173]","[1737467796.8288858, 1737467796.8298059, 0.08323942375183105]","[1737467816.807971, 1737467816.8088906, 0.08107428558396843]","[1737467836.7392862, 1737467836.7402048, 0.07683026981353759]"
"[1737467757.081964, 1737467757.0828624, 0.04463687324523925]","[1737467776.920509, 1737467776.9214022, 0.07593986701965333]","[1737467796.8663034, 1737467796.8672042, 0.08149223709106446]","[1737467816.8454666, 1737467816.8463645, 0.0793514289855957]","[1737467836.7781541, 1737467836.7790523, 0.07679039645195007]"
"[1737467757.1186624, 1737467757.1195617, 0.04956034374237061]","[1737467776.957306, 1737467776.958198, 0.07826315546035767]","[1737467796.9039161, 1737467796.9048326, 0.08689156532287598]","[1737467816.8825943, 1737467816.883498, 0.07985712051391602]","[1737467836.8150604, 1737467836.8159595, 0.07687193655967714]"
"[1737467757.156912, 1737467757.1578188, 0.049967653036117554]","[1737467776.9983017, 1737467776.9992266, 0.08112848210334778]","[1737467796.944491, 1737467796.9454303, 0.08906159400939942]","[1737467816.9221702, 1737467816.9231014, 0.0877575659751892]","[1737467836.8552485, 1737467836.856142, 0.08203629016876222]"
"[1737467757.193625, 1737467757.1945179, 0.055367338657379146]","[1737467777.03598, 1737467777.0368671, 0.08338907146453857]","[1737467796.9821508, 1737467796.9830437, 0.08465372323989868]","[1737467816.9595134, 1737467816.9604228, 0.08569056749343873]","[1737467836.8964381, 1737467836.897357, 0.08435642004013062]"
"[1737467757.2311125, 1737467757.232024, 0.056520516872406]","[1737467777.0735989, 1737467777.0745585, 0.09020183086395263]","[1737467797.0199783, 1737467797.0208602, 0.08812312531471253]","[1737467816.9967823, 1737467816.9976819, 0.08476940512657165]","[1737467836.9340367, 1737467836.934925, 0.081554753780365]"
