epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737461626.1170394, 1737461626.2517617, 5.6830943717956535]","[1737461642.0490477, 1737461642.0609775, 1.0901302950382232]","[1737461660.9618807, 1737461660.9718428, 1.0433886108398438]","[1737461679.9035401, 1737461679.9158123, 1.3068702800273897]","[1737461699.7561772, 1737461699.7680779, 1.358232653721847]"
"[1737461626.3506565, 1737461626.361195, 0.4709374365806579]","[1737461642.0943248, 1737461642.1039848, 0.8464193480014799]","[1737461661.000352, 1737461661.0094328, 0.8878927917480469]","[1737461679.9521472, 1737461679.9621592, 0.9840707707405091]","[1737461699.7995727, 1737461699.8101933, 1.2081138114929197]"
"[1737461626.381884, 1737461626.3922029, 0.46971804940700534]","[1737461642.1313121, 1737461642.1409452, 0.8440587244033813]","[1737461661.033382, 1737461661.0424988, 0.8914128456115722]","[1737461679.9884002, 1737461679.9980059, 0.9441389584541322]","[1737461699.8346891, 1737461699.844247, 1.0872373409271239]"
"[1737461626.4130385, 1737461626.4233603, 0.48275318384170535]","[1737461642.1646638, 1737461642.1742082, 0.8307899093627931]","[1737461661.067822, 1737461661.0775354, 0.9497385063171385]","[1737461680.0232568, 1737461680.03309, 0.9586027479171753]","[1737461699.8677373, 1737461699.8773162, 1.0487506020069122]"
"[1737461626.447823, 1737461626.4580963, 0.480478413105011]","[1737461642.2006555, 1737461642.2101932, 0.8302088212966919]","[1737461661.1093163, 1737461661.118508, 0.8634823257923127]","[1737461680.0654242, 1737461680.0750334, 0.9367550468444824]","[1737461699.9021268, 1737461699.9119363, 1.07399245262146]"
"[1737461626.4773645, 1737461626.4874446, 0.472114842838849]","[1737461642.233351, 1737461642.2441027, 0.9358838367462159]","[1737461661.1474833, 1737461661.1578493, 0.9737889285087584]","[1737461680.1023412, 1737461680.1745307, 7.202643629908562]","[1737461699.936334, 1737461699.9456575, 1.0207940125465391]"
"[1737461626.510171, 1737461626.5195727, 0.6333145318031311]","[1737461642.2684066, 1737461642.2779675, 0.8742703778743744]","[1737461661.1811252, 1737461661.1902418, 0.8773287663459778]","[1737461680.2088377, 1737461680.2176273, 0.8816504693784096]","[1737461699.9687064, 1737461699.9778936, 1.0025004258155823]"
"[1737461626.5344615, 1737461626.5436969, 0.6221045722961426]","[1737461642.3014596, 1737461642.3106585, 0.8411753818988799]","[1737461661.213036, 1737461661.2221363, 0.8828921821117403]","[1737461680.2421787, 1737461680.2513616, 0.8866486225128174]","[1737461700.000413, 1737461700.009553, 0.9973492584228516]"
"[1737461626.5606346, 1737461626.569944, 0.6270832076072693]","[1737461642.3351345, 1737461642.3442576, 0.8342424380779265]","[1737461661.2459702, 1737461661.2550714, 0.8829847066402436]","[1737461680.276181, 1737461680.2854915, 0.8989644656181336]","[1737461700.0334833, 1737461700.044338, 1.1844563083648683]"
"[1737461626.5873897, 1737461626.5967495, 0.6304879517555236]","[1737461642.3668041, 1737461642.3759286, 0.8723038673400878]","[1737461661.279236, 1737461661.2884557, 0.9157368410825729]","[1737461680.3100019, 1737461680.319411, 0.9188433175086975]","[1737461700.0839574, 1737461700.111431, 3.10090079498291]"
"[1737461626.6161413, 1737461626.6253827, 0.8427087852954864]","[1737461642.4002552, 1737461642.4093926, 0.8735346794128417]","[1737461661.313919, 1737461661.3230295, 0.9228886604309082]","[1737461680.344207, 1737461680.3534079, 0.9230898039340973]","[1737461700.139721, 1737461700.1489398, 1.0405315454006194]"
"[1737461626.6427784, 1737461626.6519873, 0.8397519886493682]","[1737461642.4353178, 1737461642.4440882, 0.8384565353393554]","[1737461661.3490965, 1737461661.3581908, 0.9212463378906249]","[1737461680.378435, 1737461680.3877919, 0.9387572865486146]","[1737461700.1897585, 1737461700.1988537, 1.035287509918213]"
"[1737461626.6677675, 1737461626.6769516, 0.8374909088611602]","[1737461642.4693246, 1737461642.4785056, 0.9350596132278441]","[1737461661.3855238, 1737461661.394708, 0.9769698129311724]","[1737461680.4128437, 1737461680.4220543, 0.9450423934459686]","[1737461700.2250862, 1737461700.2337475, 0.9858950576782226]"
"[1737461626.692787, 1737461626.7020395, 0.8437306194305421]","[1737461642.5019937, 1737461642.511117, 0.929183316707611]","[1737461661.419897, 1737461661.429016, 0.9707485065460206]","[1737461680.4469879, 1737461680.4561481, 0.9732706139087677]","[1737461700.260164, 1737461700.2687843, 0.9827012643814086]"
"[1737461626.7209587, 1737461626.7301497, 0.9630092024803161]","[1737461642.5368242, 1737461642.5459497, 0.9294018566608427]","[1737461661.4539223, 1737461661.4630227, 0.9687688374519349]","[1737461680.4810166, 1737461680.4903014, 0.9864937798976897]","[1737461700.2938986, 1737461700.30266, 0.9987915163040161]"
"[1737461626.7472773, 1737461626.7564523, 0.9613354899883271]","[1737461642.572622, 1737461642.5817306, 0.9873752126693724]","[1737461661.4875448, 1737461661.4966571, 1.005311794281006]","[1737461680.5173578, 1737461680.526739, 1.1035839807885017]","[1737461700.3263085, 1737461700.3354812, 1.0456761186122894]"
"[1737461626.7721379, 1737461626.7813191, 0.9619849903583526]","[1737461642.607091, 1737461642.6162093, 0.9884348499774932]","[1737461661.5210147, 1737461661.5300977, 1.0020764894485472]","[1737461680.5520666, 1737461680.5612864, 1.085918040275574]","[1737461700.3594792, 1737461700.3687842, 1.119642771720886]"
"[1737461626.7987692, 1737461626.808013, 0.968529955625534]","[1737461642.6401064, 1737461642.6492264, 0.9886157636642455]","[1737461661.5542824, 1737461661.563355, 1.0009191446304322]","[1737461680.586021, 1737461680.5952017, 1.0813127660751343]","[1737461700.3945725, 1737461700.4037113, 1.0996471016407012]"
"[1737461626.826834, 1737461626.8360143, 1.086902493238449]","[1737461642.6745965, 1737461642.6838863, 1.094944673538208]","[1737461661.5893362, 1737461661.5984337, 1.0958576316833497]","[1737461680.6203556, 1737461680.629515, 1.1779077134132385]","[1737461700.4306524, 1737461700.4397764, 1.0978684337139129]"
"[1737461626.8531451, 1737461626.8623652, 1.0916164970397948]","[1737461642.7093122, 1737461642.71851, 1.0840975160598756]","[1737461661.6232736, 1737461661.6323922, 1.0983848991394045]","[1737461680.6548676, 1737461680.6640527, 1.1812191128730776]","[1737461700.466244, 1737461700.4755316, 1.2285910284519193]"
"[1737461626.878437, 1737461626.8876045, 1.0853782045841216]","[1737461642.7426562, 1737461642.7517605, 1.0730817499160767]","[1737461661.656209, 1737461661.6653852, 1.105334884643555]","[1737461680.6890616, 1737461680.6982443, 1.1809125018119813]","[1737461700.4993567, 1737461700.5086513, 1.229505651473999]"
"[1737461626.9047117, 1737461626.9140122, 1.1011291873455047]","[1737461642.7753103, 1737461642.7850232, 1.2584757835865021]","[1737461661.6888888, 1737461661.6979825, 1.198585039615631]","[1737461680.723551, 1737461680.7329807, 1.3260034608840943]","[1737461700.5337512, 1737461700.5429015, 1.2104247229099274]"
"[1737461626.9321074, 1737461626.9413285, 1.2206953897476196]","[1737461642.8104136, 1737461642.8197262, 1.206609492301941]","[1737461661.722853, 1737461661.7319725, 1.201978862285614]","[1737461680.7581456, 1737461680.7673268, 1.2910689306259155]","[1737461700.5692594, 1737461700.5785499, 1.337045376777649]"
"[1737461626.9586387, 1737461626.9678004, 1.2128364293575287]","[1737461642.8452663, 1737461642.8544414, 1.1887852814197541]","[1737461661.7589078, 1737461661.7680147, 1.2003133752346038]","[1737461680.7923837, 1737461680.801558, 1.2900966644287108]","[1737461700.6178293, 1737461700.6272185, 1.351250647544861]"
"[1737461626.9867468, 1737461626.995998, 1.2246722130775451]","[1737461642.8802469, 1737461642.8894093, 1.295053939819336]","[1737461661.793474, 1737461661.802559, 1.3056875705718993]","[1737461680.8265145, 1737461680.8356428, 1.3936407241821287]","[1737461700.6545932, 1737461700.663759, 1.4034931240081787]"
"[1737461627.0274873, 1737461627.0370657, 1.409318077564239]","[1737461642.9136355, 1737461642.9228013, 1.2955257263183593]","[1737461661.8269043, 1737461661.8360004, 1.3072980499267577]","[1737461680.859949, 1737461680.8692212, 1.415589828491211]","[1737461700.6889741, 1737461700.6983178, 1.4511115431785584]"
"[1737461627.0540016, 1737461627.0634813, 1.3947951731681822]","[1737461642.9481266, 1737461642.9572732, 1.2928298034667969]","[1737461661.861246, 1737461661.8703392, 1.3068525981903079]","[1737461680.89382, 1737461680.9029634, 1.3959339141845704]","[1737461700.7247376, 1737461700.7339091, 1.4243776178359986]"
"[1737461627.079398, 1737461627.0886807, 1.365819523334503]","[1737461642.9829676, 1737461642.9921494, 1.4063208854198452]","[1737461661.895979, 1737461661.9052608, 1.4389874439239503]","[1737461680.9277346, 1737461680.93716, 1.5523259563446046]","[1737461700.7586005, 1737461700.7678165, 1.5207713878154756]"
