epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737461625.7850206, 1737461626.0989654, 9.981048154950136]","[1737461642.0433846, 1737461642.0486486, 0.4911194951534271]","[1737461660.9562132, 1737461660.9615326, 0.5571281661987305]","[1737461679.89793, 1737461679.903164, 0.5573742206096649]","[1737461699.7505891, 1737461699.7558866, 0.6527884303074877]"
"[1737461626.3459287, 1737461626.3505692, 0.2073735637664795]","[1737461642.0895436, 1737461642.094214, 0.4092235014438629]","[1737461660.9956126, 1737461661.0002465, 0.4530845489501953]","[1737461679.9473467, 1737461679.9520235, 0.45968452453613284]","[1737461699.7948017, 1737461699.7994604, 0.5299363327026367]"
"[1737461626.3772204, 1737461626.3818088, 0.20504029154777526]","[1737461642.1266212, 1737461642.131225, 0.4033950591087341]","[1737461661.0286953, 1737461661.0332959, 0.44982092285156244]","[1737461679.9837174, 1737461679.98832, 0.45239650011062627]","[1737461699.8300068, 1737461699.8346138, 0.5240511646270751]"
"[1737461626.4083817, 1737461626.4129648, 0.21435253858566286]","[1737461642.1599889, 1737461642.1645813, 0.3997470831871033]","[1737461661.0631275, 1737461661.0677261, 0.4496344299316406]","[1737461680.0185177, 1737461680.0231638, 0.45292143702507015]","[1737461699.86305, 1737461699.8676627, 0.5050197350978851]"
"[1737461626.4431736, 1737461626.4477494, 0.21400686264038085]","[1737461642.195916, 1737461642.2005064, 0.39958105802536015]","[1737461661.1047525, 1737461661.1092012, 0.4179108426570892]","[1737461680.0607417, 1737461680.0653405, 0.44831947445869447]","[1737461699.8976386, 1737461699.9020576, 0.4838238894939422]"
"[1737461626.4727123, 1737461626.4772933, 0.21425218105316163]","[1737461642.228666, 1737461642.2332606, 0.3999338614940643]","[1737461661.14297, 1737461661.147403, 0.4164326221942901]","[1737461680.0978217, 1737461680.102248, 0.4314920961856842]","[1737461699.931846, 1737461699.9362633, 0.48364116668701174]"
"[1737461626.5056086, 1737461626.510102, 0.30268496680259704]","[1737461642.2637393, 1737461642.2683263, 0.4194431011676788]","[1737461661.176628, 1737461661.1810467, 0.4150887854099274]","[1737461680.2042322, 1737461680.208717, 0.4498795056343079]","[1737461699.964194, 1737461699.9686277, 0.48379347896575925]"
"[1737461626.529997, 1737461626.534395, 0.29624486112594606]","[1737461642.2967799, 1737461642.301373, 0.4200099456310272]","[1737461661.2085516, 1737461661.2129662, 0.4282960424423218]","[1737461680.2376754, 1737461680.2421014, 0.42734824562072754]","[1737461699.9959302, 1737461700.000348, 0.4820764231681824]"
"[1737461626.5560763, 1737461626.5604734, 0.29619668078422545]","[1737461642.3306477, 1737461642.3350594, 0.4034188442230225]","[1737461661.2414932, 1737461661.245901, 0.4276483707427979]","[1737461680.2716858, 1737461680.2761023, 0.42642743492126467]","[1737461700.028999, 1737461700.033413, 0.4816341512203216]"
"[1737461626.5829313, 1737461626.587322, 0.29576305770874023]","[1737461642.3622868, 1737461642.3667026, 0.42214574813842776]","[1737461661.2747407, 1737461661.279158, 0.42857361602783206]","[1737461680.305508, 1737461680.309923, 0.42628931331634523]","[1737461700.0794468, 1737461700.083885, 0.5009308898448944]"
