epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737471809.0430539, 1737471809.0566592, 0.964959889650345]","[1737471844.9475536, 1737471844.9606519, 1.6323288526535036]","[1737471880.626018, 1737471880.6391969, 1.5464429063797]","[1737471914.6258886, 1737471914.639166, 1.6951556181907652]","[1737471948.6193511, 1737471948.6325102, 1.6993711502552031]"
"[1737471809.1300454, 1737471809.1431634, 0.9303830633163453]","[1737471845.0340872, 1737471845.0468643, 1.6126476464271542]","[1737471880.7065365, 1737471880.719397, 1.3872146382331851]","[1737471914.7058022, 1737471914.71852, 1.6236845211982727]","[1737471948.6916177, 1737471948.704402, 1.5214910681247713]"
"[1737471809.234721, 1737471809.2474372, 0.9574987392425538]","[1737471845.1147223, 1737471845.1704483, 7.070314880609511]","[1737471880.7821443, 1737471880.7948937, 1.4084809184074403]","[1737471914.780569, 1737471914.7932727, 1.613910715341568]","[1737471948.7726119, 1737471948.785385, 1.549637616634369]"
"[1737471809.3135643, 1737471809.326438, 1.1190548648834229]","[1737471845.2366252, 1737471845.2493305, 1.6041617655754092]","[1737471880.858775, 1737471880.8715608, 1.4869503707885743]","[1737471914.85652, 1737471914.8693037, 1.632141730070114]","[1737471948.8487647, 1737471948.861527, 1.5412273778915404]"
"[1737471809.391624, 1737471809.4043632, 1.2311017627716063]","[1737471845.3228226, 1737471845.3355098, 1.6074817214012143]","[1737471880.9345634, 1737471880.9472775, 1.4786045055389403]","[1737471914.93067, 1737471914.9433358, 1.6977169418334959]","[1737471948.9235506, 1737471948.9362419, 1.5326472482681273]"
"[1737471809.4684234, 1737471809.4811919, 1.257584640741348]","[1737471845.4024878, 1737471845.4153135, 1.6250324952602389]","[1737471881.0157979, 1737471881.0285528, 1.5431791605949399]","[1737471915.025871, 1737471915.0385704, 1.757185821533203]","[1737471948.9978487, 1737471949.0105765, 1.6280685329437257]"
"[1737471809.555883, 1737471809.5685787, 1.3565196990966797]","[1737471845.4849453, 1737471845.4976556, 1.695583825588226]","[1737471881.0904183, 1737471881.1031241, 1.5995081176757813]","[1737471915.1005902, 1737471915.1159182, 2.120895080566406]","[1737471949.0725026, 1737471949.0851967, 1.671739492893219]"
"[1737471809.6421077, 1737471809.6550474, 1.65637109541893]","[1737471845.5648494, 1737471845.5776334, 1.8655825185775758]","[1737471881.1644688, 1737471881.177299, 1.7609271697998048]","[1737471915.1769404, 1737471915.1896484, 1.8330072262287138]","[1737471949.1530142, 1737471949.165739, 1.749466907501221]"
"[1737471809.7235181, 1737471809.7362962, 1.8398594069480894]","[1737471845.6414056, 1737471845.6542008, 2.045071191072464]","[1737471881.2402163, 1737471881.252943, 1.746725616455078]","[1737471915.2576232, 1737471915.2703073, 1.9748393282890315]","[1737471949.2266507, 1737471949.239323, 1.7422228059768678]"
"[1737471809.8095255, 1737471809.8222992, 1.8957397921085357]","[1737471845.7218275, 1737471845.7345521, 2.160325413942337]","[1737471881.3215678, 1737471881.334345, 1.9444921817779541]","[1737471915.331779, 1737471915.3444607, 2.1401928763389586]","[1737471949.300318, 1737471949.3129926, 1.9110209789276125]"
"[1737471809.8893557, 1737471809.9020631, 2.0539467971324923]","[1737471845.816808, 1737471845.8295665, 2.2638346165418626]","[1737471881.3971107, 1737471881.4098117, 2.097207525253296]","[1737471915.405422, 1737471915.4180968, 2.139026032447815]","[1737471949.374118, 1737471949.3897202, 2.578139762878418]"
"[1737471809.9766915, 1737471809.9893932, 2.2255286169298256]","[1737471845.9049447, 1737471845.9176981, 2.291932644668381]","[1737471881.479492, 1737471881.492171, 2.2235337734222416]","[1737471915.4797275, 1737471915.4924102, 2.3108977687358863]","[1737471949.451666, 1737471949.4643412, 2.218234611511231]"
"[1737471810.0560005, 1737471810.0687315, 2.2345456032752993]","[1737471845.9816043, 1737471845.9942913, 2.4102320911884307]","[1737471881.5590215, 1737471881.5717006, 2.395728631019592]","[1737471915.5535643, 1737471915.566247, 2.448327249288559]","[1737471949.52628, 1737471949.5389662, 2.220195693969727]"
