epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737465634.0501654, 1737465634.1184068, 5.051441778182983]","[1737465669.5170627, 1737465669.5570574, 7.874559760093689]","[1737465704.9274118, 1737465704.9675763, 6.73025756908262]","[1737465741.8434236, 1737465741.8832428, 7.46813838815689]","[1737465777.400127, 1737465777.4398878, 7.319332264900208]"
"[1737465634.1548514, 1737465634.1948867, 3.1172337371110914]","[1737465669.5913749, 1737465669.6290755, 6.764552780151368]","[1737465705.0028129, 1737465705.0408351, 6.407835766792298]","[1737465741.9164526, 1737465741.9545705, 6.729522111415862]","[1737465777.4740808, 1737465777.511869, 6.85117346072197]"
"[1737465634.2302973, 1737465634.2691348, 3.4099266052246096]","[1737465669.660131, 1737465669.6982903, 6.72142844724655]","[1737465705.0776525, 1737465705.1158185, 6.586276416778564]","[1737465741.983841, 1737465742.0215142, 6.663697700500486]","[1737465777.541141, 1737465777.5787747, 6.762053205251695]"
"[1737465634.3025405, 1737465634.3401477, 3.301911544799805]","[1737465669.7292864, 1737465669.7670014, 6.575602960586546]","[1737465705.1703784, 1737465705.2082381, 6.508002974987029]","[1737465742.051817, 1737465742.0893579, 6.687913584709167]","[1737465777.6094792, 1737465777.6472034, 6.8113785836696605]"
"[1737465634.371237, 1737465634.408897, 3.5045072991847994]","[1737465669.7968988, 1737465669.8345206, 6.634517992973327]","[1737465705.2545059, 1737465705.2921195, 6.391270446062087]","[1737465742.1185365, 1737465742.1560473, 6.835906270980836]","[1737465777.6783493, 1737465777.7158682, 6.796286047458646]"
"[1737465634.4372022, 1737465634.4748092, 3.598910338878632]","[1737465669.864145, 1737465669.9018543, 6.687009629249574]","[1737465705.3242173, 1737465705.3617513, 6.34259857726097]","[1737465742.1861448, 1737465742.223833, 6.891564473628997]","[1737465777.744416, 1737465777.7820642, 6.901630557060241]"
"[1737465634.5080755, 1737465634.5456939, 5.6240634558200835]","[1737465669.9315524, 1737465669.9690554, 6.6637587819099435]","[1737465705.3915055, 1737465705.4290833, 6.34732485813435]","[1737465742.2533095, 1737465742.2909594, 6.972115861177444]","[1737465777.810632, 1737465777.8482091, 6.88995875120163]"
"[1737465634.5768406, 1737465634.6144679, 6.061865363478661]","[1737465669.9987688, 1737465670.0362563, 6.733993320941926]","[1737465705.4663806, 1737465705.5039861, 6.419827040433884]","[1737465742.320009, 1737465742.357579, 6.9886828157901775]","[1737465777.87732, 1737465777.9149683, 6.926275490760802]"
"[1737465634.6437411, 1737465634.6812303, 6.132104485034942]","[1737465670.0703485, 1737465670.1132298, 7.785438377141953]","[1737465705.5364664, 1737465705.5740414, 6.937924347400665]","[1737465742.38643, 1737465742.4239259, 7.006662293672565]","[1737465777.9448254, 1737465777.9826233, 7.033098234176634]"
"[1737465634.7113, 1737465634.7489522, 6.945786619186402]","[1737465670.1418495, 1737465670.1794283, 6.9182968515157715]","[1737465705.6050498, 1737465705.6426008, 7.327248735547065]","[1737465742.4530957, 1737465742.4906075, 7.3406891441345214]","[1737465778.0124564, 1737465778.0502484, 7.6761532487869255]"
"[1737465634.7817852, 1737465634.819335, 7.564449116468431]","[1737465670.2092843, 1737465670.2468028, 7.36630750465393]","[1737465705.6728065, 1737465705.7106564, 8.177282316684723]","[1737465742.5210872, 1737465742.558562, 7.607138982892037]","[1737465778.0798962, 1737465778.117455, 7.805792103767396]"
"[1737465634.8521602, 1737465634.889662, 7.709956003427507]","[1737465670.2778673, 1737465670.3155403, 8.09894079208374]","[1737465705.7414346, 1737465705.779063, 8.307487970590593]","[1737465742.5886977, 1737465742.6261609, 7.990485941886901]","[1737465778.1469297, 1737465778.1844482, 8.392513551712035]"
"[1737465634.9205787, 1737465634.9583397, 8.416845354557038]","[1737465670.346341, 1737465670.3838305, 8.231242491602897]","[1737465705.8100545, 1737465705.8477645, 8.69086317002773]","[1737465742.6557136, 1737465742.6931887, 8.719333634376524]","[1737465778.2144237, 1737465778.251956, 9.024123189926149]"
"[1737465634.9879498, 1737465635.0256798, 9.098018380403515]","[1737465670.4139278, 1737465670.4515584, 8.734315928936006]","[1737465705.8782694, 1737465705.9158401, 9.038311754226687]","[1737465742.7233033, 1737465742.7607598, 9.014978423595428]","[1737465778.2814522, 1737465778.3188965, 9.225262692570686]"
"[1737465635.058491, 1737465635.0967963, 9.439146148204804]","[1737465670.4816668, 1737465670.5192468, 9.462083642482755]","[1737465705.945993, 1737465705.9834838, 9.647331619262692]","[1737465742.7911253, 1737465742.8286383, 9.375928606510165]","[1737465778.3480911, 1737465778.3855186, 9.745839578151703]"
"[1737465635.1858313, 1737465635.2271414, 10.961379730224609]","[1737465670.5503142, 1737465670.5878837, 9.67375566029549]","[1737465706.014747, 1737465706.052392, 10.178237746000292]","[1737465742.8595343, 1737465742.8962412, 9.89960057258606]","[1737465778.414827, 1737465778.452374, 10.445878016233445]"
"[1737465635.2565417, 1737465635.2942057, 10.03953845357895]","[1737465670.61853, 1737465670.6561594, 10.120004041433338]","[1737465706.0828412, 1737465706.120484, 10.504379739284515]","[1737465742.925511, 1737465742.9629674, 10.440112317085266]","[1737465778.4817824, 1737465778.5192358, 10.646219210386278]"
"[1737465635.3234482, 1737465635.3611908, 10.210886993408206]","[1737465670.6862717, 1737465670.723897, 10.817828986167907]","[1737465706.1502795, 1737465706.1879056, 10.641054621934892]","[1737465742.992226, 1737465743.029714, 10.759269701957706]","[1737465778.5623982, 1737465778.599975, 11.217046971559526]"
"[1737465635.3940086, 1737465635.4316475, 10.371813657045362]","[1737465670.7547905, 1737465670.7923748, 11.001592044936162]","[1737465706.2182477, 1737465706.2557995, 10.763340205669403]","[1737465743.059018, 1737465743.096755, 11.388877485990523]","[1737465778.6300516, 1737465778.667598, 11.283180177927017]"
"[1737465635.4635117, 1737465635.5012057, 10.402001580238341]","[1737465670.8221993, 1737465670.859781, 11.060326654672622]","[1737465706.3022022, 1737465706.3398886, 10.903558346629142]","[1737465743.1266768, 1737465743.164379, 11.349974358081814]","[1737465778.6976502, 1737465778.7352157, 11.36195311403275]"
"[1737465635.531743, 1737465635.5694082, 10.416404339551926]","[1737465670.889789, 1737465670.9274569, 11.051133817672731]","[1737465706.376836, 1737465706.4146938, 11.056361997127533]","[1737465743.1939855, 1737465743.2315862, 11.299591096639633]","[1737465778.764756, 1737465778.802185, 11.351196290969849]"
"[1737465635.5998874, 1737465635.6376214, 10.374670137405397]","[1737465670.9576302, 1737465670.9951375, 11.00056295482779]","[1737465706.4467623, 1737465706.4842927, 10.8825088763237]","[1737465743.2614505, 1737465743.2991352, 11.425730889558789]","[1737465778.8317337, 1737465778.8694363, 11.351977025985716]"
"[1737465635.6698318, 1737465635.7075443, 10.404582980632782]","[1737465671.025346, 1737465671.063066, 11.111547284126278]","[1737465706.5142763, 1737465706.5517948, 10.890829378128052]","[1737465743.3306003, 1737465743.3680992, 11.297798235177996]","[1737465778.8991613, 1737465778.9369342, 11.431917644262318]"
"[1737465635.7397323, 1737465635.777213, 10.36487408351898]","[1737465671.0940375, 1737465671.1316571, 11.026991904145458]","[1737465706.5834303, 1737465706.620908, 10.894139485120771]","[1737465743.3984199, 1737465743.4358823, 11.252752839565279]","[1737465778.9660008, 1737465779.003552, 11.383748210191726]"
"[1737465635.8070982, 1737465635.8446274, 10.324929202318193]","[1737465671.1630628, 1737465671.200824, 11.080309421539308]","[1737465706.667428, 1737465706.7051616, 10.997746426582337]","[1737465743.4655442, 1737465743.5030673, 11.357658709287643]","[1737465779.0327754, 1737465779.0703652, 11.327645155668256]"
"[1737465635.8748484, 1737465635.9124224, 10.370106336236]","[1737465671.2308729, 1737465671.2683973, 11.06187360262871]","[1737465706.7369845, 1737465706.7744162, 10.784451961517336]","[1737465743.5325253, 1737465743.5699868, 11.257434462785723]","[1737465779.1004734, 1737465779.138007, 11.357159286260606]"
"[1737465635.9446986, 1737465635.9822514, 10.376674074172975]","[1737465671.2983217, 1737465671.3360112, 11.099504570722582]","[1737465706.8058064, 1737465706.8433278, 10.836601631045344]","[1737465743.6139312, 1737465743.6517184, 11.348402158498764]","[1737465779.1671224, 1737465779.204551, 11.338962236166]"
"[1737465636.0155048, 1737465636.0529742, 10.364219806194306]","[1737465671.3658473, 1737465671.4034183, 11.073669231414796]","[1737465706.873861, 1737465706.9113812, 10.917731688737868]","[1737465743.6952193, 1737465743.7328432, 11.373285754680635]","[1737465779.2343006, 1737465779.2720332, 11.391811885356901]"
"[1737465636.0832024, 1737465636.120746, 10.375759487867356]","[1737465671.4330766, 1737465671.4706419, 11.1013898563385]","[1737465706.9418864, 1737465706.9793122, 10.780563998222352]","[1737465743.7630754, 1737465743.8005826, 11.195702695369723]","[1737465779.3026695, 1737465779.3401642, 11.356843753218653]"
"[1737465636.1508503, 1737465636.1883602, 10.367642072439194]","[1737465671.500561, 1737465671.5382283, 11.133052645683287]","[1737465707.0109186, 1737465707.0483034, 10.814434689521793]","[1737465743.8308728, 1737465743.8685424, 11.169049352645876]","[1737465779.3717413, 1737465779.418294, 14.107703085184095]"
