epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737465821.3320408, 1737465821.3322234, 0.014395884513854979]","[1737465854.4836314, 1737465854.4838681, 0.04235025072097778]","[1737465887.745832, 1737465887.74608, 0.044445247650146485]","[1737465921.088075, 1737465921.0882933, 0.03968084716796875]","[1737465954.72971, 1737465954.7299068, 0.03228498101234436]"
"[1737465821.4250278, 1737465821.4251013, 0.00599212646484375]","[1737465854.5646648, 1737465854.5647461, 0.014175271034240723]","[1737465887.834973, 1737465887.835056, 0.013689414024353027]","[1737465921.1574285, 1737465921.1575084, 0.013924574851989746]","[1737465954.8270106, 1737465954.8271046, 0.015010274410247803]"
"[1737465821.4917302, 1737465821.491799, 0.006203541040420532]","[1737465854.6431808, 1737465854.6432824, 0.017262312412261963]","[1737465887.9001162, 1737465887.9001884, 0.011621093273162842]","[1737465921.2240248, 1737465921.224104, 0.013803403569987348]","[1737465954.8939095, 1737465954.8939857, 0.012191085815429686]"
"[1737465821.5572608, 1737465821.5573294, 0.0061820755004882814]","[1737465854.705164, 1737465854.7052372, 0.012440211057662964]","[1737465887.9637573, 1737465887.9638317, 0.01196627426147461]","[1737465921.289807, 1737465921.2898886, 0.014278647422790528]","[1737465954.9582658, 1737465954.958336, 0.01123408555984497]"
"[1737465821.622046, 1737465821.622116, 0.007097125053405762]","[1737465854.7684128, 1737465854.7684855, 0.01289022445678711]","[1737465888.029028, 1737465888.0291002, 0.01190962314605713]","[1737465921.3530717, 1737465921.3531516, 0.014251004457473754]","[1737465955.0222206, 1737465955.022288, 0.01106750726699829]"
"[1737465821.6985006, 1737465821.698604, 0.011467675685882568]","[1737465854.8324385, 1737465854.8325083, 0.012383068084716797]","[1737465888.0920923, 1737465888.0921593, 0.011140368778042396]","[1737465921.4164631, 1737465921.416547, 0.01497418975830078]","[1737465955.085482, 1737465955.0855505, 0.011263046264648437]"
"[1737465821.7642398, 1737465821.7643082, 0.0075834629535675045]","[1737465854.8957105, 1737465854.8957841, 0.013355140686035155]","[1737465888.1553733, 1737465888.1554427, 0.011708883047103881]","[1737465921.4810207, 1737465921.4811058, 0.015372613191604614]","[1737465955.148539, 1737465955.1486874, 0.02464359188079834]"
"[1737465821.8260822, 1737465821.8261495, 0.008101029396057129]","[1737465854.9582481, 1737465854.958317, 0.012738436460494995]","[1737465888.2193165, 1737465888.2193847, 0.011971853256225587]","[1737465921.5442808, 1737465921.5443645, 0.015436269521713257]","[1737465955.2123134, 1737465955.2123835, 0.0116482572555542]"
"[1737465821.8894012, 1737465821.8894675, 0.00798612117767334]","[1737465855.020705, 1737465855.020772, 0.012385815382003784]","[1737465888.2834477, 1737465888.2835174, 0.012223011016845703]","[1737465921.6081824, 1737465921.6082582, 0.013984996318817139]","[1737465955.275224, 1737465955.2752948, 0.012651750326156615]"
"[1737465821.9531362, 1737465821.9532096, 0.012224745750427245]","[1737465855.0831308, 1737465855.083197, 0.012532092571258546]","[1737465888.346761, 1737465888.346868, 0.019309775590896604]","[1737465921.6732593, 1737465921.6733377, 0.015252602100372313]","[1737465955.3376627, 1737465955.3377457, 0.01649951362609863]"
"[1737465822.0169587, 1737465822.0170426, 0.01523779296875]","[1737465855.1460977, 1737465855.1461713, 0.01536216902732849]","[1737465888.4103923, 1737465888.4104645, 0.014445565223693847]","[1737465921.7397323, 1737465921.7398078, 0.014696276187896727]","[1737465955.4013553, 1737465955.4014294, 0.01474525499343872]"
"[1737465822.080398, 1737465822.0804722, 0.013462936401367188]","[1737465855.2113671, 1737465855.2114367, 0.014517001152038574]","[1737465888.4750955, 1737465888.4751618, 0.013253686904907226]","[1737465921.8051734, 1737465921.8053606, 0.03998923897743225]","[1737465955.4687788, 1737465955.4688761, 0.021116506576538085]"
"[1737465822.1433923, 1737465822.143463, 0.014232658386230468]","[1737465855.2745028, 1737465855.2745688, 0.014991257667541504]","[1737465888.5389082, 1737465888.538976, 0.014751830101013184]","[1737465921.8761656, 1737465921.8762379, 0.016698973417282104]","[1737465955.5339248, 1737465955.5340056, 0.019085027933120727]"
"[1737465822.2059917, 1737465822.206061, 0.0152726411819458]","[1737465855.3386672, 1737465855.338734, 0.01515361785888672]","[1737465888.6022432, 1737465888.602312, 0.016356117963790894]","[1737465921.943602, 1737465921.9437182, 0.026839604139328004]","[1737465955.5983665, 1737465955.5984454, 0.01863464379310608]"
"[1737465822.2689006, 1737465822.2689846, 0.018537826538085937]","[1737465855.4026153, 1737465855.4026911, 0.018563288211822508]","[1737465888.6654384, 1737465888.6655092, 0.01680888247489929]","[1737465922.0116806, 1737465922.0117536, 0.018211589813232423]","[1737465955.662576, 1737465955.6626573, 0.020644858360290525]"
"[1737465822.3315566, 1737465822.3316278, 0.01725669550895691]","[1737465855.4665267, 1737465855.466629, 0.02710175228118896]","[1737465888.729644, 1737465888.7297113, 0.01721030044555664]","[1737465922.0759706, 1737465922.0760388, 0.018135408878326417]","[1737465955.7274044, 1737465955.7275436, 0.0380921688079834]"
