epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737465996.8303032, 1737465996.8529174, 1.7927213129997255]","[1737466022.0046668, 1737466022.0174558, 2.3101557912826536]","[1737466047.1050432, 1737466047.1180654, 2.014102248430252]","[1737466072.6287513, 1737466072.6416612, 2.1598373765945436]","[1737466099.2414358, 1737466099.2542493, 2.2521896133422854]"
"[1737465996.9146752, 1737465996.9271972, 1.0416536107063294]","[1737466022.0573475, 1737466022.0694633, 2.1885346441268925]","[1737466047.1611154, 1737466047.173249, 1.8157080545425415]","[1737466072.6845999, 1737466072.6968496, 1.8984720227718352]","[1737466099.2974293, 1737466099.309616, 2.142019054889679]"
"[1737465996.9663012, 1737465996.9787614, 1.0365168409347536]","[1737466022.1048095, 1737466022.1168997, 2.006575243473053]","[1737466047.2107418, 1737466047.2228577, 1.785625222852572]","[1737466072.736741, 1737466072.7488644, 1.878888337373733]","[1737466099.345943, 1737466099.3580723, 1.9862952804565428]"
"[1737465997.0181289, 1737465997.0302722, 1.1411856670379639]","[1737466022.1505895, 1737466022.1627223, 2.0136582047939307]","[1737466047.257974, 1737466047.270143, 1.7934244573116302]","[1737466072.7858217, 1737466072.7980201, 1.8587141447067257]","[1737466099.3931932, 1737466099.4053605, 1.9925031852722166]"
"[1737465997.066909, 1737465997.0789897, 1.1352929878234863]","[1737466022.1970916, 1737466022.2091894, 1.9408073644638062]","[1737466047.3078806, 1737466047.3199887, 1.8196657717227935]","[1737466072.8355718, 1737466072.8476985, 1.8477792499065397]","[1737466099.4441702, 1737466099.4562728, 1.9989628829956056]"
"[1737465997.1131864, 1737465997.1253028, 1.2913329935073852]","[1737466022.2452426, 1737466022.257336, 1.9400806422233579]","[1737466047.3555887, 1737466047.3676891, 1.8332799112796785]","[1737466072.8871276, 1737466072.8999863, 1.959307911157608]","[1737466099.4898646, 1737466099.5019894, 2.0026251411437994]"
"[1737465997.1614425, 1737465997.1735198, 1.2871657638549805]","[1737466022.292542, 1737466022.3046362, 2.0786524336338044]","[1737466047.4044774, 1737466047.4165974, 1.8600041892528534]","[1737466072.945158, 1737466072.957256, 1.8434198234081265]","[1737466099.5365438, 1737466099.5486414, 2.0374652097225194]"
"[1737465997.2076356, 1737465997.2197657, 1.2927813599109648]","[1737466022.337815, 1737466022.3499424, 2.0843482699394227]","[1737466047.4510493, 1737466047.4632173, 1.900156210899353]","[1737466072.991426, 1737466073.0035448, 1.8907898497581481]","[1737466099.5819335, 1737466099.5940928, 2.047865152359009]"
"[1737465997.2562861, 1737465997.2683709, 1.4364867963790893]","[1737466022.3839312, 1737466022.3960297, 2.079390023946762]","[1737466047.4979093, 1737466047.5101511, 1.9116980328559876]","[1737466073.0400352, 1737466073.0521145, 1.8846149311065674]","[1737466099.628224, 1737466099.640305, 2.078806642770768]"
"[1737465997.3036728, 1737465997.31575, 1.435579905509949]","[1737466022.4317963, 1737466022.4438853, 2.077750934362412]","[1737466047.5461257, 1737466047.5582492, 1.979187333583832]","[1737466073.0895288, 1737466073.1015987, 1.986108720302582]","[1737466099.6838915, 1737466099.696041, 2.108679780960083]"
