epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737472614.650232, 1737472614.694338, 2.926623853683471]","[1737472654.6128356, 1737472654.653349, 5.597760003805162]","[1737472694.4039805, 1737472694.4448721, 6.267754805922507]","[1737472734.3515294, 1737472734.3901987, 5.550559508562088]","[1737472774.5666406, 1737472774.6072578, 5.782915542840959]"
"[1737472614.7482793, 1737472614.787464, 2.749691423535347]","[1737472654.7062206, 1737472654.7453277, 5.2371425118446355]","[1737472694.4990828, 1737472694.5383074, 5.829295880556107]","[1737472734.4438522, 1737472734.4818482, 5.6017202003002176]","[1737472774.6580873, 1737472774.697361, 5.426466574668885]"
"[1737472614.837497, 1737472614.8765893, 3.0799155580997466]","[1737472654.7955775, 1737472654.8346107, 5.334546861410142]","[1737472694.589659, 1737472694.6288447, 5.858800462245942]","[1737472734.5364559, 1737472734.574579, 5.780884320259095]","[1737472774.784694, 1737472774.82387, 5.604360031127931]"
"[1737472614.9265404, 1737472614.9656231, 3.7393217623233785]","[1737472654.884772, 1737472654.923751, 5.590025041103363]","[1737472694.6837292, 1737472694.722881, 5.9840865492820745]","[1737472734.626876, 1737472734.6660938, 6.028670017719269]","[1737472774.878914, 1737472774.9180422, 5.495028079748154]"
"[1737472615.015459, 1737472615.0544522, 4.2391760549545285]","[1737472654.973441, 1737472655.0124068, 5.827738357740615]","[1737472694.7770407, 1737472694.8161278, 6.11215832400322]","[1737472734.7172544, 1737472734.7564342, 6.082654730081558]","[1737472774.9717984, 1737472775.0097506, 5.397615634357702]"
"[1737472615.1094654, 1737472615.1485963, 4.69645462346077]","[1737472655.0619614, 1737472655.1010609, 5.978768507242203]","[1737472694.8665013, 1737472694.9055712, 6.285232553680935]","[1737472734.8061764, 1737472734.84522, 6.14254552578926]","[1737472775.06384, 1737472775.101807, 5.690020663619042]"
"[1737472615.198449, 1737472615.2375915, 5.925877807617187]","[1737472655.153432, 1737472655.1924636, 6.28032971572876]","[1737472694.956791, 1737472694.9959726, 6.384071803092956]","[1737472734.895319, 1737472734.9344337, 6.352190385103224]","[1737472775.157833, 1737472775.195773, 6.145286350965499]"
"[1737472615.2871037, 1737472615.3261294, 6.372364090919495]","[1737472655.2422297, 1737472655.2812068, 6.660668872475624]","[1737472695.0465465, 1737472695.0856323, 6.728475319862365]","[1737472734.9868288, 1737472735.025987, 6.998532468080522]","[1737472775.2525947, 1737472775.2919452, 6.899888837814331]"
"[1737472615.3760517, 1737472615.4150567, 6.949489171743395]","[1737472655.3309765, 1737472655.3699691, 7.113271956920625]","[1737472695.1527293, 1737472695.1917763, 7.26863861680031]","[1737472735.075938, 1737472735.129041, 10.324810481071472]","[1737472775.3464553, 1737472775.385595, 7.361626580238342]"
"[1737472615.4643495, 1737472615.5032744, 7.481001329183578]","[1737472655.4197135, 1737472655.4587934, 7.787765220165253]","[1737472695.243085, 1737472695.2822425, 7.833601156949995]","[1737472735.1871526, 1737472735.2262435, 8.252473948001862]","[1737472775.4376962, 1737472775.4768353, 7.821385690450667]"
"[1737472615.5530121, 1737472615.591952, 7.922777143001556]","[1737472655.5088773, 1737472655.5478404, 8.402193268537523]","[1737472695.3336987, 1737472695.3729465, 8.40192309808731]","[1737472735.27653, 1737472735.3156927, 8.712276611328127]","[1737472775.5313845, 1737472775.5706236, 8.393311186347736]"
"[1737472615.643339, 1737472615.6822932, 8.397268315672875]","[1737472655.5976315, 1737472655.6366484, 9.072263033151627]","[1737472695.4253378, 1737472695.4646533, 8.96895774078369]","[1737472735.3668146, 1737472735.4059618, 9.35557891726494]","[1737472775.6226528, 1737472775.6616197, 8.924626734018327]"
