epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737472614.6090415, 1737472614.6303487, 1.4012486734390261]","[1737472654.57307, 1737472654.593626, 2.8402393527030942]","[1737472694.3635085, 1737472694.3849046, 3.553752423763275]","[1737472734.3098276, 1737472734.3324249, 3.5248870515823363]","[1737472774.5271628, 1737472774.5475695, 3.095271341323852]"
"[1737472614.7137642, 1737472614.7290635, 1.0203422641754147]","[1737472654.6764593, 1737472654.6876876, 1.5036745572090149]","[1737472694.4658246, 1737472694.4804344, 2.2275290737152096]","[1737472734.4115682, 1737472734.4251776, 1.953481006145477]","[1737472774.6261122, 1737472774.639491, 1.8859240400791166]"
"[1737472614.8039632, 1737472614.8189585, 1.0970138347148894]","[1737472654.7618601, 1737472654.7769947, 2.051501457929611]","[1737472694.5583544, 1737472694.571121, 1.8840181775093081]","[1737472734.5027397, 1737472734.517874, 2.231239810466766]","[1737472774.7406878, 1737472774.766028, 3.4623672065734863]"
"[1737472614.894661, 1737472614.9080658, 1.282535469055176]","[1737472654.8529744, 1737472654.8662753, 1.817793511390686]","[1737472694.6537821, 1737472694.6651697, 1.7221447205543516]","[1737472734.5953012, 1737472734.608256, 1.9679605951309203]","[1737472774.8438368, 1737472774.8603942, 2.368643291473389]"
"[1737472614.984519, 1737472614.9970038, 1.3572963094711301]","[1737472654.9417253, 1737472654.95496, 1.89802361035347]","[1737472694.7468746, 1737472694.7585027, 1.8044215784072875]","[1737472734.6865003, 1737472734.6986656, 1.8796860694885256]","[1737472774.939357, 1737472774.9532094, 1.9453835813999176]"
"[1737472615.0708575, 1737472615.0858307, 1.7970641226768493]","[1737472655.0295765, 1737472655.0434353, 2.0742042961120606]","[1737472694.8352683, 1737472694.8479428, 2.038970763921738]","[1737472734.7738748, 1737472734.7876308, 2.150907663583755]","[1737472775.031388, 1737472775.0452392, 1.9700790100097654]"
"[1737472615.16471, 1737472615.179942, 2.2897012391105003]","[1737472655.1218219, 1737472655.1332731, 1.7682667994499206]","[1737472694.9235713, 1737472694.9380639, 2.3613374018669133]","[1737472734.8613768, 1737472734.8767014, 2.488698512077332]","[1737472775.1216376, 1737472775.1392698, 2.689569910764694]"
"[1737472615.2544723, 1737472615.2686508, 2.186890498876572]","[1737472655.209528, 1737472655.2237432, 2.3934326488971713]","[1737472695.0125542, 1737472695.0279398, 2.64857427406311]","[1737472734.9559479, 1737472734.9682353, 2.196061688661575]","[1737472775.2172801, 1737472775.2338889, 2.7939014382362366]"
"[1737472615.3439605, 1737472615.3575914, 2.2257297496795654]","[1737472655.2978685, 1737472655.3124676, 2.6632526535987853]","[1737472695.1226609, 1737472695.1341822, 2.144708853721619]","[1737472735.0433207, 1737472735.0574052, 2.738464415073395]","[1737472775.3152645, 1737472775.327847, 2.3073736965656275]"
"[1737472615.431227, 1737472615.445855, 2.606244284152985]","[1737472655.3872921, 1737472655.4011776, 2.7670742797851564]","[1737472695.2083788, 1737472695.2244453, 3.2141617689132693]","[1737472735.1574814, 1737472735.1686168, 2.350781571865082]","[1737472775.4051075, 1737472775.419088, 2.77408657693863]"
