epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737473507.9038165, 1737473507.9043977, 0.0404664716720581]","[1737473534.024867, 1737473534.0254433, 0.04986934185028076]","[1737473560.2551029, 1737473560.25575, 0.06201241111755371]","[1737473586.1898627, 1737473586.1903837, 0.0513802444934845]","[1737473614.9197578, 1737473614.9203353, 0.05513432931900024]"
"[1737473507.9606586, 1737473507.960911, 0.01834406518936157]","[1737473534.1012914, 1737473534.1016817, 0.03289257264137268]","[1737473560.3126698, 1737473560.31297, 0.02755791473388672]","[1737473586.303467, 1737473586.3037622, 0.028925600528717038]","[1737473615.0038583, 1737473615.004182, 0.02923114633560181]"
"[1737473508.0162854, 1737473508.0165317, 0.017893691539764403]","[1737473534.1778216, 1737473534.1781027, 0.024521928548812865]","[1737473560.3687801, 1737473560.3690305, 0.022983169555664065]","[1737473586.3634412, 1737473586.363736, 0.028022809982299803]","[1737473615.065293, 1737473615.0656433, 0.03205823349952698]"
"[1737473508.0725007, 1737473508.0727708, 0.021123218774795532]","[1737473534.2350178, 1737473534.235309, 0.02539548325538635]","[1737473560.4254687, 1737473560.4257395, 0.025515083312988282]","[1737473586.4301403, 1737473586.4303918, 0.024340713024139402]","[1737473615.155124, 1737473615.1555243, 0.03767508602142334]"
"[1737473508.129022, 1737473508.1293654, 0.026865453004837038]","[1737473534.2987347, 1737473534.2990112, 0.024799079895019532]","[1737473560.4794486, 1737473560.479678, 0.02160696315765381]","[1737473586.4892166, 1737473586.489508, 0.028193697929382325]","[1737473615.2125723, 1737473615.212887, 0.029619483947753905]"
"[1737473508.182765, 1737473508.182993, 0.019168530464172363]","[1737473534.3526251, 1737473534.3528874, 0.023516368865966798]","[1737473560.5330093, 1737473560.5332358, 0.021882390975952147]","[1737473586.5568755, 1737473586.5572007, 0.03325720405578613]","[1737473615.2683766, 1737473615.268649, 0.025522152185440065]"
"[1737473508.2360995, 1737473508.2363286, 0.019268784284591677]","[1737473534.4074028, 1737473534.4077399, 0.03188551282882691]","[1737473560.5874183, 1737473560.5876477, 0.02215880012512207]","[1737473586.612465, 1737473586.6129274, 0.04730130195617676]","[1737473615.3232026, 1737473615.323476, 0.02561146855354309]"
"[1737473508.2893956, 1737473508.2896132, 0.019424767732620238]","[1737473534.4611921, 1737473534.461456, 0.024962703466415406]","[1737473560.6412666, 1737473560.641504, 0.024010313987731936]","[1737473586.6710794, 1737473586.671465, 0.040823784828186035]","[1737473615.377699, 1737473615.3779554, 0.02562382411956787]"
"[1737473508.343409, 1737473508.3436494, 0.02144596481323242]","[1737473534.514813, 1737473534.515061, 0.026455345153808596]","[1737473560.6952436, 1737473560.695466, 0.022491589307785036]","[1737473586.7377079, 1737473586.738017, 0.03530620932579041]","[1737473615.4557939, 1737473615.4560623, 0.030026101112365724]"
"[1737473508.397256, 1737473508.397504, 0.028786006450653077]","[1737473534.5681508, 1737473534.5684073, 0.02737110710144043]","[1737473560.7496607, 1737473560.7498887, 0.02447560977935791]","[1737473586.7979662, 1737473586.7982507, 0.03247517943382263]","[1737473615.514835, 1737473615.5150769, 0.02706615686416626]"
"[1737473508.451146, 1737473508.4513936, 0.02873070192337036]","[1737473534.6221406, 1737473534.6224086, 0.031804697036743164]","[1737473560.8036232, 1737473560.803841, 0.025563777446746826]","[1737473586.8537889, 1737473586.8541098, 0.04045762205123901]","[1737473615.572381, 1737473615.5725927, 0.025122608184814453]"
"[1737473508.504642, 1737473508.5048816, 0.03039125919342041]","[1737473534.6765847, 1737473534.6768374, 0.03271457672119141]","[1737473560.8573115, 1737473560.8575408, 0.02690629529953003]","[1737473586.9098372, 1737473586.9101615, 0.040878429412841796]","[1737473615.630961, 1737473615.6311705, 0.024867987155914307]"
"[1737473508.5582302, 1737473508.5584815, 0.03442915182818699]","[1737473534.7296922, 1737473534.7299228, 0.029844335556030274]","[1737473560.911082, 1737473560.9113286, 0.03188798427581787]","[1737473586.9659138, 1737473586.9662774, 0.04933784604072571]","[1737473615.6904655, 1737473615.6906614, 0.025624394416809082]"
"[1737473508.611563, 1737473508.6118064, 0.033832474946975714]","[1737473534.7829378, 1737473534.783194, 0.03588558435440064]","[1737473560.965179, 1737473560.9654255, 0.03188798427581787]","[1737473587.0240438, 1737473587.024309, 0.0385908145904541]","[1737473615.750381, 1737473615.7505796, 0.02825222373008728]"
"[1737473508.6657298, 1737473508.6659682, 0.03600311279296875]","[1737473534.8379858, 1737473534.838353, 0.05140818595886231]","[1737473561.019076, 1737473561.0193474, 0.038142756462097166]","[1737473587.0805473, 1737473587.0809288, 0.055526351928710936]","[1737473615.8080022, 1737473615.808192, 0.026997323036193847]"
"[1737473508.7204814, 1737473508.7207363, 0.03848732757568359]","[1737473534.8945935, 1737473534.8949056, 0.04696297907829285]","[1737473561.0730376, 1737473561.0732844, 0.03469046831130981]","[1737473587.1390822, 1737473587.1393414, 0.040908303976058956]","[1737473615.8652148, 1737473615.8654494, 0.03534377861022949]"
"[1737473508.7747235, 1737473508.7749603, 0.03859563803672791]","[1737473534.9501398, 1737473534.9504135, 0.041186783790588384]","[1737473561.1311224, 1737473561.131357, 0.03542260551452637]","[1737473587.193589, 1737473587.1938815, 0.046177082777023315]","[1737473615.9229987, 1737473615.9232216, 0.03358377337455749]"
"[1737473508.8286653, 1737473508.8289073, 0.039450727701187134]","[1737473535.0049703, 1737473535.0052464, 0.04478131341934204]","[1737473561.1855228, 1737473561.1857316, 0.03153475856781006]","[1737473587.2493129, 1737473587.2496092, 0.05037252473831177]","[1737473615.9812331, 1737473615.9814513, 0.035381362438201905]"
"[1737473508.8824506, 1737473508.882685, 0.04086536836624146]","[1737473535.05996, 1737473535.0604048, 0.07216056203842164]","[1737473561.2392502, 1737473561.2394574, 0.03329682111740113]","[1737473587.31072, 1737473587.3110802, 0.06123321390151977]","[1737473616.038796, 1737473616.0390136, 0.03530402612686157]"
"[1737473508.9363785, 1737473508.9366243, 0.042860828876495366]","[1737473535.1237097, 1737473535.1240277, 0.05543013906478882]","[1737473561.2927015, 1737473561.2929466, 0.03938910484313965]","[1737473587.3672054, 1737473587.3674796, 0.04792169332504272]","[1737473616.0966702, 1737473616.096893, 0.03882889032363891]"
"[1737473508.9897027, 1737473508.9899318, 0.04238770532608033]","[1737473535.1783967, 1737473535.178663, 0.04840754818916321]","[1737473561.3504405, 1737473561.3506656, 0.03890015411376953]","[1737473587.4257703, 1737473587.4260921, 0.0582926630973816]","[1737473616.1546817, 1737473616.1548748, 0.03435143709182739]"
"[1737473509.0461347, 1737473509.0465004, 0.06766154003143311]","[1737473535.233526, 1737473535.233803, 0.050357717990875246]","[1737473561.405306, 1737473561.4055517, 0.0454078221321106]","[1737473587.5006316, 1737473587.500915, 0.05134072327613831]","[1737473616.2125838, 1737473616.2127783, 0.03460589218139649]"
"[1737473509.1043704, 1737473509.1047566, 0.07353780269622803]","[1737473535.288183, 1737473535.288463, 0.05196042656898499]","[1737473561.4588716, 1737473561.4590702, 0.036723025083541874]","[1737473587.5561116, 1737473587.5563972, 0.05318374586105346]","[1737473616.267642, 1737473616.2678316, 0.03392853498458862]"
"[1737473509.1640677, 1737473509.1644123, 0.06635597109794616]","[1737473535.3417714, 1737473535.3420196, 0.046034726858139044]","[1737473561.5128167, 1737473561.5130804, 0.04980858325958252]","[1737473587.6111157, 1737473587.6114078, 0.0543823778629303]","[1737473616.3254323, 1737473616.32562, 0.03358711576461792]"
"[1737473509.2225108, 1737473509.2231843, 0.1297270715236664]","[1737473535.398757, 1737473535.3990257, 0.05113210487365723]","[1737473561.5716138, 1737473561.5718462, 0.04390901327133179]","[1737473587.666005, 1737473587.6662688, 0.04865828204154968]","[1737473616.3834841, 1737473616.3836746, 0.03550358438491821]"
"[1737473509.2852979, 1737473509.2855647, 0.05162980985641479]","[1737473535.452242, 1737473535.452466, 0.04264789581298828]","[1737473561.6265457, 1737473561.626775, 0.04405750751495362]","[1737473587.7247596, 1737473587.725008, 0.046085159301757814]","[1737473616.441047, 1737473616.4412851, 0.04439058923721313]"
"[1737473509.3389645, 1737473509.3392274, 0.050891582012176514]","[1737473535.5053735, 1737473535.5055842, 0.04050593185424804]","[1737473561.6804302, 1737473561.6806498, 0.04217979669570923]","[1737473587.7792296, 1737473587.7794678, 0.04418337249755859]","[1737473616.4994297, 1737473616.499663, 0.04358264923095703]"
"[1737473509.3935328, 1737473509.39381, 0.0532265465259552]","[1737473535.5594935, 1737473535.5597284, 0.045133872032165526]","[1737473561.7339692, 1737473561.7342103, 0.04613383626937866]","[1737473587.8328757, 1737473587.8330889, 0.0399710955619812]","[1737473616.5587296, 1737473616.5589144, 0.034025651216506955]"
"[1737473509.4473705, 1737473509.447643, 0.05231121468544007]","[1737473535.617367, 1737473535.6176183, 0.04828699016571045]","[1737473561.814389, 1737473561.8146367, 0.04722029161453247]","[1737473587.8874304, 1737473587.8876984, 0.05025448703765869]","[1737473616.6178274, 1737473616.6180117, 0.033937843084335326]"
"[1737473509.5011492, 1737473509.501393, 0.04676361393928528]","[1737473535.6734235, 1737473535.67364, 0.04156862163543701]","[1737473561.8736055, 1737473561.8738332, 0.04340267419815064]","[1737473587.9656053, 1737473587.9663963, 0.14863784122467041]","[1737473616.6766956, 1737473616.6769202, 0.041991199493408196]"
"[1737473509.5541868, 1737473509.5544362, 0.047924468594276036]","[1737473535.7286317, 1737473535.7289844, 0.06770924162864685]","[1737473561.927114, 1737473561.9273493, 0.04445060849189759]","[1737473588.0398133, 1737473588.040082, 0.04980635023117065]","[1737473616.7358832, 1737473616.7360687, 0.03468062973022461]"
"[1737473509.6072843, 1737473509.6075099, 0.04349615573883057]","[1737473535.784953, 1737473535.785255, 0.057576790809631344]","[1737473561.980584, 1737473561.9808474, 0.04976486563682556]","[1737473588.0971148, 1737473588.0974212, 0.056788961887359615]","[1737473616.7938623, 1737473616.7940419, 0.033552389860153194]"
"[1737473509.6617212, 1737473509.6621177, 0.07644210124015809]","[1737473535.8459604, 1737473535.8462124, 0.048071617603302]","[1737473562.0347848, 1737473562.035035, 0.04658132791519165]","[1737473588.164012, 1737473588.1642737, 0.049104844093322754]","[1737473616.851451, 1737473616.8516378, 0.03477537536621094]"
