epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737466950.138619, 1737466950.1395423, 0.06832570123672485]","[1737466971.5242662, 1737466971.5250726, 0.11437975502014161]","[1737466992.7391427, 1737466992.7396283, 0.0636173973083496]","[1737467013.843139, 1737467013.8439336, 0.12238391160964965]","[1737467034.8731327, 1737467034.8739083, 0.1209936773777008]"
"[1737466950.1867998, 1737466950.187085, 0.021048245429992674]","[1737466971.5664907, 1737466971.5667605, 0.038284412384033205]","[1737466992.7799582, 1737466992.7802725, 0.041162361145019526]","[1737467013.8850534, 1737467013.8852603, 0.030021020889282227]","[1737467034.9147942, 1737467034.915006, 0.030817337036132812]"
"[1737466950.2275531, 1737466950.227755, 0.014906240701675415]","[1737466971.6065948, 1737466971.606939, 0.045624545097351074]","[1737466992.8210895, 1737466992.821304, 0.028107833862304685]","[1737467013.9245994, 1737467013.9248478, 0.03603905963897705]","[1737467034.9544053, 1737467034.9546037, 0.0288739013671875]"
"[1737466950.267825, 1737466950.268022, 0.014554263353347778]","[1737466971.6461365, 1737466971.6463478, 0.02799400758743286]","[1737466992.8610687, 1737466992.8613477, 0.036316187381744386]","[1737467013.9638264, 1737467013.9640665, 0.03464630818367004]","[1737467034.993304, 1737467034.9935002, 0.02738013195991516]"
"[1737466950.308677, 1737466950.3089182, 0.019882404327392578]","[1737466971.6863594, 1737466971.6866236, 0.035008307456970214]","[1737466992.9015348, 1737466992.9018178, 0.03684385848045349]","[1737467014.0030158, 1737467014.0031965, 0.026079346179962156]","[1737467035.0325155, 1737467035.0327022, 0.026049384355545043]"
"[1737466950.3498547, 1737466950.350074, 0.018074913024902342]","[1737466971.725963, 1737466971.7262292, 0.036040675163269045]","[1737466992.9407372, 1737466992.9409485, 0.028131524085998536]","[1737467014.041772, 1737467014.041953, 0.026148157119750975]","[1737467035.0727668, 1737467035.0729473, 0.025184398412704465]"
"[1737466950.389496, 1737466950.3896992, 0.018643309593200683]","[1737466971.7653704, 1737466971.7655907, 0.02984012889862061]","[1737466992.979973, 1737466992.9801414, 0.02241631603240967]","[1737467014.0808346, 1737467014.0810704, 0.034428570270538326]","[1737467035.1320276, 1737467035.132216, 0.02670530080795288]"
"[1737466950.4287782, 1737466950.4290214, 0.02231945514678955]","[1737466971.8043416, 1737466971.8045223, 0.024814658641815184]","[1737466993.019172, 1737466993.0194428, 0.03606931304931641]","[1737467014.1199832, 1737467014.1201637, 0.026352303028106688]","[1737467035.1709018, 1737467035.1711118, 0.029781481027603147]"
"[1737466950.4679546, 1737466950.4681625, 0.01908094596862793]","[1737466971.8503017, 1737466971.8505304, 0.03139479899406433]","[1737466993.0592992, 1737466993.059575, 0.036750983238220215]","[1737467014.1594028, 1737467014.1595867, 0.02722623896598816]","[1737467035.209947, 1737467035.2101362, 0.026965717792510988]"
"[1737466950.5079174, 1737466950.508115, 0.019722800970077517]","[1737466971.8895862, 1737466971.8897827, 0.02697530174255371]","[1737466993.0983899, 1737466993.0985634, 0.023124214172363284]","[1737467014.198465, 1737467014.1986701, 0.030369086265563963]","[1737467035.2491448, 1737467035.249318, 0.024687403678894045]"
"[1737466950.547898, 1737466950.5481088, 0.021031310081481933]","[1737466971.939435, 1737466971.9396725, 0.033683921813964846]","[1737466993.1374543, 1737466993.1376338, 0.024619735479354858]","[1737467014.2376332, 1737467014.23781, 0.026166852235794066]","[1737467035.2881188, 1737467035.2882993, 0.02567603373527527]"
"[1737466950.5875523, 1737466950.5877883, 0.025831604003906248]","[1737466971.9789176, 1737466971.9791112, 0.027461189270019535]","[1737466993.1771338, 1737466993.1773856, 0.03452648162841797]","[1737467014.2775621, 1737467014.277742, 0.027016554832458496]","[1737467035.3272452, 1737467035.3274431, 0.02815205812454224]"
"[1737466950.62751, 1737466950.6277425, 0.025440216064453125]","[1737466972.0179496, 1737466972.018147, 0.02831440258026123]","[1737466993.2174878, 1737466993.2178187, 0.045381398200988764]","[1737467014.316927, 1737467014.3171494, 0.03343029928207397]","[1737467035.366417, 1737467035.3665912, 0.024794162034988403]"
"[1737466950.6681995, 1737466950.6683795, 0.019699859619140624]","[1737466972.0568838, 1737466972.0570688, 0.026536203384399413]","[1737466993.2574196, 1737466993.2576036, 0.027118169784545898]","[1737467014.3562696, 1737467014.3564494, 0.02716036891937256]","[1737467035.4055665, 1737467035.4057353, 0.02450339698791504]"
