epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737471292.6060474, 1737471292.6062343, 0.012501968383789062]","[1737471346.9730558, 1737471346.9731925, 0.018539181947708133]","[1737471402.8894417, 1737471402.8895857, 0.01847049045562744]","[1737471458.4038804, 1737471458.404018, 0.017782665491104126]","[1737471511.966496, 1737471511.9666243, 0.018344419002532957]"
"[1737471292.7374346, 1737471292.7375107, 0.005441012382507325]","[1737471347.1044765, 1737471347.104558, 0.010210251331329346]","[1737471403.0212498, 1737471403.021323, 0.009168343544006348]","[1737471458.5307076, 1737471458.5307832, 0.010091417789459227]","[1737471512.0967937, 1737471512.0968692, 0.010397587060928346]"
"[1737471292.8618658, 1737471292.8619401, 0.006251003265380859]","[1737471347.2322853, 1737471347.232366, 0.010227294445037841]","[1737471403.1685016, 1737471403.1686058, 0.013811178922653197]","[1737471458.6541193, 1737471458.65419, 0.009782728672027587]","[1737471512.2260697, 1737471512.226144, 0.010586254119873047]"
"[1737471292.9846203, 1737471292.984719, 0.009198543548583984]","[1737471347.3580914, 1737471347.3581688, 0.009873193502426146]","[1737471403.2937095, 1737471403.2937832, 0.0098027822971344]","[1737471458.7766147, 1737471458.7766864, 0.009883839368820192]","[1737471512.357771, 1737471512.3578432, 0.010301397800445557]"
"[1737471293.1077664, 1737471293.1078417, 0.007903797149658203]","[1737471347.487857, 1737471347.487948, 0.011798335075378417]","[1737471403.4199815, 1737471403.4200604, 0.01082648253440857]","[1737471458.8992991, 1737471458.89937, 0.010608022928237915]","[1737471512.4853265, 1737471512.485412, 0.012576548576354981]"
"[1737471293.229701, 1737471293.2297723, 0.010107948303222656]","[1737471347.6156065, 1737471347.6156793, 0.011349191665649414]","[1737471403.5485666, 1737471403.548673, 0.016001779468556427]","[1737471459.0221803, 1737471459.022261, 0.01325711727142334]","[1737471512.6159906, 1737471512.6160858, 0.01546236491203308]"
"[1737471293.3524613, 1737471293.3527296, 0.04064163565635681]","[1737471347.7434459, 1737471347.7435286, 0.013792953491210937]","[1737471403.6747365, 1737471403.674811, 0.013251005172729492]","[1737471459.1456656, 1737471459.1457362, 0.012690521240234376]","[1737471512.7462873, 1737471512.746364, 0.013536838531494141]"
"[1737471293.476087, 1737471293.4761634, 0.012546539306640625]","[1737471347.8688328, 1737471347.868907, 0.013170718431472779]","[1737471403.7981422, 1737471403.7982337, 0.017253204345703124]","[1737471459.268639, 1737471459.2687109, 0.013760745525360107]","[1737471512.8749788, 1737471512.8750572, 0.015384537696838379]"
"[1737471293.601546, 1737471293.6016197, 0.013208240032196046]","[1737471347.9983103, 1737471347.9983847, 0.014375581741333007]","[1737471403.9236383, 1737471403.9237132, 0.01493488073348999]","[1737471459.3918524, 1737471459.3919241, 0.01540069627761841]","[1737471513.0007112, 1737471513.0007858, 0.015629836320877076]"
"[1737471293.7223284, 1737471293.7224016, 0.015308484077453614]","[1737471348.1237743, 1737471348.1238513, 0.016770986795425415]","[1737471404.0467303, 1737471404.0468056, 0.01585844898223877]","[1737471459.51464, 1737471459.5147085, 0.015557981252670288]","[1737471513.1287124, 1737471513.1287887, 0.016832199096679688]"
