epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737465063.4287684, 1737465063.5076838, 5.787238964319229]","[1737465110.0050488, 1737465110.044439, 6.909417613744735]","[1737465156.866217, 1737465156.8951073, 5.03680511713028]","[1737465202.9119892, 1737465202.9426854, 5.903607052803039]","[1737465249.4705164, 1737465249.5020885, 6.147530560970306]"
"[1737465063.6229205, 1737465063.648437, 1.9703593864440916]","[1737465110.1482909, 1737465110.1733131, 3.9854468050003056]","[1737465156.9689043, 1737465156.995583, 4.379725297689437]","[1737465203.0120268, 1737465203.0370905, 4.422048091888427]","[1737465249.5729933, 1737465249.5983217, 4.551335777044297]"
"[1737465063.7148948, 1737465063.7401984, 2.124363924264908]","[1737465110.2407403, 1737465110.266279, 4.028318614482879]","[1737465157.062634, 1737465157.0890715, 4.331391249895096]","[1737465203.10302, 1737465203.1278496, 4.314048213481903]","[1737465249.6625953, 1737465249.6878855, 4.504699468612671]"
"[1737465063.8047652, 1737465063.8300557, 2.354342220306396]","[1737465110.3320997, 1737465110.3572567, 3.8430297832489013]","[1737465157.15752, 1737465157.1839144, 4.328095547676086]","[1737465203.1933227, 1737465203.2181664, 4.377707104682923]","[1737465249.751814, 1737465249.776655, 4.4697531208992]"
"[1737465063.8951929, 1737465063.9208243, 2.614969523429871]","[1737465110.4225974, 1737465110.4482992, 3.948253159046173]","[1737465157.250337, 1737465157.2754996, 4.1141978859901425]","[1737465203.283894, 1737465203.308831, 4.425529269456863]","[1737465249.8431635, 1737465249.8688986, 4.656099366903305]"
"[1737465063.983254, 1737465064.0090768, 2.900606404066086]","[1737465110.5284977, 1737465110.5550582, 4.128571109771729]","[1737465157.3389847, 1737465157.3650916, 4.275399513244629]","[1737465203.3715405, 1737465203.397262, 4.56252095913887]","[1737465249.9340408, 1737465249.958845, 4.5179887816905975]"
"[1737465064.0720422, 1737465064.0972297, 3.7694089832305906]","[1737465110.620631, 1737465110.6454775, 4.100352234363555]","[1737465157.4289865, 1737465157.454168, 4.145984562531744]","[1737465203.4612594, 1737465203.4863348, 4.449636729121208]","[1737465250.0221622, 1737465250.0480373, 4.735245254516601]"
"[1737465064.1603184, 1737465064.1873512, 4.505484373092651]","[1737465110.7093625, 1737465110.7347395, 4.564947966337203]","[1737465157.5189533, 1737465157.543877, 4.452071135759354]","[1737465203.5493488, 1737465203.5753713, 4.655517574310303]","[1737465250.1483476, 1737465250.1731994, 4.733118433952332]"
"[1737465064.2522752, 1737465064.2780347, 4.741182168006897]","[1737465110.7992349, 1737465110.824339, 4.817717845439911]","[1737465157.608394, 1737465157.6342447, 5.063726939678191]","[1737465203.6384466, 1737465203.6656263, 5.569586277008057]","[1737465250.2380624, 1737465250.262852, 4.860012615919114]"
"[1737465064.3433442, 1737465064.3747246, 6.18536837720871]","[1737465110.9005554, 1737465110.926915, 5.5278454813957225]","[1737465157.6988704, 1737465157.7237701, 5.274607529163361]","[1737465203.73177, 1737465203.7628155, 6.876253809928894]","[1737465250.3270926, 1737465250.3523736, 5.142701910018921]"
"[1737465064.4469788, 1737465064.4717777, 5.310880523920059]","[1737465110.992713, 1737465111.0176196, 5.480434864044189]","[1737465157.7892656, 1737465157.8142028, 5.654549285888671]","[1737465203.8280373, 1737465203.8532867, 5.992156379699708]","[1737465250.4185376, 1737465250.4442487, 5.6661004638671875]"
"[1737465064.5372, 1737465064.561993, 5.554256487965583]","[1737465111.0833976, 1737465111.1083567, 5.736071403503418]","[1737465157.8787458, 1737465157.9042459, 6.186288844347]","[1737465203.9186206, 1737465203.944064, 6.478580540657044]","[1737465250.5091834, 1737465250.5342402, 5.9922929306030275]"
"[1737465064.6264217, 1737465064.6515884, 5.965098574399947]","[1737465111.1736305, 1737465111.1990724, 6.167952504873275]","[1737465157.9689202, 1737465157.9938066, 6.359046965718269]","[1737465204.0090332, 1737465204.0339255, 6.764764539241792]","[1737465250.5985568, 1737465250.6239896, 6.4854721288681025]"
"[1737465064.716236, 1737465064.7417223, 6.3841733968257905]","[1737465111.2654397, 1737465111.291575, 6.780988336086274]","[1737465158.0579588, 1737465158.082835, 6.5734410610198974]","[1737465204.0987687, 1737465204.123684, 6.848769966602324]","[1737465250.6895504, 1737465250.7143118, 6.729936095952988]"
"[1737465064.8044443, 1737465064.8293352, 6.435716342926026]","[1737465111.3583229, 1737465111.387303, 7.5620498123168955]","[1737465158.1467838, 1737465158.1719375, 6.831652329921722]","[1737465204.1905055, 1737465204.2159722, 6.971121793985367]","[1737465250.792559, 1737465250.8278394, 9.658733198642732]"
"[1737465064.8920445, 1737465064.91694, 6.567812658309935]","[1737465111.4677002, 1737465111.4944627, 7.129927575588227]","[1737465158.236473, 1737465158.2621324, 7.021545370817182]","[1737465204.2790437, 1737465204.3038874, 6.804107154607773]","[1737465250.895963, 1737465250.9207864, 6.744276936054229]"
"[1737465064.9805079, 1737465065.0068705, 7.083487906932831]","[1737465111.556927, 1737465111.581879, 6.633646533966065]","[1737465158.326256, 1737465158.351276, 6.899858540296554]","[1737465204.3665752, 1737465204.3914819, 6.852637285709379]","[1737465250.9851058, 1737465251.0099125, 6.688864000558853]"
