epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737465063.507685, 1737465063.5078397, 0.011345845460891724]","[1737465110.0444403, 1737465110.044581, 0.024674251079559326]","[1737465156.8951085, 1737465156.8952844, 0.030675982475280764]","[1737465202.9426866, 1737465202.9428258, 0.02677851104736328]","[1737465249.5020893, 1737465249.5022492, 0.03115012502670288]"
"[1737465063.6484375, 1737465063.6485062, 0.005302207946777344]","[1737465110.1733139, 1737465110.1733873, 0.011696102142333985]","[1737465156.9955838, 1737465156.995671, 0.01432523488998413]","[1737465203.037091, 1737465203.037162, 0.012535270690917968]","[1737465249.5983222, 1737465249.598392, 0.012552749872207643]"
"[1737465063.740199, 1737465063.7402654, 0.0055645680427551265]","[1737465110.2662797, 1737465110.2663527, 0.011507655143737793]","[1737465157.0890722, 1737465157.0891564, 0.013788641691207887]","[1737465203.1278503, 1737465203.1279204, 0.012178736686706543]","[1737465249.6878862, 1737465249.687955, 0.01223052978515625]"
"[1737465063.8300564, 1737465063.8301213, 0.006037002563476563]","[1737465110.3572574, 1737465110.3573267, 0.01059859800338745]","[1737465157.1839154, 1737465157.1839976, 0.013487913608551026]","[1737465203.2181668, 1737465203.2182338, 0.011805298328399659]","[1737465249.7766557, 1737465249.7767236, 0.012226388454437256]"
"[1737465063.920825, 1737465063.920893, 0.006932322978973389]","[1737465110.4483001, 1737465110.4483685, 0.010511485576629639]","[1737465157.2755003, 1737465157.2755802, 0.013050155639648437]","[1737465203.3088317, 1737465203.308899, 0.011931957721710205]","[1737465249.8688993, 1737465249.8689682, 0.012545783758163453]"
"[1737465064.0090775, 1737465064.0091755, 0.011006926774978637]","[1737465110.555059, 1737465110.555125, 0.010265560150146484]","[1737465157.365092, 1737465157.3651612, 0.011355228424072265]","[1737465203.3972626, 1737465203.3973308, 0.012089340686798095]","[1737465249.9588454, 1737465249.9589114, 0.01208594036102295]"
"[1737465064.0972307, 1737465064.097298, 0.010061842918395996]","[1737465110.6454778, 1737465110.6455426, 0.010701976776123046]","[1737465157.4541688, 1737465157.4542377, 0.012158308596863456]","[1737465203.4863353, 1737465203.4864054, 0.012540287017822265]","[1737465250.0480382, 1737465250.0481045, 0.012129571914672852]"
"[1737465064.1873522, 1737465064.187444, 0.015298556089401245]","[1737465110.73474, 1737465110.734808, 0.012223058938980102]","[1737465157.5438776, 1737465157.5439456, 0.012137714624404907]","[1737465203.575372, 1737465203.5754592, 0.015611377716064453]","[1737465250.1732001, 1737465250.1732674, 0.013032713413238526]"
"[1737465064.2780359, 1737465064.2781003, 0.01190566062927246]","[1737465110.8243396, 1737465110.824416, 0.014874649047851563]","[1737465157.6342456, 1737465157.634313, 0.013216707468032838]","[1737465203.6656272, 1737465203.6657424, 0.02359745764732361]","[1737465250.262853, 1737465250.2629175, 0.013143387317657471]"
"[1737465064.3747253, 1737465064.3747928, 0.013706692457199098]","[1737465110.9269154, 1737465110.9269857, 0.014826157093048097]","[1737465157.7237709, 1737465157.7238379, 0.01419195032119751]","[1737465203.762816, 1737465203.7628849, 0.015261318683624268]","[1737465250.3523743, 1737465250.35244, 0.013385885238647461]"
"[1737465064.4717789, 1737465064.4718468, 0.0148553466796875]","[1737465111.0176203, 1737465111.01769, 0.01570385265350342]","[1737465157.8142037, 1737465157.8142793, 0.01713761901855469]","[1737465203.8532872, 1737465203.853354, 0.015842685699462893]","[1737465250.4442494, 1737465250.444338, 0.01954552459716797]"
"[1737465064.5619938, 1737465064.562058, 0.015201374769210817]","[1737465111.1083574, 1737465111.1084242, 0.016184148788452146]","[1737465157.9042463, 1737465157.9043145, 0.01654227113723755]","[1737465203.9440646, 1737465203.944132, 0.017180377006530762]","[1737465250.5342407, 1737465250.5343053, 0.015451695442199707]"
"[1737465064.6515892, 1737465064.6516519, 0.014862310647964477]","[1737465111.1990733, 1737465111.199161, 0.02127059555053711]","[1737465157.993807, 1737465157.9938734, 0.01722494125366211]","[1737465204.0339262, 1737465204.0339935, 0.018271589756011966]","[1737465250.62399, 1737465250.6240578, 0.017266544342041015]"
"[1737465064.741723, 1737465064.7417908, 0.016961236000061036]","[1737465111.291576, 1737465111.291656, 0.020784828186035158]","[1737465158.0828354, 1737465158.0829008, 0.017742533206939696]","[1737465204.1236844, 1737465204.1237512, 0.018350419998168943]","[1737465250.7143128, 1737465250.7143776, 0.017625606536865235]"
"[1737465064.8293362, 1737465064.8294039, 0.017507121086120608]","[1737465111.3873038, 1737465111.3873982, 0.02463613700866699]","[1737465158.1719384, 1737465158.172006, 0.01832531714439392]","[1737465204.2159727, 1737465204.21604, 0.018404309749603272]","[1737465250.8278406, 1737465250.8279572, 0.0319179368019104]"
"[1737465064.9169405, 1737465064.9170094, 0.018177705764770506]","[1737465111.4944637, 1737465111.4945338, 0.018674376010894778]","[1737465158.2621334, 1737465158.2622004, 0.018333016633987426]","[1737465204.3038878, 1737465204.3039544, 0.018301512479782102]","[1737465250.920787, 1737465250.920852, 0.017619056701660155]"
"[1737465065.0068712, 1737465065.0069425, 0.019154430866241457]","[1737465111.5818799, 1737465111.5819495, 0.0185084924697876]","[1737465158.3512769, 1737465158.3513417, 0.01788396835327148]","[1737465204.3914828, 1737465204.3915496, 0.018367109298706052]","[1737465251.0099137, 1737465251.0099778, 0.01729318881034851]"
"[1737465065.1078305, 1737465065.107901, 0.01896556282043457]","[1737465111.6730702, 1737465111.6731372, 0.017741043329238895]","[1737465158.4413247, 1737465158.441392, 0.01864083909988403]","[1737465204.4822404, 1737465204.4823177, 0.021436214447021484]","[1737465251.1003828, 1737465251.1004496, 0.0179399299621582]"
"[1737465065.199408, 1737465065.199482, 0.019728362560272217]","[1737465111.7648416, 1737465111.7649078, 0.017695796966552733]","[1737465158.5304203, 1737465158.5304847, 0.017864863872528076]","[1737465204.5748024, 1737465204.5749028, 0.027660726547241214]","[1737465251.1903841, 1737465251.190449, 0.01728741455078125]"
"[1737465065.2897158, 1737465065.289784, 0.01813009023666382]","[1737465111.856238, 1737465111.8563046, 0.01794914245605469]","[1737465158.6197698, 1737465158.6198356, 0.018170130729675292]","[1737465204.6651459, 1737465204.6652122, 0.01823306560516357]","[1737465251.2793922, 1737465251.2794554, 0.016821478605270387]"
"[1737465065.3799422, 1737465065.3800094, 0.017897230625152586]","[1737465111.9713423, 1737465111.9714506, 0.02921279335021973]","[1737465158.70978, 1737465158.7098472, 0.01840451145172119]","[1737465204.7556424, 1737465204.7557101, 0.018649200439453124]","[1737465251.3701837, 1737465251.3702502, 0.018227477073669434]"
"[1737465065.473935, 1737465065.4740145, 0.021217337131500244]","[1737465112.0616436, 1737465112.061706, 0.016672961235046385]","[1737465158.7995665, 1737465158.7996316, 0.017858659744262692]","[1737465204.8459387, 1737465204.8460054, 0.01840789794921875]","[1737465251.4602737, 1737465251.4603398, 0.018046820402145385]"
"[1737465065.5639913, 1737465065.564058, 0.017932987213134764]","[1737465112.1515732, 1737465112.1516476, 0.01988807487487793]","[1737465158.888884, 1737465158.8889494, 0.018043885231018065]","[1737465204.9354906, 1737465204.9355567, 0.018314356327056885]","[1737465251.5505552, 1737465251.5506196, 0.017590763568878173]"
