epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737473658.7735486, 1737473658.8018467, 1.893853628873825]","[1737473692.1181269, 1737473692.1445482, 2.8649945890903474]","[1737473727.0490215, 1737473727.0745864, 3.13543382692337]","[1737473761.6148384, 1737473761.6412702, 2.4520251235961914]","[1737473795.038245, 1737473795.06472, 2.704171192407608]"
"[1737473658.8560274, 1737473658.8812003, 1.7091425342559814]","[1737473692.1937463, 1737473692.2187567, 2.7480119168758392]","[1737473727.1194925, 1737473727.145184, 2.993754498004913]","[1737473761.687718, 1737473761.7126317, 2.338607437133789]","[1737473795.1197093, 1737473795.1475146, 2.683325408935547]"
"[1737473658.9311686, 1737473658.956192, 1.965767977714539]","[1737473692.2692945, 1737473692.294357, 2.7914940116405487]","[1737473727.1897378, 1737473727.2154508, 3.0124809902735175]","[1737473761.760351, 1737473761.7847075, 2.2987756605148313]","[1737473795.194567, 1737473795.219529, 2.5417503952980045]"
"[1737473659.0016725, 1737473659.0261023, 2.092094622135163]","[1737473692.3449624, 1737473692.3698652, 2.7977322816848758]","[1737473727.260791, 1737473727.2852633, 3.0538904094696044]","[1737473761.8294425, 1737473761.8537602, 2.387564485549927]","[1737473795.2649167, 1737473795.289874, 2.701062280499262]"
"[1737473659.1393821, 1737473659.1637733, 2.252988380432129]","[1737473692.4173775, 1737473692.4418797, 2.867231996059418]","[1737473727.3278494, 1737473727.352231, 3.083813901901245]","[1737473761.9079082, 1737473761.9322824, 2.630395570039749]","[1737473795.3369265, 1737473795.361503, 2.6600428862604164]"
"[1737473659.2078357, 1737473659.2322352, 2.867797461748123]","[1737473692.488918, 1737473692.5132425, 2.9873059902191166]","[1737473727.3939319, 1737473727.418219, 3.1274001475572586]","[1737473761.9765213, 1737473762.0008295, 2.861722725749016]","[1737473795.4079103, 1737473795.4324226, 2.749813311576843]"
"[1737473659.2775867, 1737473659.3018708, 2.9917710483074185]","[1737473692.56126, 1737473692.5855815, 3.051105814695358]","[1737473727.4600902, 1737473727.4844854, 3.319312225341797]","[1737473762.0477633, 1737473762.0720825, 2.909691641807556]","[1737473795.478034, 1737473795.5024686, 3.0705209298133846]"
"[1737473659.345129, 1737473659.3694465, 3.0656346476078036]","[1737473692.6338298, 1737473692.6581836, 3.262646542310715]","[1737473727.533555, 1737473727.557844, 3.494855910539627]","[1737473762.1167076, 1737473762.141184, 3.215677317619323]","[1737473795.5470479, 1737473795.5714455, 3.178514998912811]"
"[1737473659.437624, 1737473659.4622893, 3.577685176372529]","[1737473692.7058463, 1737473692.730189, 3.6915331954956057]","[1737473727.5991118, 1737473727.6235502, 3.727600190401078]","[1737473762.1886392, 1737473762.2129245, 3.6725226974487306]","[1737473795.6174698, 1737473795.6418748, 3.3804833393096927]"
"[1737473659.516739, 1737473659.5413077, 3.8419454991817474]","[1737473692.780296, 1737473692.8047009, 3.981574385227868]","[1737473727.6649785, 1737473727.689405, 3.9427482309341437]","[1737473762.260032, 1737473762.284329, 3.7006493217945096]","[1737473795.6889894, 1737473795.713313, 3.769127868890763]"
"[1737473659.5888188, 1737473659.6133983, 3.8470095442136127]","[1737473692.8609831, 1737473692.8853328, 4.0518997194767]","[1737473727.730335, 1737473727.7547128, 4.236061147689819]","[1737473762.331996, 1737473762.3563266, 3.9742358088493344]","[1737473795.7586608, 1737473795.7830703, 4.0760654733181]"
"[1737473659.6609657, 1737473659.6855645, 4.1339575350284585]","[1737473692.9327304, 1737473692.9571006, 4.327585847854614]","[1737473727.7957041, 1737473727.8201127, 4.397097614645958]","[1737473762.4230018, 1737473762.4473932, 4.370428942441939]","[1737473795.8302274, 1737473795.8546448, 4.161726134777069]"
"[1737473659.7320092, 1737473659.7566204, 4.571389171600342]","[1737473693.0028052, 1737473693.027166, 4.764164916992188]","[1737473727.8618104, 1737473727.8860874, 4.66962697505951]","[1737473762.492555, 1737473762.5168605, 4.698487759828568]","[1737473795.9024146, 1737473795.9267573, 4.462712318420411]"
"[1737473659.8043213, 1737473659.8287692, 4.747813232898712]","[1737473693.0752344, 1737473693.0995603, 4.989490624904632]","[1737473727.932342, 1737473727.9566584, 4.959481818675995]","[1737473762.5621345, 1737473762.5864475, 4.7008798929504065]","[1737473795.9722235, 1737473795.9966218, 4.933707668781279]"
"[1737473659.8777146, 1737473659.9021792, 4.900407617568969]","[1737473693.146287, 1737473693.1706233, 5.04088304424286]","[1737473728.0071664, 1737473728.0315287, 5.32610620713234]","[1737473762.6317625, 1737473762.656074, 5.041144208908082]","[1737473796.0418847, 1737473796.0662022, 4.9498432991504675]"
"[1737473659.9487574, 1737473659.9730814, 5.127364990711212]","[1737473693.2162595, 1737473693.2406194, 5.493361683845521]","[1737473728.081265, 1737473728.106084, 5.513794360399245]","[1737473762.7019415, 1737473762.726204, 5.4153254680633545]","[1737473796.1121988, 1737473796.136857, 5.277447265625]"
"[1737473660.0175965, 1737473660.0419981, 5.297772225379944]","[1737473693.285874, 1737473693.310295, 5.634560422897337]","[1737473728.1542253, 1737473728.1787972, 5.756973991870881]","[1737473762.7714252, 1737473762.7957163, 5.495344994068146]","[1737473796.1893678, 1737473796.2137668, 5.66116335105896]"
"[1737473660.0930111, 1737473660.1246479, 6.880037353754044]","[1737473693.3863432, 1737473693.4107502, 5.672507567405701]","[1737473728.2386575, 1737473728.263043, 5.92959095954895]","[1737473762.8416536, 1737473762.8659425, 5.636407583951949]","[1737473796.2614105, 1737473796.2858868, 5.733889070272445]"
"[1737473660.177687, 1737473660.202004, 5.312321847200394]","[1737473693.4790533, 1737473693.5033863, 5.616399457454682]","[1737473728.3103807, 1737473728.3346767, 5.865043102025985]","[1737473762.9107525, 1737473762.9350476, 5.729778704881668]","[1737473796.3336172, 1737473796.357909, 5.697072136163712]"
"[1737473660.2496088, 1737473660.2740002, 5.373403834104536]","[1737473693.5511942, 1737473693.5756836, 5.650170517921448]","[1737473728.3868663, 1737473728.4112496, 5.882935976743699]","[1737473762.9798841, 1737473763.0041697, 5.780031394720077]","[1737473796.429932, 1737473796.454237, 5.660165987968444]"
"[1737473660.3217204, 1737473660.346332, 5.619542863845826]","[1737473693.6265218, 1737473693.6509507, 5.7080437946319575]","[1737473728.4686263, 1737473728.492985, 5.9530591220855715]","[1737473763.0488183, 1737473763.0730789, 5.793339617729187]","[1737473796.503516, 1737473796.5277913, 5.724407724380494]"
"[1737473660.3935585, 1737473660.417941, 5.565576486349106]","[1737473693.6971872, 1737473693.7216039, 5.726469574213029]","[1737473728.5416324, 1737473728.5659328, 5.725596765041351]","[1737473763.1190922, 1737473763.1433809, 5.707445148468017]","[1737473796.5948465, 1737473796.61913, 5.729111863136292]"
