epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737473658.8018494, 1737473658.803508, 0.11261760520935059]","[1737473692.1445491, 1737473692.145321, 0.08368589758872987]","[1737473727.0745883, 1737473727.0754454, 0.10512170076370239]","[1737473761.641272, 1737473761.642262, 0.09183233642578124]","[1737473795.0647233, 1737473795.0655944, 0.08407249832153321]"
"[1737473658.8812027, 1737473658.8817177, 0.03496536254882813]","[1737473692.2187572, 1737473692.2191541, 0.04361674189567566]","[1737473727.1451852, 1737473727.1455848, 0.04656297016143799]","[1737473761.7126327, 1737473761.7130404, 0.03826958656311035]","[1737473795.147516, 1737473795.148114, 0.05770493316650391]"
"[1737473658.9561932, 1737473658.9566512, 0.03597927021980286]","[1737473692.294358, 1737473692.2949636, 0.06803484916687012]","[1737473727.2154517, 1737473727.2160594, 0.07551051455969546]","[1737473761.7847085, 1737473761.7851322, 0.04159674978256225]","[1737473795.2195299, 1737473795.2199757, 0.045397937297821045]"
"[1737473659.0261037, 1737473659.0265343, 0.036873918056488035]","[1737473692.3698657, 1737473692.370246, 0.0427226710319519]","[1737473727.285264, 1737473727.2857323, 0.05843342781066895]","[1737473761.8537617, 1737473761.8544824, 0.07076363229751587]","[1737473795.2898757, 1737473795.2903047, 0.04642018628120422]"
"[1737473659.1637743, 1737473659.1641622, 0.035830584287643436]","[1737473692.441881, 1737473692.4422827, 0.04701066374778748]","[1737473727.3522317, 1737473727.3525984, 0.04637903642654419]","[1737473761.9322836, 1737473761.9327269, 0.047830987691879275]","[1737473795.3615067, 1737473795.3619595, 0.04960240568804356]"
"[1737473659.2322361, 1737473659.2326984, 0.054335681200027464]","[1737473692.5132434, 1737473692.5136633, 0.05156282687187195]","[1737473727.4182198, 1737473727.4185698, 0.0476221923828125]","[1737473762.0008302, 1737473762.0012677, 0.05234489679336548]","[1737473795.4324236, 1737473795.4328485, 0.04766143369674682]"
"[1737473659.3018718, 1737473659.3022695, 0.05013460063934326]","[1737473692.5855823, 1737473692.5859466, 0.04880538749694824]","[1737473727.4844866, 1737473727.485004, 0.07039520263671875]","[1737473762.0720835, 1737473762.0724938, 0.04909295225143433]","[1737473795.5024693, 1737473795.5028355, 0.0460191650390625]"
"[1737473659.3694482, 1737473659.3700812, 0.07980057835578919]","[1737473692.6581848, 1737473692.6586034, 0.056087866783142086]","[1737473727.5578446, 1737473727.5581746, 0.04747858238220215]","[1737473762.141185, 1737473762.1416278, 0.05816672945022582]","[1737473795.5714462, 1737473795.5718486, 0.05574584197998046]"
"[1737473659.462291, 1737473659.463023, 0.1061678957939148]","[1737473692.7301903, 1737473692.730626, 0.06609262084960937]","[1737473727.623551, 1737473727.6238992, 0.056224916696548465]","[1737473762.2129254, 1737473762.213374, 0.06781872367858886]","[1737473795.6418757, 1737473795.6423104, 0.06020418834686279]"
"[1737473659.541309, 1737473659.5419323, 0.09745699167251587]","[1737473692.804702, 1737473692.805334, 0.1031590256690979]","[1737473727.6894054, 1737473727.6897013, 0.047758467912673956]","[1737473762.28433, 1737473762.284774, 0.07255268311500548]","[1737473795.7133138, 1737473795.713713, 0.06184530687332153]"
"[1737473659.6134, 1737473659.613846, 0.07279190138670114]","[1737473692.8853335, 1737473692.8857186, 0.06837531447410583]","[1737473727.7547135, 1737473727.7550201, 0.053278055667877196]","[1737473762.3563278, 1737473762.3567631, 0.07111175489425658]","[1737473795.7830708, 1737473795.7834618, 0.06664353370666504]"
"[1737473659.6855655, 1737473659.6859899, 0.0713200330734253]","[1737473692.957101, 1737473692.9574862, 0.06837531447410583]","[1737473727.8201132, 1737473727.820424, 0.05980057525634766]","[1737473762.4473941, 1737473762.4478204, 0.0763826494216919]","[1737473795.8546457, 1737473795.8550646, 0.07139798092842102]"
"[1737473659.7566211, 1737473659.7570853, 0.0862225456237793]","[1737473693.0271666, 1737473693.0275836, 0.08155070114135743]","[1737473727.8860881, 1737473727.886383, 0.05672799968719483]","[1737473762.5168617, 1737473762.5173035, 0.08540191102027893]","[1737473795.926758, 1737473795.9271624, 0.074130126953125]"
"[1737473659.8287704, 1737473659.8291907, 0.08419501256942749]","[1737473693.099561, 1737473693.0999784, 0.08647242403030395]","[1737473727.9566593, 1737473727.956952, 0.059714125633239745]","[1737473762.586448, 1737473762.5868964, 0.08898849095073788]","[1737473795.9966228, 1737473795.9970174, 0.07979055047035218]"
"[1737473659.90218, 1737473659.9026003, 0.08419501256942749]","[1737473693.170624, 1737473693.1709828, 0.07432381391525268]","[1737473728.0315292, 1737473728.031896, 0.08151595616340637]","[1737473762.656075, 1737473762.6564796, 0.08389547634124755]","[1737473796.0662029, 1737473796.0665731, 0.07924539375305176]"
"[1737473659.973082, 1737473659.9735262, 0.09362961888313293]","[1737473693.2406201, 1737473693.2409835, 0.08193831253051759]","[1737473728.1060846, 1737473728.10646, 0.08342276215553283]","[1737473762.7262046, 1737473762.726611, 0.09067759323120117]","[1737473796.136859, 1737473796.137754, 0.19155647659301758]"
