epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467064.5063465, 1737467064.539107, 2.295313696469566]","[1737467088.8237398, 1737467088.8356516, 2.2165486807823185]","[1737467113.1204753, 1737467113.1328788, 2.4790975818634036]","[1737467137.3139489, 1737467137.3259072, 2.2919196994304656]","[1737467161.5860198, 1737467161.5979111, 2.1948843784332275]"
"[1737467064.6287088, 1737467064.640705, 0.844313543042534]","[1737467088.8754792, 1737467088.887129, 2.167791885614395]","[1737467113.1746244, 1737467113.1862972, 2.163214635372162]","[1737467137.3649564, 1737467137.3765895, 2.1675713803768155]","[1737467161.6351066, 1737467161.6467178, 2.1431763596534728]"
"[1737467064.6767519, 1737467064.6886158, 0.917676293849945]","[1737467088.9262838, 1737467088.9378986, 2.0964945392608643]","[1737467113.2233799, 1737467113.2349823, 2.1501802940368653]","[1737467137.4133391, 1737467137.4249575, 2.1370515714883807]","[1737467161.68293, 1737467161.6945236, 1.9635467183589934]"
"[1737467064.722698, 1737467064.7345817, 0.9192069530487059]","[1737467088.9746132, 1737467088.9862652, 2.103208003997803]","[1737467113.268344, 1737467113.279961, 2.0978542642593383]","[1737467137.4685752, 1737467137.4803019, 2.129225449562073]","[1737467161.727947, 1737467161.7395856, 1.971178493499756]"
"[1737467064.769436, 1737467064.781301, 1.0004803862571716]","[1737467089.0218134, 1737467089.0334074, 2.1405991652011873]","[1737467113.3152843, 1737467113.3268828, 2.094496044158935]","[1737467137.515629, 1737467137.5272436, 2.1517275029420855]","[1737467161.7733972, 1737467161.784992, 1.9990083198547364]"
"[1737467064.8169906, 1737467064.8288622, 1.0010231859683991]","[1737467089.0672312, 1737467089.0788727, 2.149358942985535]","[1737467113.3613153, 1737467113.3729312, 2.149702782951947]","[1737467137.5615087, 1737467137.5731018, 2.1598763167858124]","[1737467161.8193488, 1737467161.830923, 1.995473307609558]"
"[1737467064.8651202, 1737467064.8769958, 1.1556174993515014]","[1737467089.1133316, 1737467089.124921, 2.188693788051605]","[1737467113.4077303, 1737467113.4193382, 2.1513822569847108]","[1737467137.6082847, 1737467137.6198852, 2.168074179887771]","[1737467161.8669047, 1737467161.8784997, 2.084771339178085]"
"[1737467064.9118137, 1737467064.9234703, 1.1342962288856506]","[1737467089.157373, 1737467089.1689816, 2.1922958350181583]","[1737467113.4523065, 1737467113.4639351, 2.1638755975961685]","[1737467137.6529124, 1737467137.6645277, 2.22369819355011]","[1737467161.9112644, 1737467161.922884, 2.089186683654785]"
"[1737467064.958241, 1737467064.9699082, 1.2668301773071289]","[1737467089.2019768, 1737467089.2135386, 2.1834708199501036]","[1737467113.4980254, 1737467113.5096152, 2.209067262411118]","[1737467137.698094, 1737467137.7096956, 2.2210964694023136]","[1737467161.95572, 1737467161.9673445, 2.091626696131286]"
"[1737467065.0042992, 1737467065.015899, 1.259504017829895]","[1737467089.2494662, 1737467089.2610745, 2.2770150701999663]","[1737467113.5439014, 1737467113.555507, 2.212066551446915]","[1737467137.7443106, 1737467137.755899, 2.28882364153862]","[1737467162.0009458, 1737467162.0125327, 2.1604478702545165]"
"[1737467065.050197, 1737467065.0617995, 1.4077599322795868]","[1737467089.2978215, 1737467089.3094287, 2.2767812376022336]","[1737467113.5895839, 1737467113.6011899, 2.2942117035388945]","[1737467137.7889333, 1737467137.8005505, 2.2945215668678283]","[1737467162.0467744, 1737467162.0583723, 2.1624927806854246]"
"[1737467065.0961697, 1737467065.1077929, 1.4102477028369904]","[1737467089.3436542, 1737467089.3552563, 2.3580004677772517]","[1737467113.6354315, 1737467113.6470292, 2.2925621747970584]","[1737467137.83448, 1737467137.8460815, 2.3715796136856078]","[1737467162.0941808, 1737467162.1057801, 2.2166382672786713]"
"[1737467065.1421742, 1737467065.1541061, 2.0721527552604675]","[1737467089.3893156, 1737467089.4009168, 2.357806644916534]","[1737467113.6812754, 1737467113.6928704, 2.377951186180115]","[1737467137.8800364, 1737467137.891622, 2.3683629212379453]","[1737467162.1401265, 1737467162.1517255, 2.216592705249786]"
"[1737467065.1889954, 1737467065.200595, 2.0144342374801636]","[1737467089.4360902, 1737467089.4476714, 2.4294888794422147]","[1737467113.727094, 1737467113.7386847, 2.3770710611343384]","[1737467137.9283907, 1737467137.9399953, 2.4600944428443907]","[1737467162.1857958, 1737467162.1973863, 2.4548870153427127]"
"[1737467065.2349482, 1737467065.2465382, 2.0746118563413622]","[1737467089.483374, 1737467089.4949636, 2.431239411830902]","[1737467113.7730591, 1737467113.784662, 2.4635115752220154]","[1737467137.975238, 1737467137.986839, 2.4593362932205203]","[1737467162.2312968, 1737467162.2431762, 2.5160900239944457]"
"[1737467065.2802424, 1737467065.2918642, 2.2114029145240788]","[1737467089.5297759, 1737467089.5413496, 2.6353981863457956]","[1737467113.8185892, 1737467113.8301816, 2.4612842602729796]","[1737467138.021179, 1737467138.0327723, 2.6021264556646346]","[1737467162.279229, 1737467162.2908087, 2.7042078974246975]"
"[1737467065.3272018, 1737467065.3388238, 2.2114482812881473]","[1737467089.5749905, 1737467089.58657, 2.63708367729187]","[1737467113.8642561, 1737467113.8758504, 2.672832942008972]","[1737467138.0667868, 1737467138.0784025, 2.6674531745910643]","[1737467162.3255563, 1737467162.33714, 2.705154417514801]"
"[1737467065.3742077, 1737467065.3860047, 2.4942294120788575]","[1737467089.6216416, 1737467089.6332395, 2.725718957781792]","[1737467113.9098551, 1737467113.9214478, 2.6724482035636905]","[1737467138.1125288, 1737467138.1241567, 2.6730791325986396]","[1737467162.3708692, 1737467162.3824623, 2.9561254382133484]"
