epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467064.4975739, 1737467064.506344, 0.6144245934486391]","[1737467088.8192916, 1737467088.8237371, 0.8272240242958069]","[1737467113.1121588, 1737467113.120473, 1.661754014968872]","[1737467137.3090818, 1737467137.313948, 0.9729472708702087]","[1737467161.5815609, 1737467161.5860188, 0.8228396043777466]"
"[1737467064.621366, 1737467064.6287076, 0.5160280189514159]","[1737467088.8709729, 1737467088.8754783, 0.8383595616817475]","[1737467113.1698236, 1737467113.1746235, 0.8895164737701416]","[1737467137.3603816, 1737467137.3649557, 0.8522709596157074]","[1737467161.6310818, 1737467161.6351058, 0.7427471837997437]"
"[1737467064.672611, 1737467064.6767511, 0.32023972272872925]","[1737467088.921862, 1737467088.9262831, 0.798041603088379]","[1737467113.219212, 1737467113.2233791, 0.7722515859603882]","[1737467137.409438, 1737467137.4133382, 0.7267292482852936]","[1737467161.6790316, 1737467161.682929, 0.6600879800319672]"
"[1737467064.7186208, 1737467064.7226973, 0.31531579494476314]","[1737467088.9698267, 1737467088.9746125, 0.863842164516449]","[1737467113.2642484, 1737467113.268343, 0.7394111795425415]","[1737467137.4629178, 1737467137.468574, 1.027015239715576]","[1737467161.7239144, 1737467161.7279465, 0.682902545928955]"
"[1737467064.7653558, 1737467064.7694352, 0.343974187374115]","[1737467089.0178175, 1737467089.0218122, 0.7375380742549896]","[1737467113.3112051, 1737467113.3152835, 0.7364835004806519]","[1737467137.5115285, 1737467137.515628, 0.7443739271163939]","[1737467161.7694428, 1737467161.7733965, 0.6816407914161683]"
"[1737467064.8129194, 1737467064.8169901, 0.3432504544258117]","[1737467089.0633957, 1737467089.0672307, 0.7080453550815582]","[1737467113.3572586, 1737467113.3613148, 0.7326781088043246]","[1737467137.5576952, 1737467137.5615082, 0.7103938701152801]","[1737467161.81552, 1737467161.8193483, 0.660019670009613]"
"[1737467064.8610945, 1737467064.8651197, 0.39169424295425415]","[1737467089.1095362, 1737467089.1133308, 0.7162647782275815]","[1737467113.4039638, 1737467113.4077296, 0.6979498171806335]","[1737467137.6043813, 1737467137.608284, 0.7270954329967498]","[1737467161.863248, 1737467161.866904, 0.657329050540924]"
"[1737467064.9070132, 1737467064.9118128, 0.4670495057106018]","[1737467089.1537685, 1737467089.1573722, 0.6805617487430572]","[1737467113.448242, 1737467113.4523056, 0.7531406574249268]","[1737467137.6492536, 1737467137.652912, 0.7003658828735351]","[1737467161.90743, 1737467161.911264, 0.6893510148525238]"
"[1737467064.9534585, 1737467064.9582398, 0.5191477108001709]","[1737467089.198456, 1737467089.201976, 0.6647577676773071]","[1737467113.4941542, 1737467113.4980247, 0.737734215259552]","[1737467137.6945028, 1737467137.698093, 0.6873116178512573]","[1737467161.9519248, 1737467161.955719, 0.6821921553611756]"
"[1737467065.0000339, 1737467065.0042984, 0.463049521446228]","[1737467089.2453392, 1737467089.2494648, 0.809247854232788]","[1737467113.5400693, 1737467113.5439007, 0.7302814364433288]","[1737467137.7406263, 1737467137.74431, 0.7275450110435486]","[1737467161.997256, 1737467162.000945, 0.6878456325531006]"
"[1737467065.0459783, 1737467065.0501964, 0.511786473274231]","[1737467089.2933204, 1737467089.2978206, 0.8827180564403534]","[1737467113.5855474, 1737467113.5895834, 0.7978063583374024]","[1737467137.7850022, 1737467137.7889326, 0.7762834632396697]","[1737467162.0425382, 1737467162.0467734, 0.789691062927246]"
"[1737467065.0918944, 1737467065.0961688, 0.5186133785247803]","[1737467089.3397684, 1737467089.3436534, 0.7895858788490295]","[1737467113.631398, 1737467113.6354306, 0.7971465468406678]","[1737467137.830794, 1737467137.8344796, 0.75338836145401]","[1737467162.0887706, 1737467162.09418, 1.0337568733692168]"
"[1737467065.1380572, 1737467065.1421735, 0.585971396446228]","[1737467089.385492, 1737467089.389315, 0.7769389371871949]","[1737467113.677239, 1737467113.681275, 0.8277087097167969]","[1737467137.8761518, 1737467137.8800359, 0.7939869191646576]","[1737467162.1361704, 1737467162.140126, 0.7559196212291718]"
"[1737467065.1847036, 1737467065.1889946, 0.745206515789032]","[1737467089.4310167, 1737467089.4360893, 1.064123631477356]","[1737467113.723055, 1737467113.7270932, 0.8281976680755616]","[1737467137.9244905, 1737467137.92839, 0.8266863498687744]","[1737467162.1817977, 1737467162.185795, 0.846641619682312]"
"[1737467065.2309175, 1737467065.2349477, 0.6999094867706299]","[1737467089.4783087, 1737467089.4833734, 1.0624731295108796]","[1737467113.7692769, 1737467113.7730584, 0.8028964183330535]","[1737467137.9713824, 1737467137.9752374, 0.8172347512245178]","[1737467162.2273917, 1737467162.231296, 0.826947582244873]"
"[1737467065.276515, 1737467065.280242, 0.7091732559204101]","[1737467089.5258887, 1737467089.5297751, 0.8291475403673645]","[1737467113.8145914, 1737467113.8185885, 0.8486576163768768]","[1737467138.0174353, 1737467138.0211785, 0.7935299396514892]","[1737467162.2737722, 1737467162.2792282, 1.2741273965835573]"
"[1737467065.3228874, 1737467065.3272002, 0.820639395236969]","[1737467089.5712514, 1737467089.5749898, 0.8513727569580076]","[1737467113.8603594, 1737467113.8642554, 0.8891711769802056]","[1737467138.0628822, 1737467138.0667858, 0.8964328987598419]","[1737467162.321583, 1737467162.3255556, 0.9277010436058044]"
"[1737467065.3704333, 1737467065.374207, 0.7978711223602295]","[1737467089.616585, 1737467089.621641, 1.1514164977073669]","[1737467113.9060233, 1737467113.9098547, 0.8832495450973511]","[1737467138.1086287, 1737467138.112528, 0.8954473865032195]","[1737467162.3671112, 1737467162.3708687, 0.9473656050988999]"
"[1737467065.4159484, 1737467065.4193, 0.7086474752426148]","[1737467089.6641715, 1737467089.6692219, 1.2513124494552612]","[1737467113.951501, 1737467113.9554663, 0.9141385459899902]","[1737467138.1540976, 1737467138.1580822, 1.0000694546699525]","[1737467162.4124763, 1737467162.4163697, 0.9927717924118042]"
"[1737467065.4599166, 1737467065.464101, 0.9720264537334442]","[1737467089.7111912, 1737467089.7150738, 0.9619800424575806]","[1737467113.9974773, 1737467114.0015044, 1.0902241516113282]","[1737467138.2004392, 1737467138.2042823, 0.9645257906913758]","[1737467162.458196, 1737467162.4633036, 1.3023974347114562]"
"[1737467065.5059428, 1737467065.5100567, 0.9556330955028534]","[1737467089.756867, 1737467089.7605968, 0.9966266202926635]","[1737467114.0432613, 1737467114.04728, 1.087965087890625]","[1737467138.246057, 1737467138.2498837, 1.0365926027297974]","[1737467162.5058508, 1737467162.5097992, 1.0936653962135314]"
"[1737467065.5519705, 1737467065.5560622, 1.0455826926231384]","[1737467089.8020372, 1737467089.8070722, 1.3453567481040953]","[1737467114.089059, 1737467114.09308, 1.0885459899902346]","[1737467138.2916048, 1737467138.2955348, 1.0646225833892822]","[1737467162.5513628, 1737467162.5553393, 1.1014579520225525]"
"[1737467065.5979342, 1737467065.602016, 1.0430238723754883]","[1737467089.8495312, 1737467089.8545763, 1.4549327709674833]","[1737467114.1356516, 1737467114.1398363, 1.1328881835937503]","[1737467138.3381503, 1737467138.3448749, 1.9579737257957457]","[1737467162.5968895, 1737467162.6008024, 1.164564952850342]"
"[1737467065.6439989, 1737467065.6481054, 1.1429435195922852]","[1737467089.896277, 1737467089.9004796, 1.2119512288570402]","[1737467114.1815016, 1737467114.1854303, 1.1481944937705995]","[1737467138.3867753, 1737467138.3904665, 1.0747509031295777]","[1737467162.6432981, 1737467162.6483545, 1.5048801803588867]"
"[1737467065.6899157, 1737467065.6940284, 1.1446688175201416]","[1737467089.941861, 1737467089.946125, 1.3198164808750152]","[1737467114.227313, 1737467114.2312965, 1.164220997810364]","[1737467138.4324598, 1737467138.4384062, 1.855323678970337]","[1737467162.6906998, 1737467162.69446, 1.1920154349803924]"
