epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737473845.1352382, 1737473845.1702316, 2.4186045331954955]","[1737473943.7543268, 1737473943.7880373, 4.2880504964590065]","[1737474039.8372293, 1737474039.870853, 4.533079362869263]","[1737474136.0646985, 1737474136.0983913, 4.3626041858196265]","[1737474232.7465668, 1737474232.780446, 4.295904509186745]"
"[1737473845.3796983, 1737473845.4138114, 2.758124749660492]","[1737473943.9831343, 1737473944.0272102, 5.4350514287948615]","[1737474040.0654504, 1737474040.130359, 7.984541880488395]","[1737474136.292014, 1737474136.334326, 5.2745897126197825]","[1737474232.97515, 1737474233.02006, 5.440481656074523]"
"[1737473845.6130807, 1737473845.6471403, 3.7520994014739983]","[1737473944.2219727, 1737473944.257227, 4.29819694519043]","[1737474040.3260093, 1737474040.3617039, 4.287099831104279]","[1737474136.5288904, 1737474136.5644922, 4.353216737508774]","[1737474233.2139676, 1737474233.2509496, 4.423461116313934]"
"[1737473845.8461604, 1737473845.8803003, 4.4481862900257125]","[1737473944.4607852, 1737473944.5000806, 5.3418732568025575]","[1737474040.5547428, 1737474040.591846, 5.209356477499008]","[1737474136.759261, 1737474136.7960217, 5.24563343811035]","[1737474233.4441803, 1737474233.4819608, 5.264468343734741]"
"[1737473846.0781107, 1737473846.1122413, 5.231518042325973]","[1737473944.6955671, 1737473944.7332244, 6.027006948947906]","[1737474040.7868426, 1737474040.8237617, 5.980490839481354]","[1737474136.9935246, 1737474137.027737, 5.598303818225861]","[1737474233.6765668, 1737474233.713535, 5.960350948333741]"
"[1737473846.3132844, 1737473846.3471868, 6.028627665281297]","[1737473944.9237225, 1737473944.9630878, 6.987378623485565]","[1737474041.021232, 1737474041.0563486, 6.362263143062592]","[1737474137.2201655, 1737474137.2591307, 7.1646138916015625]","[1737474233.9093099, 1737474233.9438124, 6.269588421821594]"
"[1737473846.5431073, 1737473846.577634, 6.329146808624269]","[1737473945.1833107, 1737473945.216337, 6.0069076838493345]","[1737474041.2497988, 1737474041.2861638, 6.62246045422554]","[1737474137.452756, 1737474137.4897337, 6.759399525761606]","[1737474234.13802, 1737474234.1739287, 6.4970246484279635]"
"[1737473846.7731879, 1737473846.8074222, 6.208421993851661]","[1737473945.4078047, 1737473945.448849, 7.457942762374879]","[1737474041.479385, 1737474041.517099, 6.810969316720963]","[1737474137.6832812, 1737474137.7215333, 7.073007370233536]","[1737474234.3662195, 1737474234.4075367, 7.567662839889526]"
"[1737473847.0065567, 1737473847.0410545, 6.345065435886383]","[1737473945.6419296, 1737473945.6796534, 6.619290739297866]","[1737474041.7119336, 1737474041.7503755, 7.0430167303085325]","[1737474137.9155996, 1737474137.9530296, 6.9201421322822565]","[1737474234.6012008, 1737474234.6391046, 6.94025897026062]"
"[1737473847.2390814, 1737473847.2732053, 6.273166706562042]","[1737473945.8720543, 1737473945.909578, 6.304837382555008]","[1737474041.9499454, 1737474041.9856994, 6.530922110080719]","[1737474138.1467605, 1737474138.1837409, 6.787792597889902]","[1737474234.8327289, 1737474234.8695776, 6.71297760283947]"
