epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467194.4746907, 1737467194.4761887, 0.11867777705192566]","[1737467296.8129146, 1737467296.813845, 0.13284165525436403]","[1737467398.821936, 1737467398.8228304, 0.15496765899658202]","[1737467501.3691127, 1737467501.370035, 0.1387989387512207]","[1737467603.6528182, 1737467603.6537635, 0.15369358777999878]"
"[1737467194.6936433, 1737467194.6948426, 0.10583221197128295]","[1737467297.0221002, 1737467297.0226872, 0.07716231584548951]","[1737467399.0309012, 1737467399.0315948, 0.1096106053517522]","[1737467501.5779858, 1737467501.5785978, 0.08542643237113952]","[1737467603.862256, 1737467603.8628876, 0.09611118364334106]"
"[1737467194.9038274, 1737467194.9044585, 0.07091413712501526]","[1737467297.2300737, 1737467297.230621, 0.07559390640258788]","[1737467399.2368648, 1737467399.2376332, 0.10813787484169007]","[1737467501.785742, 1737467501.7863324, 0.0759381504058838]","[1737467604.0702846, 1737467604.0708776, 0.08428445219993592]"
"[1737467195.1320386, 1737467195.132971, 0.13578160868878167]","[1737467297.4380124, 1737467297.4385455, 0.08332734489440918]","[1737467399.4473968, 1737467399.4482603, 0.1262599515914917]","[1737467501.9934816, 1737467501.994099, 0.08764061880111694]","[1737467604.2756238, 1737467604.276197, 0.08598348331451416]"
"[1737467195.3482437, 1737467195.348833, 0.09699863433837891]","[1737467297.645623, 1737467297.64621, 0.10268801259994507]","[1737467399.6579938, 1737467399.658668, 0.11198243618011475]","[1737467502.2017095, 1737467502.202321, 0.09932875514030456]","[1737467604.4839542, 1737467604.4845388, 0.09866743183135986]"
"[1737467195.5570657, 1737467195.5578392, 0.14350063133239746]","[1737467297.8539476, 1737467297.8544862, 0.10408851099014282]","[1737467399.8663793, 1737467399.8669875, 0.11255760550498962]","[1737467502.410195, 1737467502.4107707, 0.10530527544021608]","[1737467604.6931841, 1737467604.6940436, 0.16230692744255065]"
"[1737467195.765605, 1737467195.766235, 0.12102285647392272]","[1737467298.0615652, 1737467298.0621326, 0.10904081344604491]","[1737467400.0723572, 1737467400.0731552, 0.14785821032524107]","[1737467502.6177418, 1737467502.6183271, 0.11097036600112915]","[1737467604.9050589, 1737467604.905669, 0.11537605619430542]"
"[1737467195.9781396, 1737467195.978723, 0.11379825568199158]","[1737467298.2689693, 1737467298.269508, 0.103155677318573]","[1737467400.3203135, 1737467400.3211129, 0.14576498675346375]","[1737467502.825415, 1737467502.8260288, 0.11765190362930297]","[1737467605.1189091, 1737467605.1194754, 0.10587632656097412]"
"[1737467196.186459, 1737467196.1870532, 0.11585950088500976]","[1737467298.4758892, 1737467298.4764652, 0.11010205459594727]","[1737467400.5301068, 1737467400.5307786, 0.12245989847183228]","[1737467503.033474, 1737467503.034119, 0.12347354868545239]","[1737467605.334151, 1737467605.3347335, 0.10730306506156921]"
"[1737467196.3943813, 1737467196.3951948, 0.1587042579650879]","[1737467298.6830606, 1737467298.6836407, 0.11077410650253296]","[1737467400.738317, 1737467400.7389262, 0.11153588056564333]","[1737467503.2414386, 1737467503.2420406, 0.11362158060073853]","[1737467605.5453172, 1737467605.5463462, 0.18932736492156985]"
"[1737467196.6033077, 1737467196.6039944, 0.135296630859375]","[1737467298.891186, 1737467298.8917701, 0.1113039493560791]","[1737467400.945479, 1737467400.94675, 0.2338911581039429]","[1737467503.4492936, 1737467503.449897, 0.11290314197540283]","[1737467605.7560983, 1737467605.756736, 0.11990006566047669]"
"[1737467196.8165426, 1737467196.8171399, 0.11831833004951478]","[1737467299.0985003, 1737467299.0990741, 0.108490788936615]","[1737467401.1528113, 1737467401.153648, 0.15455882453918457]","[1737467503.657344, 1737467503.6579573, 0.113999285697937]","[1737467605.963318, 1737467605.9638858, 0.10604559588432311]"
"[1737467197.025155, 1737467197.0260189, 0.1724229516983032]","[1737467299.3063245, 1737467299.306904, 0.10877038145065307]","[1737467401.3629656, 1737467401.3637464, 0.1458846628665924]","[1737467503.8650293, 1737467503.8656385, 0.11312395930290223]","[1737467606.1717048, 1737467606.1722977, 0.11100501608848572]"
"[1737467197.2345142, 1737467197.2353947, 0.17534077913054724]","[1737467299.5256925, 1737467299.5262775, 0.10862170743942261]","[1737467401.5722458, 1737467401.5728707, 0.11572057342529296]","[1737467504.0733745, 1737467504.0740197, 0.11983343410491942]","[1737467606.3799627, 1737467606.3808498, 0.16763424801826476]"
"[1737467197.443108, 1737467197.443819, 0.13878732204437255]","[1737467299.7331948, 1737467299.733766, 0.11009947395324708]","[1737467401.780686, 1737467401.7814898, 0.14788774108886718]","[1737467504.2824385, 1737467504.2830052, 0.10528428697586059]","[1737467606.5946562, 1737467606.5954132, 0.14308038353919983]"
"[1737467197.6589005, 1737467197.6595244, 0.12121247601509094]","[1737467299.9410186, 1737467299.9415848, 0.10832872986793518]","[1737467401.9871957, 1737467401.9879494, 0.13762466740608215]","[1737467504.4950483, 1737467504.4957201, 0.12495923089981079]","[1737467606.8012972, 1737467606.8021436, 0.15930930376052857]"
"[1737467197.8681762, 1737467197.868761, 0.1135503454208374]","[1737467300.1916733, 1737467300.192276, 0.11320689392089843]","[1737467402.1968446, 1737467402.1976545, 0.14784464001655578]","[1737467504.7041168, 1737467504.7047453, 0.11722939395904541]","[1737467607.0149622, 1737467607.0156672, 0.13135629653930664]"
"[1737467198.078781, 1737467198.0793948, 0.11927328705787658]","[1737467300.399046, 1737467300.3996499, 0.1123830087184906]","[1737467402.406184, 1737467402.406795, 0.1115215275287628]","[1737467504.9117668, 1737467504.912357, 0.11101699733734131]","[1737467607.2245653, 1737467607.2254472, 0.16319838738441467]"
"[1737467198.2868836, 1737467198.287479, 0.11530910325050353]","[1737467300.606346, 1737467300.6068904, 0.10167964267730714]","[1737467402.6142216, 1737467402.6148171, 0.10871944570541382]","[1737467505.1905084, 1737467505.1915326, 0.19568940925598144]","[1737467607.4341788, 1737467607.435006, 0.1528962173461914]"
"[1737467198.498322, 1737467198.498904, 0.11256070375442505]","[1737467300.8149107, 1737467300.8155541, 0.11923451590538026]","[1737467402.8233144, 1737467402.824186, 0.1591961898803711]","[1737467505.4000945, 1737467505.4006922, 0.11050203275680542]","[1737467607.641328, 1737467607.6420333, 0.1303717703819275]"
"[1737467198.7055519, 1737467198.7061276, 0.11181203842163086]","[1737467301.0226412, 1737467301.0231879, 0.10109625792503357]","[1737467403.0323336, 1737467403.0331986, 0.15863088989257812]","[1737467505.6075978, 1737467505.6081774, 0.10703217434883118]","[1737467607.850703, 1737467607.8513303, 0.11602471232414246]"
"[1737467198.9133914, 1737467198.913961, 0.11242067480087281]","[1737467301.230387, 1737467301.2309303, 0.1005480170249939]","[1737467403.2414403, 1737467403.2422824, 0.1582842779159546]","[1737467505.815169, 1737467505.8157568, 0.10853911876678467]","[1737467608.06004, 1737467608.0608106, 0.1473751449584961]"
"[1737467199.1213868, 1737467199.1219907, 0.1203160264492035]","[1737467301.4378228, 1737467301.4383693, 0.10579594802856446]","[1737467403.4527373, 1737467403.4535303, 0.14889868402481077]","[1737467506.0230248, 1737467506.0236363, 0.1129080820083618]","[1737467608.2672424, 1737467608.2680745, 0.158765184879303]"
"[1737467199.3333244, 1737467199.3339164, 0.11893328047543765]","[1737467301.645447, 1737467301.6459956, 0.10605831742286681]","[1737467403.6594706, 1737467403.660291, 0.15329224848747255]","[1737467506.231954, 1737467506.232565, 0.11277846908569336]","[1737467608.4737122, 1737467608.4744434, 0.13935923433303832]"
"[1737467199.5526822, 1737467199.553264, 0.1129084300994873]","[1737467301.8535087, 1737467301.8540556, 0.10542884254455567]","[1737467403.8745847, 1737467403.8752747, 0.1274827070236206]","[1737467506.4396517, 1737467506.440239, 0.11068427109718322]","[1737467608.682901, 1737467608.6834948, 0.11271581625938415]"
"[1737467199.7602937, 1737467199.7608848, 0.114616774559021]","[1737467302.0606182, 1737467302.061166, 0.10502972602844238]","[1737467404.0828044, 1737467404.0834382, 0.11635353326797485]","[1737467506.6469963, 1737467506.6475801, 0.10939299988746644]","[1737467608.8912392, 1737467608.8918722, 0.11992273449897765]"
"[1737467199.9683917, 1737467199.9690363, 0.12852674865722657]","[1737467302.2685082, 1737467302.2691357, 0.11981383705139159]","[1737467404.2917743, 1737467404.292571, 0.1457162561416626]","[1737467506.8546891, 1737467506.8553803, 0.12876253247261046]","[1737467609.0982914, 1737467609.0990188, 0.13727922964096068]"
"[1737467200.1932256, 1737467200.1938272, 0.11613380241394043]","[1737467302.4768827, 1737467302.4775693, 0.13070022583007812]","[1737467404.5001466, 1737467404.5009346, 0.14414397478103638]","[1737467507.062697, 1737467507.063248, 0.10241054248809814]","[1737467609.3079612, 1737467609.3086908, 0.13677296161651611]"
"[1737467200.401436, 1737467200.4020376, 0.11574701857566833]","[1737467302.6868324, 1737467302.6875532, 0.136920298576355]","[1737467404.7096138, 1737467404.7103493, 0.13465630054473876]","[1737467507.2708, 1737467507.27137, 0.10586864233016968]","[1737467609.5269794, 1737467609.5275686, 0.10851463651657103]"
"[1737467200.608865, 1737467200.609521, 0.1294214301109314]","[1737467302.8963404, 1737467302.8969433, 0.11355737614631653]","[1737467404.9179683, 1737467404.9185696, 0.1101103320121765]","[1737467507.4788427, 1737467507.4794254, 0.108275803565979]","[1737467609.7343543, 1737467609.735019, 0.12226959991455078]"
"[1737467200.8168476, 1737467200.817697, 0.1676119637489319]","[1737467303.1052303, 1737467303.105833, 0.11244927215576171]","[1737467405.178178, 1737467405.1790388, 0.1612986707687378]","[1737467507.6863377, 1737467507.6869226, 0.10868037629127503]","[1737467609.9432037, 1737467609.9439738, 0.14156755447387695]"
