epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737470360.5923219, 1737470360.634059, 3.1914257931709287]","[1737470401.899129, 1737470401.9394395, 5.579850700020791]","[1737470444.2543309, 1737470444.2944613, 4.96499152203177]","[1737470487.3962595, 1737470487.4365673, 5.7576410880088815]","[1737470529.0555272, 1737470529.0956986, 5.638495743513107]"
"[1737470360.6895535, 1737470360.7296343, 3.5125999016761784]","[1737470401.9938936, 1737470402.0332842, 5.359395617246628]","[1737470444.3530202, 1737470444.3923645, 5.068311987329211]","[1737470487.4908626, 1737470487.5302472, 5.453270969867705]","[1737470529.1497812, 1737470529.1891596, 5.561687732934951]"
"[1737470360.784717, 1737470360.824827, 3.8938849703073513]","[1737470402.0864377, 1737470402.1258686, 5.508122138023376]","[1737470444.445309, 1737470444.4846225, 5.071888603568077]","[1737470487.6079822, 1737470487.6475577, 5.7305830936431885]","[1737470529.242572, 1737470529.2819068, 5.793146847724914]"
"[1737470360.8787487, 1737470360.9178963, 4.0763667025566095]","[1737470402.178317, 1737470402.2176347, 5.692010888099671]","[1737470444.5377054, 1737470444.5770056, 5.306679789543152]","[1737470487.7206013, 1737470487.7601442, 5.8019735169410716]","[1737470529.3355265, 1737470529.374844, 6.008792059421539]"
"[1737470360.9702356, 1737470361.0094748, 4.358660035848618]","[1737470402.2707546, 1737470402.3102078, 5.926551566839219]","[1737470444.6353912, 1737470444.6746907, 5.6038055144548435]","[1737470487.8134894, 1737470487.8529613, 6.233002154827118]","[1737470529.428413, 1737470529.4677284, 6.095783769607544]"
"[1737470361.0626342, 1737470361.1020322, 4.665097884416581]","[1737470402.364759, 1737470402.4041483, 6.042526592016221]","[1737470444.727711, 1737470444.7670476, 5.893476809501648]","[1737470487.9054523, 1737470487.9448495, 6.615145847694542]","[1737470529.5265012, 1737470529.56601, 6.469095100402832]"
"[1737470361.154496, 1737470361.19382, 5.168670974493026]","[1737470402.4572499, 1737470402.4966118, 6.18632145881653]","[1737470444.8218224, 1737470444.8612103, 6.437682134389878]","[1737470487.9983933, 1737470488.0376248, 7.13396841955185]","[1737470529.6220913, 1737470529.6616654, 7.052389884471894]"
"[1737470361.2475193, 1737470361.2868478, 6.455263697890165]","[1737470402.550857, 1737470402.5902119, 6.734314867973327]","[1737470444.9143114, 1737470444.9538515, 7.005173589064158]","[1737470488.0910907, 1737470488.1304848, 7.660843493819236]","[1737470529.715161, 1737470529.7545295, 7.58306074476242]"
"[1737470361.3392005, 1737470361.3785012, 7.044725520133973]","[1737470402.646297, 1737470402.6856453, 7.325917734861373]","[1737470445.0118358, 1737470445.0512638, 7.6084991827011095]","[1737470488.1846151, 1737470488.2240112, 8.18910965514183]","[1737470529.807728, 1737470529.8471212, 8.15602032506466]"
"[1737470361.4305966, 1737470361.4699476, 7.725818526744844]","[1737470402.740371, 1737470402.77968, 7.923048422813414]","[1737470445.1127949, 1737470445.1535313, 8.47603041410446]","[1737470488.276906, 1737470488.3162253, 8.700103131055833]","[1737470529.9000509, 1737470529.9394343, 8.631732645511628]"
"[1737470361.5268178, 1737470361.5661538, 8.413019087791442]","[1737470402.834415, 1737470402.873877, 8.574322814941407]","[1737470445.2152572, 1737470445.2545562, 8.73766355895996]","[1737470488.3683739, 1737470488.4076831, 9.201459474563599]","[1737470529.9920306, 1737470530.0314307, 9.14185398864746]"
"[1737470361.6245453, 1737470361.6638498, 9.047619584798815]","[1737470402.9281173, 1737470402.9675338, 9.186145597696303]","[1737470445.308257, 1737470445.3476672, 9.309102506160734]","[1737470488.4643807, 1737470488.5037556, 9.797693290672795]","[1737470530.0875943, 1737470530.12696, 9.71657001233101]"
"[1737470361.720622, 1737470361.759846, 9.6570049366951]","[1737470403.020874, 1737470403.0601366, 9.755797196388245]","[1737470445.4015527, 1737470445.440917, 9.940361340522767]","[1737470488.5572243, 1737470488.596521, 10.152912343025207]","[1737470530.1810899, 1737470530.220639, 10.108832207202912]"
"[1737470361.812216, 1737470361.8515635, 9.852945641279216]","[1737470403.113909, 1737470403.1533198, 9.97503860092163]","[1737470445.4931757, 1737470445.5324094, 9.975635098457337]","[1737470488.6536376, 1737470488.6930537, 10.148732679128647]","[1737470530.2748153, 1737470530.314371, 10.256341169357297]"
"[1737470361.9039147, 1737470361.9432666, 10.055443860054016]","[1737470403.207087, 1737470403.2464812, 9.981498316526412]","[1737470445.5851495, 1737470445.6245105, 10.09471888065338]","[1737470488.7532744, 1737470488.7927406, 10.306859417200087]","[1737470530.3696196, 1737470530.4090126, 10.22302154636383]"
"[1737470362.0001323, 1737470362.0393913, 10.2235034866333]","[1737470403.302034, 1737470403.3414059, 10.002561449289322]","[1737470445.6778426, 1737470445.717073, 10.129981658935549]","[1737470488.8504827, 1737470488.889925, 10.410676968336105]","[1737470530.4690201, 1737470530.5084472, 10.278235580921173]"
"[1737470362.0934622, 1737470362.1326907, 10.225755737304688]","[1737470403.3941445, 1737470403.4335115, 10.03950482726097]","[1737470445.805926, 1737470445.8452535, 10.211748280525208]","[1737470488.9458323, 1737470488.9853854, 10.36439281129837]","[1737470530.5838137, 1737470530.623252, 10.285021736145021]"
"[1737470362.185218, 1737470362.224417, 10.19787062895298]","[1737470403.4869108, 1737470403.5263011, 10.094704332828522]","[1737470445.8999126, 1737470445.9391434, 9.8528213262558]","[1737470489.0458086, 1737470489.085145, 10.248441490411757]","[1737470530.6768758, 1737470530.7162735, 10.12966508817673]"
"[1737470362.2768166, 1737470362.3160703, 10.161495888113977]","[1737470403.5802107, 1737470403.619582, 10.137413143873214]","[1737470445.9922361, 1737470446.031491, 9.863344146728515]","[1737470489.1427693, 1737470489.1821473, 10.209830358982087]","[1737470530.7699602, 1737470530.8094428, 10.212725574493408]"
"[1737470362.3678985, 1737470362.4070919, 10.102018098950385]","[1737470403.6732254, 1737470403.71247, 10.140229353904726]","[1737470446.084554, 1737470446.123834, 9.89438063812256]","[1737470489.2399278, 1737470489.2792895, 10.139656589031219]","[1737470530.862953, 1737470530.9023197, 10.244559560775757]"
"[1737470362.461244, 1737470362.5007312, 10.140302174806592]","[1737470403.7660103, 1737470403.805328, 10.140876059532165]","[1737470446.1806638, 1737470446.219933, 9.942217580556868]","[1737470489.3334622, 1737470489.372852, 10.092939714431761]","[1737470530.9547083, 1737470530.9940538, 10.274015741586684]"
"[1737470362.5531557, 1737470362.5924082, 10.066726018548009]","[1737470403.8588605, 1737470403.8981292, 10.10082106947899]","[1737470446.273337, 1737470446.312551, 9.94711301934719]","[1737470489.453065, 1737470489.4925296, 10.038994010210034]","[1737470531.0469515, 1737470531.0863736, 10.310651100397108]"
"[1737470362.6446714, 1737470362.6838775, 10.037135224342347]","[1737470403.9514184, 1737470403.9908063, 10.088354644775393]","[1737470446.3651354, 1737470446.4044137, 10.009239972114562]","[1737470489.56708, 1737470489.6065605, 9.948320900201796]","[1737470531.1440942, 1737470531.1836307, 10.342738480567931]"
"[1737470362.7358592, 1737470362.775109, 10.08557503414154]","[1737470404.0436797, 1737470404.0830154, 10.032852697849272]","[1737470446.456954, 1737470446.4961905, 10.057817616462708]","[1737470489.6666594, 1737470489.7060575, 9.85184733867905]","[1737470531.2433357, 1737470531.2829502, 10.352285224914551]"
"[1737470362.8274446, 1737470362.8666816, 10.136178470611572]","[1737470404.1358523, 1737470404.175222, 10.079085716247558]","[1737470446.5724537, 1737470446.611971, 10.047850010871889]","[1737470489.7621775, 1737470489.8015194, 9.824938007354735]","[1737470531.3381371, 1737470531.3775163, 10.26000543832779]"
"[1737470362.9191256, 1737470362.9583218, 10.164372282028197]","[1737470404.2296345, 1737470404.26888, 10.045440376996995]","[1737470446.690797, 1737470446.7302582, 9.970648468375206]","[1737470489.8569171, 1737470489.8962653, 9.86288308286667]","[1737470531.4315963, 1737470531.4709542, 10.205804185628894]"
"[1737470363.0122507, 1737470363.051678, 10.22629315137863]","[1737470404.3225322, 1737470404.3618531, 10.054326504707337]","[1737470446.7836895, 1737470446.823082, 9.867552094578743]","[1737470489.957064, 1737470489.9965518, 9.905761276245117]","[1737470531.5266175, 1737470531.56607, 10.18183592033386]"
"[1737470363.1038108, 1737470363.143084, 10.183242656707764]","[1737470404.4158676, 1737470404.455151, 10.046402589797973]","[1737470446.8766756, 1737470446.9160993, 9.676863572597506]","[1737470490.0498254, 1737470490.089115, 9.857571990966797]","[1737470531.6190434, 1737470531.6584375, 10.126381932020188]"
